[부장]으로 승진하다	升為「部長」
[회장]을 뽑다	選「會長」
[과장]으로 승진하다	升做「課長」
직장 [동료]	職場「同事」
직장 [상사]	職場「上司」
부서 [담당]	部門「主管」
[담당자]가 처리하다	「負責人」處理
[체계]가 잡히다	形成「體系」
[해당] 부서	「相闗」部門
목표 [달성]	目標「達成」
한계에 [달하다]	「達到」極限
[마땅히] 해야 하다	應該「正確地」做
일을 [망치다]	「搞砸」工作
나라가 [망하다]	國家「滅亡」
위치를 [바로잡다]	「擺好」位子
[손해]를 입히다	遭受「損害」
갈등 [악화]	矛盾「惡化」
[업적]을 남기다	留下「成就」
[완벽]을 추구하다	追求「完美」
한 달  [완성]	一個月「完成」
성공 [요인]	成功「要因」
실수를 [저지르다]	「犯」錯
[질]이 좋다	「質量」好
[대책]을 마련하다	準備「對策」
[대처] 방안	「對應」方案
해결 [방안]	解決「方案」
사고 [방지]	事故「防止」
[예정]을 앞당기다	提前「預定」
[가치]가 높다	「價值」高
[가치관]이 바뀌다	改變「價值觀」
[값싼] 물건	「便宜的」東西
[거래]가 이루어지다	「買賣」成交
여행 [경비]	旅行「經費」
[계약]을 체결하다	訂定「契約」
[계약금]을 받다	收下「契約金」
[계약서]를 쓰다	寫「契約書」
[계좌] 번호	「開戶」帳號
[고객]을 맞다	招呼「顧客」
[공급]을 받다	得到「供給」
[괜히] 이야기하다	「平白無故」這樣說
상품 [구매]	商品「購買」
물품 [구입]	「購買」物品
[귀중한] 보석	「貴重的」寶石
[금액]을 지불하다	支付「金額」
[금융] 분야	「金融」領域
[기업]을 운영하다	「企業」運營
[노동] 시간	「勞動」時間
도서 [대출]	圖書「借出」
[무역] 회사	「貿易」公司
[물가]가 비싸다	「物價」貴
[반품]을 요구하다	要求「退貨」
[보고]를 받다	收「報告」
냉장 [보관]	冷藏「保管」
[보험]에 가입하다	加入「保險」
[빚]을 갚다	還「債」
토지를 [사들이다]	「買」土地
[사업자] 등록	「營業」登記
휴대폰 [사용료]	手機「使用費」
[사용법]을 설명하다	說明「使用法」
[상업]에 종사하다	從事「商業」
[상태]를 점검하다	檢查「狀態」
대량 [생산]	大量「生產」
[선전]을 보다	宣傳
[세금]을 내다	繳「稅金」
[소비]가 늘다	「消費」增加
[소비자] 물가	「消費者」物價
[소요] 시간	「所需」時間
[소용]이 없다	沒有「用處」
[소원]을 빌다	許「願」
개인 [소유]	個人「所有」
[수수료]를 내다	付「手續費」
[수요]가 늘다	「需求」增加
[수입]이 많다	「收入」多
[수입]:수출	輸入
[수준]이 높다	「等級」高
[싼값]에 팔다	「廉價」出售
[업무]를 맡기다	委託「任務」
[영업]을 마치다	「營業」結束
자본의 [유통]	資本的「流通」
[이익]이 남다	剩「利潤」
[이자]가 비싸다	「利率」高
[임금]을 올리다	「工資」提高
[입국]:출국	入口
보호자 [자격]	監護人「資格」
[자본]이 부족하다	「資本」不足
[잔돈]을 모으다	湊「零錢」
[저축] 예금	「儲蓄」金
[적당히] 마시다	「適度」喝
[적용] 대상	「適用」對象
[적응]이 빠르다	「適應」很快
[주식]에 투자하다	投資「股票」
비용 [지불]	費用「支付」
[지출]이 늘다	增加「支出」
[지폐]를 세다	數「錢」
[창고]에 보관하다	在「倉庫」保管
[추천] 도서	「建議」圖書
[판매] 가격	「銷售」價格
[판매자]:구매자	賣方
[품질]이 뛰어나다	「質量」傑出
전자 [화폐]	電子「貨幣」
업무를 [맡다]	「承擔」業務
[대체] 방안	「替代」方案
업무를 [다루다]	「處理」業務
건물이 [무너지다]	建物「倒塌」
[감독]을 강화하다	加強「監督」
[감시]를 당하다	受到「監視」
시설을 [갖추다]	「配備」設施
재능 [개발]	才能「開發」
[개방] 시간	「開放」時間
제도 [개선]	制度「改善」
공동 [개최]	共同「舉辦」
경제 [개혁]	經濟「改革」
[거래처] 직원	「交易方」職員
아파트 [건설]	公寓「建設」
[건축] 공사	「建築」工程
서류 [검토]	文件「審核」
회사 [경영]	公司「經營」
신축 [공사]	新建「工程」
학생 [관리]	學生「管理」
위기 [극복]	「克服」危機
[기지개]를 켜다	開始「活動」
기술 [도입]	技術「導入」
[도전]을 계속하다	持續「挑戰」
[뒤따라] 걷다	「跟在後面」走
[뜻밖]의 사실	「意料之外」的事實
학비 [마련]	「籌措」學費
[마무리]를 짓다	做完「收尾工作」
책임을 [면하다]	「免除」責任
[문서]를 위조하다	偽造「文書」
[문의] 전화	「諮詢」電話
새로운 [발견]	新「發現」
문자의 [발명]	文字的「發明」
사건 [발생]	事故「發生」
잡지 [발행]	雜誌「發行」
[방해]를 받다	受到「妨礙」
[배편]으로 보내다	用「船運」送
절차가 [번거롭다]	程序「繁瑣」
사업을 [벌이다]	「開展」工作
연회를 [베풀다]	「設」宴
문제점 [보완]	「改進」問題
[보장]을 받다	得到「保障」
문서 [복사]	文書「複印」
[부주의] 운전	開車「疏忽」
원인 [분석]	原因「分析」
그럼에도 [불구하다]	盡管如此
파일 [삭제]	文件「刪除」
[생략]을 하다	省略
[수단]이 좋다	「方法」好
[수리]를 맡기다	托人「修理」
[수리비]를 내다	付「修理費」
[수선]을 맡기다	托人「修繕」
[수속]을 밟다	辦理「手續」
[시행] 예정	預定「執行」
훈련 [실시]	「實施」訓練
[실천]에 옮기다	付諸「實踐」
[실체]를 보다	看到「實體」
꿈의 [실현]	夢想「實現」
기업 [운영]	企業「營運」
[유리]:불리	「有利」：不利
건강에 [이롭다]	「有利」健康
둥글게 [이어지다]	「連接」成圓
손에 [익다]	順手
끈을 [잇다]	「接上」繩子
차가 [잇따르다]	車子「緊跟著」
[작동]을 멈추다	「運轉」停止
보고서 [작성]	報告書「作成」
물건 [전달]	貨物「傳遞」
수속 [절차]	手續
소식을 [접하다]	「接到」消息
[정성]을 다하다	盡了「全力」
게임에 [정신없다]	忙於「遊戲」
시간 [조정]	時間「調整」
운행 [중단]	運行「中斷」
해가 [지다]	日「落」
배낭을 [지다]	「背」背包
사회 [진출]	「進入」社會
[진행]이 순조롭다	「進行」順利
목도리를 [짜다]	「編織」圍巾
치약을 [짜다]	「擠」牙膏
사진 [참조]	照片「參照」
한글 [창조]	漢字「創造」
결과를 [책임지다]	「擔負」結果
사고 [처리]	事故「處理」
위험에 [처하다]	「處於」危險
사업 [추진]	事業「推進」
[파괴]를 당하다	受「破壞」
문제 [해결]	問題「解決」
[해결책]을 마련하다	制定「解決方案」
의식을 [행하다]	「行」儀式
기술 [향상]	技術「向上」
신제품 [홍보]	新製品「宣傳」
인력 [확보]	人力「確保」
[확신]이 서다	可以「確信」
[확장] 공사	「擴張」工事
공간 [활용]	空間「活用」
[결국] 해내다	「最終」成功
공부를 [그만하다]	「停止」學習
인류의 [기원]	人類的「起源」
[끝내] 모르다	「終究」不知道
[마침내] 해내다 	「終於」做到了
비바람이 [멎다]	風雨「停止」
회사 [설립]	公司「成立」
[성과]를 올리다	擴大「成果」
[성립] 조건	「成立」條件
[예비] 식량	「預備」食糧
꿈을 [이루다]	「完成」夢想
소원이 [이루어지다]	願望「成真」
성장을 [이룩하다]	「實現」成長
중도 [포기]	中途「放棄」
[면접]을 요구하다	要求「面試」
[면접관]이 질문하다	「面試官」發問
학생 [모집]	「招」學生
[사표]를 내다	提「辭呈」
[승진] 시험	「晉升」考試
[신입] 사원	「新進」社員
[실습]을 나가다	去「實習」
[실업] 위기	「失業」危機
[연봉]이 오르다	「年薪」上升
[원서]를 내다	提出「申請書」
[인재]를 기르다	培養「人材」
[입사] 시험	「入社」考試
[추천서]를 쓰다	寫「推薦信」
[취업]을 알선하다	介紹「就業」
[취업난]에 시달리다	受「失業困難」
[퇴직] 연금	「退休」年金
[고무]로 만들다	用「橡膠」做
[기계]가 작동하다	讓「機器」作動
운동 [기구]	運動「器具」
청소 [도구]	清掃「工具」
[소재]로 삼다	當作「素材」
[쇠]가 녹슬다	生「銹」
[에너지]가 넘치다	充滿「活力」
구성 [요소]	構成「元素」
[자원]이 부족하다	「資源」不足
[준비물]을 챙기다	準備「材料」
[무시]를 당하다	遭受「忽視」
[무의미]	無意義
[무조건]  반대	「無條件」反對
[설문]에 답하다	回答「問卷」
[설문지]를 작성하다	填寫「問卷」
답변 [채택]	「採用」答辯
[비밀번호]를 누르다	按「密碼」
[예금]을 찾다	取「存款」
[입금] 통장	存錢
예매 [창구]	預售「窗口」
[시도]가 성공하다	「嘗試」成功
[결근]:출근	「缺勤」：出勤
카드  [결제]	信用卡「結算」
[고등] 지식	「高等」知識
[과]의 직원	「科」的支援
[근로자]를 해고하다	解雇「工人」
[근무]를 마치다	結束「工作」
[기업가]가 되다	成為「企業家」
상품 [기획] 	產品「企劃」
나무를 [넘어뜨리다]	「裁倒」樹木
[노동자]로 일하다	當「工人」
[대기업]에 취직하다	到「大公司」就職
노후 [대비]	養老「準備」
[도장]을 찍다	蓋「印章」
[등기]를 이전하다	轉移「登記」
[맞벌이] 부부	「雙薪」夫婦
[모금] 운동	「募捐」活動
[배송]이 빠르다	「配送」快速
[배웅]을 나가다	去「送別」
자리 [배치]	座位「安排」
[범위]가 넓다	「範圍」廣
[별일] 없다	沒「別的事」
[보고서]를 작성하다	作「報告」
기술 [보급]	技術「普及」
[보너스]를 받다	領「獎金」
[보상]을 받다	收到「報酬」
[본부]에서 일하다	在「總部」工作
[볼일]이 생기다	有事
경제 [부문]	經濟「部門」
[사무소]를 열다	「事務所」開門
[사물]을 보다	觀察「事物」
[사연]이 복잡하다	「事情原委」複雜
주의 [사항]	注意「事項」
[상금]을 받다	得到「賞金」
[상담]을 받다	接受「諮詢」
고객 [상담실]	顧客「諮詢室」
[상담원]으로 일하다	當「顧問」
[서명]을 받다	簽名
인터넷 [설치]	網路「安裝」
일에 [소홀하다]	「疏於」工作
[수표]를 발행하다	開「支票」
[시설]에 투자하다	投資「設施」
[시스템]을 개선하다	改進「系統」
[신상품]을 내놓다	擺出「新產品」
[신제품]이 나오다	出現「新產品」
[실용적] 기술	「實用的」技術
[심부름]을 보내다	讓人「跑腿」
[심사]를 받다	接受「審查」
[액수]가 크다	「數量」大
[야근]을 하다	值「夜班」
[요구]를 들어주다	聽進「要求」
[용건]만 말하다	只說「要辦的事」
[우체통]에 편지를 넣다	把信放「郵箱」
[우편]으로 보내다	寄「郵件」
[우편물]을 보내다	寄「郵件」
[우편함]에 넣다	放在「郵箱」
[원리]를 발견하다	發現「原理」
[이력서]를 내다	交「履歷書」
[이벤트]가 열리다	舉辦「活動」
[인력]을 양성하다	養成「人力」
[일손]을 구하다	求「人手」
[일자리]를 구하다	找「工作」
[잔액]이 부족하다	「餘額」不足
[정원] 미달	「定員」未滿
자료 [제공]	材料「提供」
음반 [제작]	「製作」唱片
보고서 [제출]	「提交」報告書
가죽 [제품]	皮「製品」
[중소기업]에 취직하다	在「中小企業」就職
이자 [지급]	「支付」利息
[지시]를 하다	操作說明
[지정] 좌석	「指定」座位
[직장인]이 출근하다	「上班族」上班
[청구서]가 오다	收到「申請書」
[출근길]을 나서다	去「上班」
[큰돈]을 모으다	賺到「一筆巨款」
[큰일]이 나다	發生「大事」
월급을 [타다]	「領」薪水
[투자]를 유치하다	吸引「投資」
[평가]를 받다	接受「評估」
[평균]을 구하다	求「平均」
[프로] 야구	「職業」棒球
[환율]이 오르다	「匯率」上升
[회식]을 하다	辦「公司聚會」
[회의실]에 모이다	聚集在「會議室」
