読み (よみ)	reading	date	board	skin
表す (あらわす)	to represent	to mind	lawn	hindrance
構う (かまう)	to mind	lawn	hindrance	therefore
芝生 (しばふ)	lawn	hindrance	therefore	book
邪魔 (じゃま)	hindrance	therefore	book	close friend
したがって (従って)	therefore	book	close friend	wonderful
書物 (しょもつ)	book	close friend	wonderful	temperature
親友 (しんゆう)	close friend	wonderful	temperature	title
素晴らしい (すばらしい)	wonderful	temperature	title	word
体温 (たいおん)	temperature	title	word	morals
題 (だい)	title	word	morals	riddle
単語 (たんご)	word	morals	riddle	to tear
道徳 (どうとく)	morals	riddle	to tear	disregarding
謎 (なぞ)	riddle	to tear	disregarding	dawn
破る (やぶる)	to tear	disregarding	dawn	abuse
無視 (むし)	disregarding	dawn	abuse	poor
夜明け (よあけ)	dawn	abuse	poor	to notice
悪口 (あっこう)	abuse	poor	to notice	to eat 
かわいそう (可哀相)	poor	to notice	to eat 	odour
気づく (きづく)	to notice	to eat 	odour	step
食う (くう)	to eat 	odour	step	old age
匂い (におい)	odour	step	old age	you 
段 (だん)	step	old age	you 	pity
老い (おい)	old age	you 	pity	to clasp
お前 (おまえ)	you 	pity	to clasp	to differ
哀れ (あわれ)	pity	to clasp	to differ	to be raised 
握る (にぎる)	to clasp	to differ	to be raised 	quotation
異なる (ことなる)	to differ	to be raised 	quotation	feather
育つ (そだつ)	to be raised 	quotation	feather	lie
引用 (いんよう)	quotation	feather	lie	rumour
羽 (はね)	feather	lie	rumour	animal feed
嘘 (うそ)	lie	rumour	animal feed	to cross 
噂 (うわさ)	rumour	animal feed	to cross 	king
餌 (えさ)	animal feed	to cross 	king	open sea
横切る (よこぎる)	to cross 	king	open sea	favour
王様 (おうさま)	king	open sea	favour	to give
沖 (おき)	open sea	favour	to give	to add
恩 (おん)	favour	to give	to add	to be added to
くださる (下さる)	to give	to add	to be added to	degree
加える (くわえる)	to add	to be added to	degree	Tuesday
加わる (くわわる)	to be added to	degree	Tuesday	to earn 
加減 (かげん)	degree	Tuesday	to earn 	to pass 
火曜 (かよう)	Tuesday	to earn 	to pass 	to turn
稼ぐ (かせぐ)	to earn 	to pass 	to turn	cough
過ごす (すごす)	to pass 	to turn	cough	injury
回す (まわす)	to turn	cough	injury	to ascertain
咳 (せき)	cough	injury	to ascertain	to awaken
害 (がい)	injury	to ascertain	to awaken	to wake
確かめる (たしかめる)	to ascertain	to awaken	to wake	to study 
覚ます (さます)	to awaken	to wake	to study 	school term
覚める (さめる)	to wake	to study 	school term	to divide 
学ぶ (まなぶ)	to study 	school term	to divide 	to cut 
学期 (がっき)	school term	to divide 	to cut 	completion
割る (わる)	to divide 	to cut 	completion	to concern
刈る (かる)	to cut 	completion	to concern	to contain
完了 (かんりょう)	completion	to concern	to contain	to desire
関する (かんする)	to concern	to contain	to desire	skilful
含む (ふくむ)	to contain	to desire	skilful	humour
願う (ねがう)	to desire	skilful	humour	to like
器用 (きよう)	skilful	humour	to like	pitiful
機嫌 (きげん)	humour	to like	pitiful	entry 
気に入る (きにいる)	to like	pitiful	entry 	to occur
気の毒 (きのどく)	pitiful	entry 	to occur	to go against
記入 (きにゅう)	entry 	to occur	to go against	to exert
起こる (おこる)	to occur	to go against	to exert	to rescue from
逆らう (さからう)	to go against	to exert	to rescue from	to leave
及ぼす (およぼす)	to exert	to rescue from	to leave	nodding off 
救う (すくう)	to rescue from	to leave	nodding off 	emphasis
去る (さる)	to leave	nodding off 	emphasis	perhaps
居眠り (いねむり)	nodding off 	emphasis	perhaps	terrible
強調 (きょうちょう)	emphasis	perhaps	terrible	to go mad 
おそらく (恐らく)	perhaps	terrible	to go mad 	painful
恐ろしい (おそろしい)	terrible	to go mad 	painful	to suffer
狂う (くるう)	to go mad 	painful	to suffer	to pass 
苦しい (くるしい)	painful	to suffer	to pass 	determination
苦しむ (くるしむ)	to suffer	to pass 	determination	ticket
経つ (たつ)	to pass 	determination	ticket	to hate
決心 (けっしん)	determination	ticket	to hate	estimate
券 (けん)	ticket	to hate	estimate	wise
嫌う (きらう)	to hate	estimate	wise	eaves 
見当 (けんとう)	estimate	wise	eaves 	to abate
賢い (かしこい)	wise	eaves 	to abate	to decrease 
軒 (のき)	eaves 	to abate	to decrease 	to appear
減らす (へらす)	to abate	to decrease 	to appear	language 
減る (へる)	to decrease 	to appear	language 	to like
現れる (あらわれる)	to appear	language 	to like	happiness
語 (ご)	language 	to like	happiness	furthermore
好む (このむ)	to like	happiness	furthermore	coin 
幸い (さいわい)	happiness	furthermore	coin 	manners
さらに (更に)	furthermore	coin 	manners	sign
硬貨 (こうか)	coin 	manners	sign	blackboard
行儀 (ぎょうぎ)	manners	sign	blackboard	before long
合図 (あいず)	sign	blackboard	before long	chain
黒板 (こくばん)	blackboard	before long	chain	produce 
今に (いまに)	before long	chain	produce 	to ask
鎖 (くさり)	chain	produce 	to ask	to point 
作物 (さくもつ)	produce 	to ask	to point 	preparation
伺う (うかがう)	to ask	to point 	preparation	to arrive at 
指す (さす)	to point 	preparation	to arrive at 	trial
支度 (したく)	preparation	to arrive at 	trial	to attempt
至る (いたる)	to arrive at 	trial	to attempt	to keep 
試し (ためし)	trial	to attempt	to keep 	to suit
試す (ためす)	to attempt	to keep 	to suit	depending on 
飼う (かう)	to keep 	to suit	depending on 	to resign
似合う (にあう)	to suit	depending on 	to resign	to pick up 
次第 (しだい)	depending on 	to resign	to pick up 	magic 
辞める (やめる)	to resign	to pick up 	magic 	to obey 
取り上げる (とりあげる)	to pick up 	magic 	to obey 	to congratulate
手品 (てじな)	magic 	to obey 	to congratulate	as much as one can
従う (したがう)	to obey 	to congratulate	as much as one can	to state
祝う (いわう)	to congratulate	as much as one can	to state	study
できるだけ (出来るだけ)	as much as one can	to state	study	to save
述べる (のべる)	to state	study	to save	proceeding to the capital 
書斎 (しょさい)	study	to save	proceeding to the capital 	improvement 
助ける (たすける)	to save	proceeding to the capital 	improvement 	superior
上京 (じょうきょう)	proceeding to the capital 	improvement 	superior	to hand over
上達 (じょうたつ)	improvement 	superior	to hand over	buttocks
上等 (じょうとう)	superior	to hand over	buttocks	to stretch
譲る (ゆずる)	to hand over	buttocks	to stretch	to believe
尻 (しり)	buttocks	to stretch	to believe	to wave
伸びる (のびる)	to stretch	to believe	to wave	to apply for
信じる (しんじる)	to believe	to wave	to apply for	apology
振る (ふる)	to wave	to apply for	apology	serious
申し込む (もうしこむ)	to apply for	apology	serious	imitating
申し訳 (もうしわけ)	apology	serious	imitating	serious
真剣 (しんけん)	serious	imitating	serious	close 
真似 (まね)	imitating	serious	close 	relative
真面目 (まじめ)	serious	close 	relative	crowd of people
親しい (したしい)	close 	relative	crowd of people	rubbish
親戚 (しんせき)	relative	crowd of people	rubbish	to get drunk
人ごみ (ひとごみ)	crowd of people	rubbish	to get drunk	very
ごみ (塵)	rubbish	to get drunk	very	to count
酔う (よう)	to get drunk	very	to count	exactly
ずいぶん (随分)	very	to count	exactly	accurate
数える (かぞえる)	to count	exactly	accurate	to produce
まさに (正に)	exactly	accurate	to produce	to pile up
正確 (せいかく)	accurate	to produce	to pile up	to condemn
生じる (しょうじる)	to produce	to pile up	to condemn	not at all 
積もる (つもる)	to pile up	to condemn	not at all 	coarse
責める (せめる)	to condemn	not at all 	coarse	crude
全然 (ぜんぜん)	not at all 	coarse	crude	lovely
粗い (あらい)	coarse	crude	lovely	to cross 
粗末 (そまつ)	crude	lovely	to cross 	to raise
素敵 (すてき)	lovely	to cross 	to raise	mouse
組む (くむ)	to cross 	to raise	mouse	frost
訴える (うったえる)	to raise	mouse	frost	to increase
ねずみ (鼠)	mouse	frost	to increase	that is
霜 (しも)	frost	to increase	that is	bundle
増す (ます)	to increase	that is	bundle	sleeve 
すなわち (即ち)	that is	bundle	sleeve 	respect
束 (たば)	bundle	sleeve 	respect	no good
袖 (そで)	sleeve 	respect	no good	landlord
尊敬 (そんけい)	respect	no good	landlord	to reach
だめ (駄目)	no good	landlord	to reach	someone
大屋 (おおや)	landlord	to reach	someone	intelligence
達する (たっする)	to reach	someone	intelligence	horizon 
誰か (だれか)	someone	intelligence	horizon 	lateness
知能 (ちのう)	intelligence	horizon 	lateness	to look at
地平線 (ちへいせん)	horizon 	lateness	to look at	receiving
遅刻 (ちこく)	lateness	to look at	receiving	to sink
眺める (ながめる)	to look at	receiving	to sink	to be open 
頂戴 (ちょうだい)	receiving	to sink	to be open 	to stick through
沈む (しずむ)	to sink	to be open 	to stick through	to go past
通じる (つうじる)	to be open 	to stick through	to go past	stop 
通す (とおす)	to stick through	to go past	stop 	degree
通り過ぎる (とおりすぎる)	to go past	stop 	degree	to fit
停留所 (ていりゅうじょ)	stop 	degree	to fit	moderate 
ほど (程)	degree	to fit	moderate 	rabbit
適する (てきする)	to fit	moderate 	rabbit	to throw down
適度 (てきど)	moderate 	rabbit	to throw down	to be hit
うさぎ (兎)	rabbit	to throw down	to be hit	equal
倒す (たおす)	to throw down	to be hit	equal	examination paper
当たる (あたる)	to be hit	equal	examination paper	to move
等しい (ひとしい)	equal	examination paper	to move	verb
答案 (とうあん)	examination paper	to move	verb	to be able to ...
動かす (うごかす)	to move	verb	to be able to ...	rope
動詞 (どうし)	verb	to be able to ...	rope	to recognize
得る (うる)	to be able to ...	rope	to recognize	being enthusiastic about
縄 (なわ)	rope	to recognize	being enthusiastic about	whole year
認める (みとめる)	to recognize	being enthusiastic about	whole year	to burn
熱中 (ねっちゅう)	being enthusiastic about	whole year	to burn	to be worried
年中 (ねんじゅう)	whole year	to burn	to be worried	deep 
燃える (もえる)	to burn	to be worried	deep 	departure 
悩む (なやむ)	to be worried	deep 	departure 	invention 
濃い (こい)	deep 	departure 	invention 	hair 
発車 (はっしゃ)	departure 	invention 	hair 	to punish
発明 (はつめい)	invention 	hair 	to punish	opposition
髪の毛 (かみのけ)	hair 	to punish	opposition	to be sad
罰する (ばっする)	to punish	opposition	to be sad	to put on 
反抗 (はんこう)	opposition	to be sad	to put on 	to let fly
悲しむ (かなしむ)	to be sad	to put on 	to let fly	knee 
かぶる (被る)	to put on 	to let fly	knee 	string
飛ばす (とばす)	to let fly	knee 	string	second 
膝 (ひざ)	knee 	string	second 	poor
紐 (ひも)	string	second 	poor	wrong
秒 (びょう)	second 	poor	wrong	discontent
貧しい (まずしい)	poor	wrong	discontent	to rot
不可 (ふか)	wrong	discontent	to rot	sounds
不平 (ふへい)	discontent	to rot	sounds	to close 
腐る (くさる)	to rot	sounds	to close 	habit 
物音 (ものおと)	sounds	to close 	habit 	on the bank of
閉じる (とじる)	to close 	habit 	on the bank of	to be caught
癖 (くせ)	habit 	on the bank of	to be caught	to live
あたり (辺り)	on the bank of	to be caught	to live	bundle
つかまる (捕まる)	to be caught	to live	bundle	to release
暮らす (くらす)	to live	bundle	to release	to defend against
包み (つつみ)	bundle	to release	to defend against	emergency
放す (はなす)	to release	to defend against	emergency	absorbed in
防ぐ (ふせぐ)	to defend against	emergency	absorbed in	without 
万一 (まんいち)	emergency	absorbed in	without 	futility
夢中 (むちゅう)	absorbed in	without 	futility	to order
なし (無し)	without 	futility	to order	lost child
無駄 (むだ)	futility	to order	lost child	to put back
命じる (めいじる)	to order	lost child	to put back	to receive
迷子 (まいご)	lost child	to put back	to receive	trouble
戻す (もどす)	to put back	to receive	trouble	approximately
もらう (貰う)	to receive	trouble	approximately	pleasant
厄介 (やっかい)	trouble	approximately	pleasant	ordinary
約 (やく)	approximately	pleasant	ordinary	able
愉快 (ゆかい)	pleasant	ordinary	able	expectation
ただ (唯)	ordinary	able	expectation	extra
有能 (ゆうのう)	able	expectation	extra	to give 
予期 (よき)	expectation	extra	to give 	to leave 
余分 (よぶん)	extra	to give 	to leave 	very young 
与える (あたえる)	to give 	to leave 	very young 	to use
預ける (あずける)	to leave 	very young 	to use	care
幼い (おさない)	very young 	to use	care	gist
用いる (もちいる)	to use	care	gist	cheerful
用心 (ようじん)	care	gist	cheerful	clever
要点 (ようてん)	gist	cheerful	clever	to betray
陽気 (ようき)	cheerful	clever	to betray	to separate
利口 (りこう)	clever	to betray	to separate	to stand up
裏切る (うらぎる)	to betray	to separate	to stand up	almost
離す (はなす)	to separate	to stand up	almost	to stream
立ち上がる (たちあがる)	to stand up	almost	to stream	change
ほぼ (略)	almost	to stream	change	manners
流れる (ながれる)	to stream	change	manners	to be inferior to
両替 (りょうがえ)	change	manners	to be inferior to	companion
礼儀 (れいぎ)	manners	to be inferior to	companion	association 
劣る (おとる)	to be inferior to	companion	association 	to discuss
連れ (つれ)	companion	association 	to discuss	armpit
連想 (れんそう)	association 	to discuss	armpit	luxury
論じる (ろんじる)	to discuss	armpit	luxury	to be 
脇 (わき)	armpit	luxury	to be 	in the middle of
贅沢 (ぜいたく)	luxury	to be 	in the middle of	to pour 
おる (居る)	to be 	in the middle of	to pour 	to fall down
最中 (さいちゅう)	in the middle of	to pour 	to fall down	months and years
注ぐ (そそぐ)	to pour 	to fall down	months and years	cheek 
転ぶ (ころぶ)	to fall down	months and years	cheek 	to get tired of
年月 (としつき)	months and years	cheek 	to get tired of	a certain ...
頬 (ほお)	cheek 	to get tired of	a certain ...	memorization
飽きる (あきる)	to get tired of	a certain ...	memorization	to catch up 
ある (或)	a certain ...	memorization	to catch up 	to dedicate
暗記 (あんき)	memorization	to catch up 	to dedicate	to fear
追いつく (おいつく)	to catch up 	to dedicate	to fear	to replace 
収める (おさめる)	to dedicate	to fear	to replace 	basket 
恐れる (おそれる)	to fear	to replace 	basket 	good luck
換える (かえる)	to replace 	basket 	good luck	to freeze
かご (籠)	basket 	good luck	to freeze	parcel
幸運 (こううん)	good luck	to freeze	parcel	just a minute
凍る (こおる)	to freeze	parcel	just a minute	to recommend 
小包 (こづつみ)	parcel	just a minute	to recommend 	tedium
少々 (しょうしょう)	just a minute	to recommend 	tedium	to make war 
勧める (すすめる)	to recommend 	tedium	to make war 	example 
退屈 (たいくつ)	tedium	to make war 	example 	often
戦う (たたかう)	to make war 	example 	often	to rely on
例え (たとえ)	example 	often	to rely on	to meet 
たびたび (度々)	often	to rely on	to meet 	throat 
頼る (たよる)	to rely on	to meet 	throat 	to grow long 
出会う (であう)	to meet 	throat 	to grow long 	to measure
のど (喉)	throat 	to grow long 	to measure	violent
伸ばす (のばす)	to grow long 	to measure	violent	fool
計る (はかる)	to measure	violent	fool	to pull
激しい (はげしい)	violent	fool	to pull	to spread 
ばか (馬鹿)	fool	to pull	to spread 	to be full 
引っ張る (ひっぱる)	to pull	to spread 	to be full 	cavity
広がる (ひろがる)	to spread 	to be full 	cavity	to be grounded on
満ちる (みちる)	to be full 	cavity	to be grounded on	to employ 
虫歯 (むしば)	cavity	to be grounded on	to employ 	rule
基づく (もとづく)	to be grounded on	to employ 	rule	to face 
雇う (やとう)	to employ 	rule	to face 	that is to say
決まり (きまり)	rule	to face 	that is to say	just 
対する (たいする)	to face 	that is to say	just 	scene
つまり (詰まり)	that is to say	just 	scene	why
途端 (とたん)	just 	scene	why	one by one
眺め (ながめ)	scene	why	one by one	ice cream
なんで (何で)	why	one by one	ice cream	iron 
一人一人 (ひとりひとり)	one by one	ice cream	iron 	out 
アイスクリーム	ice cream	iron 	out 	album
アイロン	iron 	out 	album	ink
アウト	out 	album	ink	energy 
アルバム	album	ink	energy 	engine
インク	ink	energy 	engine	card 
エネルギー	energy 	engine	card 	camp
エンジン	engine	card 	camp	classical music 
カード	card 	camp	classical music 	cream
キャンプ	camp	classical music 	cream	Christmas
クラシック	classical music 	cream	Christmas	glass 
クリーム	cream	Christmas	glass 	group 
クリスマス	Christmas	glass 	group 	case 
グラス	glass 	group 	case 	game
グループ	group 	case 	game	coach
ケース	case 	game	coach	code 
ゲーム	game	coach	code 	goal
コーチ	coach	code 	goal	service
コード	code 	goal	service	autograph
ゴール	goal	service	autograph	juice 
サービス	service	autograph	juice 	Western soup
サイン	autograph	juice 	Western soup	switch
ジュース	juice 	Western soup	switch	skiing 
スープ	Western soup	switch	skiing 	skating 
スイッチ	switch	skiing 	skating 	star 
スキー	skiing 	skating 	star 	figure
スケート	skating 	star 	figure	stands
スター	star 	figure	stands	speech
スタイル	figure	stands	speech	set 
スタンド	stands	speech	set 	centre
スピーチ	speech	set 	centre	typewriter
セット	set 	centre	typewriter	towel
センター	centre	typewriter	towel	diamond 
タイプライター	typewriter	towel	diamond 	dance
タオル	towel	diamond 	dance	cheese 
ダイヤ	diamond 	dance	cheese 	team
ダンス	dance	cheese 	team	chance
チーズ	cheese 	team	chance	tent
チーム	team	chance	tent	date
チャンス	chance	tent	date	demonstration
テント	tent	date	demonstration	top 
デート	date	demonstration	top 	truck
デモ	demonstration	top 	truck	playing cards
トップ	top 	truck	playing cards	tunnel 
トラック	truck	playing cards	tunnel 	drive
トランプ	playing cards	tunnel 	drive	drama 
トンネル	tunnel 	drive	drama 	dress
ドライブ	drive	drama 	dress	knock
ドラマ	drama 	dress	knock	hiking
ドレス	dress	knock	hiking	handsome
ノック	knock	hiking	handsome	violin
ハイキング	hiking	handsome	violin	bag
ハンサム	handsome	violin	bag	percent
バイオリン	violin	bag	percent	pipe
バッグ	bag	percent	pipe	pilot
パーセント	percent	pipe	pilot	passport
パイプ	pipe	pilot	passport	video
パイロット	pilot	passport	video	picnic
パスポート	passport	video	picnic	pin 
ビデオ	video	picnic	pin 	brake
ピクニック	picnic	pin 	brake	plus
ピン	pin 	brake	plus	plan
ブレーキ	brake	plus	plan	professional
プラス	plus	plan	professional	belt 
プラン	plan	professional	belt 	bench
プロ	professional	belt 	bench	paint
ベルト	belt 	bench	paint	platform 
ベンチ	bench	paint	platform 	boy 
ペンキ	paint	platform 	boy 	boat
