아	啊	不是	嘿	呃
여기저기	這里和那裡	妹妹	女士	女性
여동생	妹妹	女士	女性	女學生
여러	一些	老	這個	沒有
여러분	每位	我們	這個	個人
여보세요	喂（電話用語）	是的	哇	嗯
여성	女士	女性	女學生	旅行
여자	女性	女學生	旅行	旅行社
여쭙다	請教	開	開著	上漲
여학생	女學生	旅行	旅行社	旅行目的地
여행	旅行	旅行社	旅行目的地	車站
여행사	旅行社	旅行目的地	車站	歷史
여행지	旅行目的地	車站	歷史	連結
역	車站	歷史	連結	話劇
역사	歷史	連結	話劇	給聯絡
역시	還是	用心地	很久	完全
연결	連結	話劇	給聯絡	聯絡處
연극	話劇	給聯絡	聯絡處	年末
연락	給聯絡	聯絡處	年末	年紀
연락처	聯絡處	年末	年紀	練習
연말	年末	年紀	練習	藝人
연세	年紀	練習	藝人	鉛筆
연습	練習	藝人	鉛筆	連假
연예인	藝人	鉛筆	連假	燒
연필	鉛筆	連假	燒	鑰匙
연휴	連假	燒	鑰匙	火車
열	燒	鑰匙	火車	十天
열다	開	開著	上漲	爬上去
열리다	開著	上漲	爬上去	爬上來
열쇠	鑰匙	火車	十天	明信片
열심히	用心地	很久	完全	為什麼
열차	火車	十天	明信片	英國
열흘	十天	明信片	英國	收據
엽서	明信片	英國	收據	英語
영국	英國	收據	英語	零下
영수증	收據	英語	零下	電影
영어	英語	零下	電影	電影演員
영하	零下	電影	電影演員	旁邊
영화	電影	電影演員	旁邊	住隔壁
영화배우	電影演員	旁邊	住隔壁	預售
옆	旁邊	住隔壁	預售	藝術
옆집	住隔壁	預售	藝術	預習
예	是的	哇	嗯	不是
예매	預售	藝術	預習	預訂
예쁘다	漂亮	久遠	正確	孤單
예술	藝術	預習	預訂	很久以前
예습	預習	預訂	很久以前	好久不見
예약	預訂	很久以前	好久不見	最近
옛	老	這個	沒有	兩
옛날	很久以前	馬上	最近	最後
오래	很久	完全	為什麼	因為
오래간만	好久不見	不久前	馬上	柳橙
오래되다	久遠	正確	孤單	這樣的
오랜만	好久不見	很久	柳橙	右手
오랫동안	很久	柳橙	右手	右邊
오렌지	柳橙	右手	右邊	哥哥
오르다	上漲	爬上去	爬上來	下來
오른손	右手	右邊	哥哥	黃瓜
오른쪽	右邊	哥哥	黃瓜	溫度
오빠	哥哥	黃瓜	溫度	閣下
오이	黃瓜	溫度	閣下	奧林匹克競賽
온도	溫度	閣下	奧林匹克競賽	衣服
올라가다	爬上去	爬上來	上漲	記
올라오다	爬上來	上漲	記	哭
올리다	上漲	記	哭	身體
올림	閣下	奧林匹克競賽	衣服	衣架
올림픽	奧林匹克競賽	衣服	衣架	衣櫃
옳다	正確	孤單	這樣的	早
옷	衣服	衣架	衣櫃	襯衫
옷걸이	衣架	衣櫃	襯衫	國王
옷장	衣櫃	襯衫	國王	國外
와	哇	嗯	是的	沒有
와이셔츠	襯衫	國王	國外	外語
완전히	完全	為什麼	因為	首先
왕	國王	國外	外語	外國人
왜	為什麼	因為	首先	待會
왜냐하면	因為	首先	待會	已經
외국	國外	外語	外國人	外出
외국어	外語	外國人	外出	左手
외국인	外國人	外出	左手	左邊
외롭다	孤單	這樣的	早	習慣
외우다	記	哭	身體	笑
외출	外出	左手	左邊	費用
왼손	左手	左邊	費用	料理方法
왼쪽	左邊	費用	料理方法	廚師
요금	費用	料理方法	廚師	星期
요리	料理方法	廚師	星期	最近
요리사	廚師	星期	最近	烏龍麵
요일	星期	最近	烏龍麵	我們國家
요즘	最近	烏龍麵	我們國家	傘
우동	烏龍麵	我們國家	傘	牛奶
우리	我們	你們	這個	這個地方
우리나라	我們國家	傘	牛奶	郵票
우산	傘	牛奶	郵票	運動
우선	首先	待會	已經	早起
우유	牛奶	郵票	運動	運動服
우표	郵票	運動	運動服	操場
운동	運動	運動服	操場	運動鞋
운동복	運動服	操場	運動鞋	駕駛
운동장	操場	運動鞋	駕駛	司機
운동화	運動鞋	駕駛	司機	蔚山
운전	駕駛	司機	蔚山	哭
운전사	司機	蔚山	哭	笑
울다	哭	身體	笑	求
울산	蔚山	哭	笑	連身裙
울음	哭	笑	連身裙	薪水
움직이다	身體	笑	求	贏
웃다	笑	求	贏	成熟
웃음	笑	連身裙	薪水	上面
원	-元	套房	原理	申請書
원피스	連身裙	薪水	上面	套房
원하다	求	贏	成熟	認同
월급	薪水	上面	下面	位置
위	上面	下面	位置	危險
위쪽	上面	位置	危險	玻璃
위치	位置	危險	玻璃	有名
위험	危險	玻璃	有名	幼兒園
유리	玻璃	有名	幼兒園	留學
유명	有名	幼兒園	留學	留學生
유치원	幼兒園	留學	留學生	流行
유학	留學	留學生	流行	天橋
유학생	留學生	流行	天橋	擲骰遊戲
유행	流行	天橋	擲骰遊戲	飲料
육교	天橋	擲骰遊戲	飲料	地下道
윷놀이	擲骰遊戲	玩具	飲料	食物
음	嗯	是的	沒有	哎
음료	飲料	應用	食物	餐廳
음료수	飲料	食物	餐廳	音樂
음식	食物	餐廳	音樂	音樂家
음식점	餐廳	音樂	音樂家	意義
음악	音樂	音樂家	意義	醫生
음악가	音樂家	意義	醫生	椅子
응	是的	沒有	哎	天哪
의미	意義	醫生	椅子	牙
의사	醫生	椅子	牙	當天
의자	椅子	牙	當天	機會
이	牙	當天	機會	姓名
이거	這個	那個	這個地方	這位
이것	這個	這個地方	這位	這邊
이곳	這個地方	這位	這邊	某某人
이기다	贏	成熟	認同	起床
이날	當天	機會	姓名	額頭
이다	是	機會	姓名	額頭
이따가	待會	已經	早起	可能
이때	機會	姓名	額頭	姨媽
이런	這個	沒有	兩	很久
이렇다	這樣的	早	習慣	捨不得
이르다	早	說	連接	弄熟
이름	姓名	額頭	姨媽	這周
이마	額頭	姨媽	這周	被子
이모	姨媽	這周	被子	搬家
이미	已經	早起	可能	總是
이번	這周	被子	搬家	搬家行李
이분	這位	這邊	某某人	我
이불	被子	搬家	搬家行李	以上
이사	搬家	搬家行李	以上	異常
이삿짐	搬家行李	以上	異常	故事
이상	以上	異常	故事	利用
이상	異常	異常	故事	利用
이야기	故事	利用	鄰近	理由
이용	利用	鄰近	理由	以前
이웃	鄰近	理由	以前	兩天
이유	理由	以前	兩天	理解
이전	以前	兩天	理解	以後
이제	現在	昨天	一整天	滿腦子
이쪽	這邊	某某人	我	那個
이틀	兩天	理解	以後	人氣
이해	理解	以後	人氣	印度尼西亞
이후	以後	人氣	印度尼西亞	問候
익다	成熟	認同	起床	起來
익숙하다	習慣	捨不得	無所謂	不熟
인기	人氣	印度尼西亞	問候	人參
인도네시아	印度尼西亞	問候	人參	仁川
인분	-人份	問候	人參	仁川
인사	問候	人參	仁川	網路
인삼	人參	仁川	網路	娃娃
인정받다	認同	起床	起來	讀
인천	仁川	網路	娃娃	工作
인터넷	網路	娃娃	工作	日記
인형	娃娃	工作	日記	日本
일	工作	日記	日本	部份
일	-天	日記	日本	部份
일기	日記	日本	部份	日式食物
일본	日本	部份	日式食物	日式餐廳
일부	部份	日式食物	日式餐廳	一周
일식	日式食物	日式餐廳	一周	口
일식집	日式餐廳	一周	口	入口
일어나다	起床	起來	讀	丟失
일어서다	起來	讀	丟失	睡
일주일	一周	口	入口	嘴唇
일찍	早起	可能	總是	無論如何
읽다	讀	問	丟失	忘記
잃다	丟失	找到	忘記	想起
잃어버리다	丟失	找到	忘記	省
입	口	入口	嘴唇	入院
입구	入口	嘴唇	入院	入場卷
입술	嘴唇	入院	入場卷	入學
입원	入院	入場卷	入學	入學考試
입장권	入場卷	入學	入學考試	葉子
입학	入學	入學考試	葉子	嬰兒
입학시험	入學考試	葉子	嬰兒	孩子
있다	在家	困	偶爾	滿滿地
잊다	忘記	捕捉	省	擁抱
잊어버리다	忘記	省	擁抱	想起
잎	葉子	嬰兒	孩子	兒子
