definite	(adj) 明確的,確切的	(adj) 絕對的;完全的	(adj) 抽象的	(adj) 學術的
continuous	(adj) 連續的,不斷的	(adj) 相反的,對立的	(adj) 習慣的,慣例的	(adj) 合作的;合作社的
contrary	(adj) 相反的,對立的	(adj) 習慣的,慣例的	(adj) 合作的;合作社的	(adj) 相反的;反對的;對立的
conventional	(adj) 習慣的,慣例的	(adj) 合作的;合作社的	(adj) 相反的;反對的;對立的	(adj) 英勇的,勇敢的
cooperative	(adj) 合作的;合作社的	(adj) 相反的;反對的;對立的	(adj) 英勇的,勇敢的	(adj) 有禮貌的
counter	(adj) 相反的;反對的;對立的	(adj) 英勇的,勇敢的	(adj) 有禮貌的	(adj) 緊要的,關鍵性的,危急的
courageous	(adj) 英勇的,勇敢的	(adj) 有禮貌的	(adj) 緊要的,關鍵性的,危急的	(adj) 狡猾的,奸詐的
courteous	(adj) 有禮貌的	(adj) 緊要的,關鍵性的,危急的	(adj) 狡猾的,奸詐的	(adj) 有濕氣的;潮濕的
critical	(adj) 緊要的,關鍵性的,危急的	(adj) 狡猾的,奸詐的	(adj) 有濕氣的;潮濕的	(adj) 可防禦的;可辯護的
cunning	(adj) 狡猾的,奸詐的	(adj) 有濕氣的;潮濕的	(adj) 可防禦的;可辯護的	(adj) 防禦的
damp	(adj) 有濕氣的;潮濕的	(adj) 可防禦的;可辯護的	(adj) 防禦的	(adj) 易碎的;嬌貴的
defensible	(adj) 可防禦的;可辯護的	(adj) 防禦的	(adj) 易碎的;嬌貴的	(adj) 令人愉快的,令人高興的
defensive	(adj) 防禦的	(adj) 易碎的;嬌貴的	(adj) 令人愉快的,令人高興的	(adj) 密集的,稠密的
delicate	(adj) 易碎的;嬌貴的	(adj) 令人愉快的,令人高興的	(adj) 密集的,稠密的	(adj) 可靠的;可信任的
delightful	(adj) 令人愉快的,令人高興的	(adj) 密集的,稠密的	(adj) 可靠的;可信任的	(adj) 依靠的;依賴的
dense	(adj) 密集的,稠密的	(adj) 可靠的;可信任的	(adj) 依靠的;依賴的	(adj) 極度渴望的
dependable	(adj) 可靠的;可信任的	(adj) 依靠的;依賴的	(adj) 極度渴望的	(adj) 偵查用的;探測用的
dependent	(adj) 依靠的;依賴的	(adj) 極度渴望的	(adj) 偵查用的;探測用的	(adj) 數字的
desperate	(adj) 極度渴望的	(adj) 偵查用的;探測用的	(adj) 數字的	(adj) 與其他不同的
detective	(adj) 偵查用的;探測用的	(adj) 數字的	(adj) 與其他不同的	(adj) 卓越的;著名的
digital	(adj) 數字的	(adj) 與其他不同的	(adj) 卓越的;著名的	(adj) 神授的,天賜的
distinct	(adj) 與其他不同的	(adj) 卓越的;著名的	(adj) 神授的,天賜的	(adj) 佔優勢的,支配的,統治的
distinguished	(adj) 卓越的;著名的	(adj) 神授的,天賜的	(adj) 佔優勢的,支配的,統治的	(adj) 經久的,耐用的
divine	(adj) 神授的,天賜的	(adj) 佔優勢的,支配的,統治的	(adj) 經久的,耐用的	(adj) 滿是灰塵的
dominant	(adj) 佔優勢的,支配的,統治的	(adj) 經久的,耐用的	(adj) 滿是灰塵的	(adj) 動態的
durable	(adj) 經久的,耐用的	(adj) 滿是灰塵的	(adj) 動態的	(adj) 誠摯的;熱心的
dusty	(adj) 滿是灰塵的	(adj) 動態的	(adj) 誠摯的;熱心的	(adj) 經濟上的;經濟學的
dynamic	(adj) 動態的	(adj) 誠摯的;熱心的	(adj) 經濟上的;經濟學的	(adj) 經濟的,節約的
earnest	(adj) 誠摯的;熱心的	(adj) 經濟上的;經濟學的	(adj) 經濟的,節約的	(adj) 有彈性的,有彈力的
economic	(adj) 經濟上的;經濟學的	(adj) 經濟的,節約的	(adj) 有彈性的,有彈力的	(adj) 優美的,漂亮的
economical	(adj) 經濟的,節約的	(adj) 有彈性的,有彈力的	(adj) 優美的,漂亮的	(adj) 基本的;初級的,基礎的
elastic	(adj) 有彈性的,有彈力的	(adj) 優美的,漂亮的	(adj) 基本的;初級的,基礎的	(adj) 易動情的
elegant	(adj) 優美的,漂亮的	(adj) 基本的;初級的,基礎的	(adj) 易動情的	(adj) 巨大的
elementary	(adj) 基本的;初級的,基礎的	(adj) 易動情的	(adj) 巨大的	(adj) 嫉妒的;羨慕的
emotional	(adj) 易動情的	(adj) 巨大的	(adj) 嫉妒的;羨慕的	(adj) 必要的;實質的
enormous	(adj) 巨大的	(adj) 嫉妒的;羨慕的	(adj) 必要的;實質的	(adj) 最後的;結果的
envious	(adj) 嫉妒的;羨慕的	(adj) 必要的;實質的	(adj) 最後的;結果的	(adj) 明顯的;明白的
essential	(adj) 必要的;實質的	(adj) 最後的;結果的	(adj) 明顯的;明白的	(adj) 實驗性的;試驗性的
eventual	(adj) 最後的;結果的	(adj) 明顯的;明白的	(adj) 實驗性的;試驗性的	(adj) 爆炸(性)的;爆發性的
evident	(adj) 明顯的;明白的	(adj) 實驗性的;試驗性的	(adj) 爆炸(性)的;爆發性的	(adj) 臉的;面部的
experimental	(adj) 實驗性的;試驗性的	(adj) 爆炸(性)的;爆發性的	(adj) 臉的;面部的	(adj) 忠實的;忠誠的
explosive	(adj) 爆炸(性)的;爆發性的	(adj) 臉的;面部的	(adj) 忠實的;忠誠的	(adj) 奇妙的
facial	(adj) 臉的;面部的	(adj) 忠實的;忠誠的	(adj) 奇妙的	(adj) 致命的
faithful	(adj) 忠實的;忠誠的	(adj) 奇妙的	(adj) 致命的	(adj) 適合的
fantastic	(adj) 奇妙的	(adj) 致命的	(adj) 適合的	(adj) (土地)肥沃的,富饒的;受精的
fatal	(adj) 致命的	(adj) 適合的	(adj) (土地)肥沃的,富饒的;受精的	(adj) 兇猛的;殘酷的
favorable	(adj) 適合的	(adj) (土地)肥沃的,富饒的;受精的	(adj) 兇猛的;殘酷的	(adj) 財政的;金融的
fertile	(adj) (土地)肥沃的,富饒的;受精的	(adj) 兇猛的;殘酷的	(adj) 財政的;金融的	(adj) 可彎曲的;可變通的
fierce	(adj) 兇猛的;殘酷的	(adj) 財政的;金融的	(adj) 可彎曲的;可變通的	(adj) 流利的,流暢的
financial	(adj) 財政的;金融的	(adj) 可彎曲的;可變通的	(adj) 流利的,流暢的	(adj) 幸運的,僥倖的
flexible	(adj) 可彎曲的;可變通的	(adj) 流利的,流暢的	(adj) 幸運的,僥倖的	(adj) 化石的;守舊的
fluent	(adj) 流利的,流暢的	(adj) 幸運的,僥倖的	(adj) 化石的;守舊的	(adj) 香的
fortunate	(adj) 幸運的,僥倖的	(adj) 化石的;守舊的	(adj) 香的	(adj) 機能的;實用的
fossil	(adj) 化石的;守舊的	(adj) 香的	(adj) 機能的;實用的	(adj) 基礎的;根本的
fragrant	(adj) 香的	(adj) 機能的;實用的	(adj) 基礎的;根本的	(adj) 狂怒的
functional	(adj) 機能的;實用的	(adj) 基礎的;根本的	(adj) 狂怒的	(adj) 真的;非偽造的
fundamental	(adj) 基礎的;根本的	(adj) 狂怒的	(adj) 真的;非偽造的	(adj) 有天資的,有天賦的
furious	(adj) 狂怒的	(adj) 真的;非偽造的	(adj) 有天資的,有天賦的	(adj) 巨大的,龐大的
genuine	(adj) 真的;非偽造的	(adj) 有天資的,有天賦的	(adj) 巨大的,龐大的	(adj) 壯觀的,壯麗的
gifted	(adj) 有天資的,有天賦的	(adj) 巨大的,龐大的	(adj) 壯觀的,壯麗的	(adj) 優美的,雅緻的
gigantic	(adj) 巨大的,龐大的	(adj) 壯觀的,壯麗的	(adj) 優美的,雅緻的	(adj) 親切的;和藹的
glorious	(adj) 壯觀的,壯麗的	(adj) 優美的,雅緻的	(adj) 親切的;和藹的	(adj) 文法的;合乎文法的
graceful	(adj) 優美的,雅緻的	(adj) 親切的;和藹的	(adj) 文法的;合乎文法的	(adj) 感謝的,感激的
gracious	(adj) 親切的;和藹的	(adj) 文法的;合乎文法的	(adj) 感謝的,感激的	(adj) 嚴重的;嚴肅的,認真的
grammatical	(adj) 文法的;合乎文法的	(adj) 感謝的,感激的	(adj) 嚴重的;嚴肅的,認真的	(adj) 油膩的
grateful	(adj) 感謝的,感激的	(adj) 嚴重的;嚴肅的,認真的	(adj) 油膩的	(adj) 有罪的
grave	(adj) 嚴重的;嚴肅的,認真的	(adj) 油膩的	(adj) 有罪的	(adj) 習以為常的
greasy	(adj) 油膩的	(adj) 有罪的	(adj) 習以為常的	(adj) 粗糙的
guilty	(adj) 有罪的	(adj) 習以為常的	(adj) 粗糙的	(adj) 有益於健康的
habitual	(adj) 習以為常的	(adj) 粗糙的	(adj) 有益於健康的	(adj) 可尊敬的
harsh	(adj) 粗糙的	(adj) 有益於健康的	(adj) 可尊敬的	(adj) 抱有希望的
healthful	(adj) 有益於健康的	(adj) 可尊敬的	(adj) 抱有希望的	(adj) 完全相同的
honorable	(adj) 可尊敬的	(adj) 抱有希望的	(adj) 完全相同的	(adj) 無所事事的
hopeful	(adj) 抱有希望的	(adj) 完全相同的	(adj) 無所事事的	(adj) 無知的,不學無術的
identical	(adj) 完全相同的	(adj) 無所事事的	(adj) 無知的,不學無術的	(adj) 能想像的
idle	(adj) 無所事事的	(adj) 無知的,不學無術的	(adj) 能想像的	(adj) 虛構的;幻想的
ignorant	(adj) 無知的,不學無術的	(adj) 能想像的	(adj) 虛構的;幻想的	(adj) 虛構的;幻想的
imaginable	(adj) 能想像的	(adj) 虛構的;幻想的	(adj) 虛構的;幻想的	(adj) 有影響的
imaginary	(adj) 虛構的;幻想的	(adj) 虛構的;幻想的	(adj) 有影響的	(adj) 教育性的;有益的
imaginative	(adj) 虛構的;幻想的	(adj) 有影響的	(adj) 教育性的;有益的	(adj) 開始的,最初的
influential	(adj) 有影響的	(adj) 教育性的;有益的	(adj) 開始的,最初的	(adj) 智力的
informative	(adj) 教育性的;有益的	(adj) 開始的,最初的	(adj) 智力的	(adj) 有才智的
initial	(adj) 開始的,最初的	(adj) 智力的	(adj) 有才智的	(adj) 強烈的,劇烈的
intellectual	(adj) 智力的	(adj) 有才智的	(adj) 強烈的,劇烈的	(adj) 加強的;密集的
intelligent	(adj) 有才智的	(adj) 強烈的,劇烈的	(adj) 加強的;密集的	(adj) 中等程度的,中級的
intense	(adj) 強烈的,劇烈的	(adj) 加強的;密集的	(adj) 中等程度的,中級的	(adj) 親密的,熟悉的
intensive	(adj) 加強的;密集的	(adj) 中等程度的,中級的	(adj) 親密的,熟悉的	(adj) 年紀較輕的;資淺的三年級(生)的
intermediate	(adj) 中等程度的,中級的	(adj) 親密的,熟悉的	(adj) 年紀較輕的;資淺的三年級(生)的	(adj) 熱心的;敏銳的;渴望的
intimate	(adj) 親密的,熟悉的	(adj) 年紀較輕的;資淺的三年級(生)的	(adj) 熱心的;敏銳的;渴望的	(adj) 合法的
junior	(adj) 年紀較輕的;資淺的三年級(生)的	(adj) 熱心的;敏銳的;渴望的	(adj) 合法的	(adj) 精瘦的;貧乏的
keen	(adj) 熱心的;敏銳的;渴望的	(adj) 合法的	(adj) 精瘦的;貧乏的	(adj) 有學問的,博學的;精通的
lawful	(adj) 合法的	(adj) 精瘦的;貧乏的	(adj) 有學問的,博學的;精通的	(adj) 從容不迫的,悠閒的
lean	(adj) 精瘦的;貧乏的	(adj) 有學問的,博學的;精通的	(adj) 從容不迫的,悠閒的	(adj) 文學的,文藝的
learned	(adj) 有學問的,博學的;精通的	(adj) 從容不迫的,悠閒的	(adj) 文學的,文藝的	(adj) 合邏輯的;合理的
leisurely	(adj) 從容不迫的,悠閒的	(adj) 文學的,文藝的	(adj) 合邏輯的;合理的	(adj) 不潔的;卑鄙的;討厭的
literary	(adj) 文學的,文藝的	(adj) 合邏輯的;合理的	(adj) 不潔的;卑鄙的;討厭的	(adj) 忠誠的,忠心的
logical	(adj) 合邏輯的;合理的	(adj) 不潔的;卑鄙的;討厭的	(adj) 忠誠的,忠心的	(adj) 月的;陰曆的
lousy	(adj) 不潔的;卑鄙的;討厭的	(adj) 忠誠的,忠心的	(adj) 月的;陰曆的	(adj) 奢侈的;驕奢淫逸的
loyal	(adj) 忠誠的,忠心的	(adj) 月的;陰曆的	(adj) 奢侈的;驕奢淫逸的	(adj) 磁鐵的;磁性的
lunar	(adj) 月的;陰曆的	(adj) 奢侈的;驕奢淫逸的	(adj) 磁鐵的;磁性的	(adj) 壯麗的,宏偉的
luxurious	(adj) 奢侈的;驕奢淫逸的	(adj) 磁鐵的;磁性的	(adj) 壯麗的,宏偉的	(adj) 用手操作的
magnetic	(adj) 磁鐵的;磁性的	(adj) 壯麗的,宏偉的	(adj) 用手操作的	(adj) 最大限度的
magnificent	(adj) 壯麗的,宏偉的	(adj) 用手操作的	(adj) 最大限度的	(adj) 機械的
manual	(adj) 用手操作的	(adj) 最大限度的	(adj) 機械的	(adj) 值得懷念的;難忘的
maximum	(adj) 最大限度的	(adj) 機械的	(adj) 值得懷念的;難忘的	(adj) 追悼的;記憶的
mechanical	(adj) 機械的	(adj) 值得懷念的;難忘的	(adj) 追悼的;記憶的	(adj) 僅僅的,只不過的
memorable	(adj) 值得懷念的;難忘的	(adj) 追悼的;記憶的	(adj) 僅僅的,只不過的	(adj) 混亂的
memorial	(adj) 追悼的;記憶的	(adj) 僅僅的,只不過的	(adj) 混亂的	(adj) 溫和的,溫柔的
mere	(adj) 僅僅的,只不過的	(adj) 混亂的	(adj) 溫和的,溫柔的	(adj) 最小的,最少的
messy	(adj) 混亂的	(adj) 溫和的,溫柔的	(adj) 最小的,最少的	(adj) 悽慘的;悲哀的
mild	(adj) 溫和的,溫柔的	(adj) 最小的,最少的	(adj) 悽慘的;悲哀的	(adj) 中等的,適度的
minimum	(adj) 最小的,最少的	(adj) 悽慘的;悲哀的	(adj) 中等的,適度的	(adj) 審慎的;適度的
miserable	(adj) 悽慘的;悲哀的	(adj) 中等的,適度的	(adj) 審慎的;適度的	(adj) 每月的;每月一次的
moderate	(adj) 中等的,適度的	(adj) 審慎的;適度的	(adj) 每月的;每月一次的	(adj) 多山的;巨大的
modest	(adj) 審慎的;適度的	(adj) 每月的;每月一次的	(adj) 多山的;巨大的	(adj) 多爛泥的;泥濘的
monthly	(adj) 每月的;每月一次的	(adj) 多山的;巨大的	(adj) 多爛泥的;泥濘的	(adj) 複合的;多樣的
mountainous	(adj) 多山的;巨大的	(adj) 多爛泥的;泥濘的	(adj) 複合的;多樣的	(adj) 相互的;共同的
muddy	(adj) 多爛泥的;泥濘的	(adj) 複合的;多樣的	(adj) 相互的;共同的	(adj) 神祕的;不可思議的
multiple	(adj) 複合的;多樣的	(adj) 相互的;共同的	(adj) 神祕的;不可思議的	(adj) 近視的
mutual	(adj) 相互的;共同的	(adj) 神祕的;不可思議的	(adj) 近視的	(adj) 貧窮的
mysterious	(adj) 神祕的;不可思議的	(adj) 近視的	(adj) 貧窮的	(adj) 原子能的;細胞核的
nearsighted	(adj) 近視的	(adj) 貧窮的	(adj) 原子能的;細胞核的	(adj) 許多的,很多的
needy	(adj) 貧窮的	(adj) 原子能的;細胞核的	(adj) 許多的,很多的	(adj) 服從的,順從的
nuclear	(adj) 原子能的;細胞核的	(adj) 許多的,很多的	(adj) 服從的,順從的	(adj) 客觀的
numerous	(adj) 許多的,很多的	(adj) 服從的,順從的	(adj) 客觀的	(adj) 偶爾的,非經常的
obedient	(adj) 服從的,順從的	(adj) 客觀的	(adj) 偶爾的,非經常的	(adj) 冒犯的,唐突的
objective	(adj) 客觀的	(adj) 偶爾的,非經常的	(adj) 冒犯的,唐突的	(adj) 口頭的,口述的;口部的
occasional	(adj) 偶爾的,非經常的	(adj) 冒犯的,唐突的	(adj) 口頭的,口述的;口部的	(adj) 有機的
offensive	(adj) 冒犯的,唐突的	(adj) 口頭的,口述的;口部的	(adj) 有機的	(adj) 傑出的;未償付的
oral	(adj) 口頭的,口述的;口部的	(adj) 有機的	(adj) 傑出的;未償付的	(adj) 卵形的;橢圓形的
organic	(adj) 有機的	(adj) 傑出的;未償付的	(adj) 卵形的;橢圓形的	(adj) 通宵;整夜
outstanding	(adj) 傑出的;未償付的	(adj) 卵形的;橢圓形的	(adj) 通宵;整夜	(adj) 部分的,局部的;不完全的
oval	(adj) 卵形的;橢圓形的	(adj) 通宵;整夜	(adj) 部分的,局部的;不完全的	(adj) 被動的;消極的
overnight	(adj) 通宵;整夜	(adj) 部分的,局部的;不完全的	(adj) 被動的;消極的	(adj) 奇怪的;乖癖的
partial	(adj) 部分的,局部的;不完全的	(adj) 被動的;消極的	(adj) 奇怪的;乖癖的	(adj) 永久的,永恆的;永遠的
passive	(adj) 被動的;消極的	(adj) 奇怪的;乖癖的	(adj) 永久的,永恆的;永遠的	(adj) 有說服力的
peculiar	(adj) 奇怪的;乖癖的	(adj) 永久的,永恆的;永遠的	(adj) 有說服力的	(adj) 悲觀的
permanent	(adj) 永久的,永恆的;永遠的	(adj) 有說服力的	(adj) 悲觀的	(adj) 哲學的
persuasive	(adj) 有說服力的	(adj) 悲觀的	(adj) 哲學的	(adj) 身體的;物理學的
pessimistic	(adj) 悲觀的	(adj) 哲學的	(adj) 身體的;物理學的	(adj) 豐富的,充足的;多的
philosophical	(adj) 哲學的	(adj) 身體的;物理學的	(adj) 豐富的,充足的;多的	(adj) 複數的
physical	(adj) 身體的;物理學的	(adj) 豐富的,充足的;多的	(adj) 複數的	(adj) 有毒的;有害的
plentiful	(adj) 豐富的,充足的;多的	(adj) 複數的	(adj) 有毒的;有害的	(adj) 手提式的;輕便的
plural	(adj) 複數的	(adj) 有毒的;有害的	(adj) 手提式的;輕便的	(adj) 精確的;準確的
poisonous	(adj) 有毒的;有害的	(adj) 手提式的;輕便的	(adj) 精確的;準確的	(adj) 更可取的,更合意的
portable	(adj) 手提式的;輕便的	(adj) 精確的;準確的	(adj) 更可取的,更合意的	(adj) 懷孕的
precise	(adj) 精確的;準確的	(adj) 更可取的,更合意的	(adj) 懷孕的	(adj) 最初的;原始的;基本的
preferable	(adj) 更可取的,更合意的	(adj) 懷孕的	(adj) 最初的;原始的;基本的	(adj) 原始的;遠古的;早期的
pregnant	(adj) 懷孕的	(adj) 最初的;原始的;基本的	(adj) 原始的;遠古的;早期的	(adj) 生產的,生產性的
prime	(adj) 最初的;原始的;基本的	(adj) 原始的;遠古的;早期的	(adj) 生產的,生產性的	(adj) 職業性的
primitive	(adj) 原始的;遠古的;早期的	(adj) 生產的,生產性的	(adj) 職業性的	(adj) 有利的
productive	(adj) 生產的,生產性的	(adj) 職業性的	(adj) 有利的	(adj) 卓越的,著名的
professional	(adj) 職業性的	(adj) 有利的	(adj) 卓越的,著名的	(adj) 有希望的,有前途的
profitable	(adj) 有利的	(adj) 卓越的,著名的	(adj) 有希望的,有前途的	(adj) 敏捷的;即時的,即期的
prominent	(adj) 卓越的,著名的	(adj) 有希望的,有前途的	(adj) 敏捷的;即時的,即期的	(adj) 興旺的,繁榮的,昌盛的
promising	(adj) 有希望的,有前途的	(adj) 敏捷的;即時的,即期的	(adj) 興旺的,繁榮的,昌盛的	(adj) 心理的,精神的
prompt	(adj) 敏捷的;即時的,即期的	(adj) 興旺的,繁榮的,昌盛的	(adj) 心理的,精神的	(adj) 現實的
prosperous	(adj) 興旺的,繁榮的,昌盛的	(adj) 心理的,精神的	(adj) 現實的	(adj) 有關的;相對的
psychological	(adj) 心理的,精神的	(adj) 現實的	(adj) 有關的;相對的	(adj) 不情願的;勉強的
realistic	(adj) 現實的	(adj) 有關的;相對的	(adj) 不情願的;勉強的	(adj) 非凡的;卓越的
relative	(adj) 有關的;相對的	(adj) 不情願的;勉強的	(adj) 非凡的;卓越的	(adj) 值得尊敬的;體面的
reluctant	(adj) 不情願的;勉強的	(adj) 非凡的;卓越的	(adj) 值得尊敬的;體面的	(adj) 恭敬的;尊敬人的
remarkable	(adj) 非凡的;卓越的	(adj) 值得尊敬的;體面的	(adj) 恭敬的;尊敬人的	(adj) 革命的
respectable	(adj) 值得尊敬的;體面的	(adj) 恭敬的;尊敬人的	(adj) 革命的	(adj) 農村的;田園的
respectful	(adj) 恭敬的;尊敬人的	(adj) 革命的	(adj) 農村的;田園的	(adj) 年資較深的;四年級生的
revolutionary	(adj) 革命的	(adj) 農村的;田園的	(adj) 年資較深的;四年級生的	(adj) 嚴重的;劇烈的
rural	(adj) 農村的;田園的	(adj) 年資較深的;四年級生的	(adj) 嚴重的;劇烈的	(adj) 可恥的,丟臉的
senior	(adj) 年資較深的;四年級生的	(adj) 嚴重的;劇烈的	(adj) 可恥的,丟臉的	(adj) 近視的;目光短淺的,缺乏遠見的
severe	(adj) 嚴重的;劇烈的	(adj) 可恥的,丟臉的	(adj) 近視的;目光短淺的,缺乏遠見的	(adj) 單數的;獨個的
shameful	(adj) 可恥的,丟臉的	(adj) 近視的;目光短淺的,缺乏遠見的	(adj) 單數的;獨個的	(adj) 輕微的;微小的
shortsighted	(adj) 近視的;目光短淺的,缺乏遠見的	(adj) 單數的;獨個的	(adj) 輕微的;微小的	(adj) 太陽的;日光的
singular	(adj) 單數的;獨個的	(adj) 輕微的;微小的	(adj) 太陽的;日光的	(adj) 悲傷的;令人傷心的
slight	(adj) 輕微的;微小的	(adj) 太陽的;日光的	(adj) 悲傷的;令人傷心的	(adj) 多餘的,剩下的;空閒的
solar	(adj) 太陽的;日光的	(adj) 悲傷的;令人傷心的	(adj) 多餘的,剩下的;空閒的	(adj) 辛辣的;痛快的
sorrowful	(adj) 悲傷的;令人傷心的	(adj) 多餘的,剩下的;空閒的	(adj) 辛辣的;痛快的	(adj) 心靈的;崇高純潔的
spare	(adj) 多餘的,剩下的;空閒的	(adj) 辛辣的;痛快的	(adj) 心靈的;崇高純潔的	(adj) 燦爛的;傑出的
spicy	(adj) 辛辣的;痛快的	(adj) 心靈的;崇高純潔的	(adj) 燦爛的;傑出的	(adj) 小氣的
spiritual	(adj) 心靈的;崇高純潔的	(adj) 燦爛的;傑出的	(adj) 小氣的	(adj) 海底的
splendid	(adj) 燦爛的;傑出的	(adj) 小氣的	(adj) 海底的	(adj) 猜疑的,疑心的;多疑的
stingy	(adj) 小氣的	(adj) 海底的	(adj) 猜疑的,疑心的;多疑的	(adj) 同情的;有同情心的
submarine	(adj) 海底的	(adj) 猜疑的,疑心的;多疑的	(adj) 同情的;有同情心的	(adj) 有系統的;成體系的
suspicious	(adj) 猜疑的,疑心的;多疑的	(adj) 同情的;有同情心的	(adj) 有系統的;成體系的	(adj) 技術(學)的,工藝(學)的
sympathetic	(adj) 同情的;有同情心的	(adj) 有系統的;成體系的	(adj) 技術(學)的,工藝(學)的	(adj) 繃緊的
systematic	(adj) 有系統的;成體系的	(adj) 技術(學)的,工藝(學)的	(adj) 繃緊的	(adj) 徹底的;完全的
