distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
explore	(v) 探測;探勘	(v) 使暴露於	(v) 延長,延伸	(v) 盛宴款待
expose	(v) 使暴露於	(v) 延長,延伸	(v) 盛宴款待	(v) 用渡船運送
extend	(v) 延長,延伸	(v) 盛宴款待	(v) 用渡船運送	(v) (去)拿來
feast	(v) 盛宴款待	(v) 用渡船運送	(v) (去)拿來	(v) 籌措資金
ferry	(v) 用渡船運送	(v) (去)拿來	(v) 籌措資金	(v) 諂媚;奉承
fetch	(v) (去)拿來	(v) 籌措資金	(v) 諂媚;奉承	(v) 逃離;逃避
finance	(v) 籌措資金	(v) 諂媚;奉承	(v) 逃離;逃避	(v) 失敗;不及格
flatter	(v) 諂媚;奉承	(v) 逃離;逃避	(v) 失敗;不及格	(v) 湧;湧流;用水沖洗
flee	(v) 逃離;逃避	(v) 失敗;不及格	(v) 湧;湧流;用水沖洗	(v) 起泡沫
flunk	(v) 失敗;不及格	(v) 湧;湧流;用水沖洗	(v) 起泡沫	(v) 禁止,不許
flush	(v) 湧;湧流;用水沖洗	(v) 起泡沫	(v) 禁止,不許	(v) 預測
foam	(v) 起泡沫	(v) 禁止,不許	(v) 預測	(v) 給...裝框子
forbid	(v) 禁止,不許	(v) 預測	(v) 給...裝框子	(v) 結霜於
forecast	(v) 預測	(v) 給...裝框子	(v) 結霜於	(v) 皺眉;表示不滿
frame	(v) 給...裝框子	(v) 結霜於	(v) 皺眉;表示不滿	(v) 加燃料;加油
frost	(v) 結霜於	(v) 皺眉;表示不滿	(v) 加燃料;加油	(v) 履行(諾言等)
frown	(v) 皺眉;表示不滿	(v) 加燃料;加油	(v) 履行(諾言等)	(v) 給(房間)配置(傢俱等);供應;提供
fuel	(v) 加燃料;加油	(v) 履行(諾言等)	(v) 給(房間)配置(傢俱等);供應;提供	(v) 凝視,注視,盯
fulfill	(v) 履行(諾言等)	(v) 給(房間)配置(傢俱等);供應;提供	(v) 凝視,注視,盯	(v) 使適應,使適合
furnish	(v) 給(房間)配置(傢俱等);供應;提供	(v) 凝視,注視,盯	(v) 使適應,使適合	(v) 咯咯地笑;傻笑
gaze	(v) 凝視,注視,盯	(v) 使適應,使適合	(v) 咯咯地笑;傻笑	(v) 滑動,滑行
gear	(v) 使適應,使適合	(v) 咯咯地笑;傻笑	(v) 滑動,滑行	(v) 看一眼,瞥見
giggle	(v) 咯咯地笑;傻笑	(v) 滑動,滑行	(v) 看一眼,瞥見	(v) 使優美
glide	(v) 滑動,滑行	(v) 看一眼,瞥見	(v) 使優美	(v) 使悲傷;使苦惱
glimpse	(v) 看一眼,瞥見	(v) 使優美	(v) 使悲傷;使苦惱	(v) 磨(碎)
grace	(v) 使優美	(v) 使悲傷;使苦惱	(v) 磨(碎)	(v) 保證;擔保
grieve	(v) 使悲傷;使苦惱	(v) 磨(碎)	(v) 保證;擔保	(v) 停止;終止
grind	(v) 磨(碎)	(v) 保證;擔保	(v) 停止;終止	(v) 使變硬;使變堅固
guarantee	(v) 保證;擔保	(v) 停止;終止	(v) 使變硬;使變堅固	(v) 催促;加速;趕緊
halt	(v) 停止;終止	(v) 使變硬;使變堅固	(v) 催促;加速;趕緊	(v) 放牧
harden	(v) 使變硬;使變堅固	(v) 催促;加速;趕緊	(v) 放牧	(v) 度蜜月
hasten	(v) 催促;加速;趕緊	(v) 放牧	(v) 度蜜月	(v) 用鉤鉤住
herd	(v) 放牧	(v) 度蜜月	(v) 用鉤鉤住	(v) 使恐懼,使驚懼
honeymoon	(v) 度蜜月	(v) 用鉤鉤住	(v) 使恐懼,使驚懼	(v) 用軟管淋澆
hook	(v) 用鉤鉤住	(v) 使恐懼,使驚懼	(v) 用軟管淋澆	(v) 主辦,主持;以主人身分招待
horrify	(v) 使恐懼,使驚懼	(v) 用軟管淋澆	(v) 主辦,主持;以主人身分招待	(v) 確認;識別
hose	(v) 用軟管淋澆	(v) 主辦,主持;以主人身分招待	(v) 確認;識別	(v) 空轉
host	(v) 主辦,主持;以主人身分招待	(v) 確認;識別	(v) 空轉	(v) (用圖,實例等)說明
identify	(v) 確認;識別	(v) 空轉	(v) (用圖,實例等)說明	(v) 模仿
idle	(v) 空轉	(v) (用圖,實例等)說明	(v) 模仿	(v) 遷移;遷入
illustrate	(v) (用圖,實例等)說明	(v) 模仿	(v) 遷移;遷入	(v) 壓緊;擠滿
imitate	(v) 模仿	(v) 遷移;遷入	(v) 壓緊;擠滿	(v) 暗指;暗示;意味著
immigrate	(v) 遷移;遷入	(v) 壓緊;擠滿	(v) 暗指;暗示;意味著	(v) 使工業化
impact	(v) 壓緊;擠滿	(v) 暗指;暗示;意味著	(v) 使工業化	(v) 傳染;侵染;感染
imply	(v) 暗指;暗示;意味著	(v) 使工業化	(v) 傳染;侵染;感染	(v) 簽姓名的首字母於;草簽
industrialize	(v) 使工業化	(v) 傳染;侵染;感染	(v) 簽姓名的首字母於;草簽	(v) 將(資料等)輸入電腦
infect	(v) 傳染;侵染;感染	(v) 簽姓名的首字母於;草簽	(v) 將(資料等)輸入電腦	(v) 插入;嵌入
initial	(v) 簽姓名的首字母於;草簽	(v) 將(資料等)輸入電腦	(v) 插入;嵌入	(v) 鼓舞
input	(v) 將(資料等)輸入電腦	(v) 插入;嵌入	(v) 鼓舞	(v) 安裝,設置
insert	(v) 插入;嵌入	(v) 鼓舞	(v) 安裝,設置	(v) 指示
inspire	(v) 鼓舞	(v) 安裝,設置	(v) 指示	(v) 侮辱,羞辱
install	(v) 安裝,設置	(v) 指示	(v) 侮辱,羞辱	(v) 想要;打算
instruct	(v) 指示	(v) 侮辱,羞辱	(v) 想要;打算	(v) 加強,增強
insult	(v) 侮辱,羞辱	(v) 想要;打算	(v) 加強,增強	(v) 互相作用
intend	(v) 想要;打算	(v) 加強,增強	(v) 互相作用	(v) 介入;干涉,干預
intensify	(v) 加強,增強	(v) 互相作用	(v) 介入;干涉,干預	(v) 作中間人;干預
interact	(v) 互相作用	(v) 介入;干涉,干預	(v) 作中間人;干預	(v) 解釋
interfere	(v) 介入;干涉,干預	(v) 作中間人;干預	(v) 解釋	(v) 侵入,侵略
intermediate	(v) 作中間人;干預	(v) 解釋	(v) 侵入,侵略	(v) 投(資)
interpret	(v) 解釋	(v) 侵入,侵略	(v) 投(資)	(v) 使捲入,連累;牽涉
invade	(v) 侵入,侵略	(v) 投(資)	(v) 使捲入,連累;牽涉	(v) 使孤立
invest	(v) 投(資)	(v) 使捲入,連累;牽涉	(v) 使孤立	(v) 發癢
involve	(v) 使捲入,連累;牽涉	(v) 使孤立	(v) 發癢	(v) 用指關節敲打
isolate	(v) 使孤立	(v) 發癢	(v) 用指關節敲打	(v) 勞動;努力
itch	(v) 發癢	(v) 用指關節敲打	(v) 勞動;努力	(v) 落後;延遲
knuckle	(v) 用指關節敲打	(v) 勞動;努力	(v) 落後;延遲	(v) 在(一片土地)上造園
labor	(v) 勞動;努力	(v) 落後;延遲	(v) 在(一片土地)上造園	(v) 發射;開始
lag	(v) 落後;延遲	(v) 在(一片土地)上造園	(v) 發射;開始	(v) 倚,靠
landscape	(v) 在(一片土地)上造園	(v) 發射;開始	(v) 倚,靠	(v) 講課;訓斥
launch	(v) 發射;開始	(v) 倚,靠	(v) 講課;訓斥	(v) 許可,准許;發許可證給
lean	(v) 倚,靠	(v) 講課;訓斥	(v) 許可,准許;發許可證給	(v) 使光明,照亮
lecture	(v) 講課;訓斥	(v) 許可,准許;發許可證給	(v) 使光明,照亮	(v) 借出,貸與
license	(v) 許可,准許;發許可證給	(v) 使光明,照亮	(v) 借出,貸與	(v) (大量)製造,加工
lighten	(v) 使光明,照亮	(v) 借出,貸與	(v) (大量)製造,加工	(v) 把...帶錯方向;把...引入歧途
loan	(v) 借出,貸與	(v) (大量)製造,加工	(v) 把...帶錯方向;把...引入歧途	(v) 誤會;曲解
manufacture	(v) (大量)製造,加工	(v) 把...帶錯方向;把...引入歧途	(v) 誤會;曲解	(v) 監控;監聽;監測
mislead	(v) 把...帶錯方向;把...引入歧途	(v) 誤會;曲解	(v) 監控;監聽;監測	(v) 給...動機;刺激
misunderstand	(v) 誤會;曲解	(v) 監控;監聽;監測	(v) 給...動機;刺激	(v) 刈(草坪等)上的草
monitor	(v) 監控;監聽;監測	(v) 給...動機;刺激	(v) 刈(草坪等)上的草	(v) 私下抱怨,咕噥
motivate	(v) 給...動機;刺激	(v) 刈(草坪等)上的草	(v) 私下抱怨,咕噥	(v) 忽視,忽略
mow	(v) 刈(草坪等)上的草	(v) 私下抱怨,咕噥	(v) 忽視,忽略	(v) 談判,協商
murmur	(v) 私下抱怨,咕噥	(v) 忽視,忽略	(v) 談判,協商	(v) 仍然,不過,然而
neglect	(v) 忽視,忽略	(v) 談判,協商	(v) 仍然,不過,然而	(v) 得到,獲得
negotiate	(v) 談判,協商	(v) 仍然,不過,然而	(v) 得到,獲得	(v) 佔領,佔據
nevertheless	(v) 仍然,不過,然而	(v) 得到,獲得	(v) 佔領,佔據	(v) 冒犯;觸怒
obtain	(v) 得到,獲得	(v) 佔領,佔據	(v) 冒犯;觸怒	(v) 反對
occupy	(v) 佔領,佔據	(v) 冒犯;觸怒	(v) 反對	(v) 繞軌道運行
offend	(v) 冒犯;觸怒	(v) 反對	(v) 繞軌道運行	(v) 戰勝;克服
oppose	(v) 反對	(v) 繞軌道運行	(v) 戰勝;克服	(v) 眺望;俯瞰
orbit	(v) 繞軌道運行	(v) 戰勝;克服	(v) 眺望;俯瞰	(v) 追上;趕上;超過
overcome	(v) 戰勝;克服	(v) 眺望;俯瞰	(v) 追上;趕上;超過	(v) 打倒;推翻;廢除
overlook	(v) 眺望;俯瞰	(v) 追上;趕上;超過	(v) 打倒;推翻;廢除	(v) 踱步於
overtake	(v) 追上;趕上;超過	(v) 打倒;推翻;廢除	(v) 踱步於	(v) 傘降,跳傘
overthrow	(v) 打倒;推翻;廢除	(v) 踱步於	(v) 傘降,跳傘	(v) 踩踏板
pace	(v) 踱步於	(v) 傘降,跳傘	(v) 踩踏板	(v) 凝視,盯著看
parachute	(v) 傘降,跳傘	(v) 踩踏板	(v) 凝視,盯著看	(v) 使充滿香氣
pedal	(v) 踩踏板	(v) 凝視,盯著看	(v) 使充滿香氣	(v) 當先驅,成為開拓者
peer	(v) 凝視,盯著看	(v) 使充滿香氣	(v) 當先驅,成為開拓者	(v) 掠奪;剽竊
perfume	(v) 使充滿香氣	(v) 當先驅,成為開拓者	(v) 掠奪;剽竊	(v) 密謀,策劃;標繪
pioneer	(v) 當先驅,成為開拓者	(v) 掠奪;剽竊	(v) 密謀,策劃;標繪	(v) 磨光,擦亮
pirate	(v) 掠奪;剽竊	(v) 密謀,策劃;標繪	(v) 磨光,擦亮	(v) 畫;描寫
plot	(v) 密謀,策劃;標繪	(v) 磨光,擦亮	(v) 畫;描寫	(v) 擁有,持有;具有
polish	(v) 磨光,擦亮	(v) 畫;描寫	(v) 擁有,持有;具有	(v) 預言;預料
portray	(v) 畫;描寫	(v) 擁有,持有;具有	(v) 預言;預料	(v) 保存,保藏;防腐
