enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
chronic	(adj) (病)慢性的;(人)久病的;長期的	(adj) 臨床的;診所的	(adj) 一致的;條理清楚的;連貫的	(adj) 集體的;共同的
clinical	(adj) 臨床的;診所的	(adj) 一致的;條理清楚的;連貫的	(adj) 集體的;共同的	(adj) 口語的;會話的
coherent	(adj) 一致的;條理清楚的;連貫的	(adj) 集體的;共同的	(adj) 口語的;會話的	(adj) 愛說話的;交際的
collective	(adj) 集體的;共同的	(adj) 口語的;會話的	(adj) 愛說話的;交際的	(adj) 可比較的;比得上的
colloquial	(adj) 口語的;會話的	(adj) 愛說話的;交際的	(adj) 可比較的;比得上的	(adj) 比較的;相對的
communicative	(adj) 愛說話的;交際的	(adj) 可比較的;比得上的	(adj) 比較的;相對的	(adj) 能共處的;可並立的;相容的
comparable	(adj) 可比較的;比得上的	(adj) 比較的;相對的	(adj) 能共處的;可並立的;相容的	(adj) 有能力的;能幹的;能勝任的
comparative	(adj) 比較的;相對的	(adj) 能共處的;可並立的;相容的	(adj) 有能力的;能幹的;能勝任的	(adj) 組成的;構成的
compatible	(adj) 能共處的;可並立的;相容的	(adj) 有能力的;能幹的;能勝任的	(adj) 組成的;構成的	(adj) 廣泛的;綜合的
competent	(adj) 有能力的;能幹的;能勝任的	(adj) 組成的;構成的	(adj) 廣泛的;綜合的	(adj) 簡明的
component	(adj) 組成的;構成的	(adj) 廣泛的;綜合的	(adj) 簡明的	(adj) 祕密的;機密的
comprehensive	(adj) 廣泛的;綜合的	(adj) 簡明的	(adj) 祕密的;機密的	(adj) 憑良心的;誠實的;認真的
concise	(adj) 簡明的	(adj) 祕密的;機密的	(adj) 憑良心的;誠實的;認真的	(adj) 構成(全體)的;組成的;選舉的
confidential	(adj) 祕密的;機密的	(adj) 憑良心的;誠實的;認真的	(adj) 構成(全體)的;組成的;選舉的	(adj) 有爭議的;好議論的
conscientious	(adj) 憑良心的;誠實的;認真的	(adj) 構成(全體)的;組成的;選舉的	(adj) 有爭議的;好議論的	(adj) 同等重要的;座標的;對等的
constituent	(adj) 構成(全體)的;組成的;選舉的	(adj) 有爭議的;好議論的	(adj) 同等重要的;座標的;對等的	(adj) 熱忱的;衷心的
controversial	(adj) 有爭議的;好議論的	(adj) 同等重要的;座標的;對等的	(adj) 熱忱的;衷心的	(adj) 法人(組織)的;團體的;共同的
coordinate	(adj) 同等重要的;座標的;對等的	(adj) 熱忱的;衷心的	(adj) 法人(組織)的;團體的;共同的	(adj) 化妝用的;裝飾性的;表面的
cordial	(adj) 熱忱的;衷心的	(adj) 法人(組織)的;團體的;共同的	(adj) 化妝用的;裝飾性的;表面的	(adj) 世界性的;國際性的
corporate	(adj) 法人(組織)的;團體的;共同的	(adj) 化妝用的;裝飾性的;表面的	(adj) 世界性的;國際性的	(adj) 可信的;可靠的
cosmetic	(adj) 化妝用的;裝飾性的;表面的	(adj) 世界性的;國際性的	(adj) 可信的;可靠的	(adj) 彎曲的;欺詐的;不正派的
cosmopolitan	(adj) 世界性的;國際性的	(adj) 可信的;可靠的	(adj) 彎曲的;欺詐的;不正派的	(adj) 決定性的;重要的
credible	(adj) 可信的;可靠的	(adj) 彎曲的;欺詐的;不正派的	(adj) 決定性的;重要的	(adj) 未經加工的;粗野的;粗糙的
crooked	(adj) 彎曲的;欺詐的;不正派的	(adj) 決定性的;重要的	(adj) 未經加工的;粗野的;粗糙的	(adj) 漸增的;蓄積的;累計的
crucial	(adj) 決定性的;重要的	(adj) 未經加工的;粗野的;粗糙的	(adj) 漸增的;蓄積的;累計的	(adj) 習慣上的;按慣例的
crude	(adj) 未經加工的;粗野的;粗糙的	(adj) 漸增的;蓄積的;累計的	(adj) 習慣上的;按慣例的	(adj) 致命的,致死的;非常的,極度的
cumulative	(adj) 漸增的;蓄積的;累計的	(adj) 習慣上的;按慣例的	(adj) 致命的,致死的;非常的,極度的	(adj) 正派的;體面的
customary	(adj) 習慣上的;按慣例的	(adj) 致命的,致死的;非常的,極度的	(adj) 正派的;體面的	(adj) 決定性的;確定的;果斷的
deadly	(adj) 致命的,致死的;非常的,極度的	(adj) 正派的;體面的	(adj) 決定性的;確定的;果斷的	(adj) 深思熟慮的;蓄意的
decent	(adj) 正派的;體面的	(adj) 決定性的;確定的;果斷的	(adj) 深思熟慮的;蓄意的	(adj) 怠忽職守的;拖欠的;犯法的
decisive	(adj) 決定性的;確定的;果斷的	(adj) 深思熟慮的;蓄意的	(adj) 怠忽職守的;拖欠的;犯法的	(adj) 牙齒的;牙科的
deliberate	(adj) 深思熟慮的;蓄意的	(adj) 怠忽職守的;拖欠的;犯法的	(adj) 牙齒的;牙科的	(adj) 指定的
delinquent	(adj) 怠忽職守的;拖欠的;犯法的	(adj) 牙齒的;牙科的	(adj) 指定的	(adj) 命中注定的;(場所)預定的
dental	(adj) 牙齒的;牙科的	(adj) 指定的	(adj) 命中注定的;(場所)預定的	(adj) 外交的;有外交手腕的
designate	(adj) 指定的	(adj) 命中注定的;(場所)預定的	(adj) 外交的;有外交手腕的	(adj) 災害的;悲慘的
destined	(adj) 命中注定的;(場所)預定的	(adj) 外交的;有外交手腕的	(adj) 災害的;悲慘的	(adj) 訓練的;紀律的;懲戒的
diplomatic	(adj) 外交的;有外交手腕的	(adj) 災害的;悲慘的	(adj) 訓練的;紀律的;懲戒的	(adj) 謹慎的;謙虛的;不引人注意的
disastrous	(adj) 災害的;悲慘的	(adj) 訓練的;紀律的;懲戒的	(adj) 謹慎的;謙虛的;不引人注意的	(adj) 不名譽的;可恥的
disciplinary	(adj) 訓練的;紀律的;懲戒的	(adj) 謹慎的;謙虛的;不引人注意的	(adj) 不名譽的;可恥的	(adj) 非必要的;可分配的
discreet	(adj) 謹慎的;謙虛的;不引人注意的	(adj) 不名譽的;可恥的	(adj) 非必要的;可分配的	(adj) 可任意處理的;用完即丟棄的
disgraceful	(adj) 不名譽的;可恥的	(adj) 非必要的;可分配的	(adj) 可任意處理的;用完即丟棄的	(adj) 意見不同的
dispensable	(adj) 非必要的;可分配的	(adj) 可任意處理的;用完即丟棄的	(adj) 意見不同的	(adj) 互異的;多變化的
disposable	(adj) 可任意處理的;用完即丟棄的	(adj) 意見不同的	(adj) 互異的;多變化的	(adj) 文件的;(電影、電視等)記錄的
dissident	(adj) 意見不同的	(adj) 互異的;多變化的	(adj) 文件的;(電影、電視等)記錄的	(adj) 激烈的;極端的
diverse	(adj) 互異的;多變化的	(adj) 文件的;(電影、電視等)記錄的	(adj) 激烈的;極端的	(adj) 慘淡的;沈悶的
documentary	(adj) 文件的;(電影、電視等)記錄的	(adj) 激烈的;極端的	(adj) 慘淡的;沈悶的	(adj) 雙的;雙倍的;雙重的
drastic	(adj) 激烈的;極端的	(adj) 慘淡的;沈悶的	(adj) 雙的;雙倍的;雙重的	(adj) 半信半疑的;含糊的
dreary	(adj) 慘淡的;沈悶的	(adj) 雙的;雙倍的;雙重的	(adj) 半信半疑的;含糊的	(adj) (人、行為等)古怪的
dual	(adj) 雙的;雙倍的;雙重的	(adj) 半信半疑的;含糊的	(adj) (人、行為等)古怪的	(adj) 可食的,食用的
dubious	(adj) 半信半疑的;含糊的	(adj) (人、行為等)古怪的	(adj) 可食的,食用的	(adj) 社論的
eccentric	(adj) (人、行為等)古怪的	(adj) 可食的,食用的	(adj) 社論的	(adj) 有資格當選的;合格的
edible	(adj) 可食的,食用的	(adj) 社論的	(adj) 有資格當選的;合格的	(adj) 精英的
editorial	(adj) 社論的	(adj) 有資格當選的;合格的	(adj) 精英的	(adj) 雄辯的;口才流利的
eligible	(adj) 有資格當選的;合格的	(adj) 精英的	(adj) 雄辯的;口才流利的	(adj) 強調的;著重的
elite	(adj) 精英的	(adj) 雄辯的;口才流利的	(adj) 強調的;著重的	(adj) 流行性的;傳染的;極為流行的
eloquent	(adj) 雄辯的;口才流利的	(adj) 強調的;著重的	(adj) 流行性的;傳染的;極為流行的	(adj) 相等的,相同的
emphatic	(adj) 強調的;著重的	(adj) 流行性的;傳染的;極為流行的	(adj) 相等的,相同的	(adj) 倫理的;道德的
epidemic	(adj) 流行性的;傳染的;極為流行的	(adj) 相等的,相同的	(adj) 倫理的;道德的	(adj) 種族的;人種學的
equivalent	(adj) 相等的,相同的	(adj) 倫理的;道德的	(adj) 種族的;人種學的	(adj) 過度的;極度的
ethical	(adj) 倫理的;道德的	(adj) 種族的;人種學的	(adj) 過度的;極度的	(adj) 排外的;唯一的;獨家的
ethnic	(adj) 種族的;人種學的	(adj) 過度的;極度的	(adj) 排外的;唯一的;獨家的	(adj) 異國情調的;外來的
excessive	(adj) 過度的;極度的	(adj) 排外的;唯一的;獨家的	(adj) 異國情調的;外來的	(adj) 詳盡的;清楚的
exclusive	(adj) 排外的;唯一的;獨家的	(adj) 異國情調的;外來的	(adj) 詳盡的;清楚的	(adj) 精緻的;精良的;精選的
exotic	(adj) 異國情調的;外來的	(adj) 詳盡的;清楚的	(adj) 精緻的;精良的;精選的	(adj) 課外的
explicit	(adj) 詳盡的;清楚的	(adj) 精緻的;精良的;精選的	(adj) 課外的	(adj) 極好的;驚人的
exquisite	(adj) 精緻的;精良的;精選的	(adj) 課外的	(adj) 極好的;驚人的	(adj) 可行的;可能的
extracurricular	(adj) 課外的	(adj) 極好的;驚人的	(adj) 可行的;可能的	(adj) 有限的
fabulous	(adj) 極好的;驚人的	(adj) 可行的;可能的	(adj) 有限的	(adj) 防火的;耐火的
feasible	(adj) 可行的;可能的	(adj) 有限的	(adj) 防火的;耐火的	(adj) 流動的;液體的;流暢的
finite	(adj) 有限的	(adj) 防火的;耐火的	(adj) 流動的;液體的;流暢的	(adj) 令人畏懼的;難對付的
fireproof	(adj) 防火的;耐火的	(adj) 流動的;液體的;流暢的	(adj) 令人畏懼的;難對付的	(adj) 即將到來的
fluid	(adj) 流動的;液體的;流暢的	(adj) 令人畏懼的;難對付的	(adj) 即將到來的	(adj) 收養的
formidable	(adj) 令人畏懼的;難對付的	(adj) 即將到來的	(adj) 收養的	(adj) 易碎的;虛弱的
forthcoming	(adj) 即將到來的	(adj) 收養的	(adj) 易碎的;虛弱的	(adj) 身體虛弱的;易損壞的
foster	(adj) 收養的	(adj) 易碎的;虛弱的	(adj) 身體虛弱的;易損壞的	(adj) 基因的;遺傳(學)的
fragile	(adj) 易碎的;虛弱的	(adj) 身體虛弱的;易損壞的	(adj) 基因的;遺傳(學)的	(adj) 陰暗的;憂鬱的
frail	(adj) 身體虛弱的;易損壞的	(adj) 基因的;遺傳(學)的	(adj) 陰暗的;憂鬱的	(adj) 生動的;寫實的;圖解的
genetic	(adj) 基因的;遺傳(學)的	(adj) 陰暗的;憂鬱的	(adj) 生動的;寫實的;圖解的	(adj) (學位等)名譽上的;名譽職位的
gloomy	(adj) 陰暗的;憂鬱的	(adj) 生動的;寫實的;圖解的	(adj) (學位等)名譽上的;名譽職位的	(adj) 好客的;(氣候等)宜人的
graphic	(adj) 生動的;寫實的;圖解的	(adj) (學位等)名譽上的;名譽職位的	(adj) 好客的;(氣候等)宜人的	(adj) 人道主義的;博愛的
honorary	(adj) (學位等)名譽上的;名譽職位的	(adj) 好客的;(氣候等)宜人的	(adj) 人道主義的;博愛的	(adj) 歇斯底里的;極可笑的
hospitable	(adj) 好客的;(氣候等)宜人的	(adj) 人道主義的;博愛的	(adj) 歇斯底里的;極可笑的	(adj) 免疫的;免於...的
humanitarian	(adj) 人道主義的;博愛的	(adj) 歇斯底里的;極可笑的	(adj) 免疫的;免於...的	(adj) 必要的;命令式的;祈使法的
hysterical	(adj) 歇斯底里的;極可笑的	(adj) 免疫的;免於...的	(adj) 必要的;命令式的;祈使法的	(adj) 不言明的;含蓄的
immune	(adj) 免疫的;免於...的	(adj) 必要的;命令式的;祈使法的	(adj) 不言明的;含蓄的	(adj) 壯觀的;氣勢宏偉的;莊嚴的
imperative	(adj) 必要的;命令式的;祈使法的	(adj) 不言明的;含蓄的	(adj) 壯觀的;氣勢宏偉的;莊嚴的	(adj) 刺激的;鼓勵的,獎勵的
implicit	(adj) 不言明的;含蓄的	(adj) 壯觀的;氣勢宏偉的;莊嚴的	(adj) 刺激的;鼓勵的,獎勵的	(adj) 易發生的;附帶的
imposing	(adj) 壯觀的;氣勢宏偉的;莊嚴的	(adj) 刺激的;鼓勵的,獎勵的	(adj) 易發生的;附帶的	(adj) 包含的;包括在內的
incentive	(adj) 刺激的;鼓勵的,獎勵的	(adj) 易發生的;附帶的	(adj) 包含的;包括在內的	(adj) 不可避免的
incidental	(adj) 易發生的;附帶的	(adj) 包含的;包括在內的	(adj) 不可避免的	(adj) 傳染的;有感染力的
inclusive	(adj) 包含的;包括在內的	(adj) 不可避免的	(adj) 傳染的;有感染力的	(adj) 心靈手巧的;足智多謀的
inevitable	(adj) 不可避免的	(adj) 傳染的;有感染力的	(adj) 心靈手巧的;足智多謀的	(adj) 固有的;與生俱來的
infectious	(adj) 傳染的;有感染力的	(adj) 心靈手巧的;足智多謀的	(adj) 固有的;與生俱來的	(adj) 開始的;初步的;創始的
ingenious	(adj) 心靈手巧的;足智多謀的	(adj) 固有的;與生俱來的	(adj) 開始的;初步的;創始的	(adj) 創新的
inherent	(adj) 固有的;與生俱來的	(adj) 開始的;初步的;創始的	(adj) 創新的	(adj) 完整無缺的;原封不動的
initiative	(adj) 開始的;初步的;創始的	(adj) 創新的	(adj) 完整無缺的;原封不動的	(adj) 非常貴重的;無價的
innovative	(adj) 創新的	(adj) 完整無缺的;原封不動的	(adj) 非常貴重的;無價的	(adj) 具有諷刺意味的;挖苦的
intact	(adj) 完整無缺的;原封不動的	(adj) 非常貴重的;無價的	(adj) 具有諷刺意味的;挖苦的	(adj) 易怒的;急躁的
invaluable	(adj) 非常貴重的;無價的	(adj) 具有諷刺意味的;挖苦的	(adj) 易怒的;急躁的	(adj) 快樂的;高興的
ironic	(adj) 具有諷刺意味的;挖苦的	(adj) 易怒的;急躁的	(adj) 快樂的;高興的	(adj) 傳說的;傳奇的
irritable	(adj) 易怒的;急躁的	(adj) 快樂的;高興的	(adj) 傳說的;傳奇的	(adj) 立法的;有立法權的
joyous	(adj) 快樂的;高興的	(adj) 傳說的;傳奇的	(adj) 立法的;有立法權的	(adj) 合法的;合法婚姻所生的;合理的
legendary	(adj) 傳說的;傳奇的	(adj) 立法的;有立法權的	(adj) 合法的;合法婚姻所生的;合理的	(adj) 長的;冗長的;囉唆的
legislative	(adj) 立法的;有立法權的	(adj) 合法的;合法婚姻所生的;合理的	(adj) 長的;冗長的;囉唆的	(adj) 易...的;可能的;負有法律責任的
legitimate	(adj) 合法的;合法婚姻所生的;合理的	(adj) 長的;冗長的;囉唆的	(adj) 易...的;可能的;負有法律責任的	(adj) 照字面的;原義的;如實的
lengthy	(adj) 長的;冗長的;囉唆的	(adj) 易...的;可能的;負有法律責任的	(adj) 照字面的;原義的;如實的	(adj) 能讀寫的;有文化修養的
liable	(adj) 易...的;可能的;負有法律責任的	(adj) 照字面的;原義的;如實的	(adj) 能讀寫的;有文化修養的	(adj) 瘋的;瘋狂的
literal	(adj) 照字面的;原義的;如實的	(adj) 能讀寫的;有文化修養的	(adj) 瘋的;瘋狂的	(adj) 蒼翠繁茂的;豐富的
literate	(adj) 能讀寫的;有文化修養的	(adj) 瘋的;瘋狂的	(adj) 蒼翠繁茂的;豐富的	(adj) 抒情的;適於歌唱的
lunatic	(adj) 瘋的;瘋狂的	(adj) 蒼翠繁茂的;豐富的	(adj) 抒情的;適於歌唱的	(adj) 中世紀的;中古風的;守舊的
lush	(adj) 蒼翠繁茂的;豐富的	(adj) 抒情的;適於歌唱的	(adj) 中世紀的;中古風的;守舊的	(adj) 憂鬱的;令人沮喪的
lyric	(adj) 抒情的;適於歌唱的	(adj) 中世紀的;中古風的;守舊的	(adj) 憂鬱的;令人沮喪的	(adj) (水果)成熟的;(人)圓熟的
medieval	(adj) 中世紀的;中古風的;守舊的	(adj) 憂鬱的;令人沮喪的	(adj) (水果)成熟的;(人)圓熟的	(adj) 大都市的
melancholy	(adj) 憂鬱的;令人沮喪的	(adj) (水果)成熟的;(人)圓熟的	(adj) 大都市的	(adj) 好戰的;激進的
mellow	(adj) (水果)成熟的;(人)圓熟的	(adj) 大都市的	(adj) 好戰的;激進的	(adj) 小型的;小規模的
metropolitan	(adj) 大都市的	(adj) 好戰的;激進的	(adj) 小型的;小規模的	(adj) 神奇的;奇蹟般的
militant	(adj) 好戰的;激進的	(adj) 小型的;小規模的	(adj) 神奇的;奇蹟般的	(adj) 惡作劇的;淘氣的
miniature	(adj) 小型的;小規模的	(adj) 神奇的;奇蹟般的	(adj) 惡作劇的;淘氣的	(adj) 傳教的;教會的;傳教士的
miraculous	(adj) 神奇的;奇蹟般的	(adj) 惡作劇的;淘氣的	(adj) 傳教的;教會的;傳教士的	(adj) 單調的;無變化的
mischievous	(adj) 惡作劇的;淘氣的	(adj) 傳教的;教會的;傳教士的	(adj) 單調的;無變化的	(adj) 憂傷的;悲切的
missionary	(adj) 傳教的;教會的;傳教士的	(adj) 單調的;無變化的	(adj) 憂傷的;悲切的	(adj) 市的;市政的
monotonous	(adj) 單調的;無變化的	(adj) 憂傷的;悲切的	(adj) 市的;市政的	(adj) 沈默的;啞的
mournful	(adj) 憂傷的;悲切的	(adj) 市的;市政的	(adj) 沈默的;啞的	(adj) 敘事的;故事形式的
municipal	(adj) 市的;市政的	(adj) 沈默的;啞的	(adj) 敘事的;故事形式的	(adj) 海軍的
mute	(adj) 沈默的;啞的	(adj) 敘事的;故事形式的	(adj) 海軍的	(adj) 中立的;中立國的;空檔的
narrative	(adj) 敘事的;故事形式的	(adj) 海軍的	(adj) 中立的;中立國的;空檔的	(adj) 惡名昭彰的
naval	(adj) 海軍的	(adj) 中立的;中立國的;空檔的	(adj) 惡名昭彰的	(adj) 營養的,滋養的
neutral	(adj) 中立的;中立國的;空檔的	(adj) 惡名昭彰的	(adj) 營養的,滋養的	(adj) 有營養的
notorious	(adj) 惡名昭彰的	(adj) 營養的,滋養的	(adj) 有營養的	(adj) 暗的;模糊的;偏僻的;微賤的
nutrient	(adj) 營養的,滋養的	(adj) 有營養的	(adj) 暗的;模糊的;偏僻的;微賤的	(adj) 操作上的;經營上的
nutritious	(adj) 有營養的	(adj) 暗的;模糊的;偏僻的;微賤的	(adj) 操作上的;經營上的	(adj) 隨意的;非必須的
obscure	(adj) 暗的;模糊的;偏僻的;微賤的	(adj) 操作上的;經營上的	(adj) 隨意的;非必須的	(adj) 整齊的;有條理的
operational	(adj) 操作上的;經營上的	(adj) 隨意的;非必須的	(adj) 整齊的;有條理的	(adj) 可恥的;無法無天的;令人吃驚的
optional	(adj) 隨意的;非必須的	(adj) 整齊的;有條理的	(adj) 可恥的;無法無天的;令人吃驚的	(adj) 全部的;直率的;公開的
orderly	(adj) 整齊的;有條理的	(adj) 可恥的;無法無天的;令人吃驚的	(adj) 全部的;直率的;公開的	(adj) 在上頭的;高架的
outrageous	(adj) 可恥的;無法無天的;令人吃驚的	(adj) 全部的;直率的;公開的	(adj) 在上頭的;高架的	(adj) 可憐的;可悲的
outright	(adj) 全部的;直率的;公開的	(adj) 在上頭的;高架的	(adj) 可憐的;可悲的	(adj) 愛國的
overhead	(adj) 在上頭的;高架的	(adj) 可憐的;可悲的	(adj) 愛國的	(adj) 徒步的;行人的
pathetic	(adj) 可憐的;可悲的	(adj) 愛國的	(adj) 徒步的;行人的	(adj) 堅持不懈的;固執的;持續的
patriotic	(adj) 愛國的	(adj) 徒步的;行人的	(adj) 堅持不懈的;固執的;持續的	(adj) 透視的,透視畫的
pedestrian	(adj) 徒步的;行人的	(adj) 堅持不懈的;固執的;持續的	(adj) 透視的,透視畫的	(adj) 小的;瑣碎的;氣量小的
persistent	(adj) 堅持不懈的;固執的;持續的	(adj) 透視的,透視畫的	(adj) 小的;瑣碎的;氣量小的	(adj) 攝影(術)的;攝影用的
perspective	(adj) 透視的,透視畫的	(adj) 小的;瑣碎的;氣量小的	(adj) 攝影(術)的;攝影用的	(adj) 圖畫般的;美麗的
petty	(adj) 小的;瑣碎的;氣量小的	(adj) 攝影(術)的;攝影用的	(adj) 圖畫般的;美麗的	(adj) 虔誠的;篤信的
photographic	(adj) 攝影(術)的;攝影用的	(adj) 圖畫般的;美麗的	(adj) 虔誠的;篤信的	(adj) 受污染的;造成污染的
picturesque	(adj) 圖畫般的;美麗的	(adj) 虔誠的;篤信的	(adj) 受污染的;造成污染的	(adj) 預備的;初步的
pious	(adj) 虔誠的;篤信的	(adj) 受污染的;造成污染的	(adj) 預備的;初步的	(adj) 過早的;草率的;早產的
pollutant	(adj) 受污染的;造成污染的	(adj) 預備的;初步的	(adj) 過早的;草率的;早產的	(adj) 首位的;最早的
preliminary	(adj) 預備的;初步的	(adj) 過早的;草率的;早產的	(adj) 首位的;最早的	(adj) 總統的;總統選舉的
premature	(adj) 過早的;草率的;早產的	(adj) 首位的;最早的	(adj) 總統的;總統選舉的	(adj) 預防的;防病的
premier	(adj) 首位的;最早的	(adj) 總統的;總統選舉的	(adj) 預防的;防病的	(adj) 深刻的;深度的
presidential	(adj) 總統的;總統選舉的	(adj) 預防的;防病的	(adj) 深刻的;深度的	(adj) 逐漸的
preventive	(adj) 預防的;防病的	(adj) 深刻的;深度的	(adj) 逐漸的	(adj) 有...傾向的;俯伏的
profound	(adj) 深刻的;深度的	(adj) 逐漸的	(adj) 有...傾向的;俯伏的	(adj) 預期的;盼望中的;未來的
progressive	(adj) 逐漸的	(adj) 有...傾向的;俯伏的	(adj) 預期的;盼望中的;未來的	(adj) 省的;鄉氣的
prone	(adj) 有...傾向的;俯伏的	(adj) 預期的;盼望中的;未來的	(adj) 省的;鄉氣的	(adj) 準時的
prospective	(adj) 預期的;盼望中的;未來的	(adj) 省的;鄉氣的	(adj) 準時的	(adj) 喜歡爭吵的
provincial	(adj) 省的;鄉氣的	(adj) 準時的	(adj) 喜歡爭吵的	(adj) 光芒四射的;容光煥發的;發熱的
punctual	(adj) 準時的	(adj) 喜歡爭吵的	(adj) 光芒四射的;容光煥發的;發熱的	(adj) 具輻射部的;輻射狀的
quarrelsome	(adj) 喜歡爭吵的	(adj) 光芒四射的;容光煥發的;發熱的	(adj) 具輻射部的;輻射狀的	(adj) 基本的;徹底的
radiant	(adj) 光芒四射的;容光煥發的;發熱的	(adj) 具輻射部的;輻射狀的	(adj) 基本的;徹底的	(adj) 胡亂的;隨機的
radiate	(adj) 具輻射部的;輻射狀的	(adj) 基本的;徹底的	(adj) 胡亂的;隨機的	(adj) 輕率的;急躁的
