cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
environmental	(adj) 環境的;有關環境(保護)的	(adj) 邪惡的	(adj) 表達的;表情豐富的	(adj) 極端的,極度的
evil	(adj) 邪惡的	(adj) 表達的;表情豐富的	(adj) 極端的,極度的	(adj) 頭暈的;暗淡的
expressive	(adj) 表達的;表情豐富的	(adj) 極端的,極度的	(adj) 頭暈的;暗淡的	(adj) 小妖精(似)的;優雅的
extreme	(adj) 極端的,極度的	(adj) 頭暈的;暗淡的	(adj) 小妖精(似)的;優雅的	(adj) 假的;冒充的
faint	(adj) 頭暈的;暗淡的	(adj) 小妖精(似)的;優雅的	(adj) 假的;冒充的	(adj) 熟悉的;常見的
fairy	(adj) 小妖精(似)的;優雅的	(adj) 假的;冒充的	(adj) 熟悉的;常見的	(adj) 花俏的;特級的
fake	(adj) 假的;冒充的	(adj) 熟悉的;常見的	(adj) 花俏的;特級的	(adj) far的比較級; 更遠的,再往前的
familiar	(adj) 熟悉的;常見的	(adj) 花俏的;特級的	(adj) far的比較級; 更遠的,再往前的	(adj) 時尚的
fancy	(adj) 花俏的;特級的	(adj) far的比較級; 更遠的,再往前的	(adj) 時尚的	(adj) 喜歡的;愛好的
farther	(adj) far的比較級; 更遠的,再往前的	(adj) 時尚的	(adj) 喜歡的;愛好的	(adj) 頻繁的;屢次的
fashionable	(adj) 時尚的	(adj) 喜歡的;愛好的	(adj) 頻繁的;屢次的	(adj) 全世界的
fond	(adj) 喜歡的;愛好的	(adj) 頻繁的;屢次的	(adj) 全世界的	(adj) 逐漸的,逐步的
frequent	(adj) 頻繁的;屢次的	(adj) 全世界的	(adj) 逐漸的,逐步的	(adj) 便利的;靈活的;易於操作的
global	(adj) 全世界的	(adj) 逐漸的,逐步的	(adj) 便利的;靈活的;易於操作的	(adj) 有害的
gradual	(adj) 逐漸的,逐步的	(adj) 便利的;靈活的;易於操作的	(adj) 有害的	(adj) 倉促的,輕率的
handy	(adj) 便利的;靈活的;易於操作的	(adj) 有害的	(adj) 倉促的,輕率的	(adj) 歷史上著名的
harmful	(adj) 有害的	(adj) 倉促的,輕率的	(adj) 歷史上著名的	(adj) 歷史的,史學的
hasty	(adj) 倉促的,輕率的	(adj) 歷史上著名的	(adj) 歷史的,史學的	(adj) 空的;凹陷的
historic	(adj) 歷史上著名的	(adj) 歷史的,史學的	(adj) 空的;凹陷的	(adj) 神聖的
historical	(adj) 歷史的,史學的	(adj) 空的;凹陷的	(adj) 神聖的	(adj) 可怕的
hollow	(adj) 空的;凹陷的	(adj) 神聖的	(adj) 可怕的	(adj) 以鐘點計算的
holy	(adj) 神聖的	(adj) 可怕的	(adj) 以鐘點計算的	(adj) 幽默的
horrible	(adj) 可怕的	(adj) 以鐘點計算的	(adj) 幽默的	(adj) 冰冷的
hourly	(adj) 以鐘點計算的	(adj) 幽默的	(adj) 冰冷的	(adj) 理想的,完美的
humorous	(adj) 幽默的	(adj) 冰冷的	(adj) 理想的,完美的	(adj) 即刻的
icy	(adj) 冰冷的	(adj) 理想的,完美的	(adj) 即刻的	(adj) 予人深刻印象的
ideal	(adj) 理想的,完美的	(adj) 即刻的	(adj) 予人深刻印象的	(adj) 個別的
immediate	(adj) 即刻的	(adj) 予人深刻印象的	(adj) 個別的	(adj) 室內的,戶內的
impressive	(adj) 予人深刻印象的	(adj) 個別的	(adj) 室內的,戶內的	(adj) 工業的,產業的
individual	(adj) 個別的	(adj) 室內的,戶內的	(adj) 工業的,產業的	(adj) 低等的;下級的
indoor	(adj) 室內的,戶內的	(adj) 工業的,產業的	(adj) 低等的;下級的	(adj) 內部的
industrial	(adj) 工業的,產業的	(adj) 低等的;下級的	(adj) 內部的	(adj) 無罪的,清白的
inferior	(adj) 低等的;下級的	(adj) 內部的	(adj) 無罪的,清白的	(adj) 內部的
inner	(adj) 內部的	(adj) 無罪的,清白的	(adj) 內部的	(adj) 嫉妒的
innocent	(adj) 無罪的,清白的	(adj) 內部的	(adj) 嫉妒的	(adj) 高興的,充滿喜悅的
internal	(adj) 內部的	(adj) 嫉妒的	(adj) 高興的,充滿喜悅的	(adj) 後者
jealous	(adj) 嫉妒的	(adj) 高興的,充滿喜悅的	(adj) 後者	(adj) 自由主義的
joyful	(adj) 高興的,充滿喜悅的	(adj) 後者	(adj) 自由主義的	(adj) 精力充沛的;活潑的
latter	(adj) 後者	(adj) 自由主義的	(adj) 精力充沛的;活潑的	(adj) 鬆的
liberal	(adj) 自由主義的	(adj) 精力充沛的;活潑的	(adj) 鬆的	(adj) 魔術的,魔法的
lively	(adj) 精力充沛的;活潑的	(adj) 鬆的	(adj) 魔術的,魔法的	(adj) 較多的;主要的
loose	(adj) 鬆的	(adj) 魔術的,魔法的	(adj) 較多的;主要的	(adj) 可控制的
magical	(adj) 魔術的,魔法的	(adj) 較多的;主要的	(adj) 可控制的	(adj) 了不起的
major	(adj) 較多的;主要的	(adj) 可控制的	(adj) 了不起的	(adj) 數學的
manageable	(adj) 可控制的	(adj) 了不起的	(adj) 數學的	(adj) 成熟的;到期的
marvelous	(adj) 了不起的	(adj) 數學的	(adj) 成熟的;到期的	(adj) 意味深長的;有意義的
mathematical	(adj) 數學的	(adj) 成熟的;到期的	(adj) 意味深長的;有意義的	(adj) 醫學的;醫術的;醫療的
mature	(adj) 成熟的;到期的	(adj) 意味深長的;有意義的	(adj) 醫學的;醫術的;醫療的	(adj) 精神的,心理的
meaningful	(adj) 意味深長的;有意義的	(adj) 醫學的;醫術的;醫療的	(adj) 精神的,心理的	(adj) 愉快的,興高采烈的
medical	(adj) 醫學的;醫術的;醫療的	(adj) 精神的,心理的	(adj) 愉快的,興高采烈的	(adj) 強大的;強有力的
mental	(adj) 精神的,心理的	(adj) 愉快的,興高采烈的	(adj) 強大的;強有力的	(adj) 較小的;較次要的
merry	(adj) 愉快的,興高采烈的	(adj) 強大的;強有力的	(adj) 較小的;較次要的	(adj) 缺掉的;失蹤的;找不到的
mighty	(adj) 強大的;強有力的	(adj) 較小的;較次要的	(adj) 缺掉的;失蹤的;找不到的	(adj) 移動式的;流動的
minor	(adj) 較小的;較次要的	(adj) 缺掉的;失蹤的;找不到的	(adj) 移動式的;流動的	(adj) 潮濕的,微濕的
missing	(adj) 缺掉的;失蹤的;找不到的	(adj) 移動式的;流動的	(adj) 潮濕的,微濕的	(adj) 道德(上)的
mobile	(adj) 移動式的;流動的	(adj) 潮濕的,微濕的	(adj) 道德(上)的	(adj) 音樂的
moist	(adj) 潮濕的,微濕的	(adj) 道德(上)的	(adj) 音樂的	(adj) 本土的,本國的
moral	(adj) 道德(上)的	(adj) 音樂的	(adj) 本土的,本國的	(adj) 緊張的
musical	(adj) 音樂的	(adj) 本土的,本國的	(adj) 緊張的	(adj) 崇高的;宏偉的
native	(adj) 本土的,本國的	(adj) 緊張的	(adj) 崇高的;宏偉的	(adj) 正常的,正規的
nervous	(adj) 緊張的	(adj) 崇高的;宏偉的	(adj) 正常的,正規的	(adj) 明顯的;顯著的
noble	(adj) 崇高的;宏偉的	(adj) 正常的,正規的	(adj) 明顯的;顯著的	(adj) 相反的,對立的
normal	(adj) 正常的,正規的	(adj) 明顯的;顯著的	(adj) 相反的,對立的	(adj) 樂觀的
obvious	(adj) 明顯的;顯著的	(adj) 相反的,對立的	(adj) 樂觀的	(adj) 最初的,本來的;原始的
opposite	(adj) 相反的,對立的	(adj) 樂觀的	(adj) 最初的,本來的;原始的	(adj) 戶外的,露天的,野外的
optimistic	(adj) 樂觀的	(adj) 最初的,本來的;原始的	(adj) 戶外的,露天的,野外的	(adj) 外面的,外表的
original	(adj) 最初的,本來的;原始的	(adj) 戶外的,露天的,野外的	(adj) 外面的,外表的	(adj) 蒼白的;黯淡的
outdoor	(adj) 戶外的,露天的,野外的	(adj) 外面的,外表的	(adj) 蒼白的;黯淡的	(adj) 可塑的,塑性的;整形的
outer	(adj) 外面的,外表的	(adj) 蒼白的;黯淡的	(adj) 可塑的,塑性的;整形的	(adj) 政治的;政治上的
pale	(adj) 蒼白的;黯淡的	(adj) 可塑的,塑性的;整形的	(adj) 政治的;政治上的	(adj) 通俗的,流行的
plastic	(adj) 可塑的,塑性的;整形的	(adj) 政治的;政治上的	(adj) 通俗的,流行的	(adj) 實用的
political	(adj) 政治的;政治上的	(adj) 通俗的,流行的	(adj) 實用的	(adj) 寶貴的
pop	(adj) 通俗的,流行的	(adj) 實用的	(adj) 寶貴的	(adj) 先的,以前的
practical	(adj) 實用的	(adj) 寶貴的	(adj) 先的,以前的	(adj) 主要的;初級的
precious	(adj) 寶貴的	(adj) 先的,以前的	(adj) 主要的;初級的	(adj) 很可能發生的
previous	(adj) 先的,以前的	(adj) 主要的;初級的	(adj) 很可能發生的	(adj) 適合的,適當的
primary	(adj) 主要的;初級的	(adj) 很可能發生的	(adj) 適合的,適當的	(adj) 保護的,防護的
probable	(adj) 很可能發生的	(adj) 適合的,適當的	(adj) 保護的,防護的	(adj) 純粹的
proper	(adj) 適合的,適當的	(adj) 保護的,防護的	(adj) 純粹的	(adj) 古怪的;頭暈眼花的
protective	(adj) 保護的,防護的	(adj) 純粹的	(adj) 古怪的;頭暈眼花的	(adj) 種族的
pure	(adj) 純粹的	(adj) 古怪的;頭暈眼花的	(adj) 種族的	(adj) 生的,未煮過的;未加工的
queer	(adj) 古怪的;頭暈眼花的	(adj) 種族的	(adj) 生的,未煮過的;未加工的	(adj) 合理的,正當的
racial	(adj) 種族的	(adj) 生的,未煮過的;未加工的	(adj) 合理的,正當的	(adj) 地區的,局部的
raw	(adj) 生的,未煮過的;未加工的	(adj) 合理的,正當的	(adj) 地區的,局部的	(adj) 可信賴的;可靠的;確實的
reasonable	(adj) 合理的,正當的	(adj) 地區的,局部的	(adj) 可信賴的;可靠的;確實的	(adj) 宗教的;虔誠的
regional	(adj) 地區的,局部的	(adj) 可信賴的;可靠的;確實的	(adj) 宗教的;虔誠的	(adj) 遙遠的;偏僻的
reliable	(adj) 可信賴的;可靠的;確實的	(adj) 宗教的;虔誠的	(adj) 遙遠的;偏僻的	(adj) 代表性的,典型的
religious	(adj) 宗教的;虔誠的	(adj) 遙遠的;偏僻的	(adj) 代表性的,典型的	(adj) 成熟的
remote	(adj) 遙遠的;偏僻的	(adj) 代表性的,典型的	(adj) 成熟的	(adj) 烘烤的
representative	(adj) 代表性的,典型的	(adj) 成熟的	(adj) 烘烤的	(adj) 浪漫的
ripe	(adj) 成熟的	(adj) 烘烤的	(adj) 浪漫的	(adj) 腐爛的;發臭的
roast	(adj) 烘烤的	(adj) 浪漫的	(adj) 腐爛的;發臭的	(adj) 粗糙的;表面不平的
romantic	(adj) 浪漫的	(adj) 腐爛的;發臭的	(adj) 粗糙的;表面不平的	(adj) 日常的,例行的,常規的
rotten	(adj) 腐爛的;發臭的	(adj) 粗糙的;表面不平的	(adj) 日常的,例行的,常規的	(adj) 生鏽的
rough	(adj) 粗糙的;表面不平的	(adj) 日常的,例行的,常規的	(adj) 生鏽的	(adj) 令人滿意的
routine	(adj) 日常的,例行的,常規的	(adj) 生鏽的	(adj) 令人滿意的	(adj) 缺乏的;不足的
rusty	(adj) 生鏽的	(adj) 令人滿意的	(adj) 缺乏的;不足的	(adj) 膽小的;提心吊膽的
satisfactory	(adj) 令人滿意的	(adj) 缺乏的;不足的	(adj) 膽小的;提心吊膽的	(adj) 科學的
scarce	(adj) 缺乏的;不足的	(adj) 膽小的;提心吊膽的	(adj) 科學的	(adj) 第二的;次要的
scary	(adj) 膽小的;提心吊膽的	(adj) 科學的	(adj) 第二的;次要的	(adj) 有知覺的;明顯的
scientific	(adj) 科學的	(adj) 第二的;次要的	(adj) 有知覺的;明顯的	(adj) 敏感的;易受傷害的
secondary	(adj) 第二的;次要的	(adj) 有知覺的;明顯的	(adj) 敏感的;易受傷害的	(adj) 兩性的;關於性關係的;性慾的
sensible	(adj) 有知覺的;明顯的	(adj) 敏感的;易受傷害的	(adj) 兩性的;關於性關係的;性慾的	(adj) 性感的
sensitive	(adj) 敏感的;易受傷害的	(adj) 兩性的;關於性關係的;性慾的	(adj) 性感的	(adj) 靠不住的;名聲不好的
sexual	(adj) 兩性的;關於性關係的;性慾的	(adj) 性感的	(adj) 靠不住的;名聲不好的	(adj) 淺的
sexy	(adj) 性感的	(adj) 靠不住的;名聲不好的	(adj) 淺的	(adj) 晴朗的;有光澤的
shady	(adj) 靠不住的;名聲不好的	(adj) 淺的	(adj) 晴朗的;有光澤的	(adj) 有意義的
shallow	(adj) 淺的	(adj) 晴朗的;有光澤的	(adj) 有意義的	(adj) 誠懇的
shiny	(adj) 晴朗的;有光澤的	(adj) 有意義的	(adj) 誠懇的	(adj) 容易滑的;不明確的
significant	(adj) 有意義的	(adj) 誠懇的	(adj) 容易滑的;不明確的	(adj) 平滑的,光滑的;平坦的
sincere	(adj) 誠懇的	(adj) 容易滑的;不明確的	(adj) 平滑的,光滑的;平坦的	(adj) 結實的;堅固的
slippery	(adj) 容易滑的;不明確的	(adj) 平滑的,光滑的;平坦的	(adj) 結實的;堅固的	(adj) 疼痛的
smooth	(adj) 平滑的,光滑的;平坦的	(adj) 結實的;堅固的	(adj) 疼痛的	(adj) 特殊的,特定的
solid	(adj) 結實的;堅固的	(adj) 疼痛的	(adj) 特殊的,特定的	(adj) 穩定的,牢固的
sore	(adj) 疼痛的	(adj) 特殊的,特定的	(adj) 穩定的,牢固的	(adj) 不新鮮的;污濁的;陳舊的
specific	(adj) 特殊的,特定的	(adj) 穩定的,牢固的	(adj) 不新鮮的;污濁的;陳舊的	(adj) 穩固的,平穩的
stable	(adj) 穩定的,牢固的	(adj) 不新鮮的;污濁的;陳舊的	(adj) 穩固的,平穩的	(adj) 陡峭的
stale	(adj) 不新鮮的;污濁的;陳舊的	(adj) 穩固的,平穩的	(adj) 陡峭的	(adj) 黏的;塗有黏膠物質的;泥濘的
steady	(adj) 穩固的,平穩的	(adj) 陡峭的	(adj) 黏的;塗有黏膠物質的;泥濘的	(adj) 硬的;挺的;拘謹的,不自然的
steep	(adj) 陡峭的	(adj) 黏的;塗有黏膠物質的;泥濘的	(adj) 硬的;挺的;拘謹的,不自然的	(adj) 暴風雨的
sticky	(adj) 黏的;塗有黏膠物質的;泥濘的	(adj) 硬的;挺的;拘謹的,不自然的	(adj) 暴風雨的	(adj) 倔強的,頑固的
stiff	(adj) 硬的;挺的;拘謹的,不自然的	(adj) 暴風雨的	(adj) 倔強的,頑固的	(adj) 足夠的,充分的
stormy	(adj) 暴風雨的	(adj) 倔強的,頑固的	(adj) 足夠的,充分的	(adj) 適當的;合適的;適宜的
stubborn	(adj) 倔強的,頑固的	(adj) 足夠的,充分的	(adj) 適當的;合適的;適宜的	(adj) 優秀的,上等的
sufficient	(adj) 足夠的,充分的	(adj) 適當的;合適的;適宜的	(adj) 優秀的,上等的	(adj) 可疑的;受到懷疑的;不可信的
suitable	(adj) 適當的;合適的;適宜的	(adj) 優秀的,上等的	(adj) 可疑的;受到懷疑的;不可信的	(adj) 快速的,快捷的
superior	(adj) 優秀的,上等的	(adj) 可疑的;受到懷疑的;不可信的	(adj) 快速的,快捷的	(adj) 經馴養的,馴服的
suspect	(adj) 可疑的;受到懷疑的;不可信的	(adj) 快速的,快捷的	(adj) 經馴養的,馴服的	(adj) 專門的,技術性的
swift	(adj) 快速的,快捷的	(adj) 經馴養的,馴服的	(adj) 專門的,技術性的	(adj) 臨時的;暫時的
tame	(adj) 經馴養的,馴服的	(adj) 專門的,技術性的	(adj) 臨時的;暫時的	(adj) 溫柔的
technical	(adj) 專門的,技術性的	(adj) 臨時的;暫時的	(adj) 溫柔的	(adj) 感謝的,感激的
temporary	(adj) 臨時的;暫時的	(adj) 溫柔的	(adj) 感謝的,感激的	(adj) 整潔的
tender	(adj) 溫柔的	(adj) 感謝的,感激的	(adj) 整潔的	(adj) 緊的
thankful	(adj) 感謝的,感激的	(adj) 整潔的	(adj) 緊的	(adj) 狡猾的;機警的
tidy	(adj) 整潔的	(adj) 緊的	(adj) 狡猾的;機警的	(adj) 熱帶的
tight	(adj) 緊的	(adj) 狡猾的;機警的	(adj) 熱帶的	(adj) 誠實的
tricky	(adj) 狡猾的;機警的	(adj) 熱帶的	(adj) 誠實的	(adj) 典型的,有代表性的
tropical	(adj) 熱帶的	(adj) 誠實的	(adj) 典型的,有代表性的	(adj) 心煩的,苦惱的
truthful	(adj) 誠實的	(adj) 典型的,有代表性的	(adj) 心煩的,苦惱的	(adj) 空白的;(職位)空缺的
typical	(adj) 典型的,有代表性的	(adj) 心煩的,苦惱的	(adj) 空白的;(職位)空缺的	(adj) 有價值的
upset	(adj) 心煩的,苦惱的	(adj) 空白的;(職位)空缺的	(adj) 有價值的	(adj) 各種各樣的;好幾個的
vacant	(adj) 空白的;(職位)空缺的	(adj) 有價值的	(adj) 各種各樣的;好幾個的	(adj) 暴力的
valuable	(adj) 有價值的	(adj) 各種各樣的;好幾個的	(adj) 暴力的	(adj) 可看見的
various	(adj) 各種各樣的;好幾個的	(adj) 暴力的	(adj) 可看見的	(adj) 鮮豔的;生動的
violent	(adj) 暴力的	(adj) 可看見的	(adj) 鮮豔的;生動的	(adj) 富裕的;豐富的
visible	(adj) 可看見的	(adj) 鮮豔的;生動的	(adj) 富裕的;豐富的	(adj) 缺德的;淘氣的;過分的
vivid	(adj) 鮮豔的;生動的	(adj) 富裕的;豐富的	(adj) 缺德的;淘氣的;過分的	(adj) X光線的
wealthy	(adj) 富裕的;豐富的	(adj) 缺德的;淘氣的;過分的	(adj) X光線的	(v) 把...視為;說明
wicked	(adj) 缺德的;淘氣的;過分的	(adj) X光線的	(v) 把...視為;說明	(v) (持續性地)疼痛;渴望
x-ray	(adj) X光線的	(v) 把...視為;說明	(v) (持續性地)疼痛;渴望	(v) 實現
account	(v) 把...視為;說明	(v) (持續性地)疼痛;渴望	(v) 實現	(v) 欽佩;欣賞
ache	(v) (持續性地)疼痛;渴望	(v) 實現	(v) 欽佩;欣賞	(v) 承認;准許進入;可容納
achieve	(v) 實現	(v) 欽佩;欣賞	(v) 承認;准許進入;可容納	(v) 採納;收養;接受
admire	(v) 欽佩;欣賞	(v) 承認;准許進入;可容納	(v) 採納;收養;接受	(v) 為...做廣告;公佈
admit	(v) 承認;准許進入;可容納	(v) 採納;收養;接受	(v) 為...做廣告;公佈	(v) 勸告
adopt	(v) 採納;收養;接受	(v) 為...做廣告;公佈	(v) 勸告	(v) 影響
advertise	(v) 為...做廣告;公佈	(v) 勸告	(v) 影響	(v) 買得起
advise	(v) 勸告	(v) 影響	(v) 買得起	(v) 使大為驚奇
affect	(v) 影響	(v) 買得起	(v) 使大為驚奇	(v) 宣佈
afford	(v) 買得起	(v) 使大為驚奇	(v) 宣佈	(v) 呼籲,懇求
amaze	(v) 使大為驚奇	(v) 宣佈	(v) 呼籲,懇求	(v) 感謝;賞識
announce	(v) 宣佈	(v) 呼籲,懇求	(v) 感謝;賞識	(v) 接近,靠近
appeal	(v) 呼籲,懇求	(v) 感謝;賞識	(v) 接近,靠近	(v) 同意;贊許
appreciate	(v) 感謝;賞識	(v) 接近,靠近	(v) 同意;贊許	(v) 幫助,協助
approach	(v) 接近,靠近	(v) 同意;贊許	(v) 幫助,協助	(v) 試圖;企圖
approve	(v) 同意;贊許	(v) 幫助,協助	(v) 試圖;企圖	(v) 吸引
assist	(v) 幫助,協助	(v) 試圖;企圖	(v) 吸引	(v) 開創,發起;著作,編寫
attempt	(v) 試圖;企圖	(v) 吸引	(v) 開創,發起;著作,編寫	(v) 算出...的平均數;使平衡; 平均為
attract	(v) 吸引	(v) 開創,發起;著作,編寫	(v) 算出...的平均數;使平衡; 平均為	(v) 喚醒
