tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
busy	(adj) 忙碌的	(adj) 小心的	(adj) 肯定的	(adj) 確定
careful	(adj) 小心的	(adj) 肯定的	(adj) 確定	(adj) 為首的;主要的
certain	(adj) 肯定的	(adj) 確定	(adj) 為首的;主要的	(adj) 乾淨的
sure	(adj) 確定	(adj) 為首的;主要的	(adj) 乾淨的	(adj) 清楚的;晴朗的
chief	(adj) 為首的;主要的	(adj) 乾淨的	(adj) 清楚的;晴朗的	(adj) 近的;密切的
clean	(adj) 乾淨的	(adj) 清楚的;晴朗的	(adj) 近的;密切的	(adj) 寒冷的
clear	(adj) 清楚的;晴朗的	(adj) 近的;密切的	(adj) 寒冷的	(adj) 常見的
close	(adj) 近的;密切的	(adj) 寒冷的	(adj) 常見的	(adj) 涼快的;很棒的;酷
cold	(adj) 寒冷的	(adj) 常見的	(adj) 涼快的;很棒的;酷	(adj) 正確的
common	(adj) 常見的	(adj) 涼快的;很棒的;酷	(adj) 正確的	(adj) 可愛的
cool	(adj) 涼快的;很棒的;酷	(adj) 正確的	(adj) 可愛的	(adj) 黑暗的
correct	(adj) 正確的	(adj) 可愛的	(adj) 黑暗的	(adj) 死的
cute	(adj) 可愛的	(adj) 黑暗的	(adj) 死的	(adj) 親愛的
dark	(adj) 黑暗的	(adj) 死的	(adj) 親愛的	(adj) 深的
dead	(adj) 死的	(adj) 親愛的	(adj) 深的	(adj) 不同的
dear	(adj) 親愛的	(adj) 深的	(adj) 不同的	(adj) 困難的
deep	(adj) 深的	(adj) 不同的	(adj) 困難的	(adj) 直接的
different	(adj) 不同的	(adj) 困難的	(adj) 直接的	(adj) 骯髒的
difficult	(adj) 困難的	(adj) 直接的	(adj) 骯髒的	(adj) 情緒低落,消沈;(分期付款的)第一期的
direct	(adj) 直接的	(adj) 骯髒的	(adj) 情緒低落,消沈;(分期付款的)第一期的	(adj) 樓下的
dirty	(adj) 骯髒的	(adj) 情緒低落,消沈;(分期付款的)第一期的	(adj) 樓下的	(adj) 乾的
down	(adj) 情緒低落,消沈;(分期付款的)第一期的	(adj) 樓下的	(adj) 乾的	(adj) 每個
downstairs	(adj) 樓下的	(adj) 乾的	(adj) 每個	(adj) 早的;提早的
dry	(adj) 乾的	(adj) 每個	(adj) 早的;提早的	(adj) 東方的
each	(adj) 每個	(adj) 早的;提早的	(adj) 東方的	(adj) 南方的
early	(adj) 早的;提早的	(adj) 東方的	(adj) 南方的	(adj) 西方的
east	(adj) 東方的	(adj) 南方的	(adj) 西方的	(adj) 北方的
south	(adj) 南方的	(adj) 西方的	(adj) 北方的	(adj) 容易的
west	(adj) 西方的	(adj) 北方的	(adj) 容易的	(adj) 硬的;難的
north	(adj) 北方的	(adj) 容易的	(adj) 硬的;難的	(adj) 一個的
easy	(adj) 容易的	(adj) 硬的;難的	(adj) 一個的	(adj) 十二的
hard	(adj) 硬的;難的	(adj) 一個的	(adj) 十二的	(adj) 二十的
one	(adj) 一個的	(adj) 十二的	(adj) 二十的	(adj) 二的
twelve	(adj) 十二的	(adj) 二十的	(adj) 二的	(adj) 八的
twenty	(adj) 二十的	(adj) 二的	(adj) 八的	(adj) 十八的
two	(adj) 二的	(adj) 八的	(adj) 十八的	(adj) 八十的
eight	(adj) 八的	(adj) 十八的	(adj) 八十的	(adj) 兩者之一
eighteen	(adj) 十八的	(adj) 八十的	(adj) 兩者之一	(adj) 十一的
eighty	(adj) 八十的	(adj) 兩者之一	(adj) 十一的	(adj) 英格蘭的;英國的;英國人的;英語的
either	(adj) 兩者之一	(adj) 十一的	(adj) 英格蘭的;英國的;英國人的;英語的	(adj) 足夠的
eleven	(adj) 十一的	(adj) 英格蘭的;英國的;英國人的;英語的	(adj) 足夠的	(adj) 相等的; 平等的
English	(adj) 英格蘭的;英國的;英國人的;英語的	(adj) 足夠的	(adj) 相等的; 平等的	(adj) 均勻的;偶數的;平手的
enough	(adj) 足夠的	(adj) 相等的; 平等的	(adj) 均勻的;偶數的;平手的	(adj) 每一個的
equal	(adj) 相等的; 平等的	(adj) 均勻的;偶數的;平手的	(adj) 每一個的	(adj) 真實的;正確的
even	(adj) 均勻的;偶數的;平手的	(adj) 每一個的	(adj) 真實的;正確的	(adj) 假的
every	(adj) 每一個的	(adj) 真實的;正確的	(adj) 假的	(adj) 遠的
true	(adj) 真實的;正確的	(adj) 假的	(adj) 遠的	(adj) 快的
false	(adj) 假的	(adj) 遠的	(adj) 快的	(adj) 胖的
far	(adj) 遠的	(adj) 快的	(adj) 胖的	(adj) 少數的;一些
fast	(adj) 快的	(adj) 胖的	(adj) 少數的;一些	(adj) 十五的
fat	(adj) 胖的	(adj) 少數的;一些	(adj) 十五的	(adj) 五十的
few	(adj) 少數的;一些	(adj) 十五的	(adj) 五十的	(adj) 最終的
fifteen	(adj) 十五的	(adj) 五十的	(adj) 最終的	(adj) 好的
fifty	(adj) 五十的	(adj) 最終的	(adj) 好的	(adj) 第一的
final	(adj) 最終的	(adj) 好的	(adj) 第一的	(adj) 五的
fine	(adj) 好的	(adj) 第一的	(adj) 五的	(adj) 外國的,陌生的,外來的
first	(adj) 第一的	(adj) 五的	(adj) 外國的,陌生的,外來的	(adj) 四十的
five	(adj) 五的	(adj) 外國的,陌生的,外來的	(adj) 四十的	(adj) 四的
foreign	(adj) 外國的,陌生的,外來的	(adj) 四十的	(adj) 四的	(adj) 十四的
forty	(adj) 四十的	(adj) 四的	(adj) 十四的	(adj) 空閒的;自由的;免費的
four	(adj) 四的	(adj) 十四的	(adj) 空閒的;自由的;免費的	(adj) 新鮮的
fourteen	(adj) 十四的	(adj) 空閒的;自由的;免費的	(adj) 新鮮的	(adj) 前面的;正面的
free	(adj) 空閒的;自由的;免費的	(adj) 新鮮的	(adj) 前面的;正面的	(adj) 飽的;滿的
fresh	(adj) 新鮮的	(adj) 前面的;正面的	(adj) 飽的;滿的	(adj) 可笑的;滑稽的
front	(adj) 前面的;正面的	(adj) 飽的;滿的	(adj) 可笑的;滑稽的	(adj) 普遍的
full	(adj) 飽的;滿的	(adj) 可笑的;滑稽的	(adj) 普遍的	(adj) 高興的
funny	(adj) 可笑的;滑稽的	(adj) 普遍的	(adj) 高興的	(adj) 好的
general	(adj) 普遍的	(adj) 高興的	(adj) 好的	(adj) 雄偉的;總的
glad	(adj) 高興的	(adj) 好的	(adj) 雄偉的;總的	(adj) 很棒;大的
good	(adj) 好的	(adj) 雄偉的;總的	(adj) 很棒;大的	(adj) 一半的,二分之一的;不完整的
grand	(adj) 雄偉的;總的	(adj) 很棒;大的	(adj) 一半的,二分之一的;不完整的	(adj) 快樂的
great	(adj) 很棒;大的	(adj) 一半的,二分之一的;不完整的	(adj) 快樂的	(adj) 重的
half	(adj) 一半的,二分之一的;不完整的	(adj) 快樂的	(adj) 重的	(adj) 高的
happy	(adj) 快樂的	(adj) 重的	(adj) 高的	(adj) 家庭的;國內的
heavy	(adj) 重的	(adj) 高的	(adj) 家庭的;國內的	(adj) 熱的
high	(adj) 高的	(adj) 家庭的;國內的	(adj) 熱的	(adj) 巨大的
home	(adj) 家庭的;國內的	(adj) 熱的	(adj) 巨大的	(adj) 人類的
hot	(adj) 熱的	(adj) 巨大的	(adj) 人類的	(adj) 一百的
huge	(adj) 巨大的	(adj) 人類的	(adj) 一百的	(adj) 飢餓的
human	(adj) 人類的	(adj) 一百的	(adj) 飢餓的	(adj) 重要的
hundred	(adj) 一百的	(adj) 飢餓的	(adj) 重要的	(adj) 在裡面的
hungry	(adj) 飢餓的	(adj) 重要的	(adj) 在裡面的	(adj) 裡面的,內側的;內幕的
important	(adj) 重要的	(adj) 在裡面的	(adj) 裡面的,內側的;內幕的	(adj) 鐵的;剛強的;殘酷的
in	(adj) 在裡面的	(adj) 裡面的,內側的;內幕的	(adj) 鐵的;剛強的;殘酷的	(adj) 正直的;公平的;應得的;正確的
inside	(adj) 裡面的,內側的;內幕的	(adj) 鐵的;剛強的;殘酷的	(adj) 正直的;公平的;應得的;正確的	(adj) 重要的,基本的,關鍵的
iron	(adj) 鐵的;剛強的;殘酷的	(adj) 正直的;公平的;應得的;正確的	(adj) 重要的,基本的,關鍵的	(adj) 仁慈的
just	(adj) 正直的;公平的;應得的;正確的	(adj) 重要的,基本的,關鍵的	(adj) 仁慈的	(adj) 大的
key	(adj) 重要的,基本的,關鍵的	(adj) 仁慈的	(adj) 大的	(adj) 最後的
kind	(adj) 仁慈的	(adj) 大的	(adj) 最後的	(adj) 晚的;遲的
large	(adj) 大的	(adj) 最後的	(adj) 晚的;遲的	(adj) 懶惰的
last	(adj) 最後的	(adj) 晚的;遲的	(adj) 懶惰的	(adj) 最小的;最少的;最不重要的
late	(adj) 晚的;遲的	(adj) 懶惰的	(adj) 最小的;最少的;最不重要的	(adj) 左邊的
lazy	(adj) 懶惰的	(adj) 最小的;最少的;最不重要的	(adj) 左邊的	(adj) 較少的
least	(adj) 最小的;最少的;最不重要的	(adj) 左邊的	(adj) 較少的	(adj) 水平的,平的;筆直的
left	(adj) 左邊的	(adj) 較少的	(adj) 水平的,平的;筆直的	(adj) 輕的
less	(adj) 較少的	(adj) 水平的,平的;筆直的	(adj) 輕的	(adj) 有可能的
level	(adj) 水平的,平的;筆直的	(adj) 輕的	(adj) 有可能的	(adj) 很少的
light	(adj) 輕的	(adj) 有可能的	(adj) 很少的	(adj) 活的,有生命的;燃著的;實況播送的
likely	(adj) 有可能的	(adj) 很少的	(adj) 活的,有生命的;燃著的;實況播送的	(adj) 長的
little	(adj) 很少的	(adj) 活的,有生命的;燃著的;實況播送的	(adj) 長的	(adj) 大聲的
live	(adj) 活的,有生命的;燃著的;實況播送的	(adj) 長的	(adj) 大聲的	(adj) 低的;矮的
long	(adj) 長的	(adj) 大聲的	(adj) 低的;矮的	(adj) 幸運的
loud	(adj) 大聲的	(adj) 低的;矮的	(adj) 幸運的	(adj) 發火;發瘋;發狂的
low	(adj) 低的;矮的	(adj) 幸運的	(adj) 發火;發瘋;發狂的	(adj) 很多的
lucky	(adj) 幸運的	(adj) 發火;發瘋;發狂的	(adj) 很多的	(adj) 兇的;吝嗇的
mad	(adj) 發火;發瘋;發狂的	(adj) 很多的	(adj) 兇的;吝嗇的	(adj) 中間的
many	(adj) 很多的	(adj) 兇的;吝嗇的	(adj) 中間的	(adj) 更多的
mean	(adj) 兇的;吝嗇的	(adj) 中間的	(adj) 更多的	(adj) 最多的;大部分的
middle	(adj) 中間的	(adj) 更多的	(adj) 最多的;大部分的	(adj) 很多的
more	(adj) 更多的	(adj) 最多的;大部分的	(adj) 很多的	(adj) 近的
most	(adj) 最多的;大部分的	(adj) 很多的	(adj) 近的	(adj) 新的
much	(adj) 很多的	(adj) 近的	(adj) 新的	(adj) 下一個
near	(adj) 近的	(adj) 新的	(adj) 下一個	(adj) 好的
new	(adj) 新的	(adj) 下一個	(adj) 好的	(adj) 九的
next	(adj) 下一個	(adj) 好的	(adj) 九的	(adj) 十九的
nice	(adj) 好的	(adj) 九的	(adj) 十九的	(adj) 九十的
nine	(adj) 九的	(adj) 十九的	(adj) 九十的	(adj) 沒有;不
nineteen	(adj) 十九的	(adj) 九十的	(adj) 沒有;不	(adj) 喧鬧的
ninety	(adj) 九十的	(adj) 沒有;不	(adj) 喧鬧的	(adj) 可以的;不錯的;很好的
no	(adj) 沒有;不	(adj) 喧鬧的	(adj) 可以的;不錯的;很好的	(adj) 離去的;偏離的;休假的;關著的
noisy	(adj) 喧鬧的	(adj) 可以的;不錯的;很好的	(adj) 離去的;偏離的;休假的;關著的	(adj) 好吧
O.K.	(adj) 可以的;不錯的;很好的	(adj) 離去的;偏離的;休假的;關著的	(adj) 好吧	(adj) 對;可以;不錯
off	(adj) 離去的;偏離的;休假的;關著的	(adj) 好吧	(adj) 對;可以;不錯	(adj) 年老的
OK	(adj) 好吧	(adj) 對;可以;不錯	(adj) 年老的	(adj) 打開的;空曠的;未定的;營業的;公開的
okay	(adj) 對;可以;不錯	(adj) 年老的	(adj) 打開的;空曠的;未定的;營業的;公開的	(adj) 其他的
old	(adj) 年老的	(adj) 打開的;空曠的;未定的;營業的;公開的	(adj) 其他的	(adj) 在外的
open	(adj) 打開的;空曠的;未定的;營業的;公開的	(adj) 其他的	(adj) 在外的	(adj) 外邊的,外部的
other	(adj) 其他的	(adj) 在外的	(adj) 外邊的,外部的	(adj) 自己的
out	(adj) 在外的	(adj) 外邊的,外部的	(adj) 自己的	(adj) 過去的
outside	(adj) 外邊的,外部的	(adj) 自己的	(adj) 過去的	(adj) 貧窮的
own	(adj) 自己的	(adj) 過去的	(adj) 貧窮的	(adj) 可能的
past	(adj) 過去的	(adj) 貧窮的	(adj) 可能的	(adj) 漂亮的
poor	(adj) 貧窮的	(adj) 可能的	(adj) 漂亮的	(adj) 公開的;公立的
possible	(adj) 可能的	(adj) 漂亮的	(adj) 公開的;公立的	(adj) 快的
pretty	(adj) 漂亮的	(adj) 公開的;公立的	(adj) 快的	(adj) 安靜的
public	(adj) 公開的;公立的	(adj) 快的	(adj) 安靜的	(adj) 準備好的
quick	(adj) 快的	(adj) 安靜的	(adj) 準備好的	(adj) 真實的
quiet	(adj) 安靜的	(adj) 準備好的	(adj) 真實的	(adj) 富有的
ready	(adj) 準備好的	(adj) 真實的	(adj) 富有的	(adj) 右邊;對的
real	(adj) 真實的	(adj) 富有的	(adj) 右邊;對的	(adj) 圓形的
rich	(adj) 富有的	(adj) 右邊;對的	(adj) 圓形的	(adj) 難過的
right	(adj) 右邊;對的	(adj) 圓形的	(adj) 難過的	(adj) 安全的
round	(adj) 圓形的	(adj) 難過的	(adj) 安全的	(adj) 鹹水的;含鹽的;(故事,笑話等)猥褻的
sad	(adj) 難過的	(adj) 安全的	(adj) 鹹水的;含鹽的;(故事,笑話等)猥褻的	(adj) 相同的
safe	(adj) 安全的	(adj) 鹹水的;含鹽的;(故事,笑話等)猥褻的	(adj) 相同的	(adj) 第二的;次要的,副的,從屬的
salt	(adj) 鹹水的;含鹽的;(故事,笑話等)猥褻的	(adj) 相同的	(adj) 第二的;次要的,副的,從屬的	(adj) 自私的
same	(adj) 相同的	(adj) 第二的;次要的,副的,從屬的	(adj) 自私的	(adj) 七的
second	(adj) 第二的;次要的,副的,從屬的	(adj) 自私的	(adj) 七的	(adj) 十七的
selfish	(adj) 自私的	(adj) 七的	(adj) 十七的	(adj) 七十的
seven	(adj) 七的	(adj) 十七的	(adj) 七十的	(adj) 幾個的
seventeen	(adj) 十七的	(adj) 七十的	(adj) 幾個的	(adj) 尖銳的;敏銳的
seventy	(adj) 七十的	(adj) 幾個的	(adj) 尖銳的;敏銳的	(adj) 矮的;短的
several	(adj) 幾個的	(adj) 尖銳的;敏銳的	(adj) 矮的;短的	(adj) 害羞的
sharp	(adj) 尖銳的;敏銳的	(adj) 矮的;短的	(adj) 害羞的	(adj) 生病的
short	(adj) 矮的;短的	(adj) 害羞的	(adj) 生病的	(adj) 傻的;無聊的
shy	(adj) 害羞的	(adj) 生病的	(adj) 傻的;無聊的	(adj) 簡單的
sick	(adj) 生病的	(adj) 傻的;無聊的	(adj) 簡單的	(adj) 六的
silly	(adj) 傻的;無聊的	(adj) 簡單的	(adj) 六的	(adj) 十六的
simple	(adj) 簡單的	(adj) 六的	(adj) 十六的	(adj) 六十的
six	(adj) 六的	(adj) 十六的	(adj) 六十的	(adj) 緩慢的
sixteen	(adj) 十六的	(adj) 六十的	(adj) 緩慢的	(adj) 小的
sixty	(adj) 六十的	(adj) 緩慢的	(adj) 小的	(adj) 聰明的
slow	(adj) 緩慢的	(adj) 小的	(adj) 聰明的	(adj) 柔軟的
small	(adj) 小的	(adj) 聰明的	(adj) 柔軟的	(adj) 一些的
smart	(adj) 聰明的	(adj) 柔軟的	(adj) 一些的	(adj) 抱歉;遺憾的
soft	(adj) 柔軟的	(adj) 一些的	(adj) 抱歉;遺憾的	(adj) 完好的;堅固的;合理的,明智的;殷實的
some	(adj) 一些的	(adj) 抱歉;遺憾的	(adj) 完好的;堅固的;合理的,明智的;殷實的	(adj) 酸的
sorry	(adj) 抱歉;遺憾的	(adj) 完好的;堅固的;合理的,明智的;殷實的	(adj) 酸的	(adj) 特別的
sound	(adj) 完好的;堅固的;合理的,明智的;殷實的	(adj) 酸的	(adj) 特別的	(adj) 靜止的
sour	(adj) 酸的	(adj) 特別的	(adj) 靜止的	(adj) 奇怪的
special	(adj) 特別的	(adj) 靜止的	(adj) 奇怪的	(adj) 強壯的
still	(adj) 靜止的	(adj) 奇怪的	(adj) 強壯的	(adj) 笨的
strange	(adj) 奇怪的	(adj) 強壯的	(adj) 笨的	(adj) 如此的
strong	(adj) 強壯的	(adj) 笨的	(adj) 如此的	(adj) 超級的
stupid	(adj) 笨的	(adj) 如此的	(adj) 超級的	(adj) 甜的
such	(adj) 如此的	(adj) 超級的	(adj) 甜的	(adj) 高的
super	(adj) 超級的	(adj) 甜的	(adj) 高的	(adj) 十的
sweet	(adj) 甜的	(adj) 高的	(adj) 十的	(adj) 那;那個
tall	(adj) 高的	(adj) 十的	(adj) 那;那個	(adj) 當時的
ten	(adj) 十的	(adj) 那;那個	(adj) 當時的	(adj) 這些 (this 的複數)
that	(adj) 那;那個	(adj) 當時的	(adj) 這些 (this 的複數)	(adj) 第三
then	(adj) 當時的	(adj) 這些 (this 的複數)	(adj) 第三	(adj) 十三的
these	(adj) 這些 (this 的複數)	(adj) 第三	(adj) 十三的	(adj) 三十的
third	(adj) 第三	(adj) 十三的	(adj) 三十的	(adj) 這
thirteen	(adj) 十三的	(adj) 三十的	(adj) 這	(adj) 那些的;那
thirty	(adj) 三十的	(adj) 這	(adj) 那些的;那	(adj) 千的
this	(adj) 這	(adj) 那些的;那	(adj) 千的	(adj) 三的
those	(adj) 那些的;那	(adj) 千的	(adj) 三的	(adj) 微小的
thousand	(adj) 千的	(adj) 三的	(adj) 微小的	(adj) 最高的
three	(adj) 三的	(adj) 微小的	(adj) 最高的	(adj) 總的
tiny	(adj) 微小的	(adj) 最高的	(adj) 總的	(adj) 向上的;上行的
top	(adj) 最高的	(adj) 總的	(adj) 向上的;上行的	(adj) 樓上的
total	(adj) 總的	(adj) 向上的;上行的	(adj) 樓上的	(adj) 有用的
up	(adj) 向上的;上行的	(adj) 樓上的	(adj) 有用的	(adj) 溫暖的
upstairs	(adj) 樓上的	(adj) 有用的	(adj) 溫暖的	(adj) 虛弱的
useful	(adj) 有用的	(adj) 溫暖的	(adj) 虛弱的	(adj) 受歡迎的;令人愉快的;被允許的
warm	(adj) 溫暖的	(adj) 虛弱的	(adj) 受歡迎的;令人愉快的;被允許的	(adj) 健康的
weak	(adj) 虛弱的	(adj) 受歡迎的;令人愉快的;被允許的	(adj) 健康的	(adj) 什麼;多麼,何等
welcome	(adj) 受歡迎的;令人愉快的;被允許的	(adj) 健康的	(adj) 什麼;多麼,何等	(adj) 哪一個,哪一些;這個,這些
well	(adj) 健康的	(adj) 什麼;多麼,何等	(adj) 哪一個,哪一些;這個,這些	(adj) 完整的
what	(adj) 什麼;多麼,何等	(adj) 哪一個,哪一些;這個,這些	(adj) 完整的	(adj) 寬的,廣泛的
which	(adj) 哪一個,哪一些;這個,這些	(adj) 完整的	(adj) 寬的,廣泛的	(adj) 更壞的,更差的
whole	(adj) 完整的	(adj) 寬的,廣泛的	(adj) 更壞的,更差的	(adj) 最壞的;最差的
wide	(adj) 寬的,廣泛的	(adj) 更壞的,更差的	(adj) 最壞的;最差的	(adj) 錯誤的
worse	(adj) 更壞的,更差的	(adj) 最壞的;最差的	(adj) 錯誤的	(adj) 年輕的
worst	(adj) 最壞的;最差的	(adj) 錯誤的	(adj) 年輕的	(adj) 討人厭的;噁心的
wrong	(adj) 錯誤的	(adj) 年輕的	(adj) 討人厭的;噁心的	(adj) 好吃的
young	(adj) 年輕的	(adj) 討人厭的;噁心的	(adj) 好吃的	(v) 扮演
yucky	(adj) 討人厭的;噁心的	(adj) 好吃的	(v) 扮演	(v) 添加
yummy	(adj) 好吃的	(v) 扮演	(v) 添加	(v) 寫上收件人姓名地址;向...致詞
act	(v) 扮演	(v) 添加	(v) 寫上收件人姓名地址;向...致詞	(v) 使變老;使(酒之)味道變醇;使成熟
add	(v) 添加	(v) 寫上收件人姓名地址;向...致詞	(v) 使變老;使(酒之)味道變醇;使成熟	(v) 同意
address	(v) 寫上收件人姓名地址;向...致詞	(v) 使變老;使(酒之)味道變醇;使成熟	(v) 同意	(v) 允許
age	(v) 使變老;使(酒之)味道變醇;使成熟	(v) 同意	(v) 允許	(v) 是,在; be 動詞第一人稱,單數,現在式
agree	(v) 同意	(v) 允許	(v) 是,在; be 動詞第一人稱,單數,現在式	(v) 回答
allow	(v) 允許	(v) 是,在; be 動詞第一人稱,單數,現在式	(v) 回答	(v) 模仿
am	(v) 是,在; be 動詞第一人稱,單數,現在式	(v) 回答	(v) 模仿	(v) 出現
answer	(v) 回答	(v) 模仿	(v) 出現	(v) 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式
ape	(v) 模仿	(v) 出現	(v) 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式	(v) 問
appear	(v) 出現	(v) 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式	(v) 問	(v) 向後;追溯;回覆;贊助
are	(v) 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式	(v) 問	(v) 向後;追溯;回覆;贊助	(v) 使成球形; 呈球狀
ask	(v) 問	(v) 向後;追溯;回覆;贊助	(v) 使成球形; 呈球狀	(v) 像氣球般鼓起(或膨脹);乘氣球上升;激增
back	(v) 向後;追溯;回覆;贊助	(v) 使成球形; 呈球狀	(v) 像氣球般鼓起(或膨脹);乘氣球上升;激增	(v) 存(款)於銀行;築堤防護;堆積
ball	(v) 使成球形; 呈球狀	(v) 像氣球般鼓起(或膨脹);乘氣球上升;激增	(v) 存(款)於銀行;築堤防護;堆積	(v) 閂住;阻攔;禁止
balloon	(v) 像氣球般鼓起(或膨脹);乘氣球上升;激增	(v) 存(款)於銀行;築堤防護;堆積	(v) 閂住;阻攔;禁止	(v) 以...為基地
bank	(v) 存(款)於銀行;築堤防護;堆積	(v) 閂住;阻攔;禁止	(v) 以...為基地	(v) 揮打;眨(眼)
bar	(v) 閂住;阻攔;禁止	(v) 以...為基地	(v) 揮打;眨(眼)	(v) 洗澡
base	(v) 以...為基地	(v) 揮打;眨(眼)	(v) 洗澡	(v) 是;要;有;在
bat	(v) 揮打;眨(眼)	(v) 洗澡	(v) 是;要;有;在	(v) 將(船等)拖上岸
bathe	(v) 洗澡	(v) 是;要;有;在	(v) 將(船等)拖上岸	(v) 擊敗;敲擊
be	(v) 是;要;有;在	(v) 將(船等)拖上岸	(v) 擊敗;敲擊	(v) 變成
beach	(v) 將(船等)拖上岸	(v) 擊敗;敲擊	(v) 變成	(v) 開始
beat	(v) 擊敗;敲擊	(v) 變成	(v) 開始	(v) 相信
become	(v) 變成	(v) 開始	(v) 相信	(v) 屬於
begin	(v) 開始	(v) 相信	(v) 屬於	(v) 打敗;勝過
believe	(v) 相信	(v) 屬於	(v) 打敗;勝過	(v) 改善;提高;超過;變得較好
belong	(v) 屬於	(v) 打敗;勝過	(v) 改善;提高;超過;變得較好	(v) 咬
best	(v) 打敗;勝過	(v) 改善;提高;超過;變得較好	(v) 咬	(v) 阻塞
better	(v) 改善;提高;超過;變得較好	(v) 咬	(v) 阻塞	(v) 吹
bite	(v) 咬	(v) 阻塞	(v) 吹	(v) 預訂;預雇;預約;登記
block	(v) 阻塞	(v) 吹	(v) 預訂;預雇;預約;登記	(v) 基於,根據;到達底部;降至最低點
blow	(v) 吹	(v) 預訂;預雇;預約;登記	(v) 基於,根據;到達底部;降至最低點	(v) 把...裝箱(或盒等)
book	(v) 預訂;預雇;預約;登記	(v) 基於,根據;到達底部;降至最低點	(v) 把...裝箱(或盒等)	(v) 斷裂;中斷;打破（記錄）
bottom	(v) 基於,根據;到達底部;降至最低點	(v) 把...裝箱(或盒等)	(v) 斷裂;中斷;打破（記錄）	(v) 吃早餐; 為...供應早餐
box	(v) 把...裝箱(或盒等)	(v) 斷裂;中斷;打破（記錄）	(v) 吃早餐; 為...供應早餐	(v) 架橋於;把...連結(或彌合)起來
break	(v) 斷裂;中斷;打破（記錄）	(v) 吃早餐; 為...供應早餐	(v) 架橋於;把...連結(或彌合)起來	(v) 帶來
breakfast	(v) 吃早餐; 為...供應早餐	(v) 架橋於;把...連結(或彌合)起來	(v) 帶來	(v) 在...安裝竊聽器;煩擾;激怒
bridge	(v) 架橋於;把...連結(或彌合)起來	(v) 帶來	(v) 在...安裝竊聽器;煩擾;激怒	(v) 建造;蓋
bring	(v) 帶來	(v) 在...安裝竊聽器;煩擾;激怒	(v) 建造;蓋	(v) 用公車運送
bug	(v) 在...安裝竊聽器;煩擾;激怒	(v) 建造;蓋	(v) 用公車運送	(v) 使忙於
build	(v) 建造;蓋	(v) 用公車運送	(v) 使忙於	(v) 塗奶油於;以花言巧語討好
bus	(v) 用公車運送	(v) 使忙於	(v) 塗奶油於;以花言巧語討好	(v) 買
busy	(v) 使忙於	(v) 塗奶油於;以花言巧語討好	(v) 買	(v) 把...關進籠子;把...囚禁起來
butter	(v) 塗奶油於;以花言巧語討好	(v) 買	(v) 把...關進籠子;把...囚禁起來	(v) 喊;打電話
buy	(v) 買	(v) 把...關進籠子;把...囚禁起來	(v) 喊;打電話	(v) 露營
