[감사]	感謝
[어차피] 안 되다	「反正」不行
죽음이 [억울하다]	死氣「沈沈」
[억지로] 웃다	「強顏」歡笑
[열정]을 쏟다	傾注「熱情」
[외로움]을 느끼다	感到「寂寞」
[우려]가 크다	「憂慮」大
[울음소리]가 나다	發出「哭聲」
[웃음소리]가 나다	發出「笑聲」
[위기]를 면하다	面對「危險」
[위로]를 받다	接受「慰勞」
[위험성]이 크다	「危險性」大
[위협]을 당하다	受到「威脅」
[유쾌]:불쾌	「愉快」：不快
[의욕]이 넘치다	充滿「幹勁」
알코올 [의존]	「依賴」酒精
[인식]이 강하다	「認知度」強
[인정]이 넘치다	充滿「人情」
[인정]을 받다	得到「認可」
아들이 [자랑스럽다]	兒子「自豪」
표정이 [자연스럽다]	表情「自然」
[자존심]을 지키다	保持「自尊心」
[정]이 들다	有「感情」
[정신적] 여유	「精神的」余裕
[조화]를 이루다	達到「和諧」
[존경]을 받다	受到「尊敬」
[존중]을 받다	受到「尊重」
공부가 [지겹다]	唸書「無聊」
말투가 [짜증스럽다]	語氣「煩燥」
[차마] 할 수 없다	不「忍心」說
[창피]를 당하다	受「恥辱」
[첫눈]에 반하다	「一見」鍾情
불안과 [초조]	不安和「焦躁」
[충격]을 받다	接到「衝擊」
[충격적] 사실	「衝擊的」事實
공기가 [쾌적하다]	空氣「清新」
마을이 [평화롭다]	心情「平和」
[표정]이 밝다	「表情」開朗
[피로]를 느끼다	感到「疲勞」
[한]을 품다	懷「恨」
[한]이 없다(욕심)	沒有「遺憾」
스트레스 [해소]	壓力「解消」
길이 [험하다]	道路「險峻」
[호감]을 느끼다	有「好感」
[호기심]이 강하다	「好奇心」強
동생을 [혼내다]	被哥哥「駡」
[후회]가 되다	後悔
지난날이 [후회스럽다]	「後悔」過去
[흥분]을 가라앉히다	抑制「興奮」
[힘껏] 밀다	「用力」推
걱정을 [끼치다]	「讓人」擔心
감정 [폭발]	感情「爆發」
