assistant	助手	生物;有機體	發言人	女發言人
acute	尖銳的	適應;改寫	使沈溺;使成癮	沈溺;上癮
adaptation	適應;改寫	使沈溺;使成癮	沈溺;上癮	管理;給予;執行
addict	使沈溺;使成癮	沈溺;上癮	管理;給予;執行	管理;經營;管理部門
addiction	沈溺;上癮	管理;給予;執行	管理;經營;管理部門	管理的;行政的
administer/administrate	管理;給予;執行	管理;經營;管理部門	管理的;行政的	管理人;行政官員
administration	管理;經營;管理部門	管理的;行政的	管理人;行政官員	擁護;提倡
administrative	管理的;行政的	管理人;行政官員	擁護;提倡	充滿深情的;溫柔親切的
administrator	管理人;行政官員	擁護;提倡	充滿深情的;溫柔親切的	斷言;申明;堅稱
advocate	擁護;提倡	充滿深情的;溫柔親切的	斷言;申明;堅稱	侵略;侵犯行為
affectionate	充滿深情的;溫柔親切的	斷言;申明;堅稱	侵略;侵犯行為	含酒精的
affirm	斷言;申明;堅稱	侵略;侵犯行為	含酒精的	使疏遠;離間
aggression	侵略;侵犯行為	含酒精的	使疏遠;離間	結盟;聯盟
alcoholic	含酒精的	使疏遠;離間	結盟;聯盟	分派;分配
alienate	使疏遠;離間	結盟;聯盟	分派;分配	沿著
alliance	結盟;聯盟	分派;分配	沿著	兩者(或若干)中擇一的
allocate	分派;分配	沿著	兩者(或若干)中擇一的	意義不明確;模稜兩可的話
alongside	沿著	兩者(或若干)中擇一的	意義不明確;模稜兩可的話	含糊不清的
alternative	兩者(或若干)中擇一的	意義不明確;模稜兩可的話	含糊不清的	救護車
ambiguity	意義不明確;模稜兩可的話	含糊不清的	救護車	埋伏下;伏擊
ambiguous	含糊不清的	救護車	埋伏下;伏擊	和藹可親的
ambulance	救護車	埋伏下;伏擊	和藹可親的	放大(聲音等);擴大
ambush	埋伏下;伏擊	和藹可親的	放大(聲音等);擴大	文選;論集
amiable	和藹可親的	放大(聲音等);擴大	文選;論集	相似;類推;類比
amplify	放大(聲音等);擴大	文選;論集	相似;類推;類比	分析師
analects	文選;論集	相似;類推;類比	分析師	分析的
analogy	相似;類推;類比	分析師	分析的	女主播
analyst	分析師	分析的	女主播	軼事
analytical	分析的	女主播	軼事	有生命的;活潑的;有活力的
anchorwoman	女主播	軼事	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)
anecdote	軼事	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)	匿名的
animate	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)	匿名的	南極的
annoyance	惱怒;打擾;討厭的東西(或人)	匿名的	南極的	天線
anonymous	匿名的	南極的	天線	抗生的;抗菌的
Antarctic/antarctic	南極的	天線	抗生的;抗菌的	抗體
antenna	天線	抗生的;抗菌的	抗體	預期;預先考慮到
antibiotic	抗生的;抗菌的	抗體	預期;預先考慮到	預期
antibody	抗體	預期;預先考慮到	預期	反義字
anticipate	預期;預先考慮到	預期	反義字	合用的
anticipation	預期	反義字	合用的	當學徒
antonym	反義字	合用的	當學徒	近似的;大概的
applicable	合用的	當學徒	近似的;大概的	傾向;習性;天資
apprentice	當學徒	近似的;大概的	傾向;習性;天資	北極的
approximate	近似的;大概的	傾向;習性;天資	北極的	傲慢的;自大的
aptitude	傾向;習性;天資	北極的	傲慢的;自大的	動脈;要道
Arctic/arctic	北極的	傲慢的;自大的	動脈;要道	發音清晰的;口才好的
arrogant	傲慢的;自大的	動脈;要道	發音清晰的;口才好的	人工製品;手工藝品
artery	動脈;要道	發音清晰的;口才好的	人工製品;手工藝品	暗殺,詆毀
articulate	發音清晰的;口才好的	人工製品;手工藝品	暗殺,詆毀	斷言;堅持
artifact	人工製品;手工藝品	暗殺,詆毀	斷言;堅持	估價
assassinate	暗殺,詆毀	斷言;堅持	估價	假設;擔任
assert	斷言;堅持	估價	假設;擔任	氣喘(病);哮喘
assess	估價	假設;擔任	氣喘(病);哮喘	收容院;避難所;政治庇護
assumption	假設;擔任	氣喘(病);哮喘	收容院;避難所;政治庇護	達到;獲得
asthma	氣喘(病);哮喘	收容院;避難所;政治庇護	達到;獲得	出席的;伴隨的;侍候的
asylum	收容院;避難所;政治庇護	達到;獲得	出席的;伴隨的;侍候的	頂樓;閣樓
attain	達到;獲得	出席的;伴隨的;侍候的	頂樓;閣樓	拍賣
attendant	出席的;伴隨的;侍候的	頂樓;閣樓	拍賣	可信的;真實的
attic	頂樓;閣樓	拍賣	可信的;真實的	授權給;批准
auction	拍賣	可信的;真實的	授權給;批准	親筆簽名於
authentic	可信的;真實的	授權給;批准	親筆簽名於	自治
authorize	授權給;批准	親筆簽名於	自治	航空;飛行
autograph/signature	親筆簽名於	自治	航空;飛行	令人敬畏的;非凡的
autonomy	自治	航空;飛行	令人敬畏的;非凡的	晴雨表;顯示變化的事物
aviation	航空;飛行	令人敬畏的;非凡的	晴雨表;顯示變化的事物	點頭示意
awesome	令人敬畏的;非凡的	晴雨表;顯示變化的事物	點頭示意	圍攻;圍困;煩擾
barometer	晴雨表;顯示變化的事物	點頭示意	圍攻;圍困;煩擾	背叛;出賣
beckon	點頭示意	圍攻;圍困;煩擾	背叛;出賣	飲料
besiege	圍攻;圍困;煩擾	背叛;出賣	飲料	使存偏見
betray	背叛;出賣	飲料	使存偏見	雙筒望遠鏡
beverage	飲料	使存偏見	雙筒望遠鏡	生物化學
bias	使存偏見	雙筒望遠鏡	生物化學	生物的;生物學的
binoculars	雙筒望遠鏡	生物化學	生物的;生物學的	異乎尋常的
biochemistry	生物化學	生物的;生物學的	異乎尋常的	荒涼的
biological	生物的;生物學的	異乎尋常的	荒涼的	犯大錯;出漏子
bizarre	異乎尋常的	荒涼的	犯大錯;出漏子	鈍的
bleak	荒涼的	犯大錯;出漏子	鈍的	砲擊
blunder	犯大錯;出漏子	鈍的	砲擊	奴隸身分
blunt	鈍的	砲擊	奴隸身分	舉;抬;推動;促進
bombard	砲擊	奴隸身分	舉;抬;推動;促進	比賽
bondage	奴隸身分	舉;抬;推動;促進	比賽	聯合抵制
boost	舉;抬;推動;促進	比賽	聯合抵制	故障;損壞;崩潰;分析
bout	比賽	聯合抵制	故障;損壞;崩潰;分析	突圍;突破;突破性進展
boycott	聯合抵制	故障;損壞;崩潰;分析	突圍;突破;突破性進展	分裂;關係破裂;解體
breakdown	故障;損壞;崩潰;分析	突圍;突破;突破性進展	分裂;關係破裂;解體	泡
breakthrough	突圍;突破;突破性進展	分裂;關係破裂;解體	泡	邊緣
breakup	分裂;關係破裂;解體	泡	邊緣	輕快的;興旺的;寒冷而清新的
brew	泡	邊緣	輕快的;興旺的;寒冷而清新的	小冊子
brink	邊緣	輕快的;興旺的;寒冷而清新的	小冊子	畜生的;畜生般的;殘忍的
brisk	輕快的;興旺的;寒冷而清新的	小冊子	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步
brochure	小冊子	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步	體積大的;笨重的
brute	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步	體積大的;笨重的	官僚
buckle	扣住;垮掉;讓步	體積大的;笨重的	官僚	埋葬;葬禮;墓地
bulky	體積大的;笨重的	官僚	埋葬;葬禮;墓地	(電腦)位元組
bureaucracy	官僚	埋葬;葬禮;墓地	(電腦)位元組	咖啡因
burial	埋葬;葬禮;墓地	(電腦)位元組	咖啡因	鈣
byte	(電腦)位元組	咖啡因	鈣	用帆布覆蓋;用帆布裝備
caffeine	咖啡因	鈣	用帆布覆蓋;用帆布裝備	能力;性能
calcium	鈣	用帆布覆蓋;用帆布裝備	能力;性能	小盒;膠囊;太空艙
canvas	用帆布覆蓋;用帆布裝備	能力;性能	小盒;膠囊;太空艙	加標題於
capability	能力;性能	小盒;膠囊;太空艙	加標題於	被俘的;被迷住的
capsule	小盒;膠囊;太空艙	加標題於	被俘的;被迷住的	囚禁;束縛
caption	加標題於	被俘的;被迷住的	囚禁;束縛	碳水化合物;含醣食物
captive	被俘的;被迷住的	囚禁;束縛	碳水化合物;含醣食物	愛撫;撫摸;寵愛
captivity	囚禁;束縛	碳水化合物;含醣食物	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩
carbohydrate	碳水化合物;含醣食物	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩	收銀員
caress	愛撫;撫摸;寵愛	(耶誕)頌歌;讚美詩	收銀員	傷亡人員
carol	(耶誕)頌歌;讚美詩	收銀員	傷亡人員	大災難;慘敗
cashier	收銀員	傷亡人員	大災難;慘敗	承辦宴席;迎合
casualty	傷亡人員	大災難;慘敗	承辦宴席;迎合	騎兵;騎兵部隊
catastrophe	大災難;慘敗	承辦宴席;迎合	騎兵;騎兵部隊	孔洞
cater	承辦宴席;迎合	騎兵;騎兵部隊	孔洞	公墓;墓地
cavalry	騎兵;騎兵部隊	孔洞	公墓;墓地	確實;必然
cavity	孔洞	公墓;墓地	確實;必然	證明;保證;發證書(或執照等)
cemetery	公墓;墓地	確實;必然	證明;保證;發證書(或執照等)	香檳
certainty	確實;必然	證明;保證;發證書(或執照等)	香檳	混亂;雜亂的一團
certify	證明;保證;發證書(或執照等)	香檳	混亂;雜亂的一團	描繪...的特性;具有...的特徵
champagne	香檳	混亂;雜亂的一團	描繪...的特性;具有...的特徵	木炭
chaos	混亂;雜亂的一團	描繪...的特性;具有...的特徵	木炭	駕馭(戰車或馬車)
characterize	描繪...的特性;具有...的特徵	木炭	駕馭(戰車或馬車)	慈善的;寬容的
charcoal	木炭	駕馭(戰車或馬車)	慈善的;寬容的	膽固醇
chariot	駕馭(戰車或馬車)	慈善的;寬容的	膽固醇	(病)慢性的;(人)久病的;長期的
charitable	慈善的;寬容的	膽固醇	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑
cholesterol	膽固醇	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片
chronic	(病)慢性的;(人)久病的;長期的	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片	使文明,使開化
chuckle	咯咯地笑;暗自發笑	(肉、木材等的)大塊;厚片	使文明,使開化	鉗緊;夾住;強行實施;取締
chunk	(肉、木材等的)大塊;厚片	使文明,使開化	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰
civilize	使文明,使開化	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰	清洗;淨化
clamp	鉗緊;夾住;強行實施;取締	(思想、文體等的)清楚;明晰	清洗;淨化	清掃;出空;清倉大拍賣
clarity	(思想、文體等的)清楚;明晰	清洗;淨化	清掃;出空;清倉大拍賣	緊握
cleanse	清洗;淨化	清掃;出空;清倉大拍賣	緊握	臨床的;診所的
clearance	清掃;出空;清倉大拍賣	緊握	臨床的;診所的	複製
clench	緊握	臨床的;診所的	複製	關閉
clinical	臨床的;診所的	複製	關閉	棺材;靈柩
clone	複製	關閉	棺材;靈柩	一致的;條理清楚的;連貫的
closure	關閉	棺材;靈柩	一致的;條理清楚的;連貫的	同時發生;巧合;一致
coffin	棺材;靈柩	一致的;條理清楚的;連貫的	同時發生;巧合;一致	巧合
coherent	一致的;條理清楚的;連貫的	同時發生;巧合;一致	巧合	集體的;共同的
coincide	同時發生;巧合;一致	巧合	集體的;共同的	收集者;收藏家
coincidence	巧合	集體的;共同的	收集者;收藏家	相撞;衝突;抵觸
collective	集體的;共同的	收集者;收藏家	相撞;衝突;抵觸	相撞;衝突;抵觸
collector	收集者;收藏家	相撞;衝突;抵觸	相撞;衝突;抵觸	口語的;會話的
collide	相撞;衝突;抵觸	相撞;衝突;抵觸	口語的;會話的	專欄作家
collision	相撞;衝突;抵觸	口語的;會話的	專欄作家	慶祝;紀念
colloquial	口語的;會話的	專欄作家	慶祝;紀念	開始
columnist	專欄作家	慶祝;紀念	開始	評論;註釋
commemorate	慶祝;紀念	開始	評論;註釋	保證
commence	開始	評論;註釋	保證	交際的
commentary	評論;註釋	保證	交際的	友誼
commitment	保證	交際的	友誼	可比較的;比得上的
communicative	交際的	友誼	可比較的;比得上的	比較的;相對的
companionship	友誼	可比較的;比得上的	比較的;相對的	相容的
comparable	可比較的;比得上的	比較的;相對的	相容的	補償;賠償;酬報
comparative	比較的;相對的	相容的	補償;賠償;酬報	補償;賠償
compatible	相容的	補償;賠償;酬報	補償;賠償	能力;勝任;稱職
compensate	補償;賠償;酬報	補償;賠償	能力;勝任;稱職	有能力的;能幹的;能勝任的
compensation	補償;賠償	能力;勝任;稱職	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)
competence	能力;勝任;稱職	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配
competent	有能力的;能幹的;能勝任的	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配	膚色
compile	匯編;收集(資料等);編譯(程式)	補充;補足;與...相配	膚色	複雜(性);錯綜(性)
complement	補充;補足;與...相配	膚色	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難
complexion	膚色	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難	組成的;構成的
complexity	複雜(性);錯綜(性)	複雜(化);併發症;(新出現的)困難	組成的;構成的	綜合的
complication	複雜(化);併發症;(新出現的)困難	組成的;構成的	綜合的	包括;由...組成
component	組成的;構成的	綜合的	包括;由...組成	(勉強)承認;讓步;承認失敗
comprehensive	綜合的	包括;由...組成	(勉強)承認;讓步;承認失敗	自滿
comprise	包括;由...組成	(勉強)承認;讓步;承認失敗	自滿	概念;創始
concede	(勉強)承認;讓步;承認失敗	自滿	概念;創始	讓步;讓予物
conceit	自滿	概念;創始	讓步;讓予物	簡短的
conception	概念;創始	讓步;讓予物	簡短的	濃縮;縮短;凝結
concession	讓步;讓予物	簡短的	濃縮;縮短;凝結	授予(學位等);給予;協商
concise	簡短的	濃縮;縮短;凝結	授予(學位等);給予;協商	祕密的;機密的
condense	濃縮;縮短;凝結	授予(學位等);給予;協商	祕密的;機密的	遵照;符合;使一致
confer	授予(學位等);給予;協商	祕密的;機密的	遵照;符合;使一致	對抗
confidential	祕密的;機密的	遵照;符合;使一致	對抗	美國眾議院議員
conform	遵照;符合;使一致	對抗	美國眾議院議員	征服;克服;佔領
confrontation	對抗	美國眾議院議員	征服;克服;佔領	憑良心的;誠實的;認真的
congressman/congresswoman	美國眾議院議員	征服;克服;佔領	憑良心的;誠實的;認真的	一致;合意;輿論
conquest	征服;克服;佔領	憑良心的;誠實的;認真的	一致;合意;輿論	保存;(對自然資源的)保護
conscientious	憑良心的;誠實的;認真的	一致;合意;輿論	保存;(對自然資源的)保護	安慰;慰藉
consensus	一致;合意;輿論	保存;(對自然資源的)保護	安慰;慰藉	陰謀;謀叛;共謀
conservation	保存;(對自然資源的)保護	安慰;慰藉	陰謀;謀叛;共謀	構成(全體)的
consolation	安慰;慰藉	陰謀;謀叛;共謀	構成(全體)的	諮詢;商議
conspiracy	陰謀;謀叛;共謀	構成(全體)的	諮詢;商議	消耗;用盡;消耗量
constituent	構成(全體)的	諮詢;商議	消耗;用盡;消耗量	凝視;沈思;冥想
consultation	諮詢;商議	消耗;用盡;消耗量	凝視;沈思;冥想	參加競賽者;角逐者
consumption	消耗;用盡;消耗量	凝視;沈思;冥想	參加競賽者;角逐者	承包商;立契約者
contemplation	凝視;沈思;冥想	參加競賽者;角逐者	承包商;立契約者	否定(陳述等);反駁;與...矛盾
contestant	參加競賽者;角逐者	承包商;立契約者	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁
contractor	承包商;立契約者	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁	有爭議的;好議論的
contradict	否定(陳述等);反駁;與...矛盾	矛盾;否認;反駁	有爭議的;好議論的	爭論;爭議
contradiction	矛盾;否認;反駁	有爭議的;好議論的	爭論;爭議	定罪;證明有罪;確信
controversial	有爭議的;好議論的	爭論;爭議	定罪;證明有罪;確信	同等重要的;座標的;對等的
controversy	爭論;爭議	定罪;證明有罪;確信	同等重要的;座標的;對等的	熱忱的;衷心的
conviction	定罪;證明有罪;確信	同等重要的;座標的;對等的	熱忱的;衷心的	核心
coordinate	同等重要的;座標的;對等的	熱忱的;衷心的	核心	法人(組織)的;團體的;共同的
cordial	熱忱的;衷心的	核心	法人(組織)的;團體的;共同的	兵團;部隊;團
core	核心	法人(組織)的;團體的;共同的	兵團;部隊;團	屍體;殘骸
corporate	法人(組織)的;團體的;共同的	兵團;部隊;團	屍體;殘骸	通信者;通訊記者
corps	兵團;部隊;團	屍體;殘骸	通信者;通訊記者	墮落;腐化;貪污;賄賂
corpse	屍體;殘骸	通信者;通訊記者	墮落;腐化;貪污;賄賂	化妝用的
correspondent	通信者;通訊記者	墮落;腐化;貪污;賄賂	化妝用的	化妝品
corruption	墮落;腐化;貪污;賄賂	化妝用的	化妝品	世界性的;國際性的
cosmetic	化妝用的	化妝品	世界性的;國際性的	對應的人(或物)
cosmetics	化妝品	世界性的;國際性的	對應的人(或物)	覆蓋範圍;保險項目;新聞報導
cosmopolitan	世界性的;國際性的	對應的人(或物)	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖
counterpart	對應的人(或物)	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖	約束
coverage	覆蓋範圍;保險項目;新聞報導	垂涎;貪圖	約束	可信性;確實性
covet	垂涎;貪圖	約束	可信性;確實性	可信的;可靠的
cramp	約束	可信性;確實性	可信的;可靠的	(判斷、批評的)標準;尺度
credibility	可信性;確實性	可信的;可靠的	(判斷、批評的)標準;尺度	使彎曲
credible	可信的;可靠的	(判斷、批評的)標準;尺度	使彎曲	彎曲的
criterion	(判斷、批評的)標準;尺度	使彎曲	彎曲的	決定性的;重要的
crook	使彎曲	彎曲的	決定性的;重要的	粗糙的
crooked	彎曲的	決定性的;重要的	粗糙的	巡航;航遊;緩慢巡行
crucial	決定性的;重要的	粗糙的	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車
crude	粗糙的	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車	麵包屑
cruise	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車	麵包屑	粉碎;崩潰;(希望等)破滅
cruiser	巡洋艦;遊艇;警察巡邏車	麵包屑	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮
crumb	麵包屑	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育
crumble	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的
crust	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的	按慣例的
cultivate	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的	按慣例的	水仙花
cumulative	漸增的;蓄積的;累計的	按慣例的	水仙花	頭皮屑
customary	按慣例的	水仙花	頭皮屑	黎明
daffodil	水仙花	頭皮屑	黎明	致命的,致死的;非常的,極度的
dandruff	頭皮屑	黎明	致命的,致死的;非常的,極度的	正派的;體面的
daybreak	黎明	致命的,致死的;非常的,極度的	正派的;體面的	果斷的，堅決的
deadly	致命的,致死的;非常的,極度的	正派的;體面的	果斷的，堅決的	拒絕
decent	正派的;體面的	果斷的，堅決的	拒絕	奉獻;獻身於;舉行落成典禮
decisive	果斷的，堅決的	拒絕	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身
decline	拒絕	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身	認為;視作
dedicate	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身	認為;視作	缺陷
dedication	奉獻;揭幕儀式;獻身	認為;視作	缺陷	不足
deem	認為;視作	缺陷	不足	貶低;降低
defect	缺陷	不足	貶低;降低	深思熟慮的;蓄意的
deficiency	不足	貶低;降低	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的
degrade	貶低;降低	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的	譴責;告發
deliberate	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的	譴責;告發	密度
delinquent	怠忽職守的;拖欠的;犯法的	譴責;告發	密度	牙齒的;牙科的
denounce	譴責;告發	密度	牙齒的;牙科的	描畫;雕出
density	密度	牙齒的;牙科的	描畫;雕出	剝奪
dental	牙齒的;牙科的	描畫;雕出	剝奪	代表,代理人;副職,副手
depict	描畫;雕出	剝奪	代表,代理人;副職,副手	取得;衍生出
deprive	剝奪	代表,代理人;副職,副手	取得;衍生出	下降
deputy	代表,代理人;副職,副手	取得;衍生出	下降	後裔;從某一來源傳下的東西
derive	取得;衍生出	下降	後裔;從某一來源傳下的東西	下降;下傾;血統
descend	下降	後裔;從某一來源傳下的東西	下降;下傾;血統	指定的
descendant	後裔;從某一來源傳下的東西	下降;下傾;血統	指定的	命中注定的
descent	下降;下傾;血統	指定的	命中注定的	分開;拆卸;派遣
designate	指定的	命中注定的	分開;拆卸;派遣	扣留
destined	命中注定的	分開;拆卸;派遣	扣留	嚇住
detach	分開;拆卸;派遣	扣留	嚇住	洗潔劑
detain	扣留	嚇住	洗潔劑	惡化;(價值)下降;退化;墮落
deter	嚇住	洗潔劑	惡化;(價值)下降;退化;墮落	降低價值
detergent	洗潔劑	惡化;(價值)下降;退化;墮落	降低價值	糖尿病
deteriorate	惡化;(價值)下降;退化;墮落	降低價值	糖尿病	診斷
devalue	降低價值	糖尿病	診斷	診斷;診斷書;調查分析
diabetes	糖尿病	診斷	診斷;診斷書;調查分析	用圖解法表示,圖示
diagnose	診斷	診斷;診斷書;調查分析	用圖解法表示,圖示	直徑
diagnosis	診斷;診斷書;調查分析	用圖解法表示,圖示	直徑	口授,口述,
diagram	用圖解法表示,圖示	直徑	口授,口述,	口述;聽寫
diameter	直徑	口授,口述,	口述;聽寫	獨裁者
dictate	口授,口述,	口述;聽寫	獨裁者	構成差別;區分
dictation	口述;聽寫	獨裁者	構成差別;區分	困境
dictator	獨裁者	構成差別;區分	困境	(長;寬;厚;高等的)尺寸;大小
differentiate	構成差別;區分	困境	(長;寬;厚;高等的)尺寸;大小	減少
dilemma	困境	(長;寬;厚;高等的)尺寸;大小	減少	外交;外交手腕
dimension	(長;寬;厚;高等的)尺寸;大小	減少	外交;外交手腕	外交的;有外交手腕的
diminish	減少	外交;外交手腕	外交的;有外交手腕的	通訊錄;使用手冊
diplomacy	外交;外交手腕	外交的;有外交手腕的	通訊錄;使用手冊	無能;殘障
diplomatic	外交的;有外交手腕的	通訊錄;使用手冊	無能;殘障	使失去能力;使傷殘
directory	通訊錄;使用手冊	無能;殘障	使失去能力;使傷殘	不贊成;不同意
disability	無能;殘障	使失去能力;使傷殘	不贊成;不同意	災害的;悲慘的
disable	使失去能力;使傷殘	不贊成;不同意	災害的;悲慘的	卸貨;發射;排出;解雇
disapprove	不贊成;不同意	災害的;悲慘的	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的
disastrous	災害的;悲慘的	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的	使露出;揭發;透露
discharge	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的	使露出;揭發;透露	透露;揭發的事情
disciplinary	訓練的;紀律的;懲戒的	使露出;揭發;透露	透露;揭發的事情	使不舒服;使不安
disclose	使露出;揭發;透露	透露;揭發的事情	使不舒服;使不安	謹慎的
disclosure	透露;揭發的事情	使不舒服;使不安	謹慎的	歧視;辨別力
discomfort	使不舒服;使不安	謹慎的	歧視;辨別力	使丟臉
discreet	謹慎的	歧視;辨別力	使丟臉	不名譽的;可恥的
discrimination	歧視;辨別力	使丟臉	不名譽的;可恥的	去掉覆蓋物;拆除
disgrace	使丟臉	不名譽的;可恥的	去掉覆蓋物;拆除	使驚慌;使沮喪
disgraceful	不名譽的;可恥的	去掉覆蓋物;拆除	使驚慌;使沮喪	派遣;發送
dismantle	去掉覆蓋物;拆除	使驚慌;使沮喪	派遣;發送	非必要的;可分配的
dismay	使驚慌;使沮喪	派遣;發送	非必要的;可分配的	驅散;解散;散佈
dispatch	派遣;發送	非必要的;可分配的	驅散;解散;散佈	迫使離開;取代;免職
dispensable	非必要的;可分配的	驅散;解散;散佈	迫使離開;取代;免職	使不高興;得罪
disperse	驅散;解散;散佈	迫使離開;取代;免職	使不高興;得罪	可任意處理的;用完即丟棄的
displace	迫使離開;取代;免職	使不高興;得罪	可任意處理的;用完即丟棄的	處理;(自由)處置權
displease	使不高興;得罪	可任意處理的;用完即丟棄的	處理;(自由)處置權	漠視
disposable	可任意處理的;用完即丟棄的	處理;(自由)處置權	漠視	意見不同的
disposal	處理;(自由)處置權	漠視	意見不同的	融解
disregard	漠視	意見不同的	融解	勸阻
dissident	意見不同的	融解	勸阻	扭曲;曲解;變形
dissolve	融解	勸阻	扭曲;曲解;變形	轉移(目標);使分心
dissuade	勸阻	扭曲;曲解;變形	轉移(目標);使分心	分心;注意力分散
distort	扭曲;曲解;變形	轉移(目標);使分心	分心;注意力分散	不信任;懷疑
distract	轉移(目標);使分心	分心;注意力分散	不信任;懷疑	擾亂;打擾
distraction	分心;注意力分散	不信任;懷疑	擾亂;打擾	互異的;多變化的
distrust	不信任;懷疑	擾亂;打擾	互異的;多變化的	使多樣化
disturbance	擾亂;打擾	互異的;多變化的	使多樣化	轉向;轉移;分散注意力
diverse	互異的;多變化的	使多樣化	轉向;轉移;分散注意力	差異;多樣性
diversify	使多樣化	轉向;轉移;分散注意力	差異;多樣性	轉向;改道;使分心
diversion	轉向;轉移;分散注意力	差異;多樣性	轉向;改道;使分心	教義;信條
diversity	差異;多樣性	轉向;改道;使分心	教義;信條	文件的;(電影、電視等)記錄的
divert	轉向;改道;使分心	教義;信條	文件的;(電影、電視等)記錄的	成圓頂狀
doctrine	教義;信條	文件的;(電影、電視等)記錄的	成圓頂狀	捐獻,捐贈
