こう (斯う)	in this way	America 	to be attached	hospital nurse
部長 (ぶちょう)	head 	culture	trade 	plans
文化 (ぶんか)	culture	trade 	plans	reason
貿易 (ぼうえき)	trade 	plans	reason	history
予定 (よてい)	plans	reason	history	factory
理由 (りゆう)	reason	history	factory	to perform
歴史 (れきし)	history	factory	to perform	feeling
工場 (こうじょう)	factory	to perform	feeling	within
行う (おこなう)	to perform	feeling	within	medical science
気持ち (きもち)	feeling	within	medical science	science
以内 (いない)	within	medical science	science	fire
医学 (いがく)	medical science	science	fire	section manager
科学 (かがく)	science	fire	section manager	assembly hall
火 (ひ)	fire	section manager	assembly hall	simple
課長 (かちょう)	section manager	assembly hall	simple	danger
会場 (かいじょう)	assembly hall	simple	danger	chance
簡単 (かんたん)	simple	danger	chance	competition
危険 (きけん)	danger	chance	competition	traffic
機会 (きかい)	chance	competition	traffic	manufacturing industry
競争 (きょうそう)	competition	traffic	manufacturing industry	this time
交通 (こうつう)	traffic	manufacturing industry	this time	examination
工業 (こうぎょう)	manufacturing industry	this time	examination	temple 
今度 (こんど)	this time	examination	temple 	forest 
試験 (しけん)	examination	temple 	forest 	parent
寺 (てら)	temple 	forest 	parent	olden days
森 (もり)	forest 	parent	olden days	explanation
親 (おや)	parent	olden days	explanation	earthquake
昔 (むかし)	olden days	explanation	earthquake	island 
説明 (せつめい)	explanation	earthquake	island 	she
地震 (じしん)	earthquake	island 	she	to compare
島 (しま)	island 	she	to compare	general
彼女 (かのじょ)	she	to compare	general	literature
比べる (くらべる)	to compare	general	literature	wall
普通 (ふつう)	general	literature	wall	law
文学 (ぶんがく)	literature	wall	law	dream
壁 (かべ)	wall	law	dream	my daughter 
法律 (ほうりつ)	law	dream	my daughter 	use
夢 (ゆめ)	dream	my daughter 	use	woods
娘 (むすめ)	my daughter 	use	woods	for example
利用 (りよう)	use	woods	for example	to contact
林 (はやし)	woods	for example	to contact	sound
例えば (たとえば)	for example	to contact	sound	on the way
連絡 (れんらく)	to contact	sound	on the way	to choose
音 (おと)	sound	on the way	to choose	to think
途中 (とちゅう)	on the way	to choose	to think	sure
選ぶ (えらぶ)	to choose	to think	sure	feeling
思う (おもう)	to think	sure	feeling	sudden
確か (たしか)	sure	feeling	sudden	air
気分 (きぶん)	feeling	sudden	air	never
急 (きゅう)	sudden	air	never	blood
空気 (くうき)	air	never	blood	principal
決して (けっして)	never	blood	principal	senior high school student
血 (ち)	blood	principal	senior high school student	deplorable
校長 (こうちょう)	principal	senior high school student	deplorable	address 
高校生 (こうこうせい)	senior high school student	deplorable	address 	primary school
残念 (ざんねん)	deplorable	address 	primary school	novel
住所 (じゅうしょ)	address 	primary school	novel	son 
小学校 (しょうがっこう)	primary school	novel	son 	graduation
小説 (しょうせつ)	novel	son 	graduation	day
息子 (むすこ)	son 	graduation	day	art gallery
卒業 (そつぎょう)	graduation	day	art gallery	always
日 (ひ)	day	art gallery	always	complex
美術館 (びじゅつかん)	art gallery	always	complex	to change
必ず (かならず)	always	complex	to change	flavor
複雑 (ふくざつ)	complex	to change	flavor	substitute
変わる (かわる)	to change	flavor	substitute	neck 
味 (あじ)	flavor	substitute	neck 	rate
代わり (かわり)	substitute	neck 	rate	not exceeding
首 (くび)	neck 	rate	not exceeding	driver
割合 (わりあい)	rate	not exceeding	driver	conversation
以下 (いか)	not exceeding	driver	conversation	enjoyment
運転手 (うんてんしゅ)	driver	conversation	enjoyment	season
会話 (かいわ)	conversation	enjoyment	season	interest 
楽しみ (たのしみ)	enjoyment	season	interest 	harbour
季節 (きせつ)	season	interest 	harbour	suburb
興味 (きょうみ)	interest 	harbour	suburb	failure
港 (みなと)	harbour	suburb	failure	to live
郊外 (こうがい)	suburb	failure	to live	seat 
失敗 (しっぱい)	failure	to live	seat 	line
生きる (いきる)	to live	seat 	line	junior high school
席 (せき)	seat 	line	junior high school	caution
線 (せん)	line	junior high school	caution	answer
中学校 (ちゅうがっこう)	junior high school	caution	answer	hospitalization
注意 (ちゅうい)	caution	answer	hospitalization	entry to school or university
答え (こたえ)	answer	hospitalization	entry to school or university	playing 
入院 (にゅういん)	hospitalization	entry to school or university	playing 	leaf
入学 (にゅうがく)	entry to school or university	playing 	leaf	once
遊び (あそび)	playing 	leaf	once	way
葉 (は)	leaf	once	way	typhoon
一度 (いちど)	once	way	typhoon	price
仕方 (しかた)	way	typhoon	price	ship
台風 (たいふう)	typhoon	price	ship	relief
値段 (ねだん)	price	ship	relief	coast
船 (ふね)	ship	relief	coast	space 
安心 (あんしん)	relief	coast	space 	church
海岸 (かいがん)	coast	space 	church	breakdown
間 (あいだ)	space 	church	breakdown	government worker
教会 (きょうかい)	church	breakdown	government worker	branch
故障 (こしょう)	breakdown	government worker	branch	hobby
公務員 (こうむいん)	government worker	branch	hobby	judo
枝 (えだ)	branch	hobby	judo	introduction
趣味 (しゅみ)	hobby	judo	introduction	newspaper company
柔道 (じゅうどう)	judo	introduction	newspaper company	Shinto shrine
紹介 (しょうかい)	introduction	newspaper company	Shinto shrine	doll
新聞社 (しんぶんしゃ)	newspaper company	Shinto shrine	doll	star
神社 (じんじゃ)	Shinto shrine	doll	star	popular 
人形 (にんぎょう)	doll	star	popular 	senior 
星 (ほし)	star	popular 	senior 	parking lot
盛ん (さかん)	popular 	senior 	parking lot	spot
先輩 (せんぱい)	senior 	parking lot	spot	heat 
駐車場 (ちゅうしゃじょう)	parking lot	spot	heat 	cartoon
点 (てん)	spot	heat 	cartoon	unreasonable
熱 (ねつ)	heat 	cartoon	unreasonable	promise
漫画 (まんが)	cartoon	unreasonable	promise	preparation
無理 (むり)	unreasonable	promise	preparation	opposite side
約束 (やくそく)	promise	preparation	opposite side	arm 
用意 (ようい)	preparation	opposite side	arm 	the end
裏 (うら)	opposite side	arm 	the end	circumference
腕 (うで)	arm 	the end	circumference	very hard
終わり (おわり)	the end	circumference	very hard	to carry
周り (まわり)	circumference	very hard	to carry	cloud
一生懸命 (いっしょうけんめい)	very hard	to carry	cloud	funny
運ぶ (はこぶ)	to carry	cloud	funny	rule
雲 (くも)	cloud	funny	rule	mirror
おかしい (可笑しい)	funny	rule	mirror	neighbourhood
規則 (きそく)	rule	mirror	neighbourhood	sand
鏡 (かがみ)	mirror	neighbourhood	sand	finger
近所 (きんじょ)	neighbourhood	sand	finger	habit 
砂 (すな)	sand	finger	habit 	water supply
指 (ゆび)	finger	habit 	water supply	baby
習慣 (しゅうかん)	habit 	water supply	baby	grass
水道 (すいどう)	water supply	baby	grass	to send 
赤ちゃん (あかちゃん)	baby	grass	to send 	to hit
草 (くさ)	grass	to send 	to hit	insect
送る (おくる)	to send 	to hit	insect	suitable
打つ (うつ)	to hit	insect	suitable	hot water 
虫 (むし)	insect	suitable	hot water 	hair 
適当 (てきとう)	suitable	hot water 	hair 	surface 
湯 (ゆ)	hot water 	hair 	surface 	to visit
髪 (かみ)	hair 	surface 	to visit	translation 
表 (おもて)	surface 	to visit	translation 	hair 
訪ねる (たずねる)	to visit	translation 	hair 	reservation
翻訳 (ほんやく)	translation 	hair 	reservation	to wrap up
毛 (け)	hair 	reservation	to wrap up	place where things are sold
予約 (よやく)	reservation	to wrap up	place where things are sold	to hang
包む (つつむ)	to wrap up	place where things are sold	to hang	return
売り場 (うりば)	place where things are sold	to hang	return	a long time 
下げる (さげる)	to hang	return	a long time 	thread
帰り (かえり)	return	a long time 	thread	to collect
久しぶり (ひさしぶり)	a long time 	thread	to collect	swimming
糸 (いと)	thread	to collect	swimming	shop assistant
集める (あつめる)	to collect	swimming	shop assistant	circumstances
水泳 (すいえい)	swimming	shop assistant	circumstances	zoo
店員 (てんいん)	shop assistant	circumstances	zoo	tool
都合 (つごう)	circumstances	zoo	tool	diary
動物園 (どうぶつえん)	zoo	tool	diary	back 
道具 (どうぐ)	tool	diary	back 	I
日記 (にっき)	diary	back 	I	both
背中 (せなか)	back 	I	both	condition
僕 (ぼく)	I	both	condition	lake
両方 (りょうほう)	both	condition	lake	lecture
具合 (ぐあい)	condition	lake	lecture	to come together
湖 (みずうみ)	lake	lecture	to come together	the west
講義 (こうぎ)	lecture	to come together	the west	important
合う (あう)	to come together	the west	important	exhibition
西洋 (せいよう)	the west	important	exhibition	inside
大事 (だいじ)	important	exhibition	inside	beautiful
展覧会 (てんらんかい)	exhibition	inside	beautiful	reply
内 (うち)	inside	beautiful	reply	dance
美しい (うつくしい)	beautiful	reply	dance	daytime
返事 (へんじ)	reply	dance	daytime	two-storied building
踊り (おどり)	dance	daytime	two-storied building	middle
昼間 (ひるま)	daytime	two-storied building	middle	good
二階建て (にかいだて)	two-storied building	middle	good	conference room
真ん中 (まんなか)	middle	good	conference room	corner
ため (為)	good	conference room	corner	laboratory 
会議室 (かいぎしつ)	conference room	corner	laboratory 	small 
隅 (すみ)	corner	laboratory 	small 	slope
研究室 (けんきゅうしつ)	laboratory 	small 	slope	case
細かい (こまかい)	small 	slope	case	mathematics
坂 (さか)	slope	case	mathematics	grandfather 
場合 (ばあい)	case	mathematics	grandfather 	clothing
数学 (すうがく)	mathematics	grandfather 	clothing	injection
祖父 (そふ)	grandfather 	clothing	injection	polite
着物 (きもの)	clothing	injection	polite	rural area
注射 (ちゅうしゃ)	injection	polite	rural area	to steal
丁寧 (ていねい)	polite	rural area	to steal	twice
田舎 (いなか)	rural area	to steal	twice	ryokan
盗む (ぬすむ)	to steal	twice	ryokan	reception 
倍 (ばい)	twice	ryokan	reception 	rooftop
旅館 (りょかん)	ryokan	reception 	rooftop	fire
受付 (うけつけ)	reception 	rooftop	fire	to think about
屋上 (おくじょう)	rooftop	fire	to think about	auditorium
火事 (かじ)	fire	to think about	auditorium	to rise
考える (かんがえる)	to think about	auditorium	to rise	foodstuff
講堂 (こうどう)	auditorium	to rise	foodstuff	grandmother
上がる (あがる)	to rise	foodstuff	grandmother	geography
食料品 (しょくりょうひん)	foodstuff	grandmother	geography	to fall 
祖母 (そぼ)	grandmother	geography	to fall 	limited express 
地理 (ちり)	geography	to fall 	limited express 	futon 
倒れる (たおれる)	to fall 	limited express 	futon 	to fall down
特急 (とっきゅう)	limited express 	futon 	to fall down	dictionary
布団 (ふとん)	futon 	to fall down	dictionary	underwear
落ちる (おちる)	to fall down	dictionary	underwear	bitter
辞典 (じてん)	dictionary	underwear	bitter	considerably
下着 (したぎ)	underwear	bitter	considerably	shelf
苦い (にがい)	bitter	considerably	shelf	absence
だいぶ (大分)	considerably	shelf	absence	drawer 
棚 (たな)	shelf	absence	drawer 	to be found
留守 (るす)	absence	drawer 	to be found	not less than
引き出し (ひきだし)	drawer 	to be found	not less than	cherry blossom viewing
見つかる (みつかる)	to be found	not less than	cherry blossom viewing	silk
以上 (いじょう)	not less than	cherry blossom viewing	silk	eraser
花見 (はなみ)	cherry blossom viewing	silk	eraser	tatami mat
絹 (きぬ)	silk	eraser	tatami mat	to decorate
消しゴム (けしゴム)	eraser	tatami mat	to decorate	leaving hospital
畳 (たたみ)	tatami mat	to decorate	leaving hospital	to get dark
飾る (かざる)	to decorate	leaving hospital	to get dark	cooling
退院 (たいいん)	leaving hospital	to get dark	cooling	to raise
暮れる (くれる)	to get dark	cooling	to raise	hard
冷房 (れいぼう)	cooling	to raise	hard	outline
起こす (おこす)	to raise	hard	outline	present
硬い (かたい)	hard	outline	present	knowing 
だいたい (大体)	outline	present	knowing 	scenery
贈り物 (おくりもの)	present	knowing 	scenery	sightseeing
ご存じ (ごぞんじ)	knowing 	scenery	sightseeing	finger ring
景色 (けしき)	scenery	sightseeing	finger ring	to receive
見物 (けんぶつ)	sightseeing	finger ring	to receive	baby
指輪 (ゆびわ)	finger ring	to receive	baby	to make noise
受ける (うける)	to receive	baby	to make noise	to go by
赤ん坊 (あかんぼう)	baby	to make noise	to go by	to soak
騒ぐ (さわぐ)	to make noise	to go by	to soak	telegram
通る (とおる)	to go by	to soak	telegram	airfield
漬ける (つける)	to soak	telegram	airfield	goods
電報 (でんぽう)	telegram	airfield	goods	tender
飛行場 (ひこうじょう)	airfield	goods	tender	lonely
品物 (しなもの)	goods	tender	lonely	to be decided
優しい (やさしい)	tender	lonely	to be decided	to turn
寂しい (さびしい)	lonely	to be decided	to turn	another's daughter 
決まる (きまる)	to be decided	to turn	another's daughter 	with the exception of
回る (まわる)	to turn	another's daughter 	with the exception of	to move 
お嬢さん (おじょうさん)	another's daughter 	with the exception of	to move 	amount necessary to fill a container 
以外 (いがい)	with the exception of	to move 	amount necessary to fill a container 	to move 
移る (うつる)	to move 	amount necessary to fill a container 	to move 	reserve
一杯 (いっぱい)	amount necessary to fill a container 	to move 	reserve	to get dirty
引っ越す (ひっこす)	to move 	reserve	to get dirty	10^8
遠慮 (えんりょ)	reserve	to get dirty	10^8	to come down
汚れる (よごれる)	to get dirty	10^8	to come down	boarding
億 (おく)	10^8	to come down	boarding	my wife 
下がる (さがる)	to come down	boarding	my wife 	to pass through
下宿 (げしゅく)	boarding	my wife 	to pass through	to break
家内 (かない)	my wife 	to pass through	to break	to be broken
過ぎる (すぎる)	to pass through	to break	to be broken	to enjoy 
壊す (こわす)	to break	to be broken	to enjoy 	to hang up 
壊れる (こわれる)	to be broken	to enjoy 	to hang up 	to glide
楽しむ (たのしむ)	to enjoy 	to hang up 	to glide	to get used to
かける (掛ける)	to hang up 	to glide	to get used to	to be in time for 
滑る (すべる)	to glide	to get used to	to be in time for 	to make a mistake 
慣れる (なれる)	to get used to	to be in time for 	to make a mistake 	toy
間に合う (まにあう)	to be in time for 	to make a mistake 	toy	to be delighted
間違える (まちがえる)	to make a mistake 	toy	to be delighted	to approach
おもちゃ (玩具)	toy	to be delighted	to approach	train 
喜ぶ (よろこぶ)	to be delighted	to approach	train 	to pray
寄る (よる)	to approach	train 	to pray	to hurry
汽車 (きしゃ)	train 	to pray	to hurry	hurrying 
祈る (いのる)	to pray	to hurry	hurrying 	to go out to meet 
急ぐ (いそぐ)	to hurry	hurrying 	to go out to meet 	to decide
急行 (きゅうこう)	hurrying 	to go out to meet 	to decide	quarrel
迎える (むかえる)	to go out to meet 	to decide	quarrel	to be seen
決める (きめる)	to decide	quarrel	to be seen	severe
喧嘩 (けんか)	quarrel	to be seen	severe	thanks
見える (みえる)	to be seen	severe	thanks	to shine
厳しい (きびしい)	severe	thanks	to shine	senior high school
お礼 (おれい)	thanks	to shine	senior high school	this evening
光る (ひかる)	to shine	senior high school	this evening	to give
高等学校 (こうとうがっこう)	senior high school	this evening	to give	to finish
今夜 (こんや)	this evening	to give	to finish	to go
差し上げる (さしあげる)	to give	to finish	to go	to remain
済む (すむ)	to finish	to go	to remain	to start
まいる (参る)	to go	to remain	to start	to recall
残る (のこる)	to remain	to start	to recall	dentist
始める (はじめる)	to start	to recall	dentist	to resemble
思い出す (おもいだす)	to recall	dentist	to resemble	to throw away
歯医者 (はいしゃ)	dentist	to resemble	to throw away	to apologize
似る (にる)	to resemble	to throw away	to apologize	to exchange
捨てる (すてる)	to throw away	to apologize	to exchange	glove
謝る (あやまる)	to apologize	to exchange	glove	to help
取り替える (とりかえる)	to exchange	glove	to help	to pick up
手袋 (てぶくろ)	glove	to help	to pick up	to gather
手伝う (てつだう)	to help	to pick up	to gather	to win
拾う (ひろう)	to pick up	to gather	to win	to eat
集まる (あつまる)	to gather	to win	to eat	small bird
勝つ (かつ)	to win	to eat	small bird	to laugh 
召し上がる (めしあがる)	to eat	small bird	to laugh 	to plant
小鳥 (ことり)	small bird	to laugh 	to plant	to touch
笑う (わらう)	to laugh 	to plant	to touch	deep 
植える (うえる)	to plant	to touch	deep 	to say
触る (さわる)	to touch	deep 	to say	to say
深い (ふかい)	deep 	to say	to say	kind
申し上げる (もうしあげる)	to say	to say	kind	to advance
申す (もうす)	to say	kind	to advance	to ask
親切 (しんせつ)	kind	to advance	to ask	right
進む (すすむ)	to advance	to ask	right	intention
尋ねる (たずねる)	to ask	right	intention	to break
正しい (ただしい)	right	intention	to break	shallow
つもり (積もり)	intention	to break	shallow	to add 
折る (おる)	to break	shallow	to add 	to be sufficient
浅い (あさい)	shallow	to add 	to be sufficient	to grow fat 
足す (たす)	to add 	to be sufficient	to grow fat 	mostly
足りる (たりる)	to be sufficient	to grow fat 	mostly	indoor heating
太る (ふとる)	to grow fat 	mostly	indoor heating	embarrassing
たいてい (大抵)	mostly	indoor heating	embarrassing	to do
暖房 (だんぼう)	indoor heating	embarrassing	to do	lunch break
恥ずかしい (はずかしい)	embarrassing	to do	lunch break	to examine
いたす (致す)	to do	lunch break	to examine	unusual
昼休み (ひるやすみ)	lunch break	to examine	unusual	to go to and from 
調べる (しらべる)	to examine	unusual	to go to and from 	to fish
珍しい (めずらしい)	unusual	to go to and from 	to fish	electric light
通う (かよう)	to go to and from 	to fish	electric light	to paint
釣る (つる)	to fish	electric light	to paint	to get angry
電灯 (でんとう)	electric light	to paint	to get angry	to throw
塗る (ぬる)	to paint	to get angry	to throw	to step on
怒る (おこる)	to get angry	to throw	to step on	to escape
投げる (なげる)	to throw	to step on	to escape	to get wet
踏む (ふむ)	to step on	to escape	to get wet	seeing
逃げる (にげる)	to escape	to get wet	seeing	to stay at 
濡れる (ぬれる)	to get wet	seeing	to stay at 	expectation that something took place
拝見 (はいけん)	seeing	to stay at 	expectation that something took place	pronunciation 
泊まる (とまる)	to stay at 	expectation that something took place	pronunciation 	sad
はず (筈)	expectation that something took place	pronunciation 	sad	inconvenience
発音 (はつおん)	pronunciation 	sad	inconvenience	to lose
悲しい (かなしい)	sad	inconvenience	to lose	grape
不便 (ふべん)	inconvenience	to lose	grape	review
負ける (まける)	to lose	grape	review	to pay 
ぶどう (葡萄)	grape	review	to pay 	to boil
復習 (ふくしゅう)	review	to pay 	to boil	grammar
払う (はらう)	to pay 	to boil	grammar	strange
沸かす (わかす)	to boil	grammar	strange	to tidy up
文法 (ぶんぽう)	grammar	strange	to tidy up	lost article
変 (へん)	strange	to tidy up	lost article	or
片付ける (かたづける)	to tidy up	lost article	or	miso
忘れ物 (わすれもの)	lost article	or	miso	sleepy
または (又は)	or	miso	sleepy	to sleep 
味噌 (みそ)	miso	sleepy	to sleep 	to sound
眠い (ねむい)	sleepy	to sleep 	to sound	cotton 
眠る (ねむる)	to sleep 	to sound	cotton 	to turn back 
鳴る (なる)	to sound	cotton 	to turn back 	to be helpful
木綿 (もめん)	cotton 	to turn back 	to be helpful	conclusion from reasoning
戻る (もどる)	to turn back 	to be helpful	conclusion from reasoning	preparation for a lesson
役に立つ (やくにたつ)	to be helpful	conclusion from reasoning	preparation for a lesson	tasks
わけ (訳)	conclusion from reasoning	preparation for a lesson	tasks	to grow cold 
予習 (よしゅう)	preparation for a lesson	tasks	to grow cold 	to transcribe
用事 (ようじ)	tasks	to grow cold 	to transcribe	to be late
冷える (ひえる)	to grow cold 	to transcribe	to be late	to drop
写す (うつす)	to transcribe	to be late	to drop	to be heard
遅れる (おくれる)	to be late	to drop	to be heard	to be crowded
落とす (おとす)	to drop	to be heard	to be crowded	scary
聞こえる (きこえる)	to be heard	to be crowded	scary	to search 
込む (こむ)	to be crowded	scary	to search 	to catch
怖い (こわい)	scary	to search 	to catch	thief
探す (さがす)	to search 	to catch	thief	to cure
捕まえる (つかまえる)	to catch	thief	to cure	to be cured
泥棒 (どろぼう)	thief	to cure	to be cured	to transfer 
治す (なおす)	to cure	to be cured	to transfer 	vehicle
治る (なおる)	to be cured	to transfer 	vehicle	to pull out
乗り換える (のりかえる)	to transfer 	vehicle	to pull out	to increase
乗り物 (のりもの)	vehicle	to pull out	to increase	to praise
引き出す (ひきだす)	to pull out	to increase	to praise	to discover
増える (ふえる)	to increase	to praise	to discover	to face 
褒める (ほめる)	to praise	to discover	to face 	soft
見つける (みつける)	to discover	to face 	soft	to part 
向かう (むかう)	to face 	soft	to part 	to that degree
柔らかい (やわらかい)	soft	to part 	to that degree	accessory
別れる (わかれる)	to part 	to that degree	accessory	announcer
それほど (其れ程)	to that degree	accessory	announcer	alcohol
アクセサリー	accessory	announcer	alcohol	part-time job
アナウンサー	announcer	alcohol	part-time job	escalator
アルコール	alcohol	part-time job	escalator	motorcycle
アルバイト	part-time job	escalator	motorcycle	curtain
エスカレーター	escalator	motorcycle	curtain	gas 
オートバイ	motorcycle	curtain	gas 	gasoline
カーテン	curtain	gas 	gasoline	gas station
ガス (瓦斯)	gas 	gasoline	gas station	glass
ガソリン	gasoline	gas station	glass	cake
ガソリンスタンド	gas station	glass	cake	concert
ガラス (硝子)	glass	cake	concert	computer
ケーキ	cake	concert	computer	salad
コンサート	concert	computer	salad	sandwich
コンピュータ	computer	salad	sandwich	jam
サラダ	salad	sandwich	jam	suit 
サンドイッチ	sandwich	jam	suit 	stereo
ジャム	jam	suit 	stereo	soft 
スーツ	suit 	stereo	soft 	type
ステレオ	stereo	soft 	type	text 
ソフト	soft 	type	text 	tennis
タイプ	type	text 	tennis	handbag
テキスト	text 	tennis	handbag	part 
テニス	tennis	handbag	part 	personal computer
ハンドバッグ	handbag	part 	personal computer	multi-floor building
パート	part 	personal computer	multi-floor building	piano
パソコン	personal computer	multi-floor building	piano	present
ビル	multi-floor building	piano	present	bell 
ピアノ	piano	present	bell 	report
プレゼント	present	bell 	report	word processor
ベル	bell 	report	word processor	I see
レポート	report	word processor	I see	to change
ワープロ	word processor	I see	to change	such 
なるほど (成程)	I see	to change	such 	to come
変える (かえる)	to change	such 	to come	your house
あんな	such 	to come	your house	present
いらっしゃる	to come	your house	present	surely
お宅 (おたく)	your house	present	surely	but
お土産 (おみやげ)	present	surely	but	the other day
きっと (屹度)	surely	but	the other day	recently
けど	but	the other day	recently	after this
この間 (このあいだ)	the other day	recently	after this	some time ago
この頃 (このごろ)	recently	after this	some time ago	all
これから (此れから)	after this	some time ago	all	straight
さっき	some time ago	all	straight	thereupon
すっかり	all	straight	thereupon	so
すっと	straight	thereupon	so	and
すると	thereupon	so	and	besides
そう	so	and	besides	such 
それで (其れで)	and	besides	such 	so
それに (其れに)	besides	such 	so	not at all 
そんな	such 	so	not at all 	suffix for familiar person
だから	so	not at all 	suffix for familiar person	drumming 
ちっとも (些とも)	not at all 	suffix for familiar person	drumming 	clearly
ちゃん	suffix for familiar person	drumming 	clearly	if
どんどん	drumming 	clearly	if	at last
はっきり	clearly	if	at last	fax
もし (若し)	if	at last	fax	to do
やっと	at last	fax	to do	to raise
ファックス	fax	to do	to raise	far away
なさる (為さる)	to do	to raise	far away	to ill-treat
育てる (そだてる)	to raise	far away	to ill-treat	to open
遠く (とおく)	far away	to ill-treat	to open	to break
いじめる (苛める)	to ill-treat	to open	to break	to bite
開く (ひらく)	to open	to break	to bite	to get dry
割れる (われる)	to break	to bite	to get dry	to cry
噛む (かむ)	to bite	to get dry	to cry	to be surprised
乾く (かわく)	to get dry	to cry	to be surprised	to say
泣く (なく)	to cry	to be surprised	to say	you
驚く (おどろく)	to be surprised	to say	you	Mr 
おっしゃる (仰る)	to say	you	Mr 	to build
君 (きみ)	you	Mr 	to build	to give
君 (くん)	Mr 	to build	to give	your husband
建てる (たてる)	to build	to give	your husband	change 
くれる (呉れる)	to give	your husband	change 	month after next
ご主人 (ごしゅじん)	your husband	change 	month after next	week after next
お釣り (おつり)	change 	month after next	week after next	for a moment
再来月 (さらいげつ)	month after next	week after next	for a moment	city
再来週 (さらいしゅう)	week after next	for a moment	city	to cease
しばらく (暫く)	for a moment	city	to cease	to stop
市 (し)	city	to cease	to stop	to stop 
止む (やむ)	to cease	to stop	to stop 	character 
止める (とめる)	to stop	to stop 	character 	slowly
やめる (止める)	to stop 	character 	slowly	barbershop
字 (じ)	character 	slowly	barbershop	to burn 
そろそろ	slowly	barbershop	to burn 	to burn
床屋 (とこや)	barbershop	to burn 	to burn	sleeping in late
焼く (やく)	to burn 	to burn	sleeping in late	mind
焼ける (やける)	to burn	sleeping in late	mind	terrible
寝坊 (ねぼう)	sleeping in late	mind	terrible	as much as possible
心 (こころ)	mind	terrible	as much as possible	stone 
すごい (凄い)	terrible	as much as possible	stone 	to break
なるべく (成るべく)	as much as possible	stone 	to break	to continue
石 (いし)	stone 	to break	to continue	to continue
折れる (おれる)	to break	to continue	to continue	university student
続く (つづく)	to continue	to continue	university student	to notify
続ける (つづける)	to continue	university student	to notify	weather forecast
大学生 (だいがくせい)	university student	to notify	weather forecast	to convey
知らせる (しらせる)	to notify	weather forecast	to convey	finally
