a.m./am/A.M./AM	早上	放棄	下腹	絕對的
competitor	競爭者;對手	使複雜化	作(詩,曲等);構(圖)	作曲家
complicate	使複雜化	作(詩,曲等);構(圖)	作曲家	作曲
compose	作(詩,曲等);構(圖)	作曲家	作曲	濃縮;全神貫注
composer	作曲家	作曲	濃縮;全神貫注	專心;濃縮
composition	作曲	濃縮;全神貫注	專心;濃縮	概念,觀念
concentrate	濃縮;全神貫注	專心;濃縮	概念,觀念	闗於
concentration	專心;濃縮	概念,觀念	闗於	具體的
concept	概念,觀念	闗於	具體的	指揮家
concerning	闗於	具體的	指揮家	(正式)會議;討論會,協商會
concrete	具體的	指揮家	(正式)會議;討論會,協商會	坦白,供認,承認
conductor	指揮家	(正式)會議;討論會,協商會	坦白,供認,承認	自信,信心,把握
conference	(正式)會議;討論會,協商會	坦白,供認,承認	自信,信心,把握	限制;使局限
confess	坦白,供認,承認	自信,信心,把握	限制;使局限	困惑;慌亂
confidence	自信,信心,把握	限制;使局限	困惑;慌亂	祝賀;恭禧
confine	限制;使局限	困惑;慌亂	祝賀;恭禧	立法機關;大會
confusion	困惑;慌亂	祝賀;恭禧	立法機關;大會	連接詞;結合;關聯
congratulate	祝賀;恭禧	立法機關;大會	連接詞;結合;關聯	克服;征服
congress	立法機關;大會	連接詞;結合;關聯	克服;征服	良心;道義心
conjunction	連接詞;結合;關聯	克服;征服	良心;道義心	結果,後果
conquer	克服;征服	良心;道義心	結果,後果	隨之發生的
conscience	良心;道義心	結果,後果	隨之發生的	保守的,守舊的
consequence	結果,後果	隨之發生的	保守的,守舊的	組成,構成
consequent	隨之發生的	保守的,守舊的	組成,構成	始終如一的,前後一致的
conservative	保守的,守舊的	組成,構成	始終如一的,前後一致的	子音
consist	組成,構成	始終如一的,前後一致的	子音	構成,組成
consistent	始終如一的,前後一致的	子音	構成,組成	憲法
consonant	子音	構成,組成	憲法	建造,構成
constitute	構成,組成	憲法	建造,構成	建造,建設
constitution	憲法	建造,構成	建造,建設	建設性的;積極的;有助益的
construct	建造,構成	建造,建設	建設性的;積極的;有助益的	商議，諮詢
construction	建造,建設	建設性的;積極的;有助益的	商議，諮詢	顧問
constructive	建設性的;積極的;有助益的	商議，諮詢	顧問	吃光，喝光
consult	商議，諮詢	顧問	吃光，喝光	消費者;消耗者
consultant	顧問	吃光，喝光	消費者;消耗者	容器
consume	吃光，喝光	消費者;消耗者	容器	滿意的;甘願的
consumer	消費者;消耗者	容器	滿意的;甘願的	競爭,角逐;爭辯
container	容器	滿意的;甘願的	競爭,角逐;爭辯	上下文;文章脈絡
content	滿意的;甘願的	競爭,角逐;爭辯	上下文;文章脈絡	不間斷的,連續的
contest	競爭,角逐;爭辯	上下文;文章脈絡	不間斷的,連續的	連續的,不斷的
context	上下文;文章脈絡	不間斷的,連續的	連續的,不斷的	相反的,對立的
continual	不間斷的,連續的	連續的,不斷的	相反的,對立的	使對比,使對照
continuous	連續的,不斷的	相反的,對立的	使對比,使對照	捐獻,捐助;貢獻,出力
contrary	相反的,對立的	使對比,使對照	捐獻,捐助;貢獻,出力	貢獻
contrast	使對比,使對照	捐獻,捐助;貢獻,出力	貢獻	方便;合宜
contribute	捐獻,捐助;貢獻,出力	貢獻	方便;合宜	會議,大會
contribution	貢獻	方便;合宜	會議,大會	習慣的,慣例的
convenience	方便;合宜	會議,大會	習慣的,慣例的	交談,談話
convention	會議,大會	習慣的,慣例的	交談,談話	運送
conventional	習慣的,慣例的	交談,談話	運送	使信服;說服
converse	交談,談話	運送	使信服;說服	合作,協作;(事物)配合
convey	運送	使信服;說服	合作,協作;(事物)配合	合作;協力
convince	使信服;說服	合作,協作;(事物)配合	合作;協力	合作的
cooperate	合作,協作;(事物)配合	合作;協力	合作的	競爭
cooperation	合作;協力	合作的	競爭	銅
cooperative	合作的	競爭	銅	細繩,粗線,索
cope	競爭	銅	細繩,粗線,索	用軟木塞塞住;抑制
copper	銅	細繩,粗線,索	用軟木塞塞住;抑制	符合,一致
cord	細繩,粗線,索	用軟木塞塞住;抑制	符合,一致	服裝,裝束
cork	用軟木塞塞住;抑制	符合,一致	服裝,裝束	小屋
correspond	符合,一致	服裝,裝束	小屋	會議;委員會
costume	服裝,裝束	小屋	會議;委員會	櫃枱
cottage	小屋	會議;委員會	櫃枱	英勇的,勇敢的
council	會議;委員會	櫃枱	英勇的,勇敢的	有禮貌的
counter	櫃枱	英勇的,勇敢的	有禮貌的	禮貌
courageous	英勇的,勇敢的	有禮貌的	禮貌	打蛋
courteous	有禮貌的	禮貌	打蛋	工藝,手藝
courtesy	禮貌	打蛋	工藝,手藝	死背
crack	打蛋	工藝,手藝	死背	創造;創作;創立
craft 	工藝,手藝	死背	創造;創作;創立	創造力
cram	死背	創造;創作;創立	創造力	跛子
creation	創造;創作;創立	創造力	跛子	評論家
creativity	創造力	跛子	評論家	緊要的,關鍵性的,危急的
cripple	跛子	評論家	緊要的,關鍵性的,危急的	批評;評論
critic	評論家	緊要的,關鍵性的,危急的	批評;評論	批評;批判;苛求
critical	緊要的,關鍵性的,危急的	批評;評論	批評;批判;苛求	殘酷,殘忍
criticism	批評;評論	批評;批判;苛求	殘酷,殘忍	壓碎,壓壞
criticize	批評;批判;苛求	殘酷,殘忍	壓碎,壓壞	立方體
cruelty	殘酷,殘忍	壓碎,壓壞	立方體	黃瓜,胡瓜
crush	壓碎,壓壞	立方體	黃瓜,胡瓜	給...暗示
cube	立方體	黃瓜,胡瓜	給...暗示	狡猾的,奸詐的
cucumber	黃瓜,胡瓜	給...暗示	狡猾的,奸詐的	好奇心
cue	給...暗示	狡猾的,奸詐的	好奇心	使(頭髮)捲曲
cunning	狡猾的,奸詐的	好奇心	使(頭髮)捲曲	詛咒,咒罵
curiosity	好奇心	使(頭髮)捲曲	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處
curl	使(頭髮)捲曲	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處	坐墊
curse	詛咒,咒罵	使彎曲;使成曲線,道路轉彎處	坐墊	罵...該死,咒罵
curve	使彎曲;使成曲線,道路轉彎處	坐墊	罵...該死,咒罵	有濕氣的;潮濕的
cushion	坐墊	罵...該死,咒罵	有濕氣的;潮濕的	最後限期
damn	罵...該死,咒罵	有濕氣的;潮濕的	最後限期	宣佈,宣告
damp	有濕氣的;潮濕的	最後限期	宣佈,宣告	裝飾,裝潢
deadline	最後限期	宣佈,宣告	裝飾,裝潢	減少
declare	宣佈,宣告	裝飾,裝潢	減少	戰勝,擊敗
decoration	裝飾,裝潢	減少	戰勝,擊敗	防禦;保衛;保護
decrease	減少	戰勝,擊敗	防禦;保衛;保護	防禦,保衛,防護
defeat	戰勝,擊敗	防禦;保衛;保護	防禦,保衛,防護	可防禦的;可辯護的
defend	防禦;保衛;保護	防禦,保衛,防護	可防禦的;可辯護的	防禦的
defense	防禦,保衛,防護	可防禦的;可辯護的	防禦的	明確的,確切的
defensible	可防禦的;可辯護的	防禦的	明確的,確切的	易碎的;嬌貴的
defensive	防禦的	明確的,確切的	易碎的;嬌貴的	使高興
definite	明確的,確切的	易碎的;嬌貴的	使高興	令人愉快的,令人高興的
delicate	易碎的;嬌貴的	使高興	令人愉快的,令人高興的	要求,請求
delight	使高興	令人愉快的,令人高興的	要求,請求	示範操作(產品),展示
delightful	令人愉快的,令人高興的	要求,請求	示範操作(產品),展示	實地示範
demand	要求,請求	示範操作(產品),展示	實地示範	密集的,稠密的
demonstrate	示範操作(產品),展示	實地示範	密集的,稠密的	起程,出發;離開,離去
demonstration	實地示範	密集的,稠密的	起程,出發;離開,離去	離開;出發,起程
dense	密集的,稠密的	起程,出發;離開,離去	離開;出發,起程	可靠的;可信任的
depart	起程,出發;離開,離去	離開;出發,起程	可靠的;可信任的	依靠的;依賴的
departure	離開;出發,起程	可靠的;可信任的	依靠的;依賴的	使沮喪
dependable	可靠的;可信任的	依靠的;依賴的	使沮喪	沮喪,意氣消沈
dependent	依靠的;依賴的	使沮喪	沮喪,意氣消沈	應受,該得
depress	使沮喪	沮喪,意氣消沈	應受,該得	極度渴望的
depression	沮喪,意氣消沈	應受,該得	極度渴望的	不管,儘管,任憑
deserve	應受,該得	極度渴望的	不管,儘管,任憑	破壞;毀滅;消滅
desperate	極度渴望的	不管,儘管,任憑	破壞;毀滅;消滅	偵查用的;探測用的
despite	不管,儘管,任憑	破壞;毀滅;消滅	偵查用的;探測用的	堅定;果斷
destruction	破壞;毀滅;消滅	偵查用的;探測用的	堅定;果斷	儀器,裝置
detective	偵查用的;探測用的	堅定;果斷	儀器,裝置	設計;發明
determination	堅定;果斷	儀器,裝置	設計;發明	將...奉獻
device	儀器,裝置	設計;發明	將...奉獻	尿布
devise	設計;發明	將...奉獻	尿布	不同,相異
devote	將...奉獻	尿布	不同,相異	消化
diaper	尿布	不同,相異	消化	數字的
differ	不同,相異	消化	數字的	尊嚴
digestion	消化	數字的	尊嚴	勤勉;勤奮
digital	數字的	尊嚴	勤勉;勤奮	畢業文憑
dignity	尊嚴	勤勉;勤奮	畢業文憑	外交官
diligence	勤勉;勤奮	畢業文憑	外交官	使處於不利地位
diploma	畢業文憑	外交官	使處於不利地位	災害,災難,不幸
diplomat	外交官	使處於不利地位	災害,災難,不幸	懲戒
disadvantage	使處於不利地位	災害,災難,不幸	懲戒	切斷(電話、電源等)
disaster	災害,災難,不幸	懲戒	切斷(電話、電源等)	使洩氣,使沮喪
discipline	懲戒	切斷(電話、電源等)	使洩氣,使沮喪	掩飾,隱瞞
disconnect	切斷(電話、電源等)	使洩氣,使沮喪	掩飾,隱瞞	使作嘔
discourage	使洩氣,使沮喪	掩飾,隱瞞	使作嘔	解散,遣散;解雇;開除
disguise	掩飾,隱瞞	使作嘔	解散,遣散;解雇;開除	使混亂;擾亂
disgust	使作嘔	解散,遣散;解雇;開除	使混亂;擾亂	爭論;爭執
dismiss	解散,遣散;解雇;開除	使混亂;擾亂	爭論;爭執	顯著的
disorder	使混亂;擾亂	爭論;爭執	顯著的	區別;識別
dispute	爭論;爭執	顯著的	區別;識別	卓越的;著名的
distinct	顯著的	區別;識別	卓越的;著名的	分發;分配
distinguish	區別;識別	卓越的;著名的	分發;分配	分發;分配
distinguished	卓越的;著名的	分發;分配	分發;分配	地區
distribute	分發;分配	分發;分配	地區	妨礙,打擾
distribution	分發;分配	地區	妨礙,打擾	神授的,天賜的
district	地區	妨礙,打擾	神授的,天賜的	與...離婚,使離婚
disturb	妨礙,打擾	神授的,天賜的	與...離婚,使離婚	佔優勢的,支配的,統治的
divine	神授的,天賜的	與...離婚,使離婚	佔優勢的,支配的,統治的	支配,統治,控制
divorce	與...離婚,使離婚	佔優勢的,支配的,統治的	支配,統治,控制	學生宿舍
dominant	佔優勢的,支配的,統治的	支配,統治,控制	學生宿舍	下載
dominate	支配,統治,控制	學生宿舍	下載	打瞌睡,打盹
dormitory/dorm	學生宿舍	下載	打瞌睡,打盹	起草;設計
download	下載	打瞌睡,打盹	起草;設計	懼怕;擔心
doze	打瞌睡,打盹	起草;設計	懼怕;擔心	漂流
draft	起草;設計	懼怕;擔心	漂流	鑽(孔);在...上鑽孔
dread	懼怕;擔心	漂流	鑽(孔);在...上鑽孔	經久的,耐用的
drift	漂流	鑽(孔);在...上鑽孔	經久的,耐用的	滿是灰塵的
drill	鑽(孔);在...上鑽孔	經久的,耐用的	滿是灰塵的	DVD
durable	經久的,耐用的	滿是灰塵的	DVD	染料
dusty	滿是灰塵的	DVD	染料	動態的
DVD/digital video disk/	DVD	染料	動態的	王朝;朝代
dye	染料	動態的	王朝;朝代	傳送電子郵件
dynamic	動態的	王朝;朝代	傳送電子郵件	誠摯的;熱心的
dynasty	王朝;朝代	傳送電子郵件	誠摯的;熱心的	耳機
e-mail/email	傳送電子郵件	誠摯的;熱心的	耳機	經濟上的;經濟學的
earnest	誠摯的;熱心的	耳機	經濟上的;經濟學的	經濟的,節約的
earphone	耳機	經濟上的;經濟學的	經濟的,節約的	經濟學
economic	經濟上的;經濟學的	經濟的,節約的	經濟學	經濟學者
economical	經濟的,節約的	經濟學	經濟學者	節約,節省
economics	經濟學	經濟學者	節約,節省	效率;效能
economist	經濟學者	節約,節省	效率;效能	有彈性的
economy	節約,節省	效率;效能	有彈性的	電工;電氣技師
efficiency	效率;效能	有彈性的	電工;電氣技師	電子學
elastic	有彈性的	電工;電氣技師	電子學	優美的,漂亮的
electrician	電工;電氣技師	電子學	優美的,漂亮的	基本的;初級的,基礎的
electronics	電子學	優美的,漂亮的	基本的;初級的,基礎的	排除,消除
elegant	優美的,漂亮的	基本的;初級的,基礎的	排除,消除	在別處;往別處
elementary	基本的;初級的,基礎的	排除,消除	在別處;往別處	使困窘
eliminate	排除,消除	在別處;往別處	使困窘	大使館
elsewhere	在別處;往別處	使困窘	大使館	浮現;出現
embarrass	使困窘	大使館	浮現;出現	易動情的
embassy	大使館	浮現;出現	易動情的	強調,重視,重點
emerge	浮現;出現	易動情的	強調,重視,重點	帝國
emotional	易動情的	強調,重視,重點	帝國	圍起
emphasis	強調,重視,重點	帝國	圍起	遇見
empire	帝國	圍起	遇見	危及;使遭到危險
enclose	圍起	遇見	危及;使遭到危險	忍耐,忍受
encounter	遇見	危及;使遭到危險	忍耐,忍受	實施,執行
endanger	危及;使遭到危險	忍耐,忍受	實施,執行	工程;工程學
endure	忍耐,忍受	實施,執行	工程;工程學	擴大;擴展
enforce	實施,執行	工程;工程學	擴大;擴展	巨大的
engineering	工程;工程學	擴大;擴展	巨大的	招待,款待
enlarge	擴大;擴展	巨大的	招待,款待	熱心,熱情
enormous	巨大的	招待,款待	熱心,熱情	嫉妒的;羨慕的
entertain	招待,款待	熱心,熱情	嫉妒的;羨慕的	相等;平等
enthusiasm	熱心,熱情	嫉妒的;羨慕的	相等;平等	裝備,配備
envious 	嫉妒的;羨慕的	相等;平等	裝備,配備	年代
equality	相等;平等	裝備,配備	年代	差事,差使
equip	裝備,配備	年代	差事,差使	電扶梯
era	年代	差事,差使	電扶梯	論說文;散文
errand	差事,差使	電扶梯	論說文;散文	必要的;實質的
escalator	電扶梯	論說文;散文	必要的;實質的	建立;設立
essay	論說文;散文	必要的;實質的	建立;設立	估計,估量
essential	必要的;實質的	建立;設立	估計,估量	對...評價
establish	建立;設立	估計,估量	對...評價	評估;估價
estimate	估計,估量	對...評價	評估;估價	前夕
evaluate	對...評價	評估;估價	前夕	最後的
evaluation	評估;估價	前夕	最後的	顯示,表明
eve	前夕	最後的	顯示,表明	明顯的;明白的
eventual	最後的	顯示,表明	明顯的;明白的	誇大
evidence	顯示,表明	明顯的;明白的	誇大	應試者;受檢查者
evident	明顯的;明白的	誇大	應試者;受檢查者	主考人;檢查人;審查員
exaggerate	誇大	應試者;受檢查者	主考人;檢查人;審查員	例外
examinee	應試者;受檢查者	主考人;檢查人;審查員	例外	使筋疲力竭；使疲憊不堪
examiner	主考人;檢查人;審查員	例外	使筋疲力竭；使疲憊不堪	展示,陳列
exception	例外	使筋疲力竭；使疲憊不堪	展示,陳列	展開,張開
exhaust	使筋疲力竭；使疲憊不堪	展示,陳列	展開,張開	擴展;擴張
exhibit	展示,陳列	展開,張開	擴展;擴張	實驗性的;試驗性的
expand	展開,張開	擴展;擴張	實驗性的;試驗性的	說明,解釋
expansion	擴展;擴張	實驗性的;試驗性的	說明,解釋	探測;探勘
experimental	實驗性的;試驗性的	說明,解釋	探測;探勘	爆發;爆炸
explanation	說明,解釋	探測;探勘	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物
explore	探測;探勘	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物	使暴露於
explosion	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物	使暴露於	暴露;暴曬
explosive	爆炸(性)的;爆發性的;爆裂物	使暴露於	暴露;暴曬	延長,延伸
expose	使暴露於	暴露;暴曬	延長,延伸	程度;限度;範圍
exposure	暴露;暴曬	延長,延伸	程度;限度;範圍	臉的;面部的
extend	延長,延伸	程度;限度;範圍	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所
extent	程度;限度;範圍	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的
facial	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的	聲譽,名望
