盆地 (ぼんち)	basin 	each time	pillow	to taste
肘 (ひじ)	elbow	necessities	to spread out	to float 
必需品 (ひつじゅひん)	necessities	to spread out	to float 	to stroke
敷く (しく)	to spread out	to float 	to stroke	wrapping cloth
浮く (うく)	to float 	to stroke	wrapping cloth	adverb
撫でる (なでる)	to stroke	wrapping cloth	adverb	earth-shattering
風呂敷 (ふろしき)	wrapping cloth	adverb	earth-shattering	fraction
副詞 (ふくし)	adverb	earth-shattering	fraction	to be amazed
ものすごい (物凄い)	earth-shattering	fraction	to be amazed	to get free 
分数 (ぶんすう)	fraction	to be amazed	to get free 	each
呆れる (あきれる)	to be amazed	to get free 	each	absurd
放れる (はなれる)	to get free 	each	absurd	bothersome
めいめい (銘々)	each	absurd	bothersome	to be profitable
めちゃくちゃ (目茶苦茶)	absurd	bothersome	to be profitable	to profit
めんどくさい (面倒臭い)	bothersome	to be profitable	to profit	indiscriminately
儲かる (もうかる)	to be profitable	to profit	indiscriminately	to dissolve 
儲ける (もうける)	to profit	indiscriminately	to dissolve 	to melt
やたら (矢鱈)	indiscriminately	to dissolve 	to melt	to abbreviate
溶く (とく)	to dissolve 	to melt	to abbreviate	to be popular
溶ける (とける)	to melt	to abbreviate	to be popular	as one would expect 
略す (りゃくす)	to abbreviate	to be popular	as one would expect 	to amass
流行る (はやる)	to be popular	as one would expect 	to amass	to collect
さすが (流石)	as one would expect 	to amass	to collect	to cool oneself
溜める (ためる)	to amass	to collect	to cool oneself	to cool 
たまる (溜まる)	to collect	to cool oneself	to cool 	to spill
涼む (すずむ)	to cool oneself	to cool 	to spill	to spill
冷ます (さます)	to cool 	to spill	to spill	brick
こぼす (零す)	to spill	to spill	brick	cheerful
こぼれる (零れる)	to spill	brick	cheerful	candle
れんが (煉瓦)	brick	cheerful	candle	to lean against
朗らか (ほがらか)	cheerful	candle	to lean against	to sniff
ろうそく (蝋燭)	candle	to lean against	to sniff	to whisper
もたれる (凭れる)	to lean against	to sniff	to whisper	to insert
嗅ぐ (かぐ)	to sniff	to whisper	to insert	to joke
ささやく (囁く)	to whisper	to insert	to joke	broom
はめる (嵌める)	to insert	to joke	broom	to make
ふざける (巫山戯る)	to joke	broom	to make	to rub
ほうき (箒)	broom	to make	to rub	to ridicule
こしらえる (拵える)	to make	to rub	to ridicule	sly
もむ (揉む)	to rub	to ridicule	sly	itchy
からかう (揶揄う)	to ridicule	sly	itchy	to become numb
ずるい (狡い)	sly	itchy	to become numb	dazzling
かゆい (痒い)	itchy	to become numb	dazzling	dizziness
しびれる (痺れる)	to become numb	dazzling	dizziness	to glare at
眩しい (まぶしい)	dazzling	dizziness	to glare at	navel
めまい (目眩)	dizziness	to glare at	navel	to boil 
にらむ (睨む)	to glare at	navel	to boil 	verbose
へそ (臍)	navel	to boil 	verbose	to hesitate
茹でる (ゆでる)	to boil 	verbose	to hesitate	to stumble
くどい (諄い)	verbose	to hesitate	to stumble	udon
ためらう (躊躇う)	to hesitate	to stumble	udon	to trick
つまずく (躓く)	to stumble	udon	to trick	to turn away
うどん (饂飩)	udon	to trick	to turn away	to incline toward
騙す (だます)	to trick	to turn away	to incline toward	to shave
それる (逸れる)	to turn away	to incline toward	to shave	to warm
傾く (かたむく)	to incline toward	to shave	to warm	addressee's name
剃る (そる)	to shave	to warm	addressee's name	to apply
温める (あたためる)	to warm	addressee's name	to apply	more and more
宛名 (あてな)	addressee's name	to apply	more and more	advance arrangements
当てはめる (あてはめる)	to apply	more and more	advance arrangements	between-meal snack 
いよいよ (愈々)	more and more	advance arrangements	between-meal snack 	to be affected
打ち合わせ (うちあわせ)	advance arrangements	between-meal snack 	to be affected	writing down from other written material
おやつ (お八つ)	between-meal snack 	to be affected	writing down from other written material	multiplication
関わる (かかわる)	to be affected	writing down from other written material	multiplication	kana
書き取り (かきとり)	writing down from other written material	multiplication	kana	combination
掛け算 (かけざん)	multiplication	kana	combination	to have someone send 
仮名 (かな)	kana	combination	to have someone send 	matter of taste
組み合わせ (くみあわせ)	combination	to have someone send 	matter of taste	impudent
言付ける (ことづける)	to have someone send 	matter of taste	impudent	with trouble
