一毛[不拔]	形容人非常吝嗇。貶義。
樂不[思蜀]	比喻人因留戀異地而不想返回故鄉。＆形容快樂得忘了歸去。
濫竽[充數]	比喻沒有真才實學的人，混在行家中充數。貶義。＆比喻拿不好的東西充場面。貶義。＆作為自謙之詞，比喻自己才德不足。
打草[驚蛇]	擊打草叢以嚇走蛇。＆比喻行事不密，致使對方有所警覺，而預先防備。
揠苗[助長]	比喻為用不當的手段以求速成，結果不但無益，反而有害。貶義。
功虧[一簣]	比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。
入木[三分]	形容筆力遒勁。＆比喻評論深刻中肯或描寫生動逼真。褒義。
一鳴[驚人]	比喻平時默默無聞，而後卻突然有驚人的表現。
螳臂[當車]	比喻不自量力。
死灰[復燃]	比喻失勢者重新得勢。＆比喻已經平息的事物，又重新活動起來。
咄咄[逼人]	形容言語凌厲，氣勢迫人。 ＆形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。
出奇[制勝]	發奇兵或用奇計制敵而獲勝。褒義。＆比喻用奇特、創新的方法取得好效果。褒義。
出類[拔萃]	形容才能特出，超越眾人。褒義。
一竅[不通]	比喻人昏昧不明事理。貶義。＆比喻人對某事完全不懂。貶義。
食古[不化]	比喻一味守舊而不知變通。貶義。
一日[千里]	形容速度很快。＆比喻進步極快或進展迅速。褒義。
吹毛[求疵]	比喻刻意挑剔過失或缺點。貶義。
一諾[千金]	形容信守承諾，說話算數。褒義。
騎虎[難下]	比喻事情迫於情勢，無法中止，只好繼續做下去。
投鼠[忌器]	比喻想要除害，但因有所顧忌而不敢下手。
孤注[一擲]	比喻危急時，投入全部力量，作最後的冒險。
坐井[觀天]	比喻人眼界狹小，見識不廣。
滄海[一粟]	比喻渺小而微不足道。
門可[羅雀]	形容做官的人失勢後賓客稀少的景況。＆泛指一般來客稀少、門庭冷清的景況。
攀龍[附鳳]	比喻巴結權貴，以求晉升。貶義。
痛心[疾首]	指痛恨到極點。
易如[反掌]	比喻事情非常容易做到。
膾炙[人口]	美味的食物人人愛吃。＆比喻美妙的詩文為人所讚賞、傳誦。褒義。＆比喻事物精妙而備受稱誦。褒義。
趾高[氣揚]	形容人驕傲自滿、得意忘形。多具貶義。
唾面[自乾]	比喻逆來順受，寬容忍讓。
推心[置腹]	比喻以至誠待人。
病入[膏肓]	指人病重，無藥可救。 ＆比喻人、事已到無可挽回的程度。
蕭規[曹隨]	比喻後人依循前人所訂的規章辦事。
庸人[自擾]	比喻庸碌的人無端自尋煩惱。
緣木[求魚]	比喻用錯方法，徒勞無功。
雙管[齊下]	比喻同時採用兩種辦法來做事。
一言[九鼎]	形容說話很有分量。＆形容說話很有信用。
自相[矛盾]	比喻言語或行事前後無法呼應，互相牴觸。
扶搖[直上]	比喻快速上升。＆比喻仕途得志。
舉案[齊眉]	比喻夫妻相敬如賓。褒義。
閉門[造車]	比喻凡事只憑主觀辦事，不問是否切合實際。貶義。
歧路[亡羊]	比喻事理繁雜多變，求道者誤入迷途，而終無所成。
風聲[鶴唳]	形容驚慌疑懼，自相侵擾。
老當[益壯]	年紀雖大但身體仍強健，且志氣豪壯。褒義。
車水[馬龍]	形容繁華熱鬧的景象。
未雨[綢繆]	比喻事先預備以防患未然。
先發[制人]	凡事先下手取得先機，才能制伏對方。
洛陽[紙貴]	形容作品風行一時，流傳甚廣。褒義。
孤陋[寡聞]	形容學識淺薄，見聞不廣。
不共[戴天]	比喻仇恨極深。
滿腹[經綸]	形容才識豐富，具有處理大事的才能。
飲鴆[止渴]	比喻只求解決眼前困難，而不顧將來更大的禍患。貶義。
退避[三舍]	比喻主動退讓，不與人相爭。
世外[桃源]	比喻風景優美而人跡罕至的地方。＆比喻心目中理想的世界。
剛愎[自用]	形容性情倔強，固執己見。貶義。
出爾[反爾]	你怎麼對待別人，別人也會怎麼待你。＆比喻人的言行前後反覆，自相矛盾。貶義。
目不[識丁]	比喻不識字。
水深[火熱]	比喻處境非常艱困、痛苦。
假公[濟私]	假借公家的名義以謀取個人的私利。
孤掌[難鳴]	比喻人孤立無助，不能成事。
偃旗[息鼓]	軍隊放倒旌旗，停止戰鼓。形容不露行蹤。＆比喻事情中斷或聲勢減弱。
妄自[尊大]	狂妄地自尊自大。貶義。
百折[不撓]	意志剛強，即使受到許多挫折，仍不屈服。
拾人[牙慧]	比喻蹈襲他人的言論或主張。貶義。
耳濡[目染]	經常聽到、看到而深受影響。
得心[應手]	比喻技藝熟練，運用自如。＆比喻做事順利。
乘風[破浪]	順著風，破浪前進。＆比喻人志向遠大，不畏艱難，奮勇前進。
杯水[車薪]	比喻力量太小，無濟於事。
車載[斗量]	形容數量很多，不可勝數。
滿城[風雨]	形容到處颳風下雨的景象。＆指事情一經傳出，便流言四起，到處議論紛紛。
燃眉[之急]	形容事態嚴重，情況危急。
言不[由衷]	心口不一，虛應敷衍。
敝帚[自珍]	比喻東西雖不好，卻因為是自己所擁有，故非常珍視。
兔死[狗烹]	比喻事成之後，有功之人即遭到殺戮或見棄的命運。
拋磚[引玉]	比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論。多用作自謙之詞。＆比喻以身作則，引發眾人響應。
門庭[若市]	比喻上門來的人很多。
不倫[不類]	形容事物不成體統。貶義。
虎頭[蛇尾]	比喻做事有始無終。貶義。
空中[樓閣]	比喻虛構的事物或不切實際的幻想。
天經[地義]	天地間原本如此而不容改變的道理。
殺身[成仁]	指為正義或崇高的理想而犧牲生命。
心猿[意馬]	心意反覆不定。＆心思不專注集中。
一視[同仁]	指平等待人，不分親疏厚薄。
雪中[送炭]	比喻在人艱困危急之時，給予適時的援助。
甘拜[下風]	表示自認不如，由衷佩服。
無地[自容]	形容羞愧至極。
群策[群力]	聚合眾人的智慧和能力。
過河[拆橋]	比喻不念舊情，忘恩負義。貶義。
有備[無患]	事先有準備，即可免除後患。
裹足[不前]	形容有所顧忌，而停止腳步，不敢向前。
前倨[後恭]	比喻待人勢利，態度轉變迅速。貶義。
弄巧[成拙]	比喻枉費心機。
噤若[寒蟬]	比喻不敢說話。
戰戰[兢兢]	形容戒慎恐懼的樣子。
瓜田[李下]	比喻容易引起懷疑的場合。
借花[獻佛]	比喻借用他人的東西來作人情。
故步[自封]	安於現狀，不求進取。貶義。
笑裡[藏刀]	比喻人外貌和善可親，內心卻陰險狠毒。貶義。
望塵[莫及]	比喻遠遠落在他人之後。
水到[渠成]	比喻事情自然發展，結果自成。＆比喻事情條件完備則自然成功，不須強求。
半途[而廢]	比喻做事情有始無終。
一籌[莫展]	比喻毫無辦法。
抱薪[救火]	比喻用錯方法，而致禍害加深。貶義。
大器[晚成]	比喻卓越的人才往往成就較晚。
莫逆[之交]	心意相投的朋友。
芒刺[在背]	比喻因畏忌而極度不安。
按圖[索驥]	比喻做事拘泥成法，呆板不知變通。 ＆比喻按照所掌握的線索辦事。
強弩[之末]	比喻原本強大的力量已經衰竭，不能再發揮效用。
一網[打盡]	用網子全部抓住。＆比喻排斥異己，不留孑遺。
蜀犬[吠日]	形容人少見多怪。
曲突[徙薪]	比喻事先採取措施，以防止危險發生。
矯枉[過正]	糾正偏差超過適切程度，反而不符合中庸之道。
吳牛[喘月]	比喻人見到曾受其害的類似事物而過分驚懼害怕。＆形容天氣酷熱。
居安[思危]	處於安樂的時候，要想到危險可能隨時出現。
賓至[如歸]	形容主人招待周到親切，使客人感到滿意。
不恥[下問]	不以向身分較低微或是學問較自己淺陋的人求教為羞恥。褒義。
不可[救藥]	病重無藥可醫治。＆比喻到了無法挽救的地步。
河東[獅吼]	比喻妻子凶悍發威。
開門[見山]	一開門就見到山巒。＆比喻說話或寫文章直截了當，一開始就進入正題。
手舞[足蹈]	揮手舉足，舞動跳躍。＆形容高興到了極點。
土崩[瓦解]	形容土石崩塌、磚瓦破碎的情景。＆比喻澈底潰敗，不可收拾。
愛屋[及烏]	比喻愛一個人也連帶地關愛與他有關的一切。
不脛[而走]	比喻事物不用推廣，也能迅速傳播。
大義[滅親]	比喻為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。褒義。
東施[效顰]	比喻盲目胡亂地模仿他人，結果卻適得其反。貶義。
從善[如流]	比喻樂於接受別人好的意見。
越俎[代庖]	比喻踰越職分代人辦事。
水滴[石穿]	滴水久了可使石穿。＆比喻持之以恆，事必有成。
袖手[旁觀]	形容置身事外，不予過問。
炙手[可熱]	比喻地位尊貴，勢燄熾盛。＆比喻廣受歡迎，名聲極盛。
因噎[廢食]	比喻曾經出過差錯，唯恐再錯而不去做該做的事。
因勢[利導]	順著事物發展的趨勢，朝有利的方向引導。
草菅[人命]	比喻輕視人命，任意加以殘害。貶義。
排難[解紛]	指排除危難，解決紛爭。
畏首[畏尾]	形容疑慮顧忌，膽小怕事。
如魚[得水]	比喻得到與自己志同道合的人或適合於自己發展的環境。＆比喻兩人間情愛親密。
流芳[百世]	美名流傳後世為人所稱頌。褒義。
眾志[成城]	比喻團結一致，同心協力。
管中[窺豹]	比喻所見甚小，未得全貌。
南柯[一夢]	比喻人生如夢，富貴得失無常。
名不[虛傳]	名聲與實際相符，而非徒有虛名。褒義。
束之[高閣]	比喻棄置不用。
喪心[病狂]	形容人殘忍可惡到了極點。貶義。
見異[思遷]	比喻意志不堅定。貶義。
明察[秋毫]	比喻人能洞察一切，看到極細微的地方。
忍辱[負重]	忍受屈辱怨謗而承擔重任。
臥薪[嘗膽]	比喻刻苦自勵，發奮圖強。
買櫝[還珠]	比喻捨本逐末，取捨失當。
作威[作福]	仗著權勢欺壓別人。貶義。
兩袖[清風]	形容瀟灑飄逸、超脫凡俗的樣子。＆形容做官廉潔，毫無貪贓枉法之事。
明目[張膽]	比喻肆無忌憚地公然做壞事。
肝膽[相照]	比喻赤忱相處。
不求[甚解]	讀書著重理解義理，而不過度鑽研字句上的解釋。＆形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。
青黃[不接]	指新穀還沒成熟，存糧又已吃完。＆比喻有所匱乏，一時難以為繼。
民不[聊生]	形容百姓生活非常困苦。
明哲[保身]	明達事理、洞見時勢的人，不參與會帶給自己危險的事。＆為了個人得失而喪失原則的庸俗處世態度。
妄自[菲薄]	隨意看輕自己，不知自重。
自慚[形穢]	泛指與人相比自愧不如。
泥牛[入海]	比喻一去不復返。
急如[星火]	形容情勢急迫。
背道[而馳]	比喻彼此的目標或理想完全相反。
休戚[相關]	形容彼此間的關係密切，利害一致。
同舟[共濟]	比喻同心協力，戰勝困難。
披星[戴月]	形容早出晚歸、連夜趕路或工作備極勞累。
相敬[如賓]	形容夫妻間相處融洽，互相敬愛。褒義。
鶴立[雞群]	比喻人的儀表才能超群脫凡。褒義。＆比喻事物的不平凡。
重整[旗鼓]	比喻失敗後積聚力量，重新行動。
格格[不入]	比喻抵觸阻隔而不相合。
山窮[水盡]	水陸交通阻斷，無法通行。＆比喻走投無路，陷入絕境。
脣亡[齒寒]	比喻關係密切，利害相關。
功敗[垂成]	指事情在即將成功時卻失敗了。
旁若[無人]	形容說話舉動毫無顧忌。＆形容態度高傲。
青梅[竹馬]	指從小就相識的同伴。
五體[投地]	致敬儀式，指雙膝雙肘及頭五處著地，佛教徒沿用以禮敬三寶。＆比喻非常欽佩。
文過[飾非]	掩飾過失、錯誤。
強詞[奪理]	比喻人沒有道理卻強自狡辯。
投鞭[斷流]	比喻軍旅眾多，兵力強大。
天花[亂墜]	形容說話動聽，或浮誇不切實際。
不速[之客]	沒有邀請就自己來的客人。
勢不[兩立]	比喻敵對的雙方不能同時並存。
開誠[布公]	比喻誠意待人，坦白無私。
別出[心裁]	獨出巧思，不同流俗。褒義。
大公[無私]	秉公處理，毫無偏私。褒義。
落井[下石]	比喻乘人危難時，加以陷害。
一絲[不苟]	形容做事認真，一點也不馬虎。
力不[從心]	心裡想做某事，力量卻無法達到。
撲朔[迷離]	形容事物錯綜複雜，難以驟然明瞭真相。＆形容景色迷濛。
舉足[輕重]	形容所居地位極為重要，一舉一動皆足以影響全局。
臨渴[掘井]	比喻事到臨頭才著手準備，為時已晚，無濟於事。
再接[再厲]	比喻勇往直前，不因挫折而懈怠。
八面[玲瓏]	形容屋子四面八方敞亮通明。＆形容人言行手段，十分巧妙，處世圓融。
姍姍[來遲]	形容女子遲步緩來的樣子。＆形容人或事物不依時出現，害人苦等。
一揮[而就]	形容在書畫作文方面的敏捷高超。
明日[黃花]	比喻過時的事物。
迎刃[而解]	比喻相連的事物很容易分開。＆比喻事情很容易解決。
非驢[非馬]	比喻事物不倫不類。
百發[百中]	形容技術高妙，能命中目標。＆形容料事、用計、施藥等相當準確。
罄竹[難書]	形容罪狀極多。貶義。
自作[自受]	自己做了錯事，由自己承擔不良後果。貶義。
自暴[自棄]	指自甘墮落，不求上進。
一意[孤行]	形容人固執己見，獨斷獨行。貶義。
汗牛[充棟]	形容書籍極多。
仰人[鼻息]	比喻依靠他人生活。＆比喻看別人的臉色行事，不能自主。
高枕[無憂]	形容身心安適，無憂無慮。
家喻[戶曉]	形容事情、名聲傳播極廣。
安步[當車]	比喻安貧樂賤。＆形容態度悠閒從容。
乳臭[未乾]	譏諷人年紀輕，沒有經驗與能力。貶義。
開門[揖盜]	比喻引進壞人，自招禍患。
危如[累卵]	比喻情況非常危險。
一見[如故]	初次見面就相處融洽，如同老朋友一般。
得意[忘形]	形容人高興過頭，舉止失去常態。
小巫[見大巫]	比喻相形見絀，無法相提並論。
怒髮[衝冠]	形容盛怒的樣子。
一塵[不染]	佛家修道的人，不被六塵（色、聲、香、味、觸、法）所玷汙。＆比喻人品純潔，絲毫不沾染壞習氣。＆形容非常乾淨，一點灰塵都沒有。
三令[五申]	再三命令告誡。
愚公[移山]	比喻努力不懈，終能達成目標。＆比喻效率不佳。
口蜜[腹劍]	比喻一個人嘴上說得好聽，事實上卻內心險惡，處處想陷害別人。
短兵[相接]	比喻近距離激烈地搏打、爭鬥。
不寒[而慄]	形容內心恐懼極至。
別開[生面]	比喻另外開創新的局面、風格、形式。
枕戈[待旦]	形容殺敵報國之心急切，隨時準備作戰。＆形容人全神戒備，絲毫不敢鬆懈。
事半[功倍]	形容費力少而收效大。
數典[忘祖]	比喻人忘本。貶義。
中流[砥柱]	比喻獨立不撓、能擔當重任支撐大局的人。
欲蓋[彌彰]	形容想要掩飾過失，反而使過失更加顯明。
對症[下藥]	針對病症開方用藥。＆比喻針對癥結所在，做有效的處理。
按部[就班]	比喻做事依照一定的層次、步驟進行。
錦上[添花]	比喻美上加美，喜上加喜。
尾大[不掉]	比喻下屬的勢力強大，在上者難以駕馭。＆比喻事物因輕重關係倒置，形成難以控制的局面。
抱殘[守缺]	比喻固守舊有事物或思想，而不知改進變通。
熟能[生巧]	做事熟練了自然能領悟出其中巧妙的竅門。
鞭長[莫及]	比喻力量有所不及。
開卷[有益]	打開書本閱讀，即能得到好處。
得隴[望蜀]	比喻貪得無厭，不知滿足。
虎口[餘生]	比喻冒大險而不死。
風馬[牛不相及]	比喻事物之間彼此毫不相干。
沾沾[自喜]	形容自得自滿的樣子。
海市[蜃樓]	由於光線折射造成的自然現象或虛幻的影象。＆比喻虛幻的事物。
口是[心非]	指心裡想的和嘴上說的不一致。貶義。
毛遂[自薦]	比喻自告奮勇，自我推薦。
不毛[之地]	形容荒涼貧瘠的土地。
大發[雷霆]	形容大發脾氣，大聲責罵。
外強[中乾]	比喻事物看似充實強盛，實則空虛衰弱。
聲東[擊西]	以虛張聲勢，來轉移對方的注意力。
井井[有條]	形容整齊有序，條理分明。
六神[無主]	形容心慌意亂，拿不定主意。
平步[青雲]	比喻順利晉升到很高的地位。
一知[半解]	形容人所知不全，了解不深。
自怨[自艾]	形容人消極的埋怨自責。
曲高[和寡]	比喻無法引起大眾的共鳴。
本末[倒置]	比喻不知事情的輕重緩急。
怨聲[載道]	形容群眾普遍的怨恨和不滿。
良莠[不齊]	好壞參差，素質不一。
指桑[罵槐]	比喻拐彎抹角地罵人。
忍氣[吞聲]	形容受了氣也強自忍耐，不敢作聲抗爭。
投桃[報李]	比喻朋友間友好往來或相互贈答。
空前[絕後]	比喻超越古今，無與倫比。
水乳[交融]	比喻彼此關係密切，契合無間。
否極[泰來]	情況由壞逐漸好轉。
飲水[思源]	比喻人不忘本。
夜以[繼日]	形容工作勤奮，日夜不停。
防微[杜漸]	防範弊病要從小地方著手，並制止弊端逐漸擴大。
岌岌[可危]	形容非常危險。
克紹[箕裘]	比喻能繼承父業。＆比喻能繼承師業。
兩敗[俱傷]	比喻兩者相爭，俱受損傷。
兩全[其美]	做事顧全雙方，使兩方面都有獲益。
才高[八斗]	比喻人才學極高。
沽名[釣譽]	形容故意做作，用手段謀取名聲和讚譽。
盲人[摸象]	比喻以偏概全，不能了解真相。
因陋[就簡]	比喻做事馬虎，不力求完善美備。＆比喻因循或遷就簡陋的現實環境去做事。
見獵[心喜]	比喻舊習難忘，看見有人在做自己所愛好的事情，便心情愉悅而躍躍欲試。＆見到喜愛事物而心中欣喜。
以訛[傳訛]	指將不正確的訊息繼續傳播下去。
一落[千丈]	指聲音由高驟然下降到很低。＆比喻成績、地位、景況、情緒或聲望等急遽下降。
信口[開河]	比喻隨口亂說。
欣欣[向榮]	形容草木繁盛的樣子。＆比喻事物蓬勃發展、繁榮興盛。
巧取[豪奪]	形容不擇手段的取得權利、財物。
虎視[眈眈]	比喻心懷不軌，伺機掠奪。
怨天[尤人]	比喻面對不如意時，一味地歸咎客觀環境，而不能自我檢討。
水泄[不通]	形容包圍得極為嚴密。＆形容擁擠不堪。
一氣[呵成]	比喻文章的氣勢流暢，首尾貫通。 ＆比喻事情進行得順暢緊湊而不間斷。
觸類[旁通]	謂據已知事物的認識與理解，進而通達對其他類似事物的認知。
殺雞[取卵]	比喻貪圖眼前的好處而斷絕了長遠的利益。
面面[相覷]	形容驚懼、詫異而不知所措的樣子。
一針[見血]	比喻言論簡潔透澈，深中肯綮。
老生[常談]	比喻時常聽到，了無新意的老話。
初出[茅廬]	比喻初入社會，缺乏歷練。
萬籟[俱寂]	萬物無聲，一片寂靜。
當頭[棒喝]	比喻使人立即醒悟的警示。
完璧[歸趙]	比喻物歸原主。
三緘[其口]	說話謹慎或不說話。
從容[不迫]	形容沉著鎮定不慌張。
九牛[一毛]	比喻極大數量中的一小部分。
滄海[遺珠]	比喻被埋沒的人才或珍貴事物。
鐵面[無私]	公正嚴明而不偏私。褒義。
望眼[欲穿]	形容盼望極其深切。
笑容[可掬]	形容笑容滿面的樣子。
揮金[如土]	比喻極端浪費錢財。
爐火[純青]	比喻學問、技術、功夫等到達精純完美的境地。褒義。
魚目[混珠]	比喻以假亂真。
嗤之[以鼻]	指用鼻子哼氣譏笑某一人事物以表示不屑、鄙視。
駕輕[就熟]	比喻對事情很熟悉，做起來很輕鬆。
鴉雀[無聲]	形容非常寂靜。
舉棋[不定]	拿著棋子，不能決定下一步怎樣下。＆比喻做事猶豫不決，拿不定主意。
痛定[思痛]	事後追思當時所遭之痛苦，也不知如何處理，而更加傷心。＆比喻吸取慘痛教訓，警惕未來。
黔驢[技窮]	比喻人拙劣的技能已經用完，再也無計可施了。
孜孜[不倦]	指勤勉而不知疲倦。
急流[勇退]	在湍急的水勢中，當機立斷，回舟退出。＆比喻人處於得意順遂時及時隱退。
赴湯[蹈火]	比喻奮不顧身，不避艱險。
生吞[活剝]	比喻做學問或學習某事，只一味襲用他人的經驗或成果，而不求甚解。貶義。＆不加烹煮而生食。
暴虎[馮河]	比喻人有勇而無謀。貶義。
喋喋[不休]	形容話多，沒完沒了。
包藏[禍心]	懷藏詭計，圖謀害人。貶義。
四海[為家]	形容富有四海，天下一家。＆比喻人漂泊不定，居無定所。
請君[入甕]	比喻以其人之法，還治其人之身。＆比喻使人陷入已設計好的圈套。
聞雞[起舞]	比喻把握時機，及時奮起行動。
旗鼓[相當]	比喻雙方勢均力敵。
倒行[逆施]	比喻不按照情理行事。＆比喻胡作非為的罪惡行為。
差強[人意]	比喻雖然不夠好，但大體上還能讓人滿意。
樂不[可支]	形容快樂到了極點。
談虎[色變]	比喻一提及某事就非常害怕。
分道[揚鑣]	形容各走各的路。＆比喻人依其志向，各奔前程。
曇花[一現]	人或事物一出現便迅速消失。
禮尚[往來]	比喻別人以禮相待，也要以禮回報。＆指你對我怎麼樣，我也對你怎麼樣。
節外[生枝]	比喻事外復生事端。
高朋[滿座]	形容賓客眾多。
腳踏[實地]	比喻做事切實穩健。
前功[盡棄]	指以前辛苦獲得的成果，全部廢棄。
招搖[過市]	指故意在人多的地方炫耀自己，以引人注意。
井底[之蛙]	比喻見識淺薄的人。
梁上[君子]	竊賊的代稱。
畫龍[點睛]	比喻繪畫、作文時在最重要之處加上一筆，使全體更加生動傳神。＆比喻做事能握要點，讓整件事更加圓滿。
五十[步笑百步]	比喻自己和別人有同樣的缺點或錯誤，卻自以為是而譏笑別人。
寄人[籬下]	寄居他人屋下生活，不能自立。＆比喻作品因襲守舊，不能自創一格。
開源[節流]	開發財源，節省支出，以儲蓄財力。
既往[不咎]	對過去的錯誤不再追究責難。
興高[采烈]	形容興致勃勃，情緒熱烈的樣子。
張冠[李戴]	比喻名實不符或弄錯事情、對象。
不入[虎穴，焉得虎子]	比喻想要達到目標就必須冒險。
匹夫[之勇]	形容人有勇無謀。
食言[而肥]	比喻經常說話都不守信用。貶義。
伯仲[之間]	形容人才能相當，不相上下。
走投[無路]	形容處境窘困。
呼風[喚雨]	指人有召喚風雨的法力。＆比喻人神通廣大、影響力深遠。
茅塞[頓開]	比喻閉塞的心思，頓時豁然醒悟。
生靈[塗炭]	形容人民處於極端艱苦的困境。
登峰[造極]	登上山峰，到達絕頂。＆比喻成就達到極點或造詣高深精絕。
正襟[危坐]	形容莊重誠敬的樣子。
目中[無人]	形容人高傲自大，瞧不起別人。貶義。
順水[推舟]	比喻順應情勢行事。
節衣[縮食]	用來形容生活節儉。
招搖[撞騙]	形容借名炫耀，到處詐騙。
杯盤[狼藉]	形容酒席完畢，杯盤散亂的情形。
懸崖[勒馬]	比喻到了危險的邊緣而及時回頭。
肆無[忌憚]	形容人恣意妄為，毫無顧忌。
手不[釋卷]	形容人勤奮好學。
春風[得意]	指考中後稱心如意的感受。＆形容人因事情如願以償而心情愉悅滿足。
不足[掛齒]	指人或事物輕微，不值得一提。
不識[時務]	比喻不知利用時運以求通達。＆形容不了解眼前狀況的愚魯態度。
石破[天驚]	形容樂器彈奏出來的聲音高亢激越。＆用來形容事物或言論新奇驚人。
覆水[難收]	比喻離異的夫妻很難再復合。 ＆比喻既定的事實很難再改變。
難兄[難弟]	形容兄弟二人才德相當，難分高下。（難，音ㄋㄢˊ）＆諷刺兩人同樣差勁，表現差不多。（難，音ㄋㄢˊ）＆形容同處困境、共同患難的朋友。（難，音ㄋㄢˋ）
海闊[天空]	形容天地遼闊而無邊際。＆比喻心胸開闊、心情開朗＆形容無拘無束，漫無邊際的樣子。
偷天[換日]	比喻騙局之大與技巧之妙。
七上[八下]	形容心情起伏不定、忐忑不安。
孤芳[自賞]	比喻自命清高，自我欣賞。
束手[無策]	比喻面對問題時，毫無解決的辦法。
心心[相印]	比喻彼此心意互通。
空穴[來風]	比喻事出有因，流言乘隙而入。＆比喻憑空捏造不實的傳言。
步步[為營]	比喻行動謹慎，防備周全。
坐以[待斃]	比喻面臨危難，不採取積極的應變措施，只坐等敗亡。
一舉[兩得]	比喻做一件事，同時有兩方面的收穫。
心照[不宣]	彼此心裡明白，不必言語說明。
一介[不取]	形容人的操守非常清廉。
守口[如瓶]	比喻嚴守祕密。
人云[亦云]	形容沒有獨自的見解，只會盲從跟隨。
自投[羅網]	比喻落入他人圈套或自取禍害。
人面[獸心]	形容人凶狠殘暴，如野獸一般。貶義。
忘恩[負義]	受人恩惠不知報答，反而做出對不起恩人的事情。
力透[紙背]	形容人的書法遒勁有力。＆形容文章立意深刻有力。
小心[翼翼]	形容舉止十分謹慎，不敢疏忽。
一目[十行]	形容閱讀速度很快。
大逆[不道]	指違反倫常，罪惡深重。貶義。
口碑[載道]	比喻廣受好評。褒義。
失之[交臂]	指錯失機會。
上行[下效]	指在上位的人怎麼做，下面的人就起而效法。
一刀[兩斷]	比喻堅決地斷絕關係。
川流[不息]	形容連綿不絕。
毛骨[悚然]	形容極端驚懼害怕。
天涯[海角]	形容偏僻或相距遙遠的地方。
