abdomen	下腹	在船(或飛機;車)上;上船(或飛機;車)	可以接受的;令人滿意的	事故;災禍
arithmetic	算術的	到達	灰	在旁邊;到(或向)旁邊
arrival	到達	灰	在旁邊;到(或向)旁邊	幫助,協助
ash	灰	在旁邊;到(或向)旁邊	幫助,協助	運動員,體育家
aside	在旁邊;到(或向)旁邊	幫助,協助	運動員,體育家	試圖;企圖
assist	幫助,協助	運動員,體育家	試圖;企圖	態度
athlete	運動員,體育家	試圖;企圖	態度	吸引
attempt	試圖;企圖	態度	吸引	吸引人的
attitude	態度	吸引	吸引人的	聽眾
attract	吸引	吸引人的	聽眾	開創,發起;著作,編寫
attractive	吸引人的	聽眾	開創,發起;著作,編寫	自動的,習慣性的
audience	聽眾	開創,發起;著作,編寫	自動的,習慣性的	汽車
author	開創,發起;著作,編寫	自動的,習慣性的	汽車	可用的,可得到的,有效的
automatic	自動的,習慣性的	汽車	可用的,可得到的,有效的	大街,大道
automobile/auto	汽車	可用的,可得到的,有效的	大街,大道	平均的
available	可用的,可得到的,有效的	大街,大道	平均的	醒著的
avenue	大街,大道	平均的	醒著的	醒;覺醒;喚起
average	平均的	醒著的	醒;覺醒;喚起	授予
awake	醒著的	醒;覺醒;喚起	授予	知道的,察覺的
awaken	醒;覺醒;喚起	授予	知道的,察覺的	可怕的
award	授予	知道的,察覺的	可怕的	用斧劈
aware	知道的,察覺的	可怕的	用斧劈	背景
awful	可怕的	用斧劈	背景	培根
ax/axe	用斧劈	背景	培根	細菌
background	背景	培根	細菌	壞;拙劣地
bacon	培根	細菌	壞;拙劣地	羽毛球
bacteria	細菌	壞;拙劣地	羽毛球	行李
badly	壞;拙劣地	羽毛球	行李	置餌於
badminton	羽毛球	行李	置餌於	使平衡
baggage	行李	置餌於	使平衡	繃帶
bait	置餌於	使平衡	繃帶	發出砰的一聲;砰地敲
balance	使平衡	繃帶	發出砰的一聲;砰地敲	裸的;僅僅的
bandage	繃帶	發出砰的一聲;砰地敲	裸的;僅僅的	僅僅;勉強
bang	發出砰的一聲;砰地敲	裸的;僅僅的	僅僅;勉強	穀倉;糧倉
bare	裸的;僅僅的	僅僅;勉強	穀倉;糧倉	大桶
barely	僅僅;勉強	穀倉;糧倉	大桶	海灣
barn	穀倉;糧倉	大桶	海灣	微笑
barrel	大桶	海灣	微笑	野獸
bay	海灣	微笑	野獸	乞丐
beam 	微笑	野獸	乞丐	舉動;守規矩
beast	野獸	乞丐	舉動;守規矩	存在;生存;生命;本質
beggar	乞丐	舉動;守規矩	存在;生存;生命;本質	腹部
behave	舉動;守規矩	存在;生存;生命;本質	腹部	在～之下
being	存在;生存;生命;本質	腹部	在～之下	對...有益
belly/stomach/tummy/	腹部	在～之下	對...有益	莓果
beneath	在～之下	對...有益	莓果	聖經
benefit	對...有益	莓果	聖經	十億
berry	莓果	聖經	十億	賓果遊戲
Bible/bible	聖經	十億	賓果遊戲	(美國)小麵包
billion	十億	賓果遊戲	(美國)小麵包	歸咎於
bingo	賓果遊戲	(美國)小麵包	歸咎於	毯子
biscuit	(美國)小麵包	歸咎於	毯子	流血
blame	歸咎於	毯子	流血	祝福
blanket	毯子	流血	祝福	女裝短上衣
bleed	流血	祝福	女裝短上衣	無畏的;大膽的
bless	祝福	女裝短上衣	無畏的;大膽的	後車廂
blouse	女裝短上衣	無畏的;大膽的	後車廂	邊界
bold	無畏的;大膽的	後車廂	邊界	使厭煩
boot	後車廂	邊界	使厭煩	煞車
border	邊界	使厭煩	煞車	黃銅
bore	使厭煩	煞車	黃銅	勇敢,勇氣
brake	煞車	黃銅	勇敢,勇氣	乳房
brass	黃銅	勇敢,勇氣	乳房	呼吸,氣息;微風
bravery	勇敢,勇氣	乳房	呼吸,氣息;微風	呼吸
breast	乳房	呼吸,氣息;微風	呼吸	吹著微風
breath	呼吸,氣息;微風	呼吸	吹著微風	新娘
breathe	呼吸	吹著微風	新娘	傑出的
breeze	吹著微風	新娘	傑出的	小河,小溪
bride	新娘	傑出的	小河,小溪	掃把
brilliant	傑出的	小河,小溪	掃把	眉頭;眉毛
brook	小河,小溪	掃把	眉頭;眉毛	泡泡
broom	掃把	眉頭;眉毛	泡泡	水桶
brow	眉頭;眉毛	泡泡	水桶	芽
bubble	泡泡	水桶	芽	把...編入預算
bucket/pail	水桶	芽	把...編入預算	水牛
bud	芽	把...編入預算	水牛	自助餐
budget	把...編入預算	水牛	自助餐	球莖
buffalo	水牛	自助餐	球莖	公牛
buffet	自助餐	球莖	公牛	子彈
bulb	球莖	公牛	子彈	碰,撞
bull	公牛	子彈	碰,撞	串,束
bullet	子彈	碰,撞	串,束	加重壓於
bump	碰,撞	串,束	加重壓於	夜賊,破門盜竊者
bunch	串,束	加重壓於	夜賊,破門盜竊者	埋葬,安葬
burden 	加重壓於	夜賊,破門盜竊者	埋葬,安葬	灌木
burglar	夜賊,破門盜竊者	埋葬,安葬	灌木	嗡嗡叫
bury	埋葬,安葬	灌木	嗡嗡叫	客艙
bush	灌木	嗡嗡叫	客艙	校園
buzz	嗡嗡叫	客艙	校園	藤條
cabin	客艙	校園	藤條	獨木舟
campus	校園	藤條	獨木舟	峽谷
cane	藤條	獨木舟	峽谷	有...的能力
canoe	獨木舟	峽谷	有...的能力	資本
canyon	峽谷	有...的能力	資本	捕獲;俘虜
capable	有...的能力	資本	捕獲;俘虜	木工,木匠
capital 	資本	捕獲;俘虜	木工,木匠	運輸;運費
capture	捕獲;俘虜	木工,木匠	運輸;運費	投擲
carpenter	木工,木匠	運輸;運費	投擲	隨便的
carriage	運輸;運費	投擲	隨便的	毛毛蟲
cast 	投擲	隨便的	毛毛蟲	牛;牲口,家畜
casual	隨便的	毛毛蟲	牛;牲口,家畜	慶祝
caterpillar	毛毛蟲	牛;牲口,家畜	慶祝	公分
cattle	牛;牲口,家畜	慶祝	公分	陶器的;製陶藝術的
celebrate	慶祝	公分	陶器的;製陶藝術的	腳踏車鏈
centimeter	公分	陶器的;製陶藝術的	腳踏車鏈	對...提出異議
ceramic	陶器的;製陶藝術的	腳踏車鏈	對...提出異議	優勝者,冠軍
chain	腳踏車鏈	對...提出異議	優勝者,冠軍	易變的;不定的
challenge	對...提出異議	優勝者,冠軍	易變的;不定的	在...開水道;傳送
champion	優勝者,冠軍	易變的;不定的	在...開水道;傳送	(書籍的)章,回
changeable	易變的;不定的	在...開水道;傳送	(書籍的)章,回	使陶醉
channel	在...開水道;傳送	(書籍的)章,回	使陶醉	閒談,聊天
chapter	(書籍的)章,回	使陶醉	閒談,聊天	臉頰
charm	使陶醉	閒談,聊天	臉頰	向...歡呼
chat	閒談,聊天	臉頰	向...歡呼	高興的
cheek	臉頰	向...歡呼	高興的	起司
cheer	向...歡呼	高興的	起司	櫻桃
cheerful	高興的	起司	櫻桃	胸
cheese	起司	櫻桃	胸	咀嚼
cherry	櫻桃	胸	咀嚼	幼時
chest	胸	咀嚼	幼時	涼颼颼的
chew	咀嚼	幼時	涼颼颼的	冷颼颼的
childhood	幼時	涼颼颼的	冷颼颼的	煙囪
chill	涼颼颼的	冷颼颼的	煙囪	削,鑿,鏟
chilly	冷颼颼的	煙囪	削,鑿,鏟	使窒息;哽住
chimney	煙囪	削,鑿,鏟	使窒息;哽住	切碎
chip	削,鑿,鏟	使窒息;哽住	切碎	香煙,紙煙
choke	使窒息;哽住	切碎	香煙,紙煙	馬戲團
chop	切碎	香煙,紙煙	馬戲團	市民的,國民的
cigarette	香煙,紙煙	馬戲團	市民的,國民的	古典的
circus	馬戲團	市民的,國民的	古典的	發出卡嗒(或喀嚓)聲
civil	市民的,國民的	古典的	發出卡嗒(或喀嚓)聲	顧客,客戶
classical	古典的	發出卡嗒(或喀嚓)聲	顧客,客戶	診所,門診所
click	發出卡嗒(或喀嚓)聲	顧客,客戶	診所,門診所	剪;修剪;剪短;剪除
client	顧客,客戶	診所,門診所	剪;修剪;剪短;剪除	線索,跡象,提示
clinic	診所,門診所	剪;修剪;剪短;剪除	線索,跡象,提示	雞尾酒
clip	剪;修剪;剪短;剪除	線索,跡象,提示	雞尾酒	椰子
clue	線索,跡象,提示	雞尾酒	椰子	衣領
cocktail	雞尾酒	椰子	衣領	收集
coconut	椰子	衣領	收集	學院;大學
collar	衣領	收集	學院;大學	殖民地
collection	收集	學院;大學	殖民地	報紙專欄
college	學院;大學	殖民地	報紙專欄	使結合
colony	殖民地	報紙專欄	使結合	安慰
column	報紙專欄	使結合	安慰	逗號
combine	使結合	安慰	逗號	命令;掌握; 指揮;控制
comfort	安慰	逗號	命令;掌握; 指揮;控制	商業的;商務的
comma	逗號	命令;掌握; 指揮;控制	商業的;商務的	委員會
command	命令;掌握; 指揮;控制	商業的;商務的	委員會	傳達;傳遞
commercial	商業的;商務的	委員會	傳達;傳遞	比較,對照
committee	委員會	傳達;傳遞	比較,對照	競爭;對抗
communicate	傳達;傳遞	比較,對照	競爭;對抗	抱怨;抗議;怨言
comparison	比較,對照	競爭;對抗	抱怨;抗議;怨言	複雜的
compete	競爭;對抗	抱怨;抗議;怨言	複雜的	使擔心
complaint	抱怨;抗議;怨言	複雜的	使擔心	音樂會,演奏會
complex	複雜的	使擔心	音樂會,演奏會	推斷出,斷定
concern	使擔心	音樂會,演奏會	推斷出,斷定	結論;推論
concert	音樂會,演奏會	推斷出,斷定	結論;推論	決定;為...的條件
conclude	推斷出,斷定	結論;推論	決定;為...的條件	圓錐體
conclusion	結論;推論	決定;為...的條件	圓錐體	有信心的
condition	決定;為...的條件	圓錐體	有信心的	使迷惑
cone	圓錐體	有信心的	使迷惑	連接,連結
confident	有信心的	使迷惑	連接,連結	連接;聯絡;銜接
confuse	使迷惑	連接,連結	連接;聯絡;銜接	神志清醒的,有知覺的
connect	連接,連結	連接;聯絡;銜接	神志清醒的,有知覺的	相當大的;相當多的
connection	連接;聯絡;銜接	神志清醒的,有知覺的	相當大的;相當多的	考慮
conscious	神志清醒的,有知覺的	相當大的;相當多的	考慮	固定的,不變的
considerable	相當大的;相當多的	考慮	固定的,不變的	大陸,陸地;大洲
consideration	考慮	固定的,不變的	大陸,陸地;大洲	承包
constant	固定的,不變的	大陸,陸地;大洲	承包	蹲著
continent	大陸,陸地;大洲	承包	蹲著	可計算的;可數的
contract	承包	蹲著	可計算的;可數的	懦夫,膽怯者
couch	蹲著	可計算的;可數的	懦夫,膽怯者	撫育
countable	可計算的;可數的	懦夫,膽怯者	撫育	碰撞,倒下,墜落
coward	懦夫,膽怯者	撫育	碰撞,倒下,墜落	爬
cradle	撫育	碰撞,倒下,墜落	爬	有創造力(或想像力)的
crash	碰撞,倒下,墜落	爬	有創造力(或想像力)的	創造者;創作者
crawl	爬	有創造力(或想像力)的	創造者;創作者	生物
creative	有創造力(或想像力)的	創造者;創作者	生物	把...記入貸方
creator	創造者;創作者	生物	把...記入貸方	躡手躡足地走
creature	生物	把...記入貸方	躡手躡足地走	全體船員
credit	把...記入貸方	躡手躡足地走	全體船員	蟋蟀
creep	躡手躡足地走	全體船員	蟋蟀	犯罪的
crew	全體船員	蟋蟀	犯罪的	脆的,酥的,鬆脆的
cricket	蟋蟀	犯罪的	脆的,酥的,鬆脆的	為...加冕
criminal	犯罪的	脆的,酥的,鬆脆的	為...加冕	發嘎吱嘎吱聲的;易碎的
crisp/crispy	脆的,酥的,鬆脆的	為...加冕	發嘎吱嘎吱聲的;易碎的	丁形柺杖
crown	為...加冕	發嘎吱嘎吱聲的;易碎的	丁形柺杖	教養的;人文的
crunchy	發嘎吱嘎吱聲的;易碎的	丁形柺杖	教養的;人文的	食櫥;碗櫃
crutch	丁形柺杖	教養的;人文的	食櫥;碗櫃	現行的
cultural	教養的;人文的	食櫥;碗櫃	現行的	循環
cupboard	食櫥;碗櫃	現行的	循環	牛奶店;牛奶及乳品業
current	現行的	循環	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)
cycle	循環	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)	敢
dairy	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)	敢	親愛的,心愛的;寵愛的
dam	築壩於,築壩攔(水)	敢	親愛的,心愛的;寵愛的	猛衝，急奔，跑
dare	敢	親愛的,心愛的;寵愛的	猛衝，急奔，跑	使聾
darling	親愛的,心愛的;寵愛的	猛衝，急奔，跑	使聾	業者;商人;發牌者
dash	猛衝，急奔，跑	使聾	業者;商人;發牌者	十年
deafen	使聾	業者;商人;發牌者	十年	(船的) 艙面,甲板;(紙牌的)一副
dealer	業者;商人;發牌者	十年	(船的) 艙面,甲板;(紙牌的)一副	契據;證書
decade	十年	(船的) 艙面,甲板;(紙牌的)一副	契據;證書	使加深
deck	(船的) 艙面,甲板;(紙牌的)一副	契據;證書	使加深	解釋,給...下定義
deed	契據;證書	使加深	解釋,給...下定義	定義;釋義
deepen	使加深	解釋,給...下定義	定義;釋義	投遞,傳送
define	解釋,給...下定義	定義;釋義	投遞,傳送	民主
definition	定義;釋義	投遞,傳送	民主	有民主精神的
delivery	投遞,傳送	民主	有民主精神的	放下,放置;寄存
democracy	民主	有民主精神的	放下,放置;寄存	敘述;形容
democratic	有民主精神的	放下,放置;寄存	敘述;形容	設計者;構思者;時裝設計師
deposit	放下,放置;寄存	敘述;形容	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的
description	敘述;形容	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的	毀壞,破壞
designer	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的	毀壞,破壞	詳述,詳細說明
desirable	值得嚮往的;富有魅力的	毀壞,破壞	詳述,詳細說明	決定
destroy 	毀壞,破壞	詳述,詳細說明	決定	魔鬼
detail	詳述,詳細說明	決定	魔鬼	對話;交談
determine	決定	魔鬼	對話;交談	節食
devil	魔鬼	對話;交談	節食	勤勉的
dialogue	對話;交談	節食	勤勉的	微暗的
diet	節食	勤勉的	微暗的	一角硬幣
diligent	勤勉的	微暗的	一角硬幣	進餐,用餐
dim	微暗的	一角硬幣	進餐,用餐	浸;泡
dime	一角硬幣	進餐,用餐	浸;泡	污物;爛泥;灰塵
dine	進餐,用餐	浸;泡	污物;爛泥;灰塵	使失望
dip	浸;泡	污物;爛泥;灰塵	使失望	迪斯科音樂
dirt	污物;爛泥;灰塵	使失望	迪斯科音樂	將...打折扣
disappoint	使失望	迪斯科音樂	將...打折扣	發現
disco/discotheque	迪斯科音樂	將...打折扣	發現	病,疾病
discount	將...打折扣	發現	病,疾病	圓盤;(電腦)磁盤
discovery	發現	病,疾病	圓盤;(電腦)磁盤	不喜愛,厭惡
disease	病,疾病	圓盤;(電腦)磁盤	不喜愛,厭惡	掘溝
disk/disc	圓盤;(電腦)磁盤	不喜愛,厭惡	掘溝	跳水
dislike	不喜愛,厭惡	掘溝	跳水	碼頭
ditch	掘溝	跳水	碼頭	閃開;迴避
dive	跳水	碼頭	閃開;迴避	國內的
dock	碼頭	閃開;迴避	國內的	(按劑量)給...服藥
dodge	閃開;迴避	國內的	(按劑量)給...服藥	懷疑的
domestic	國內的	(按劑量)給...服藥	懷疑的	排水孔
dose	(按劑量)給...服藥	懷疑的	排水孔	戲劇性的;引人注目的
doubtful	懷疑的	排水孔	戲劇性的;引人注目的	滴下
drain	排水孔	戲劇性的;引人注目的	滴下	淹沒,浸濕
dramatic	戲劇性的;引人注目的	滴下	淹沒,浸濕	昏昏欲睡的
drip	滴下	淹沒,浸濕	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的
drown	淹沒,浸濕	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的
drowsy	昏昏欲睡的	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的	傾倒;拋棄
drunk	喝醉(酒)的;陶醉的,興奮的	應支付的;欠款的	傾倒;拋棄	灰塵
due	應支付的;欠款的	傾倒;拋棄	灰塵	渴望的,急切的
dump	傾倒;拋棄	灰塵	渴望的,急切的	收入,工資
dust	灰塵	渴望的,急切的	收入,工資	發出回聲
eager	渴望的,急切的	收入,工資	發出回聲	編輯;校訂
earnings	收入,工資	發出回聲	編輯;校訂	版本
echo	發出回聲	編輯;校訂	版本	編者;校訂者
edit	編輯;校訂	版本	編者;校訂者	教育
edition	版本	編者;校訂者	教育	教育的
editor	編者;校訂者	教育	教育的	效率高的;有能力的
educate	教育	教育的	效率高的;有能力的	手肘
educational	教育的	效率高的;有能力的	手肘	年長的;上了年紀的
efficient	效率高的;有能力的	手肘	年長的;上了年紀的	選舉
elbow	手肘	年長的;上了年紀的	選舉	電的
elderly	年長的;上了年紀的	選舉	電的	電;電流
election	選舉	電的	電;電流	電子的
electric/electrical	電的	電;電流	電子的	緊急情況
electricity	電;電流	電子的	緊急情況	皇帝
electronic	電子的	緊急情況	皇帝	強調
emergency	緊急情況	皇帝	強調	僱用
emperor	皇帝	強調	僱用	受雇者,雇工,雇員
emphasize	強調	僱用	受雇者,雇工,雇員	雇主,雇用者
employ	僱用	受雇者,雇工,雇員	雇主,雇用者	空的
employee	受雇者,雇工,雇員	雇主,雇用者	空的	使成為可能
employer	雇主,雇用者	空的	使成為可能	精力充沛的
empty	空的	使成為可能	精力充沛的	使訂婚;使忙於
enable	使成為可能	精力充沛的	使訂婚;使忙於	引擎
energetic	精力充沛的	使訂婚;使忙於	引擎	工程師
engage	使訂婚;使忙於	引擎	工程師	快樂的;有樂趣的
engine	引擎	工程師	快樂的;有樂趣的	入口
engineer	工程師	快樂的;有樂趣的	入口	環境的;有關環境(保護)的
enjoyable	快樂的;有樂趣的	入口	環境的;有關環境(保護)的	羨慕;嫉妒
entry	入口	環境的;有關環境(保護)的	羨慕;嫉妒	擦掉,抹去
environmental	環境的;有關環境(保護)的	羨慕;嫉妒	擦掉,抹去	逃跑;逃脫
envy	羨慕;嫉妒	擦掉,抹去	逃跑;逃脫	邪惡的
erase	擦掉,抹去	逃跑;逃脫	邪惡的	優秀;傑出;卓越
escape	逃跑;逃脫	邪惡的	優秀;傑出;卓越	交換;調換;兌換;匯兌
evil	邪惡的	優秀;傑出;卓越	交換;調換;兌換;匯兌	展覽;展覽會
excellence	優秀;傑出;卓越	交換;調換;兌換;匯兌	展覽;展覽會	存在,實在
exchange	交換;調換;兌換;匯兌	展覽;展覽會	存在,實在	出口
exhibition	展覽;展覽會	存在,實在	出口	期待
existence	存在,實在	出口	期待	費用;支出;消耗
exit	出口	期待	費用;支出;消耗	進行實驗,試驗
expectation	期待	費用;支出;消耗	進行實驗,試驗	使爆炸
expense	費用;支出;消耗	進行實驗,試驗	使爆炸	輸出
experiment	進行實驗,試驗	使爆炸	輸出	表情
explode	使爆炸	輸出	表情	表達的;表情豐富的
export	輸出	表情	表達的;表情豐富的	極端的,極度的
expression	表情	表達的;表情豐富的	極端的,極度的	寓言
expressive	表達的;表情豐富的	極端的,極度的	寓言	因素;要素
extreme	極端的,極度的	寓言	因素;要素	褪色
fable	寓言	因素;要素	褪色	頭暈的;暗淡的
factor	因素;要素	褪色	頭暈的;暗淡的	公平地,公正地
fade	褪色	頭暈的;暗淡的	公平地,公正地	小妖精(似)的;優雅的
faint	頭暈的;暗淡的	公平地,公正地	小妖精(似)的;優雅的	信念;信任,完全信賴
fairly	公平地,公正地	小妖精(似)的;優雅的	信念;信任,完全信賴	假的;冒充的
fairy	小妖精(似)的;優雅的	信念;信任,完全信賴	假的;冒充的	熟悉的;常見的
faith	信念;信任,完全信賴	假的;冒充的	熟悉的;常見的	電扇
fake	假的;冒充的	熟悉的;常見的	電扇	花俏的;特級的
familiar	熟悉的;常見的	電扇	花俏的;特級的	(交通工具的)票價,車(船)費
fan 	電扇	花俏的;特級的	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的
fancy	花俏的;特級的	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的	把...塑造成
fare	(交通工具的)票價,車(船)費	far的比較級; 更遠的,再往前的	把...塑造成	時尚的
farther	far的比較級; 更遠的,再往前的	把...塑造成	時尚的	紮牢;繫緊
fashion	把...塑造成	時尚的	紮牢;繫緊	命運
fashionable	時尚的	紮牢;繫緊	命運	水龍頭
fasten	紮牢;繫緊	命運	水龍頭	傳真傳輸
fate	命運	水龍頭	傳真傳輸	羽毛
faucet/tap 	水龍頭	傳真傳輸	羽毛	以...為特色
fax	傳真傳輸	羽毛	以...為特色	把...歸檔
feather	羽毛	以...為特色	把...歸檔	煙火
feature	以...為特色	把...歸檔	煙火	拳頭
file	把...歸檔	煙火	拳頭	發火焰,燃燒
firework	煙火	拳頭	發火焰,燃燒	給...調味
fist	拳頭	發火焰,燃燒	給...調味	跳蚤
flame	發火焰,燃燒	給...調味	跳蚤	果肉
flavor	給...調味	跳蚤	果肉	浮
flea	跳蚤	果肉	浮	聚集;成群地去(或來)
flesh	果肉	浮	聚集;成群地去(或來)	摺疊;對摺
float	浮	聚集;成群地去(或來)	摺疊;對摺	人們
flock	聚集;成群地去(或來)	摺疊;對摺	人們	追隨者;信徒
fold	摺疊;對摺	人們	追隨者;信徒	喜歡的;愛好的
folk	人們	追隨者;信徒	喜歡的;愛好的	額頭
follower	追隨者;信徒	喜歡的;愛好的	額頭	永遠
fond	喜歡的;愛好的	額頭	永遠	向前;向前方;向外
forehead/brow	額頭	永遠	向前;向前方;向外	財產,財富;巨款
forever	永遠	向前;向前方;向外	財產,財富;巨款	建立;建造;鑄造;熔化
forth	向前;向前方;向外	財產,財富;巨款	建立;建造;鑄造;熔化	噴水池
fortune	財產,財富;巨款	建立;建造;鑄造;熔化	噴水池	結冰,凝固;凍結
found	建立;建造;鑄造;熔化	噴水池	結冰,凝固;凍結	頻繁的;屢次的
fountain	噴水池	結冰,凝固;凍結	頻繁的;屢次的	友誼
freeze	結冰,凝固;凍結	頻繁的;屢次的	友誼	挫敗;阻撓
frequent	頻繁的;屢次的	友誼	挫敗;阻撓	油炸
friendship	友誼	挫敗;阻撓	油炸	提供(事業,活動等的)資金
frustrate	挫敗;阻撓	油炸	提供(事業,活動等的)資金	軟毛;毛皮製品
fry	油炸	提供(事業,活動等的)資金	軟毛;毛皮製品	傢俱
fund	提供(事業,活動等的)資金	軟毛;毛皮製品	傢俱	加侖
fur	軟毛;毛皮製品	傢俱	加侖	賭博;打賭
furniture 	傢俱	加侖	賭博;打賭	成群結隊;結夥
gallon	加侖	賭博;打賭	成群結隊;結夥	裂口,缺口
gamble	賭博;打賭	成群結隊;結夥	裂口,缺口	大蒜
gang	成群結隊;結夥	裂口,缺口	大蒜	汽油
gap	裂口,缺口	大蒜	汽油	做手勢
garlic	大蒜	汽油	做手勢	看一下
gasoline/gasolene/gas	汽油	做手勢	看一下	全世界的
gesture	做手勢	看一下	全世界的	驕傲;自豪
glance	看一下	全世界的	驕傲;自豪	發白熱光,灼熱
global	全世界的	驕傲;自豪	發白熱光,灼熱	閒聊
glory	驕傲;自豪	發白熱光,灼熱	閒聊	州長
glow	發白熱光,灼熱	閒聊	州長	(婦女穿的)長禮服;晨衣,睡袍
gossip	閒聊	州長	(婦女穿的)長禮服;晨衣,睡袍	抓
governor	州長	(婦女穿的)長禮服;晨衣,睡袍	抓	逐漸的,逐步的
gown	(婦女穿的)長禮服;晨衣,睡袍	抓	逐漸的,逐步的	畢業
grab	抓	逐漸的,逐步的	畢業	穀物
gradual	逐漸的,逐步的	畢業	穀物	公克
graduate	畢業	穀物	公克	抓牢
grain	穀物	公克	抓牢	蚱蜢
gram	公克	抓牢	蚱蜢	溫室,暖房
grasp	抓牢	蚱蜢	溫室,暖房	露齒而笑
grasshopper	蚱蜢	溫室,暖房	露齒而笑	食品雜貨; 食品雜貨店
greenhouse	溫室,暖房	露齒而笑	食品雜貨; 食品雜貨店	保護者,守護者;管理員
grin	露齒而笑	食品雜貨; 食品雜貨店	保護者,守護者;管理員	指導;引導;領導
grocery	食品雜貨; 食品雜貨店	保護者,守護者;管理員	指導;引導;領導	口香糖
guardian	保護者,守護者;管理員	指導;引導;領導	口香糖	體育館;健身房
guidance	指導;引導;領導	口香糖	體育館;健身房	美髮師
gum/chewing gum	口香糖	體育館;健身房	美髮師	玄關;門廳,走
gymnasium/gym	體育館;健身房	美髮師	玄關;門廳,走	少數,少量
hairdresser	美髮師	玄關;門廳,走	少數,少量	便利的;靈活的;易於操作的
hallway	玄關;門廳,走	少數,少量	便利的;靈活的;易於操作的	庇護
handful	少數,少量	便利的;靈活的;易於操作的	庇護	損害,傷害;危害
handy	便利的;靈活的;易於操作的	庇護	損害,傷害;危害	有害的
harbor	庇護	損害,傷害;危害	有害的	收割;收穫
harm	損害,傷害;危害	有害的	收割;收穫	輕率的
harmful	有害的	收割;收穫	輕率的	孵出
harvest	收割;收穫	輕率的	孵出	鷹,隼
hasty	輕率的	孵出	鷹,隼	乾草
hatch	孵出	鷹,隼	乾草	給...加標題
hawk	鷹,隼	乾草	給...加標題	總部,總公司,總局
hay	乾草	給...加標題	總部,總公司,總局	癒合;痊癒
headline	給...加標題	總部,總公司,總局	癒合;痊癒	裝滿
headquarters	總部,總公司,總局	癒合;痊癒	裝滿	天國;上帝
heal	癒合;痊癒	裝滿	天國;上帝	腳跟
heap	裝滿	天國;上帝	腳跟	地獄,冥府
heaven	天國;上帝	腳跟	地獄,冥府	安全帽
heel	腳跟	地獄,冥府	安全帽	躊躇;猶豫
hell	地獄,冥府	安全帽	躊躇;猶豫	健行
helmet	安全帽	躊躇;猶豫	健行	暗示,示意
