見せる (みせる)	to show	key 	old	cooked rice 
意味 (いみ)	meaning	one 	number one	right
一つ (ひとつ)	one 	number one	right	movie
一番 (いちばん)	number one	right	movie	music
右 (みぎ)	right	movie	music	summer
映画 (えいが)	movie	music	summer	family
音楽 (おんがく)	music	summer	family	home
夏 (なつ)	summer	family	home	song 
家族 (かぞく)	family	home	song 	flower
家庭 (かてい)	home	song 	flower	company
歌 (うた)	song 	flower	company	foreign country
花 (はな)	flower	company	foreign country	foreigner
会社 (かいしゃ)	company	foreign country	foreigner	school
外国 (がいこく)	foreign country	foreigner	school	student 
外国人 (がいこくじん)	foreigner	school	student 	bank
学校 (がっこう)	school	student 	bank	language
学生 (がくせい)	student 	bank	language	five
銀行 (ぎんこう)	bank	language	five	afternoon
言葉 (ことば)	language	five	afternoon	morning
五 (ご)	five	afternoon	morning	behind
午後 (ごご)	afternoon	morning	behind	this month
午前 (ごぜん)	morning	behind	this month	left
後 (あと)	behind	this month	left	work
今月 (こんげつ)	this month	left	work	I
左 (ひだり)	left	work	I	time 
仕事 (しごと)	work	I	time 	automobile
私 (わたし)	I	time 	automobile	myself
時間 (じかん)	time 	automobile	myself	question
自動車 (じどうしゃ)	automobile	myself	question	photograph
自分 (じぶん)	myself	question	photograph	car
質問 (しつもん)	question	photograph	car	hand
写真 (しゃしん)	photograph	car	hand	autumn
車 (くるま)	car	hand	autumn	spring
手 (て)	hand	autumn	spring	small quantity
秋 (あき)	autumn	spring	small quantity	to raise
春 (はる)	spring	small quantity	to raise	newspaper
少し (すこし)	small quantity	to raise	newspaper	water 
上げる (あげる)	to raise	newspaper	water 	voice 
新聞 (しんぶん)	newspaper	water 	voice 	1000
水 (みず)	water 	voice 	1000	university
声 (こえ)	voice 	1000	university	man
千 (せん)	1000	university	man	telephone call
大学 (だいがく)	university	man	telephone call	east
男 (おとこ)	man	telephone call	east	road
電話 (でんわ)	telephone call	east	road	south
東 (ひがし)	east	road	south	two
道 (みち)	road	south	two	100
南 (みなみ)	south	two	100	hospital
二 (に)	two	100	hospital	north 
百 (ひゃく)	100	hospital	north 	every day
病院 (びょういん)	hospital	north 	every day	tree
北 (きた)	north 	every day	tree	question 
毎日 (まいにち)	every day	tree	question 	next year
木 (き)	tree	question 	next year	one person 
問題 (もんだい)	question 	next year	one person 	nine
来年 (らいねん)	next year	one person 	nine	this year
一人 (ひとり)	one person 	nine	this year	three 
九 (きゅう)	nine	this year	three 	four
今年 (ことし)	this year	three 	four	ten
三 (さん)	three 	four	ten	two persons
四 (よん)	four	ten	two persons	eight
十 (じゅう)	ten	two persons	eight	six
二人 (ふたり)	two persons	eight	six	country
八 (はち)	eight	six	country	talk
六 (ろく)	six	country	talk	together 
国 (くに)	country	talk	together 	rain
話 (はなし)	talk	together 	rain	English 
一緒 (いっしょ)	together 	rain	English 	sea
雨 (あめ)	rain	English 	sea	outside
英語 (えいご)	English 	sea	outside	marriage
海 (うみ)	sea	outside	marriage	to call out 
外 (そと)	outside	marriage	to call out 	public park
結婚 (けっこん)	marriage	to call out 	public park	mouth 
呼ぶ (よぶ)	to call out 	public park	mouth 	journal
公園 (こうえん)	public park	mouth 	journal	mountain
口 (くち)	mouth 	journal	mountain	to use 
雑誌 (ざっし)	journal	mountain	to use 	female
山 (やま)	mountain	to use 	female	colour
使う (つかう)	to use 	female	colour	pupil
女 (おんな)	female	colour	pupil	west
色 (いろ)	colour	pupil	west	last month
生徒 (せいと)	pupil	west	last month	teacher
西 (にし)	west	last month	teacher	river
先月 (せんげつ)	last month	teacher	river	body 
先生 (せんせい)	teacher	river	body 	important
川 (かわ)	river	body 	important	very
体 (からだ)	body 	important	very	to be aware of
大切 (たいせつ)	important	very	to be aware of	electricity 
大変 (たいへん)	very	to be aware of	electricity 	animal
知る (しる)	to be aware of	electricity 	animal	two
電気 (でんき)	electricity 	animal	two	year 
動物 (どうぶつ)	animal	two	year 	half
二つ (ふたつ)	two	year 	half	illness
年 (とし)	year 	half	illness	room
半分 (はんぶん)	half	illness	room	truth
病気 (びょうき)	illness	room	truth	name
部屋 (へや)	room	truth	name	evening
本当 (ほんとう)	truth	name	evening	travel
名前 (なまえ)	name	evening	travel	cooking
夜 (よる)	evening	travel	cooking	practice
旅行 (りょこう)	travel	cooking	practice	year before last
料理 (りょうり)	cooking	practice	year before last	what 
練習 (れんしゅう)	practice	year before last	what 	fish
一昨年 (いっさくねん)	year before last	what 	fish	today
何 (なに)	what 	fish	today	town
魚 (さかな)	fish	today	town	horizontal 
今日 (こんにち)	today	town	horizontal 	picture
町 (まち)	town	horizontal 	picture	classroom 
横 (よこ)	horizontal 	picture	classroom 	building
絵 (え)	picture	classroom 	building	dog 
教室 (きょうしつ)	classroom 	building	dog 	black 
建物 (たてもの)	building	dog 	black 	to be
犬 (いぬ)	dog 	black 	to be	three
黒 (くろ)	black 	to be	three	paper
ある (在る)	to be	three	paper	ear 
三つ (みっつ)	three	paper	ear 	letter
紙 (かみ)	paper	ear 	letter	lesson
耳 (みみ)	ear 	letter	lesson	to take out
手紙 (てがみ)	letter	lesson	to take out	blue
授業 (じゅぎょう)	lesson	to take out	blue	snow
出す (だす)	to take out	blue	snow	all
青 (あお)	blue	snow	all	near
雪 (ゆき)	snow	all	near	village
全部 (ぜんぶ)	all	near	village	embassy
そば (側)	near	village	embassy	adult
村 (むら)	village	embassy	adult	winter
大使館 (たいしかん)	embassy	adult	winter	white 
大人 (おとな)	adult	winter	white 	half
冬 (ふゆ)	winter	white 	half	number
白 (しろ)	white 	half	number	study 
半 (はん)	half	number	study 	vegetable
番号 (ばんごう)	number	study 	vegetable	famous 
勉強 (べんきょう)	study 	vegetable	famous 	next month
野菜 (やさい)	vegetable	famous 	next month	green 
有名 (ゆうめい)	famous 	next month	green 	every year
来月 (らいげつ)	next month	green 	every year	gate 
緑 (みどり)	green 	every year	gate 	to make
毎年 (まいとし)	every year	gate 	to make	parents
門 (もん)	gate 	to make	parents	money
作る (つくる)	to make	parents	money	spacious
両親 (りょうしん)	parents	money	spacious	bicycle
お金 (おかね)	money	spacious	bicycle	window
広い (ひろい)	spacious	bicycle	window	crowd of people
自転車 (じてんしゃ)	bicycle	window	crowd of people	noon
窓 (まど)	window	crowd of people	noon	bird 
大勢 (おおぜい)	crowd of people	noon	bird 	train
昼 (ひる)	noon	bird 	train	clothes 
鳥 (とり)	bird 	train	clothes 	medicine
電車 (でんしゃ)	train	clothes 	medicine	friend
服 (ふく)	clothes 	medicine	friend	neighbor 
薬 (くすり)	medicine	friend	neighbor 	younger brother
友達 (ともだち)	friend	neighbor 	younger brother	mother
隣 (となり)	neighbor 	younger brother	mother	railway station
弟 (おとうと)	younger brother	mother	railway station	summer vacation
お母さん (おかあさん)	mother	railway station	summer vacation	all
駅 (えき)	railway station	summer vacation	all	rest
夏休み (なつやすみ)	summer vacation	all	rest	bridge
みんな (皆)	all	rest	bridge	elder brother
休み (やすみ)	rest	bridge	elder brother	siblings
橋 (はし)	bridge	elder brother	siblings	police officer
兄 (あに)	elder brother	siblings	police officer	entrance
兄弟 (きょうだい)	siblings	police officer	entrance	this week
警官 (けいかん)	police officer	entrance	this week	tooth
玄関 (げんかん)	entrance	this week	tooth	library
今週 (こんしゅう)	this week	tooth	library	quiet
歯 (は)	tooth	library	quiet	last week
図書館 (としょかん)	library	quiet	last week	big
静か (しずか)	quiet	last week	big	underground train
先週 (せんしゅう)	last week	big	underground train	map
大きな (おおきな)	big	underground train	map	pond
地下鉄 (ちかてつ)	underground train	map	pond	flesh 
地図 (ちず)	map	pond	flesh 	aeroplane
池 (いけ)	pond	flesh 	aeroplane	writing
肉 (にく)	flesh 	aeroplane	writing	every week
飛行機 (ひこうき)	aeroplane	writing	every week	eggs
文章 (ぶんしょう)	writing	every week	eggs	overseas student
毎週 (まいしゅう)	every week	eggs	overseas student	entrance
卵 (たまご)	eggs	overseas student	entrance	every month
留学生 (りゅうがくせい)	overseas student	entrance	every month	tomorrow 
入口 (いりぐち)	entrance	every month	tomorrow 	tea 
毎月 (まいげつ)	every month	tomorrow 	tea 	medical doctor
明日 (みょうにち)	tomorrow 	tea 	medical doctor	all
お茶 (おちゃ)	tea 	medical doctor	all	corner 
医者 (いしゃ)	medical doctor	all	corner 	to work 
皆さん (みなさん)	all	corner 	to work 	shoes
角 (かど)	corner 	to work 	shoes	lively
勤める (つとめる)	to work 	shoes	lively	back
靴 (くつ)	shoes	lively	back	four 
元気 (げんき)	lively	back	four 	to take
後ろ (うしろ)	back	four 	to take	girl
四つ (よっつ)	four 	to take	girl	safe
取る (とる)	to take	girl	safe	garden
女の子 (おんなのこ)	girl	safe	garden	weather
大丈夫 (だいじょうぶ)	safe	garden	weather	convenient
庭 (にわ)	garden	weather	convenient	younger sister
天気 (てんき)	weather	convenient	younger sister	next week
便利 (べんり)	convenient	younger sister	next week	splendid
妹 (いもうと)	younger sister	next week	splendid	salt 
来週 (らいしゅう)	next week	splendid	salt 	shopping
立派 (りっぱ)	splendid	salt 	shopping	which
塩 (しお)	salt 	shopping	which	father
買い物 (かいもの)	shopping	which	father	stairs
どの (何の)	which	father	stairs	Chinese characters
お父さん (おとうさん)	father	stairs	Chinese characters	desk
階段 (かいだん)	stairs	Chinese characters	desk	door 
漢字 (かんじ)	Chinese characters	desk	door 	now
机 (つくえ)	desk	door 	now	older sister
戸 (と)	door 	now	older sister	watch
今 (いま)	now	older sister	watch	kitchen 
姉 (あね)	older sister	watch	kitchen 	boy
時計 (とけい)	watch	kitchen 	boy	difficult
台所 (だいどころ)	kitchen 	boy	difficult	cat 
男の子 (おとこのこ)	boy	difficult	cat 	evening 
難しい (むずかしい)	difficult	cat 	evening 	post office
猫 (ねこ)	cat 	evening 	post office	evening
晩 (ばん)	evening 	post office	evening	disagreeable
郵便局 (ゆうびんきょく)	post office	evening	disagreeable	big
夕方 (ゆうがた)	evening	disagreeable	big	sometimes
嫌 (いや)	disagreeable	big	sometimes	to push
大きい (おおきい)	big	sometimes	to push	beef
時々 (ときどき)	sometimes	to push	beef	cow's milk
押す (おす)	to push	beef	cow's milk	splendid
牛肉 (ぎゅうにく)	beef	cow's milk	splendid	disliked
牛乳 (ぎゅうにゅう)	cow's milk	splendid	disliked	high
結構 (けっこう)	splendid	disliked	high	sugar
きらい (嫌い)	disliked	high	sugar	to hold 
高い (たかい)	high	sugar	to hold 	the vertical
砂糖 (さとう)	sugar	to hold 	the vertical	exit
持つ (もつ)	to hold 	the vertical	exit	food
縦 (たて)	the vertical	exit	food	dining room
出口 (でぐち)	exit	food	dining room	new
食べ物 (たべもの)	food	dining room	new	stamp 
食堂 (しょくどう)	dining room	new	stamp 	loveable
新しい (あたらしい)	new	stamp 	loveable	to sell
切手 (きって)	stamp 	loveable	to sell	nose
大好き (だいすき)	loveable	to sell	nose	to request
売る (うる)	to sell	nose	to request	refrigerator
鼻 (はな)	nose	to request	refrigerator	movie theatre
頼む (たのむ)	to request	refrigerator	movie theatre	fruit
冷蔵庫 (れいぞうこ)	refrigerator	movie theatre	fruit	luggage
映画館 (えいがかん)	movie theatre	fruit	luggage	five
果物 (くだもの)	fruit	luggage	five	writing 
荷物 (にもつ)	luggage	five	writing 	washing
五つ (いつつ)	five	writing 	washing	cleaning
作文 (さくぶん)	writing 	washing	cleaning	morning
洗濯 (せんたく)	washing	cleaning	morning	hat
掃除 (そうじ)	cleaning	morning	hat	light
朝 (あさ)	morning	hat	light	to dash over oneself 
帽子 (ぼうし)	hat	light	to dash over oneself 	common cold
明るい (あかるい)	light	to dash over oneself 	common cold	box
浴びる (あびる)	to dash over oneself 	common cold	box	coffee shop
風邪 (かぜ)	common cold	box	coffee shop	last year
箱 (はこ)	box	coffee shop	last year	purse
喫茶店 (きっさてん)	coffee shop	last year	purse	walk
去年 (きょねん)	last year	purse	walk	dictionary
財布 (さいふ)	purse	walk	dictionary	ticket
散歩 (さんぽ)	walk	dictionary	ticket	to run 
辞書 (じしょ)	dictionary	ticket	to run 	to buy
切符 (きっぷ)	ticket	to run 	to buy	area
走る (はしる)	to run 	to buy	area	corridor
買う (かう)	to buy	area	corridor	yesterday
辺 (へん)	area	corridor	yesterday	no
廊下 (ろうか)	corridor	yesterday	no	to descend 
昨日 (さくじつ)	yesterday	no	to descend 	umbrella
いいえ (否)	no	to descend 	umbrella	to cut
降りる (おりる)	to descend 	umbrella	to cut	to ferry across 
傘 (かさ)	umbrella	to cut	to ferry across 	envelope
切る (きる)	to cut	to ferry across 	envelope	every morning
渡す (わたす)	to ferry across 	envelope	every morning	Western-style clothes 
封筒 (ふうとう)	envelope	every morning	Western-style clothes 	yellow
毎朝 (まいあさ)	every morning	Western-style clothes 	yellow	to finish
洋服 (ようふく)	Western-style clothes 	yellow	to finish	crossing
