친구와 [놀다]	玩
[낚시]를 가다	去「釣魚」
인형  [놀이]	玩偶
[드라마]를 보다	看「連續劇」
[비디오] 두 편	兩段「視頻」
[앨범]:사진	「相冊」：照片
[여권]을 발급하다	簽發「護照」
[여행사]에서 일하다	在「旅行社」工作
[여행지]로 떠나다	去「旅行目的地」
[유행]을 따르다	跟隨「流行」
[윷놀이]를 하다	玩「擲骰遊戲」
[인터넷]에 접속하다	連上「網路」
[인형] 놀이	玩具娃娃
[짐]을 싸다	打包「行李」
춤을 [추다]	「跳」舞
[카메라]로 찍다	用「相機」照相
[콘서트]를 보다	看「音樂會」
[크리스마스] 트리	「聖誕」樹
[파티]를 열다	舉辦「派對」
[피아노]를 치다	彈「鋼琴」
[해외여행]을 가다	海外旅遊
[바둑]을 두다	下「圍棋」
[사냥]을 하다	打獵
[오락] 문화	「娛樂」文化
[자막]이 나오다	「字幕」出現
[촬영]을 미루다	「拍攝」延遲
노래 [가사]	歌詞「歌詞」
음악 [감상]	音樂「欣賞」
쇼팽의 [곡]	蕭邦的「曲」
[대중가요]를 부르다	唱「流行歌」
[동요]를 부르다	唱「童謠」
[등장]:퇴장	出場
[쇼]를 보다	看「表演」
피아노 [연주]	鋼琴「演奏」
[음반]을 내다	出「唱片」
무료 [입장]	免費「入場」
[회비]를 내다	交「會費」
[고전] 소설	「古典」小說
[귀신]이 되다	變成「鬼」
[번역]을 하다	翻譯
단군 [신화]	檀君「神話」
전쟁 [영웅]	戰爭「英雄」
[옛날이야기]를 들려주다	聽「老故事」
책의 [저자]	書的「作者」
[전설]이 내려오다	「傳說」降臨
[설]을 맞이하다	迎「新年」
[탑]을 쌓다	築「塔」
[관객]이 모여들다	「觀眾」聚集過來
연극 [관람]	話劇「觀賞」
영화 [관람객]	電影「觀眾」
[교외]로 나가다	去「郊區」
[귀가] 시간	「回家」時間
[귀국]:출국	「歸國」：出國
[놀이공원]에 가다	去「遊樂園」
[놀이터]에서 놀다	在「遊樂園」玩
[목적지]에 도착하다	到「目的地」
[배낭여행]을 떠나다	離開去「背包旅行」
[소지품]을 보관하다	保管「隨身物品」
[숙박] 시설	「住宿」設施
[스케줄]을 짜다	安排「行程」
[시야]를 가리다	「視野」被擋住
[시외]로 나가다	出「城」
[시외버스]를 타다	搭「城際巴士」
[시청자]에게 전달하다	向「觀眾」傳達
[안내서]를 읽다	讀「案內書」
[안내소]에 들르다	進「案內所」
[야경]을 감상하다	觀賞「夜景」
배낭 [여행가]	「背包」客
[유람선]을 타다	搭「遊輪」
[입장료]를 내다	交「入場費」
[전시회]를 관람하다	參觀「展覽會」
[피서]를 즐기다	享受「避暑」
[휴가철]을 보내다	度「假」
[휴식]을 취하다	休息
[휴양지]로 떠나다	前往「休養地」
[녹화] 방송	「錄製」放送
[디지털] 방송	「數位」放送
[리모컨] 으로 켜다	用「遙控器」開
[마이크]를 잡다	拿「麥克風」
대중 [매체]	大眾「媒體」
영상 [미디어]	影像「媒體」
[방송사]에 근무하다	在「廣播公司」工作
[사이버] 공간	「虛擬」空間
[생방송]으로 방영되다	現場直播
녹음 [스튜디오]	錄音「工作室」
텔레비전 [시청]	「看」電視
[시청률]이 높다	「收視率」高
[신문사]에 다니다	在「報社」上班
[인쇄] 매체	「印刷」媒體
[인쇄물]을 찍다	印「印刷品」
[인터뷰] 기사	「採訪」報導
[채널]을 돌리다	轉「頻道」
[통신]이 끊기다	「通信」中斷
[핑계]가 없어지다	「藉口」消失了
[공연]을 보다	看「公演」
야외 [공연장]	露天「表演場」
[공주]:왕자	「公主」：王子
[동화]를 읽다	讀「童話」
[막] 쓰다	「胡亂」寫
[무대]로 나가다	上「舞台」
음악 [발표회]	音樂「發表會」
[비극]이 일어나다	發生「悲劇」
[사회자]가 진행하다	「主持人」進行
[역할]을 정하다	決定「角色」
배우의 [연기]	演員的「演技」
[영화감독]으로 데뷔하다	以「電影導演」出道
[오페라]를 보다	看「歌劇」
[인물]이 좋다	「角色」好
[주인공] 으로 나오다	「主角」上場
[줄거리]를 얘기하다	講「故事情節」
뉴스 [진행자]	新聞「主持人」
드라마 [출연]	戲劇「出演」
[코미디] 영화	「喜劇」電影
독서 [감상문]	讀書「感想文」：讀後感
[그림책]을 보다	看「圖畫書」
[도서] 대출	借「書」
[도자기]를 빚다	做「陶瓷製品」
[동화책]을 읽다	讀「童話書」
[만화책]을 보다	看「漫畫書」
[문학]을 창작하다	創作「文學」
[미술]을 배우다	學「美術」
[서적]을 읽다	讀「書」
[소설책]을 읽다	看「小說」
[예술가]로 활동하다	以「藝術家」活動
[예술적] 작품	「藝術的」作品
예술 [작품]	藝術「作品」
[외박]이 잦다	找「外宿」
실내 [경기장]	市內「競技場」
[골]을 넣다(축구)	進「球」（足球）
[골프] 선수	「高爾夫」選手
[마라톤]을 완주하다	完走「馬拉松」
[배구] 선수	「排球」選手
[볼링]을 치다	打「保齡球」
[시합]에서 이기다	「試合」嬴了（比賽）
[씨름] 경기	「摔角」比賽
[우승] 후보	「優勝」候選者
[운동량]을 조절하다	調節「運動量」
[응원]을 보내다	送上「應援」
[조깅]을 하다	跑步
[줄넘기]를 하다	跳繩
[체조] 경기	「體操」比賽
[축구장]에서 축구를 하다	在「足球場」踢足球
물에서 [헤엄치다]	在水中「游泳」
[결승] 경기	「決」賽
[경쟁] 상대	「競爭」對手
[경쟁력]을 키우다	養成「競爭力」
일자리를 [구하다]	「找」工作
아이들이 [다투다]	孩子們「爭著」
손님을 [들이다]	「招攬」客人
[메달]을 따다	摘取「獎牌」
계획 [변경]	計劃「改變」
[부상]을 당하다	負傷
동점으로 [비기다]	「打成」平手
[승패]를 가르다	決一「成敗」
[신청서]를 접수하다	受理「申請書」
[연장] 근무	「加」班
[예선]에 통과하다	通過「預賽」
[운동선수]로 활동하다	以「運動員」活動
[월드컵]이 열리다	舉辦「世界杯」
[젊은이]의 꿈	「年輕人」的夢
원서 [접수]	「接受」申請
[참가] 신청서	「參加」申請書
[참고] 자료	「參考」資料
[참석자] 명단	「與會者」名單
[참여]가 많다	「參與人」很多
[챔피언]을 차지하다	奪得「冠軍」
농구 [코트]	籃球「球場」
[후반]:전반	下半場
박물관 [견학]	博物館「見學」
[고궁]을 산책하다	在「故宮」散步
[그네]를 타다	盪「秋千」
[기타] 등등	「其他」等等
친구를 [놀리다]	「戲弄」朋友
신나게 [놀리다]	開心的「玩」
[눈사람]을 만들다	做「雪人」
겨울 [눈싸움]	冬天「雪仗」
[동호회]에 가입하다	加入「同好會」
[드라이브]를 나가다	「開車」出去
[로봇] 장난감	「機器人」玩具
[리듬]에 맞추다	跟著「韻律」
[매진]이 되다	售罄
[멜로디]가 아름답다	「旋律」悠美
[무용]을 배우다	學「跳舞」
[뮤지컬]을 보다	看「音樂劇」
영화 [상영]	電影「上映」
[소극장]에서 공연하다	在「小劇場」公演
우표 [수집]	郵票「收藏」
[시디]를 굽다	燒「CD」
드라마 [연기자]	戲劇「演員」
피아노 [연주회]	鋼琴「演奏會」
영화 [연출]	電影「演出」
[영상]에 담다	映入「視頻」
[오락실]에서 놀다	在「娛樂室」玩
[온라인] 게임	「線上」遊戲
[음악회]에 가다	去「音樂會」
[의상]을 고르다	挑「衣裳」
인터넷 [이용자]	網路「用戶」
[작곡] 공부	「作曲」學習
[장난]이 심하다	「玩笑」過火
[장면]을 목격하다	目擊「場面」
[전시] 상품	「展示」品
[전시장]을 둘러보다	環視「展示場」
외국인 [전용]	外國人「專用」
[조각]이 나다	變成「碎塊」
실내 [조명]	室內「照明」
모래 [찜질]	沙「浴」
[창작]과 모방	「創作」和模仿
경기 [초반]	比賽「開局」
[축제]를 즐기다	享受「慶典」
[취향]이 독특하다	「愛好」獨特
[클래식]을 듣다	聽「古典樂」
[클럽]에서 놀다	在「俱樂部」玩
영화 [팬]	電影「迷」
[풍선]을 띄우다	「氣球」漂起
[행사장]에 다녀오다	去「活動場地」
[홈페이지]에 접속하다	連上「主網站」
[흉내]를 내다	模仿
[마사지]를 받다	接受「按摩」
[사우나]를 하다	桑拿
