5659	等級	字行	詞性	韓文	中文	拼寫	字源	韓文片語	中文解釋	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
	初級	ㄴ	副詞	너무	非常	V		[너무] 심하다	「非常」過份		樣態	比較				樣態_比較	樣態_比較_		高高地	經常	並排
	初級	ㄷ	副詞	더	更多的	V		하나 [더]	更多的		樣態	比較				樣態_比較	樣態_比較_		更	終於	個別
	初級	ㄷ	副詞	더욱	更	V		[더욱] 좋다	「更」好		樣態	比較				樣態_比較	樣態_比較_		終於	個別	又
	初級	ㅁ	副詞	매우	很	V		[매우] 좋다	「很」好		樣態	比較				樣態_比較	樣態_比較_		遠地	不會	先
	初級	ㅁ	副詞	무척	非常	V		[무척] 길다	「非常」長		樣態	比較				樣態_比較	樣態_比較_		提前	亂	一直
	初級	ㅂ	副詞	보다	再	V		[보다] 높이  	「再」高點		樣態	比較				樣態_比較	樣態_比較_		退貨	換成	炒飯
	初級	ㅂ	名詞/副詞	보통	平常	V		[보통]이 넘다	超過「平常」		樣態	比較				樣態_比較	樣態_比較_		日日夜夜	本來	事實
	初級	ㅂ	名詞	비교	比較	V		[비교] 대상	「比較」對象		樣態	比較				樣態_比較	樣態_比較_		肥皂	視頻	秘密
	初級	ㅅ	形容詞	심하다	過火	V		장난이 [심하다]	玩笑開「過火」		樣態	比較				樣態_比較	樣態_比較_		淡	便宜	寒冷
	初級	ㅇ	副詞	아주	很	V		[아주] 쉽다	「很」簡單		樣態	比較				樣態_比較	樣態_比較_		還	再見	趕快
	初級	ㅇ	形容詞	알맞다	合適	V		크기가 [알맞다] 	大小「合適」		樣態	比較				樣態_比較	樣態_比較_		弱	薄	暗
	初級	ㅇ	副詞	얼마나	多	V		[얼마나] 예쁜지	多漂亮		樣態	比較				樣態_比較	樣態_比較_		還是	用心地	很久
	初級	ㅇ	名詞	이상	異常	V		[이상] 기온	「異常」氣溫		樣態	比較				樣態_比較	樣態_比較_		異常	故事	利用
	初級	ㅈ	副詞	자세히	清楚地	V		[자세히] 알다	「清楚地」知道		樣態	比較				樣態_比較	樣態_比較_		經常	很	完全
	初級	ㅈ	副詞	잘	很	V		[잘] 알다	「很」清楚		樣態	比較				樣態_比較	樣態_比較_		完全	漸漸	無精打采的
	初級	ㅈ	名詞/副詞	정말	真的	V		[정말] 좋다	「真的」很好		樣態	比較				樣態_比較	樣態_比較_		真話	最	一點
	初級	ㅈ	名詞/副詞	제일	最	V		[제일] 좋아하다	「最」喜歡		樣態	比較				樣態_比較	樣態_比較_		一點	現在	直接
	初級	ㅈ	副詞	좀	有點	V		[좀] 비싸다	「有點」貴		樣態	比較				樣態_比較	樣態_比較_		主要	一直打擾	自然
	初級	ㅊ	名詞	최고	最高	V		[최고] 점수	「最高」分		樣態	比較				樣態_比較	樣態_比較_		最近	中秋節	足球
	初級	ㅌ	形容詞	특별하다	特別	V		관심이 [특별하다]	「特別」闗心		樣態	比較				樣態_比較	樣態_比較_		強	胖乎乎的	肯定是
	初級	ㅌ	副詞	특별히	特別	V		[특별히] 좋아하다	「特別」喜歡		樣態	比較				樣態_比較	樣態_比較_		尤其	空蕩蕩	完全
	初級	ㅌ	副詞	특히	尤其	V		[특히] 좋아하다	「尤其」喜歡		樣態	比較				樣態_比較	樣態_比較_		空蕩蕩	完全	定局
	初級	ㅍ	名詞	평소	平常	V		[평소]와 같다	和「平常」一樣		樣態	比較				樣態_比較	樣態_比較_	普段、日頃 	平日	葡萄	包裝
	初級	ㅍ	名詞	평일	平日	V		[평일]:주말	平日		樣態	比較				樣態_比較	樣態_比較_	平日 	葡萄	包裝	票
	初級	ㅎ	副詞	훨씬	更	V		[훨씬] 많다	「更」多的		樣態	比較				樣態_比較	樣態_比較_		也是	很	總之
	初級	ㄴ	動詞	늘다	增加	V		면적이 [늘다]	面積「增加」		樣態	變化				樣態_變化	樣態_變化_		老	分開	搬運
	初級	ㅂ	動詞	변하다	改變	V		모양이 [변하다]	樣貌「改變了」		樣態	變化				樣態_變化	樣態_變化_		寄	看	錯
	初級	ㅈ	副詞	점점	漸漸	V		[점점] 추워지다	「漸漸」變冷了		樣態	變化				樣態_變化	樣態_變化_		無精打采的	逐步	悄悄
	初級	ㅈ	副詞	조금씩	逐步	V		[조금씩] 가다	「逐步」前去		樣態	變化				樣態_變化	樣態_變化_		悄悄	有點	主要
	初級	ㅎ	動詞	흐르다	流動	V		물이 [흐르다]	水「流動」		樣態	變化				樣態_變化	樣態_變化_		揮	飄	結合
	初級	ㄱ	代名詞	그분	這位	V		[그분]을 만나다	見「這個人」		人	稱呼				人_稱呼	人_稱呼_	その方 	那邊	她	你
	初級	ㄴ	代名詞/名詞	나	我	V		[나]	我(平語）		人	稱呼				人_稱呼	人_稱呼_	私、僕、おれ 	去	教	指
	初級	ㄴ	名詞	남	別人	V		[남]:타인	別人		人	稱呼				人_稱呼	人_稱呼_	他人 	男女	南大門	弟弟
	初級	ㄴ	名詞	남녀	男女	V		[남녀] 평등	「男女」平等		人	稱呼				人_稱呼	人_稱呼_	男女 	南大門	弟弟	南山
	初級	ㄴ	名詞	남성	男性	V		[남성]:여성	「男性」↔女性		人	稱呼				人_稱呼	人_稱呼_	男性 	男子	南方	丈夫
	初級	ㄴ	名詞	남자	男子	V		[남자]:여자	「男子」↔男生		人	稱呼				人_稱呼	人_稱呼_	男、男子、男性 	南方	丈夫	男學生
	初級	ㄴ	名詞	남학생	男學生	V		[남학생]:여학생	「男學生」↔女學生		人	稱呼				人_稱呼	人_稱呼_	男子学生 	白天	小睡	內科
	初級	ㄴ	代名詞	내	我	V		[내]가	「我」要（平語）		人	稱呼				人_稱呼	人_稱呼_	私の 	你	你們	他
	初級	ㄴ	代名詞	너	你	V		[너]	你（平語）		人	稱呼				人_稱呼	人_稱呼_	おまえ、君 	你們	他	誰
	初級	ㄴ	代名詞	너희	你們	V		[너희] 가족	「你們」一家人		人	稱呼				人_稱呼	人_稱呼_	お前ら、君たち 	你	誰	您
	初級	ㄴ	代名詞	네	你	V		[네] 가	「你」要		人	稱呼				人_稱呼	人_稱呼_	お前、君の 	誰	您	什麼
	初級	ㄴ	名詞	노인	老人	V		[노인]을 공경하다	尊敬「老人」		人	稱呼				人_稱呼	人_稱呼_	老人 	筆記	綠茶	玩偶
	初級	ㄴ	代名詞	누구	誰	V		거기  [누구] 계세요?	那邊有「誰」在嗎？		人	稱呼				人_稱呼	人_稱呼_		您	什麼	哪裡
	初級	ㄷ	名詞/代名詞	댁	家	V		선생님 [댁]	老師的「家」（敬語）		人	稱呼				人_稱呼	人_稱呼_	対等または目下の人を呼ぶ時使う 	本人名義	自己	橫向
	初級	ㅅ	名詞	선배	前輩	V		[선배]:후배	「前輩」<> 後輩		人	稱呼				人_稱呼	人_稱呼_	先輩 	老師	選手	選擇
	初級	ㅅ	名詞	성	姓	V		[성]:김 씨	姓金的		人	稱呼				人_稱呼	人_稱呼_	性 	性格	成功	取得成績
	初級	ㅅ	名詞	성함	姓名	V		[성함]을 묻다	問「姓名」		人	稱呼				人_稱呼	人_稱呼_	お名前 	世界	拜年	性別
	初級	ㅅ	名詞	손님	客人	V		[손님]이 없다	沒有「客人」		人	稱呼				人_稱呼	人_稱呼_	お客様、お客さん 	手掌	手帕	松餅
	初級	ㅅ	副詞/名詞	스스로	我自己	V		나 [스스로]	我「自己」		人	稱呼				人_稱呼	人_稱呼_		真實發生	昨天	今天
	初級	ㅅ	名詞	시민	市民	V		[시민]을 설득하다	說服「市民」		人	稱呼				人_稱呼	人_稱呼_		婆婆	開始	市場
	初級	ㅅ	依存名詞	씨	氏	V		마이클 [씨]	Mike 「氏」		人	稱呼				人_稱呼	人_稱呼_	～氏（～さん） 	摔角	火	早晨
	初級	ㅇ	名詞	아가씨	小姐	V		[아가씨]:아줌마	「小姐」：大嬸		人	稱呼				人_稱呼	人_稱呼_	お嬢さん、未婚の義理の妹 	嬰兒	播音員	妻子
	初級	ㅇ	冠形詞/代名詞	아무	誰也	V		[아무도]	誰也		人	稱呼				人_稱呼	人_稱呼_		一些	店舖	家具
	初級	ㅇ	名詞	아이	孩子	V		[아이]:어른	孩子		人	稱呼				人_稱呼	人_稱呼_	子供 	天哪	啊哈	哦
	初級	ㅇ	名詞	아저씨	大叔	V		[아저씨]:아주머니	「大叔」：大嬸		人	稱呼				人_稱呼	人_稱呼_	おじさん、おにいさん 	老太太	大嬸	公寓
	初級	ㅇ	名詞	아주머니	老太太	V		[아주머니]:아저씨	老太太		人	稱呼				人_稱呼	人_稱呼_	おばさん 	大嬸	公寓	樂器
	初級	ㅇ	名詞	아줌마	大嬸	V		[아줌마]:아주머니	大嬸		人	稱呼				人_稱呼	人_稱呼_	おばさん、オバタリアン、アジュモニを蔑んでいう言葉。 	公寓	樂器	內
	初級	ㅇ	名詞	애	嬰兒	V		[애]:어른	嬰兒		人	稱呼				人_稱呼	人_稱呼_	子ども 	情人	相冊	棒球
	初級	ㅇ	名詞	애인	情人	V		[애인]:연인	情人		人	稱呼				人_稱呼	人_稱呼_	恋人 	相冊	棒球	蔬菜
	初級	ㅇ	名詞	어린아이	小孩	V		[어린아이]:와 놀다	和「小孩」玩		人	稱呼				人_稱呼	人_稱呼_	幼い子ども 	大人	母親	父親
	初級	ㅇ	代名詞	여러분	每位	V		국민 [여러분]	「每位」國民		人	稱呼				人_稱呼	人_稱呼_	みなさま、皆さん 	我們	這個	個人
	初級	ㅇ	名詞	여성	女士	V		[여성]:남성	女士		人	稱呼				人_稱呼	人_稱呼_	女性 	女性	女學生	旅行
	初級	ㅇ	名詞	올림	閣下	V		[올림]:편지	閣下		人	稱呼				人_稱呼	人_稱呼_		奧林匹克競賽	衣服	衣架
	初級	ㅇ	名詞	외국인	外國人	V		[외국인]을 만나다	見到「外國人」		人	稱呼				人_稱呼	人_稱呼_	外国人 	外出	左手	左邊
	初級	ㅇ	代名詞	우리	我們	V		[우리] 가족	「我們」家人		人	稱呼				人_稱呼	人_稱呼_	我々、私たち、みんな 	你們	這個	這個地方
	初級	ㅇ	名詞	우리나라	我們國家	V		[우리나라] 사람	「我們國家」的人		人	稱呼				人_稱呼	人_稱呼_		傘	牛奶	郵票
	初級	ㅇ	名詞	이름	姓名	V		[이름]을 묻다	問「姓名」		人	稱呼				人_稱呼	人_稱呼_	名前 	額頭	姨媽	這周
	初級	ㅇ	代名詞	이분	這位	V		[이분]	這位		人	稱呼				人_稱呼	人_稱呼_	この方 	這邊	某某人	我
	初級	ㅈ	名詞	자식	孩子	V		[자식]을 기르다	培養「孩子」		人	稱呼				人_稱呼	人_稱呼_	息子や娘 	自己	自由	炸醬麵
	初級	ㅈ	代名詞	저	我	V		[저]	我（自謙語）		人	稱呼				人_稱呼	人_稱呼_	私 	你	那個	那邊
	初級	ㅈ	感嘆詞	저	我	V		[저]	那個		人	稱呼				人_稱呼	人_稱呼_	私 	你	那個	那邊
	初級	ㅈ	代名詞	저분	那個人	V		[저분]	那個人		人	稱呼				人_稱呼	人_稱呼_	あの方 	那邊	我們	我的
	初級	ㅈ	代名詞	저희	我們	V		[저희] 회사	「我們」公司（自謙語）		人	稱呼				人_稱呼	人_稱呼_	私ども 	我的	什麼時候	什麼
	初級	ㅈ	代名詞	제	我的	V		[제]	我的（自謙語）		人	稱呼				人_稱呼	人_稱呼_	私の 	什麼時候	什麼	某
	初級	ㅊ	名詞	청년	伙子	V		젊은 [청년]	小「伙子」		人	稱呼				人_稱呼	人_稱呼_	青年 	牛仔褲	清掃	青少年
	初級	ㅊ	名詞	친구	朋友	V		[친구]를 만나다	和「朋友」見良		人	稱呼				人_稱呼	人_稱呼_	友達 	親切	親戚	黑板
	初級	ㅎ	副詞/名詞	혼자	一個人	V		[혼자] 살다	「一個人」住		人	稱呼				人_稱呼	人_稱呼_		好	嗯	這樣啊
	初級	ㄱ	動詞	갈아입다	換穿	V		옷을 [갈아입다]	「換穿」衣服		衣	穿戴				衣_穿戴	衣_穿戴_	着替える 	轉搭	閉	染
	初級	ㄱ	動詞	끼다	戴	V		반지를 [끼다]	「戴」戒指		衣	穿戴				衣_穿戴	衣_穿戴_		裝飾	栽培	關
	初級	ㅂ	動詞	벗다	脫掉	V		모자를 [벗다]	「脫掉」帽子		衣	穿戴				衣_穿戴	衣_穿戴_		改變	寄	看
	初級	ㅅ	動詞	신다	穿	V		양말을 [신다]	「穿」襪子		衣	穿戴				衣_穿戴	衣_穿戴_		裝載	討厭	種
	初級	ㅅ	動詞	쓰다	戴	V		모자를 [쓰다]	「戴」帽		衣	穿戴				衣_穿戴	衣_穿戴_	苦い 	戴	用	嚼
	初級	ㅅ	動詞	쓰다	用	V		컴퓨터를 [쓰다]	「用」電腦		衣	穿戴				衣_穿戴	衣_穿戴_	苦い 	戴	用	嚼
	初級	ㅊ	動詞	차다	戴	V		시계를 [차다]	「戴」錶		衣	穿戴				衣_穿戴	衣_穿戴_		踢	戴	忍住
	初級	ㄷ	形容詞	두껍다	厚	V		책이 [두껍다]	書「厚」		樣態	份量	大小	厚薄		樣態_份量	樣態_份量_厚薄		溫暖	相同的	聰明
	初級	ㅇ	形容詞	얇다	薄	V		두께가 [얇다]	厚度「很薄」		樣態	份量	大小	厚薄		樣態_份量	樣態_份量_厚薄		暗	怎樣	如何
	初級	ㅁ	形容詞	무겁다	重	V		짐이 [무겁다]	行李「重」		樣態	份量	大小	輕重		樣態_份量	樣態_份量_輕重		可怕	適合的	迷惘
	初級	ㅁ	名詞	무게	重量	V		[무게]가 나가다	[重量」重		樣態	份量	大小	輕重		樣態_份量	樣態_份量_輕重		無窮花	免費	膝蓋
	初級	ㄴ	形容詞	낮다	矮	V		산이 [낮다]	山很「矮」		樣態	份量	大小			樣態_份量	樣態_份量_大小		寬敞	黃色	高
	初級	ㄴ	形容詞	높다	高	V		산이 [높다]	山「高」		樣態	份量	大小			樣態_份量	樣態_份量_大小		慢	尷尬的	鋒利的
	初級	ㅁ	形容詞	많다	多	V		돈이 [많다]	「許多」錢		樣態	份量	大小			樣態_份量	樣態_份量_大小	多い 	清新	不好吃	好吃
	初級	ㄱ	形容詞	가늘다	細	V		손가락이 [가늘다]	手指「細」		樣態	份量	大小			樣態_份量	樣態_份量_大小		簡單的	力量強	相同
	初級	ㄱ	形容詞	굵다	粗	V		목소리가 [굵다]	聲音「粗」		樣態	份量	大小			樣態_份量	樣態_份量_大小		禁止	劃	爬行
	初級	ㄱ	形容詞	길다	長	V		다리가 [길다]	腿「長」		樣態	份量	大小			樣態_份量	樣態_份量_大小	長い 	剝	剝來吃	舖
	初級	ㄱ	名詞	길이	長度	V		[길이]를 재다	測量「長度」		樣態	份量	大小			樣態_份量	樣態_份量_大小	長さ 	海苔	海苔飯卷	泡菜
	初級	ㄴ	形容詞	넓다	寬敞	V		집이 [넓다]	家很「寬敞」		樣態	份量	大小			樣態_份量	樣態_份量_大小	広い 	黃色	高	慢
	初級	ㄴ	名詞	높이	高度	V		[높이]가 높다	「高度」很高		樣態	份量	大小			樣態_份量	樣態_份量_大小	高く 	經常	並排	每時每刻
	初級	ㄴ	副詞	높이	高高地	V		[높이] 날다	飛得「高高地」		樣態	份量	大小			樣態_份量	樣態_份量_大小	高く 	經常	並排	每時每刻
	初級	ㅈ	形容詞	작다	小	V		얼굴이 [작다]	臉「很小」		樣態	份量	大小			樣態_份量	樣態_份量_大小	小さい 	好看	無趣	有趣
	初級	ㅈ	形容詞	좁다	狹窄	V		방이 [좁다]	房子「很狹窄」		樣態	份量	大小			樣態_份量	樣態_份量_大小	狭い 	很好	抱歉	開心
	初級	ㅈ	動詞	줄다	縮小	V		크기가 [줄다] 	體積「縮小」		樣態	份量	大小			樣態_份量	樣態_份量_大小		調小	撿	很開心
	初級	ㅈ	形容詞	짧다	短	V		다리가 [짧다]	腿「短」		樣態	份量	大小			樣態_份量	樣態_份量_大小	短い 	自豪的	仔細	自然的
	初級	ㅋ	名詞	크기	尺寸	V		[크기]가 크다	「尺寸」大		樣態	份量	大小			樣態_份量	樣態_份量_大小		聖誕樹	大聲	個子
	初級	ㅋ	形容詞/動詞	크다	大	V		크기가  [크다]	尺寸「大」		樣態	份量	大小			樣態_份量	樣態_份量_大小	大きい 	-種	一個	三個月
	初級	ㄱ	名詞	가운데	中間的	V		[가운데] 자리	「中間的」座位		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	真ん中 	剪刀	家人	零食
	初級	ㄱ	名詞	건너편	對面	V		[건너편]으로 가다	去「對面」		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	向こう側、向かい側 	腳步	檢查	黑色
	初級	ㄷ	名詞	뒤	後	V		[뒤]에 있다	在「後面」		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	後ろ 	後面	連續劇	背
	初級	ㅁ	名詞	밑	下面	V		[밑]에 두다	放在「下面」		基本	地方	方位	相對位置		基本_地方	基本_地方_方位		大蒜	闗節	馬拉松
	初級	ㅂ	名詞	밖	外面	V		[밖]:안	外部		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	外 	半個	班	反方向
	初級	ㅅ	名詞	사이	中間	V		[사이]에 놓다	放在「中間」		基本	地方	方位	相對位置		基本_地方	基本_地方_方位		汽水	尺寸	社長
	初級	ㅇ	名詞	아래	下面	V		[아래]:위치	在下面		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	下 	上面	兼職工作	什麼
	初級	ㅇ	名詞	안	內	V		[안]:밖	內		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	中 	也許	不管再怎麼	很
	初級	ㅇ	名詞	앞	前	V		[앞] 으로 나가다	向「前」走		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	前 	前面	嬰兒	情人
	初級	ㅇ	名詞	옆	旁邊	V		오른쪽 [옆]	右邊「旁邊」		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	横 	住隔壁	預售	藝術
	初級	ㅇ	名詞	오른쪽	右邊	V		[오른쪽]:왼쪽	右邊		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	右側 	哥哥	黃瓜	溫度
	初級	ㅇ	名詞	왼쪽	左邊	V		[왼쪽]:오른쪽	左邊		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	左側 	費用	料理方法	廚師
	初級	ㅇ	名詞	위	上面	V		[위]:아래	上面		基本	地方	方位	相對位置		基本_地方	基本_地方_方位	胃 	下面	位置	危險
	初級	ㄱ	代名詞	거기	那裡	V		[거기]	那裡		基本	地方	方位			基本_地方	基本_地方_方位		這位	借	她
	初級	ㄱ	名詞	겉	外部	V		안과 [겉]	內「外」		基本	地方	方位			基本_地方	基本_地方_方位		電腦遊戲	結果	缺席
	初級	ㄱ	代名詞	그쪽	那邊	V		[그쪽]으로 가다	去「這邊」		基本	地方	方位			基本_地方	基本_地方_方位	そちら、そっち 	她	你	我
	初級	ㄴ	名詞	남쪽	南方	V		[남쪽]:북쪽	「南方」↔北方		基本	地方	方位			基本_地方	基本_地方_方位	南側 	丈夫	男學生	白天
	初級	ㄷ	名詞	동쪽	東方	V		[동쪽]:방향	東方		基本	地方	方位			基本_地方	基本_地方_方位	東側 	豬	豬肉	味噌醬
	初級	ㄷ	名詞	뒤쪽	後面	V		[뒤쪽]	後邊		基本	地方	方位			基本_地方	基本_地方_方位	後ろ側 	連續劇	背	登山
	初級	ㄷ	副詞	똑바로	向前	V		[똑바로] 가다	「向前」走		基本	地方	方位			基本_地方	基本_地方_方位	まっすぐ 	幸虧	簡單地	不同
	初級	ㅂ	名詞	바깥	外	V		[바깥]에 나가다	出去「外面」		基本	地方	方位			基本_地方	基本_地方_方位		外面	香蕉	海
	初級	ㅂ	名詞	바깥쪽	外面	V		[바깥쪽] 으로 나가다	出去「外邊」		基本	地方	方位			基本_地方	基本_地方_方位		香蕉	海	地面
	初級	ㅂ	名詞	반대	反方向	V		[반대]로 가다	往「反方向」走		基本	地方	方位			基本_地方	基本_地方_方位	反対 	短褲	戒指	小菜
	初級	ㅂ	名詞	방향	方向	V		[방향]을 바꾸다	改變「方向」		基本	地方	方位			基本_地方	基本_地方_方位	方向 	肚子	船	梨子
	初級	ㅂ	名詞	북쪽	北邊	V		[북쪽]:방향	北邊		基本	地方	方位			基本_地方	基本_地方_方位	北側 	麵	氣氛	點火
	初級	ㅅ	名詞	서쪽	西邊	V		[서쪽]:방향	西邊		基本	地方	方位			基本_地方	基本_地方_方位	西側 	收禮物	前輩	老師
	初級	ㅅ	名詞	센터	中心	V		쇼핑 [센터]	購物「中心」		基本	地方	方位			基本_地方	基本_地方_方位		牛	介紹	牛肉
	初級	ㅅ	名詞	속	裡	V		주머니 [속]	口袋「裡」		基本	地方	方位			基本_地方	基本_地方_方位	中 	速度	內衣	手
	初級	ㅇ	名詞	아래쪽	下面	V		[아래쪽]:방향	下邊		基本	地方	方位			基本_地方	基本_地方_方位		兼職工作	什麼	父親
	初級	ㅇ	形容詞	아무 데도	哪裡也	V		[아무 데도]	哪裡也		基本	地方	方位			基本_地方	基本_地方_方位		痛	合適	弱
	初級	ㅇ	名詞	안쪽	裡面	V		[안쪽]:바깥쪽	「裡邊」		基本	地方	方位			基本_地方	基本_地方_方位	内側、奥 	前	前面	嬰兒
	初級	ㅇ	名詞	앞쪽	前面	V		[앞쪽] 으로 향하다	向「前邊」走		基本	地方	方位			基本_地方	基本_地方_方位		嬰兒	情人	相冊
	初級	ㅇ	代名詞	어디	哪裡	V		[어디]예요?	在哪裡		基本	地方	方位			基本_地方	基本_地方_方位		這裡	每位	我們
	初級	ㅇ	代名詞	여기	這裡	V		[여기]	這裡		基本	地方	方位			基本_地方	基本_地方_方位		每位	我們	這個
	初級	ㅇ	名詞	여기저기	這里和那裡	V		[여기저기]:장소	這里和那裡		基本	地方	方位			基本_地方	基本_地方_方位		妹妹	女士	女性
	初級	ㅇ	名詞	위쪽	上面	V		[위쪽]을 향하다	向「上」		基本	地方	方位			基本_地方	基本_地方_方位	上の方 	位置	危險	玻璃
	初級	ㅇ	名詞	위치	位置	V		[위치]를 정하다	決定「位置」		基本	地方	方位			基本_地方	基本_地方_方位	位置 	危險	玻璃	有名
	初級	ㅇ	代名詞	이거	這個	V		[이거]＝이것	這個		基本	地方	方位			基本_地方	基本_地方_方位		那個	這個地方	這位
	初級	ㅇ	代名詞	이것	這個	V		[이것]	這個		基本	地方	方位			基本_地方	基本_地方_方位		這個地方	這位	這邊
	初級	ㅇ	代名詞	이곳	這個地方	V		[이곳]	這個地方		基本	地方	方位			基本_地方	基本_地方_方位		這位	這邊	某某人
	初級	ㅇ	冠形詞	이런	這個	V		[이런] 일	「這個」工作		基本	地方	方位			基本_地方	基本_地方_方位		沒有	兩	很久
	初級	ㅇ	形容詞	이렇다	這樣的	V		결과가 [이렇다]	結果「是這樣的」		基本	地方	方位			基本_地方	基本_地方_方位		早	習慣	捨不得
