5659	等級	字行	詞性	韓文	中文	韓文片語	中文解釋	字源	拼寫	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
文法	初級			-는 중	- 中				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
文法	初級			-니까	ㅡ - 就發現				V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
文法	初級			-니까	因為 -				V	70	文法	推測與理由	因為			文法_推測與理由	文法_推測與理由_因為				
	中級	-		-다 보니	做了	혼자 살[다 보니] 집 정리를 잘 안 하게 돼요	一個人生活久了，就不知道怎麼整理房子了		V	#N/A	文法	推測與理由	結果			文法_推測與理由	文法_推測與理由_結果				
新視4_1_02_1	高級	-		-다 보면	一直這樣做就會						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
	中級	-		-다 보면	如果	아이들이 놀[다 보면] 유리창을 깰 수도 있지요	孩子們玩起來，就有可能把窗子打破		V	73	文法	推測與理由	推測			文法_推測與理由	文法_推測與理由_推測				
	高級	-		-다/자/냐/라고 합니다	轉述					#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-다가	中	만화책을 읽[다가] 친구하고 같이 외출했어요	看漫畫書中，和朋友出去		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	高級	-		-다가 보면	一直-就會	혼자 생각하[다가 보면] 오해가 생기기 쉬워요.	一直獨自想，就容易產生誤會			#N/A	文法	推測與理由	結果			文法_推測與理由	文法_推測與理由_結果				
	中級	-		-다가는	警告	술을 마시고 운전하[다가는] 큰일 나요	酒後開車會出大事		V	#N/A	文法	推測與理由	推測			文法_推測與理由	文法_推測與理由_推測				
新視4_1_03_43	高級	-		-다고 밝혔습니다	發表，公布＝					#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	中級	-		-다고 하던데	聽說	축제를 [한다고 하던데] 같이 안 갈래요?	聽說有祭會，不一起去嗎？		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-다고요?	你說	비가 [온다고요]?	你說下雨了？（陳述）		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-다니요?	你說	저분이 사장님이시[라니요]?	你說那位是社長？		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
新視4_1_03_49	高級	-		-다라고요	回想~					#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	中級	-		-다면서요?	聽說	남자 친구랑 헤어졌[다면서요]?	聽說和男友分手了？		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-답다	像～的樣子	학생은 삭행[답게] 옷을 입어다	學生要穿得像學生		V	#N/A	文法	歸類與對比	歸類	如同～一樣		文法_歸類與對比	文法_歸類與對比_歸類				
新視4_1_03_1	高級	-		-대로	只要	나는 기회 있는 대로 메모하는 습관이 있다.	我习惯一有空就做记录。			#N/A	基本	數字				基本_數字	基本_數字_				
	中級	-		-더니	因為	어렸을 때부터 똑똑하[더니] 노켈상까지 받았군요	她從小就聽明，還真得諾貝爾獎		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
	中級	-		-더라고요	回想	먼지가 많이 들어오[더라고요]	很多灰塵進來		V	#N/A	文法	經驗與建議				文法_經驗與建議	文法_經驗與建議_				
	中級	-		-던	-過的	자주 가[던] 식당에 가 볼까요?	去常去的餐館看看吧		V	#N/A	文法	經驗與建議				文法_經驗與建議	文法_經驗與建議_				
	中級	-		-던데요	回想	지난번에 갔을 때는 집이 아주 커 보이[던데요]	上次去時，你家看來很大		V	#N/A	文法	經驗與建議				文法_經驗與建議	文法_經驗與建議_				
文法	初級			-도	也				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
	中級	-		-도록	目的-	음식이 모자라지 않[도록] 충분히 준비하세요	別讓菜不夠吃，多準備一點		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-도록 하다	請	며칠 동안 푹 쉬[도록 하세요]	請好好休息幾天吧		V	#N/A	文法	經驗與建議				文法_經驗與建議	文法_經驗與建議_				
文法	初級			-동안	- 期間				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-든지 -든지	用	볼펜으로 쓰[든지] 연필로 쓰[든지] 마음대로 하세요.	用原子筆或鉛筆寫，你隨意吧		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
文法	初級			-때문에	因為 -				V	#N/A	文法	推測與理由	因為			文法_推測與理由	文法_推測與理由_因為				
文法	初級			-ㄹ 거예요	我覺得會 -				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
文法	初級			-ㄹ 거예요	一般未來形				V	97	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
文法	初級			-ㄹ 것 같다	好像 -				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
	高級	-		-ㄹ 것 같습니다	好像					#N/A	文法	狀態與轉折	好像			文法_狀態與轉折	文法_狀態與轉折_好像				
	中級	-		-ㄹ 겸 -ㄹ 겸	想-又想	한국 친구도 사[궐 겸] 한국말도 배[울 겸] 	想交韓國朋友，又想學韓語		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
文法	初級			-ㄹ 까요?	你覺得 - ？				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
文法	初級			-ㄹ 때	- 時				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-ㄹ 만하다	值得	가 [볼 만한] 곳을 좀 추천해주시겠어요	請推薦值得去的地方		V	#N/A	文法	經驗與建議				文法_經驗與建議	文法_經驗與建議_				
	中級	-		-ㄹ 뻔하다	差點	하마터면 기차를 놓[칠 뻔했어요]	差點趕不上車		V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
	中級	-		-ㄹ 뿐만 아니라	不只	읽[을 뿐만 아니라] 신문도 보다	不只讀書，還看報		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	中級	-		-ㄹ 뿐이다	只能	바라보 기만 [할 뿐이에요]	只能遠遠看著		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	高級	-		-ㄹ 생각입니다	打算					#N/A	文法	希望與打算	打算			文法_希望與打算	文法_希望與打算_打算				
文法	初級			-ㄹ 수 없다	不會 -				V	#N/A	文法	基本	#N/A			文法_基本	#N/A				
文法	初級			-ㄹ 수 있다	會 -				V	#N/A	文法	基本	#N/A			文法_基本	#N/A				
	中級	-		-ㄹ 수밖에 없다	只能	자주 [살 수밖에 없어요]	只能常買		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	高級	-		-ㄹ 예정입니다	打算					#N/A	文法	希望與打算	打算			文法_希望與打算	文法_希望與打算_打算				
新視4_1_02_1	高級	-		-ㄹ 원하다	希望						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
	中級	-		-ㄹ 정도로	程度	피곤해서 쓰러[질 정도로] 돌아다녔어요	逛得快累倒了		V	#N/A	文法	數量與時間	數量	程度		文法_數量與時間	文法_數量與時間_數量				
文法	初級			-ㄹ 줄 모르다	不知道 -				V	#N/A	文法	基本	#N/A			文法_基本	#N/A				
文法	初級			-ㄹ 줄 알다	知道 -				V	#N/A	文法	基本	#N/A			文法_基本	#N/A				
	中級	-		-ㄹ 테니까	應該-	잘 [봤을 테니까] 걱정하지 마세요.	應該會考好，別擔心		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-ㄹ 텐데	可是-	받았[을 텐데] 연락이 없네요	應該收到了，但還沒聯絡		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-ㄹ걸요	可能-	아마 안 갔[을걸요]	可能沒去吧		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
文法	初級			-ㄹ게요	我要-				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
	中級	-		-ㄹ까 봐	恐怕	시험에 떨어[질까 봐] 걱정이에요	恐怕考不好，很擔心		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-ㄹ까 하다	想	삼겸살을 구워 먹[을까 해요]	想烤肉來吃		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	高級	-		-ㄹ까 합니다	打算					#N/A	文法	希望與打算	打算			文法_希望與打算	文法_希望與打算_打算				
文法	初級			-ㄹ까요?	要一起-嗎？				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
文法	初級			-ㄹ까요?	要我-嗎？				V	124	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
文法	初級			-ㄹ래요	我要-				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
文法	初級			-ㄹ래요?	要不要-？				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
	中級	-		-ㄹ절 그랬다	早知道	저도 정장을 입고 [올걸 그랬어요]	早知道我就穿來了		V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
	中級	-		-ㄹ지도 몰르다	說不定-	비가 [올지도 몰라요]	可能會突然下雨		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-라고요?	你說	가[라고요]?	你說去嗎？（命令）		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-라도	即使	장미꽃 한 송이[라도] 받아 보면 좋겠어요	即使收到一束花也好		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	初級	-		-라면 누구나 실 수 있습니다	如果-都可以				V	#N/A	文法	要求與禁止	可以			文法_要求與禁止	文法_要求與禁止_可以				
文法	初級			-랑	和 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-러 가다/오다	為了 – 而去/來				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
文法	初級			-려고	為了 -				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
文法	初級			-려고 하다	打算 -				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
	高級	-		-려고 합니다	打算					#N/A	文法	希望與打算	打算			文法_希望與打算	文法_希望與打算_打算				
	中級	-		-려던 참이다	正想	라면을 끓이[려던 참인데]	正想煮泡麵吃		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
文法	初級			-려면	想要 – 的話				V	#N/A	文法	假設與背景	#N/A			文法_假設與背景	#N/A				
文法	初級			-로	往 – 方向 / 用 – 方法				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-마다	每 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-만	只有 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
	中級	-		-만 하다	程度	정말 개가 송아지[만 하녀요]	那條狗快跟小牛差不多了		V	#N/A	文法	數量與時間	數量	程度		文法_數量與時間	文法_數量與時間_數量				
	中級	-		-만 해도	光是	친구들[만 해도] 벌써 여러 명이 다녀왔어요	光我朋友就好幾個去過		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	中級	-		-만에	才	5년 [만에] 졸업을 했어요	五年後才畢業		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
文法	初級			-면	假如 – 的話				V	#N/A	文法	假設與背景	#N/A			文法_假設與背景	#N/A				
文法	初級			-면 안 되다	不可以 -				V	#N/A	文法	要求與禁止	#N/A			文法_要求與禁止	#N/A				
文法	初級			-면서	邊 – 邊 -				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
文法	初級			-ㅂ니까?	格式疑問型				V	#N/A	文法	基本				文法_基本	文法_基本_				
文法	初級			-ㅂ니다	格式型				V	#N/A	文法	基本				文法_基本	文法_基本_				
文法	初級			-ㅂ시다	我們-好嗎？				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
文法	初級			-밖에	除了 – 之外				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-보다	比 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-부터 -까지	從 – 到 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
	中級	-		-사동(-이/히/리/기/우/추)	使	어머니가 아기에게 밥을 [먹입니다]	媽媽餵孩子吃		V	#N/A	文法	狀態與轉折	詞性改變	使動		文法_使動	文法_使動_詞性改變				
文法	初級			-세요	請 -				V	#N/A	文法	基本	#N/A			文法_基本	#N/A				
	初級	-		-셔야 합니다	必須				V	#N/A	文法	要求與禁止	必須			文法_要求與禁止	文法_要求與禁止_必須				
	中級	-		-스럽다	像～	조금 여성[스러워] 보이다	有點女性化		V	#N/A	文法	歸類與對比	歸類	如同～一樣		文法_歸類與對比	文法_歸類與對比_歸類				
文法	初級			-시겠어요?	您要-嗎？				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
	初級	-		-실 수 없습니다	不能				V	#N/A	文法	要求與禁止	不能			文法_要求與禁止	文法_要求與禁止_不能				
	高級	-		-아 주셔서 감사합니다	感謝					#N/A	基本	口語				基本_口語	基本_口語_				
	高級	-		-아 주셔서 죄송합니다	對不起					#N/A	基本	口語				基本_口語	基本_口語_				
	高級	-		-아 주시기 바랍니다	希望					#N/A	文法	希望與打算	希望			文法_希望與打算	文法_希望與打算_希望				
	中級	-		-아/어 가지고	著	빨래를 [해 가지고] 널고 있어요	衣服洗完在晾著呢		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	中級	-		-아/어 놓다	～著	수업 중에는 휴대전화를 [꺼 놓거든요]	上課時手機都闗著		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-아/어 두다	～著	더우니까 그냥 열[어 두세요]	很熱，就開著吧		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-아/어 버리다	全部	제가 사다 놓은 케이크를 동생이 다 먹[어 버렸거든요]	我的蛋糕被弟弟全吃了		V	#N/A	文法	數量與時間	數量			文法_數量與時間	文法_數量與時間_數量				
文法	初級			-아/어 보다	試著 -				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
	中級	-		-아/어 보이다	看來很-	훨씬 어[려 보이네요]	看來更年輕了		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-아/어 봤자	怎麼努力都沒用	용돈을 받[아 봤자] 지하절 타도	就算拿了零用錢也一樣		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
文法	初級			-아/어 주세요	請幫我 -	-아/어 [주세요]	請幫我 -		V	#N/A	基本	口語				基本_口語	基本_口語_				
文法	初級			-아/어 주시겠어요?	請幫我 -	-아/어 [주시겠어요]?	請幫我 -		V	#N/A	基本	口語				基本_口語	基本_口語_				
文法	初級			-아/어 줄게요	我來幫你 -	-아/어 [줄게요].	我來幫你 -		V	#N/A	基本	口語				基本_口語	基本_口語_				
文法	初級			-아/어 줄까요?	我來幫你 -	-아/어 [줄까요]?	我來幫你 -		V	#N/A	基本	口語				基本_口語	基本_口語_				
	中級	-		-아/어다가	在	냉장고에 있으니까 꺼[내다가] 먹다	在冰箱，拿出來吃吧		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
文法	初級			-아/어도	即使 – 也				V	#N/A	文法	假設與背景	#N/A			文法_假設與背景	#N/A				
文法	初級			-아/어도 되다	可以 -				V	#N/A	文法	要求與禁止	#N/A			文法_要求與禁止	#N/A				
文法	初級			-아/어서	因為 - 				V	#N/A	文法	推測與理由	因為			文法_推測與理由	文法_推測與理由_因為				
	中級	-		-아/어야	必要條件	건강[해야] 무슨 일이든지 할 수 있지	得健康才能做其他事		V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
文法	初級			-아/어야 되다	應該 -				V	#N/A	文法	要求與禁止	#N/A			文法_要求與禁止	#N/A				
文法	初級			-아/어야 하다	應該 -				V	#N/A	文法	要求與禁止	#N/A			文法_要求與禁止	#N/A				
	中級	-		-아/어야지요	應該	교통시호를 잘 지[켜야지요]	應該要遵守交通規則了		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
文法	初級			-아/어요	一般形				V	#N/A	文法	基本				文法_基本	文法_基本_				
	中級	-		-아/어지다	被	글씨가 잘 안 써져요	字有點寫不出來		V	#N/A	文法	狀態與轉折	詞性改變	被動		文法_狀態與轉折	文法_狀態與轉折_詞性改變				
文法	初級			-아니다	不是-				V	#N/A	文法	基本				文法_基本	文法_基本_				
	高級	-		-아도 되겠습니까 ?	希望					#N/A	文法	希望與打算	希望			文法_希望與打算	文法_希望與打算_希望				
	高級	-		-아도 될까요 ?	希望					#N/A	文法	希望與打算	希望			文法_希望與打算	文法_希望與打算_希望				
	中級	-		-아무나	誰都可以	보고 싶은 사람은 [아무나] 가져 가도 돼요	想看的人都可以拿		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	中級	-		-아무도	誰都	[아무도] 안 왔어요.	誰都沒有來		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	初級	-		-아야 합니다	必須				V	#N/A	文法	要求與禁止	必須			文法_要求與禁止	文法_要求與禁止_必須				
