警告	경고하다	
警備	경비하다	
競技	경기	
競買	경매하다	拍賣
競爭	경쟁	
競走	경주	賽跑
景氣	경기	
景致	경치	
景品	경품	贈品
京畿道	경기도	
驚愕	경악하다	吃驚
經歷	경력	
經費	경비	
經營	경영	
經路	경로	路徑
經濟的	경제적	
經驗	경험하다	
慶吊事	경조사	紅白事
慶祝	경축하다	
傾向	경향	
傾國之色	경국지색	
傾倒	경도	
輕減	경감하다	減輕
輕薄	경박하다	
輕工業	경공업	
輕妄	경망스럽다	
輕蔑	경멸하다	
輕率	경솔하다	
更新	경신하다	
更迭	경질하다	更替
梗概	경개	
梗塞	경색	
耕作	경작하다	
階段	계단	階梯
階層	계층	
雞卵	계란	雞蛋
計算	계산하다	
技巧	계교	
計座	계좌	帳戶
計劃	계획하다	
繼續	계속하다	
繼母	계모	
繼承	계승하다	
繼走	계주	接力賽跑
契約	계약	
契機	계기	
啟導	계도	
啟蒙	계몽	
季節	계절	
季嫂	계수	弟媳
溪谷	계곡	
系列	계열	
顧客	고개	
雇用	고용하다	
高見	고견	
高等學校	고등학교	
高貴	고귀하다	
高級	고급스럽다	
高速巴士	고속버스	
高麗	고려	
高強度	고강도	
高蛋白	고단백	
高所得者	고소득자	
告白	고백하다	
告別	고별하다	
故障	고장	
故意로	고의로	
故鄉	고향	
考慮	고려하다	
考古學	고고학	
姑母	고모	
姑婦	고부	婆媳
鼓舞	고무하다	
苦悶	고민하다	
苦生	고생하다	辛苦
苦痛	고통스럽다	
枯竭	고갈되다	
古典的	고전적	
古宮	고궁	
固執	고집하다	
固定	고정하다	
孤兒	고아	
孤獨	고독하다	
曲馬團	곡마단	馬戲團
穀物	곡물	
困難	곤란하다	
昆蟲	곤충	
骨骼	골격	
空白	공백	
空間	공간	
空器	공기	飯碗
空氣	공기	
空腹感	공복감	
空冊	공책	筆記本
空港	공항	機場
公開	공개하다	
公務員	공무원	
公式的	공식적	
公演	공연하다	
公布	공포하다	
公休日	고휴일	
攻擊	공격하다	
功績	공적	
供給	공급하다	
共通的	공통적	
共感	공감	
工夫	공부하다	學習
工事	공사하다	
工業	공업	
工場	공장	
恭敬	공경하다	
恭待	공대하다	恭敬
貢獻	공헌하다	
恐怖	공포	
恐嚇	공갈하다	
恐龍	공룡	
恐妻家	공처가	妻管嚴
科目	과목	
科長	과장	
科學者	과학자	
課外	과외	
課題	과제	
過去	과거	
過程	과정	
過年	과년하다	
過敏	과민	
過食	과식하다	
果然	과연	
果敢	과감하다	
菓子	과자	
誇示	과시하다	
闗係	관계	
闗係者	관계자	
闗聯	관련하다	
關心事	관심사	
觀客	관객	觀眾
觀光	관광하다	
觀光客	관광객	
觀念	관념	
觀覽料	관람료	票錢
觀點	관점	
觀察	관찰하다	
管理	관리하다	
官吏	관리	
官僚主義的	관료주의적	
慣習	관습	習慣
慣例	관례	
寬容	관용하다	
光景	광경	景象
光明	광명	
光合成	광합성	光合作用
廣告	광고하다	
廣場	광장	
廣角lens	광각렌즈	廣角鏡
廣泛	광범하다	
礦物	광물	
礦脈	광맥	
狂犬病	광견병	
狂人	광인	
映畫狂	영화광	影迷
掛念	괘념하다	
掛鐘時計	괘종시계	
怪怪	괴괴하다	奇怪
怪奇	괴기하다	奇怪
怪癖	괴벽	
乖僻	괴벽하다	
傀儡	괴뢰	
壞血病	괴혈병	
宏壯	괴장하다	
教科書	교과서	
教授	교수	
教室	교실	
教養	교양	
教育	교육하다	
教會	교회	
教訓	교훈	
較量	교량	
校庭	교정	校園
校服	교복	
校時	교시	課程時間
交代	교대하다	換班
交流	교류하다	
交替	교체하다	
交通	교통	
交換	교환하다	
交易	교역하다	
交際	교제하다	
郊外	교외	
驕慢	교만하다	驕傲
矯正	교정하다	
僑胞	교포	
九官鳥	구관조	
區別	구별하다	
區分	구분하다	
區域	구역	
區廳	구청	政府
構成	구성하다	
構造	구조	
拘束	구속하다	拘留
購入	구입하다	
具體的	구체적	
求	구하다	
救	구하다	
舊家	구가	
驅逐	구축하다	
驅蟲劑	구충제	
人口	입구	
噴火口	분화구	
國旗	국기	
國內外	국내외	
國立	국립	
國民的	국민적	
國產	국산	
國籍	국적	
國際化	국제화	
國會	국회	
局限	국한하다	
局面	국면	
菊花	국화	
菊花酒	국화주	
軍隊	군대	
軍人	군인	
軍醫官	군의관	
君主制	군주제	
群生	군생하다	群體生活
宮廷	궁정	
宮女	궁녀	
弓手	궁수	弓箭手
窮極的	궁극적	
冊	권	
倦怠	권태	
權利	권리	
權威	권위	
拳鬥	권투	拳擊
拳法	권법	
勸	권하다	
勸獎	권장하다	鼓勵
歸家	귀가하다	
歸結	귀결하다	
龜鑒	귀감	模範
鬼神	귀신	
貴族的	귀족적	
貴重	귀중하다	
貴	귀하다	
規模	규모	
規定	규정하다	
規則的	규칙적	
均衡	균형	
菌類	균류	
橘	귤	
劇作家	극작가	
劇場	극장	
克服	극복하다	
極少數	극소수	
根據	근거하다	
根本的	근복적	
根源	근원	
近來	근래	
近似	근사하다	
勤勞者	근로자	
勤務	근무하다	
勤勉	근면하다	
筋肉	근육	肌肉
金庫	금고	
金metal	금메달	金牌
金融	금융	
金曜日	금요일	
今年	금년	
今方	금방	剛才
禁煙	금연	
禁止	금지하다	
急激히	급격히	急劇
急先務	급선무	急事
急速히	급속히	
急增	급증하다	
急	급하다	
急curve	급커브	急轉彎
給料	급료	薪水
給食	급식	供飯
肯定的	급정적	
氣分	기분	心情
氣溫	기온	
氣候	기후	
期間	기간	
前待	기대하다	
機械	기계	
機闗	기관	
機構	기구	
機能	구능	
機會	기회	
器官	기관	
器冄	기구	
器機	기기	
紀念	기념하다	
紀念日	기념일	
紀念品	기념품	
紀元前	기원전	
技能	기능	
技法	기볍	
技術	기술	
祈禱	기도하다	
基督教	기독교	
基本的	기본적	
基準	기준	
基礎	기초하다	
記錄	기록하다	
記述	기술하다	
記憶	기억하다	
記者	기자	
記號	기호	
奇蹟	기적	
既成	기성	
既婚	기혼	己婚
寄宿舍	기숙사	宿舍
寄與	기여하다	捐獻
企業家	기업가	
企劃	기확하다	
起源	기원	
汽車	기차	火車
其他	기타	
緊急	기급하다	
緊張	긴장하다	
