가격	價格	歌手	胸部	歌謠
끼다	戴	裝飾	栽培	關
마당	院子	鎮	心	迎接
마르다	乾	喝	完成	被封鎖
마리	隻	月	雙	位
마시다	喝	完成	被封鎖	見
마을	鎮	心	迎接	最後的
마음	心	迎接	最後的	超市
마중	迎接	最後的	超市	馬格利酒
마지막	最後的	超市	馬格利酒	餃子
마치다	完成	被封鎖	見	做
마트	超市	馬格利酒	餃子	如果
마흔	四十	百	百萬	五十
막걸리	馬格利酒	餃子	如果	萬一
막히다	被封鎖	見	做	摸
만나다	見	做	摸	不要
만두	餃子	如果	萬一	漫畫
만들다	做	摸	不要	正確
만약	如果	萬一	漫畫	說話
만일	萬一	漫畫	說話	馬
만지다	摸	不要	正確	答對
만화	漫畫	說話	馬	馬來西亞
많다	多	清新	不好吃	好吃
많이	多	很	遠地	不會
말	說話	做	馬來西亞	不要
말	馬	不要	馬來西亞	很
말	-末	正確	馬來西亞	繫
말다	不要	正確	答對	繫
말레이시아	馬來西亞	話	味道	售票處
말씀	話	味道	售票處	啤酒
맑다	清新	不好吃	好吃	辣
맛	味道	售票處	啤酒	頭
맛없다	不好吃	好吃	辣	遠
맛있다	好吃	辣	遠	好看
맞다	正確	停	繫	吃飯
맞추다	答對	繫	吃飯	停
매년	每年	每月	每天	每週
매다	繫	吃飯	停	背
매달	每月	每天	每週	先
매우	很	遠地	不會	先
매일	每天	每週	先	全部
매주	每週	先	全部	後天
매표소	售票處	啤酒	頭	頭髮
맥주	啤酒	頭	頭髮	味道
맵다	辣	遠	好看	不好看
머리	頭	頭髮	味道	菜單
머리카락	頭髮	味道	菜單	備忘錄
먹다	吃飯	停	背	不知道
먼저	先	全部	後天	當然
멀다	遠	好看	不好看	重
멀리	遠地	不會	非常	提前
멈추다	停	背	不知道	侍奉
멋	味道	菜單	備忘錄	訊息
멋있다	好看	不好看	重	可怕
메뉴	菜單	備忘錄	訊息	郵件
메다	背	不知道	侍奉	收集
메모	備忘錄	訊息	郵件	幾天
메시지	訊息	郵件	幾天	節日
메일	郵件	幾天	節日	蚊子
며칠	幾天	節日	蚊子	行蹤
명	-名	面談	命令	榮譽
명절	節日	蚊子	行蹤	樣子
몇	幾個	四	四十	三
모기	蚊子	行蹤	樣子	形狀
모두	全部	後天	當然	每次
모든	所有	最	別的	三
모레	後天	當然	每次	無條件
모르다	不知道	侍奉	收集	賺
모습	行蹤	節日	形狀	聚會
모습	樣子	脖子	形狀	聚會
모시다	侍奉	收集	賺	不足
모양	形狀	聚會	帽子	脖子
모으다	收集	賺	不足	問
모이다	賺	不足	問	問一下
모임	聚會	帽子	脖子	項鍊
모자	帽子	脖子	項鍊	圍巾
모자라다	不足	問	問一下	滑
목	脖子	項鍊	圍巾	聲音
목걸이	項鍊	圍巾	聲音	洗澡
목도리	圍巾	聲音	洗澡	浴池
목소리	聲音	洗澡	浴池	目的
목욕	洗澡	浴池	目的	身體
목욕탕	浴池	目的	身體	蒙古
목적	目的	身體	蒙古	蘿蔔
몸	身體	蒙古	蘿蔔	重量
못	不會	非常	提前	亂
못생기다	不好看	重	可怕	適合的
못하다	不會	明亮的	在家	困
몽골	蒙古	蘿蔔	重量	無窮花
무	蘿蔔	重量	無窮花	免費
무겁다	重	可怕	適合的	迷惘
무게	重量	無窮花	免費	膝蓋
무궁화	無窮花	免費	膝蓋	問題
무료	免費	膝蓋	問題	文化
무릎	膝蓋	問題	文化	水
무섭다	可怕	適合的	迷惘	好欺負
무엇	什麼	哪裡	這裡	每位
무척	非常	提前	亂	一直
문제	問題	文化	水	東西
문화	文化	水	東西	魚
묻다	問	問一下	滑	相信
물	水	東西	魚	美國
물건	東西	魚	美國	未來
물고기	魚	美國	未來	美術館
물론	當然	每次	無條件	馬上
물어보다	問一下	滑	相信	推
뭐	什麼	某	模擬兩可的	我
미국	美國	未來	美術館	海帶湯
미끄러지다	滑	相信	推	下決心
미래	未來	美術館	海帶湯	麵粉
미리	提前	亂	一直	正確地
미술관	美術館	海帶湯	麵粉	下面
미역국	海帶湯	麵粉	下面	大蒜
미터	-公尺	公分	公里	公斤
믿다	相信	推	下決心	碰
밀가루	麵粉	下面	大蒜	闗節
밀다	推	下決心	碰	捂住
밑	下面	大蒜	闗節	馬拉松
마당	院子	鎮	心	迎接
마르다	乾	喝	完成	被封鎖
마리	隻	月	雙	位
마시다	喝	完成	被封鎖	見
마을	鎮	心	迎接	最後的
마음	心	迎接	最後的	超市
마중	迎接	最後的	超市	馬格利酒
마지막	最後的	超市	馬格利酒	餃子
마치다	完成	被封鎖	見	做
마트	超市	馬格利酒	餃子	如果
마흔	四十	百	百萬	五十
막걸리	馬格利酒	餃子	如果	萬一
막히다	被封鎖	見	做	摸
만나다	見	做	摸	不要
만두	餃子	如果	萬一	漫畫
만들다	做	摸	不要	正確
만약	如果	萬一	漫畫	說話
만일	萬一	漫畫	說話	馬
만지다	摸	不要	正確	答對
만화	漫畫	說話	馬	馬來西亞
많다	多	清新	不好吃	好吃
많이	多	很	遠地	不會
말	說話	做	馬來西亞	不要
말	馬	不要	馬來西亞	很
말	-末	正確	馬來西亞	繫
말다	不要	正確	答對	繫
말레이시아	馬來西亞	話	味道	售票處
말씀	話	味道	售票處	啤酒
맑다	清新	不好吃	好吃	辣
맛	味道	售票處	啤酒	頭
맛없다	不好吃	好吃	辣	遠
맛있다	好吃	辣	遠	好看
맞다	正確	停	繫	吃飯
맞추다	答對	繫	吃飯	停
매년	每年	每月	每天	每週
매다	繫	吃飯	停	背
매달	每月	每天	每週	先
매우	很	遠地	不會	先
매일	每天	每週	先	全部
매주	每週	先	全部	後天
매표소	售票處	啤酒	頭	頭髮
맥주	啤酒	頭	頭髮	味道
맵다	辣	遠	好看	不好看
머리	頭	頭髮	味道	菜單
머리카락	頭髮	味道	菜單	備忘錄
먹다	吃飯	停	背	不知道
먼저	先	全部	後天	當然
멀다	遠	好看	不好看	重
멀리	遠地	不會	非常	提前
멈추다	停	背	不知道	侍奉
멋	味道	菜單	備忘錄	訊息
멋있다	好看	不好看	重	可怕
메뉴	菜單	備忘錄	訊息	郵件
메다	背	不知道	侍奉	收集
메모	備忘錄	訊息	郵件	幾天
메시지	訊息	郵件	幾天	節日
메일	郵件	幾天	節日	蚊子
며칠	幾天	節日	蚊子	行蹤
명	-名	面談	命令	榮譽
명절	節日	蚊子	行蹤	樣子
몇	幾個	四	四十	三
모기	蚊子	行蹤	樣子	形狀
모두	全部	後天	當然	每次
모든	所有	最	別的	三
모레	後天	當然	每次	無條件
모르다	不知道	侍奉	收集	賺
모습	行蹤	節日	形狀	聚會
모습	樣子	脖子	形狀	聚會
모시다	侍奉	收集	賺	不足
모양	形狀	聚會	帽子	脖子
모으다	收集	賺	不足	問
모이다	賺	不足	問	問一下
모임	聚會	帽子	脖子	項鍊
모자	帽子	脖子	項鍊	圍巾
모자라다	不足	問	問一下	滑
목	脖子	項鍊	圍巾	聲音
목걸이	項鍊	圍巾	聲音	洗澡
목도리	圍巾	聲音	洗澡	浴池
목소리	聲音	洗澡	浴池	目的
목욕	洗澡	浴池	目的	身體
목욕탕	浴池	目的	身體	蒙古
목적	目的	身體	蒙古	蘿蔔
몸	身體	蒙古	蘿蔔	重量
못	不會	非常	提前	亂
못생기다	不好看	重	可怕	適合的
못하다	不會	明亮的	在家	困
몽골	蒙古	蘿蔔	重量	無窮花
무	蘿蔔	重量	無窮花	免費
무겁다	重	可怕	適合的	迷惘
무게	重量	無窮花	免費	膝蓋
무궁화	無窮花	免費	膝蓋	問題
무료	免費	膝蓋	問題	文化
무릎	膝蓋	問題	文化	水
무섭다	可怕	適合的	迷惘	好欺負
무엇	什麼	哪裡	這裡	每位
무척	非常	提前	亂	一直
문제	問題	文化	水	東西
문화	文化	水	東西	魚
묻다	問	問一下	滑	相信
물	水	東西	魚	美國
물건	東西	魚	美國	未來
물고기	魚	美國	未來	美術館
물론	當然	每次	無條件	馬上
물어보다	問一下	滑	相信	推
뭐	什麼	某	模擬兩可的	我
미국	美國	未來	美術館	海帶湯
미끄러지다	滑	相信	推	下決心
미래	未來	美術館	海帶湯	麵粉
미리	提前	亂	一直	正確地
미술관	美術館	海帶湯	麵粉	下面
미역국	海帶湯	麵粉	下面	大蒜
미터	-公尺	公分	公里	公斤
믿다	相信	推	下決心	碰
밀가루	麵粉	下面	大蒜	闗節
밀다	推	下決心	碰	捂住
밑	下面	大蒜	闗節	馬拉松
아	啊	不是	嘿	呃
아가씨	小姐	嬰兒	播音員	妻子
아기	嬰兒	播音員	妻子	兒子
아까	剛	一點	昨天	這麼多
아나운서	播音員	妻子	兒子	下面
아내	妻子	兒子	下面	上面
아니	不是	嘿	呃	喂（電話用語）
아들	兒子	女兒	下面	兼職工作
아래	下面	上面	兼職工作	什麼
아래쪽	下面	兼職工作	什麼	父親
아르바이트	兼職工作	什麼	父親	母親
아름답다	美	哪裡也	痛	合適
아마	也許	不管再怎麼	很	還
아무	誰也	一些	店舖	家具
아무 데도	哪裡也	痛	合適	弱
아무것	什麼	沒有人	父親	不顧
아무리	不管再怎麼	很	還	再見
아버님	父親	母親	女兒	孩子
아버지	父親	爸爸	孩子	冰淇淋
아빠	爸爸	孩子	冰淇淋	大叔
아이	孩子	天哪	啊哈	哦
아이스크림	冰淇淋	大叔	老太太	大嬸
아저씨	大叔	老太太	大嬸	公寓
아주	很	還	再見	趕快
아주머니	老太太	大嬸	公寓	樂器
아줌마	大嬸	公寓	樂器	內
아직	還	再見	趕快	總是
아파트	公寓	樂器	內	霧
아프다	痛	合適	弱	薄
악기	樂器	內	霧	眼鏡
안	內	也許	不管再怎麼	很
안개	霧	眼鏡	介紹	指示文
안경	眼鏡	介紹	指示文	安全
안내	介紹	指示文	安全	裡面
안내문	指示文	安全	裡面	前
안녕	你好	滿	前	-天
안녕히	再見	趕快	總是	多
안다	抱	不行	知道	告知
안되다	不行	知道	告知	打聽
안전	安全	裡面	前	前面
안쪽	裡面	前	前面	嬰兒
알다	知道	告知	打聽	合
알리다	告知	打聽	合	取
알맞다	合適	弱	薄	暗
알아보다	打聽	合	取	結（冰）
앞	前	前面	嬰兒	情人
앞쪽	前面	嬰兒	情人	相冊
애	嬰兒	情人	相冊	棒球
애인	情人	相冊	棒球	蔬菜
앨범	相冊	棒球	蔬菜	藥
야	嘿	呃	喂（電話用語）	是的
야구	棒球	蔬菜	藥	藥店
야채	蔬菜	藥	藥店	藥師
약	大約	任何	什麼	一些
약	藥	任何	什麼	一些
약간	一點	昨天	這麼多	錯誤
약구	藥店	藥師	承諾	襪子
약사	藥師	承諾	襪子	西服
약속	承諾	襪子	西服	洋食
약하다	弱	薄	暗	怎樣
얇다	薄	暗	怎樣	如何
양말	襪子	西服	洋食	西式餐廳
양복	西服	洋食	西式餐廳	刷牙
양식	洋食	西式餐廳	刷牙	故事
양식집	西式餐廳	刷牙	故事	肩膀
양치질	刷牙	故事	肩膀	成人
얘기	故事	肩膀	成人	小孩
어	呃	喂（電話用語）	是的	哇
어깨	肩膀	成人	小孩	孩子
어느	任何	什麼	一些	老
어둡다	暗	怎樣	如何	難
어디	哪裡	這裡	每位	我們
어떠하다	怎樣	如何	難	年幼
어떤	什麼	一些	老	這個
어떻다	如何	難	年幼	漂亮
어렵다	難	年幼	漂亮	久遠
어른	成人	小孩	孩子	母親
어리다	年幼	漂亮	久遠	正確
어린아이	小孩	大人	母親	父親
어린이	孩子	母親	爸爸	昨天晚上
어머니	母親	父親	昨天晚上	姐姐
어머님	母親	昨天晚上	姐姐	語言
어서	趕快	總是	多	還是
어울리다	合	取	結（冰）	請教
어젯밤	昨天晚上	姐姐	語言	臉
언니	姐姐	語言	臉	多少錢
언어	語言	臉	多少錢	冰塊
언제	什麼時候	什麼	某	模擬兩可的
언제나	總是	多	還是	用心地
얻다	取	結（冰）	請教	開
얼굴	臉	多少錢	冰塊	媽媽
얼다	結（冰）	請教	開	開著
얼마	多少錢	冰塊	媽媽	屁股
얼마나	多	還是	用心地	很久
얼음	冰塊	媽媽	屁股	冷氣
엄마	媽媽	屁股	冷氣	電梯
없다	沒有	過於	大	-種
엉덩이	屁股	冷氣	電梯	護照
에어컨	冷氣	電梯	護照	這里和那裡
엘리베이터	電梯	護照	這里和那裡	妹妹
여권	護照	這里和那裡	妹妹	女士
여기	這裡	每位	我們	這個
여기저기	這里和那裡	妹妹	女士	女性
여동생	妹妹	女士	女性	女學生
여러	一些	老	這個	沒有
여러분	每位	我們	這個	個人
여보세요	喂（電話用語）	是的	哇	嗯
여성	女士	女性	女學生	旅行
여자	女性	女學生	旅行	旅行社
여쭙다	請教	開	開著	上漲
여학생	女學生	旅行	旅行社	旅行目的地
여행	旅行	旅行社	旅行目的地	車站
여행사	旅行社	旅行目的地	車站	歷史
여행지	旅行目的地	車站	歷史	連結
역	車站	歷史	連結	話劇
역사	歷史	連結	話劇	給聯絡
역시	還是	用心地	很久	完全
연결	連結	話劇	給聯絡	聯絡處
연극	話劇	給聯絡	聯絡處	年末
연락	給聯絡	聯絡處	年末	年紀
연락처	聯絡處	年末	年紀	練習
연말	年末	年紀	練習	藝人
연세	年紀	練習	藝人	鉛筆
연습	練習	藝人	鉛筆	連假
연예인	藝人	鉛筆	連假	燒
연필	鉛筆	連假	燒	鑰匙
연휴	連假	燒	鑰匙	火車
열	燒	鑰匙	火車	十天
열다	開	開著	上漲	爬上去
열리다	開著	上漲	爬上去	爬上來
열쇠	鑰匙	火車	十天	明信片
열심히	用心地	很久	完全	為什麼
열차	火車	十天	明信片	英國
열흘	十天	明信片	英國	收據
엽서	明信片	英國	收據	英語
영국	英國	收據	英語	零下
영수증	收據	英語	零下	電影
영어	英語	零下	電影	電影演員
영하	零下	電影	電影演員	旁邊
영화	電影	電影演員	旁邊	住隔壁
영화배우	電影演員	旁邊	住隔壁	預售
옆	旁邊	住隔壁	預售	藝術
옆집	住隔壁	預售	藝術	預習
예	是的	哇	嗯	不是
예매	預售	藝術	預習	預訂
예쁘다	漂亮	久遠	正確	孤單
예술	藝術	預習	預訂	很久以前
예습	預習	預訂	很久以前	好久不見
예약	預訂	很久以前	好久不見	最近
옛	老	這個	沒有	兩
옛날	很久以前	馬上	最近	最後
오래	很久	完全	為什麼	因為
오래간만	好久不見	不久前	馬上	柳橙
오래되다	久遠	正確	孤單	這樣的
오랜만	好久不見	很久	柳橙	右手
오랫동안	很久	柳橙	右手	右邊
오렌지	柳橙	右手	右邊	哥哥
오르다	上漲	爬上去	爬上來	下來
오른손	右手	右邊	哥哥	黃瓜
오른쪽	右邊	哥哥	黃瓜	溫度
오빠	哥哥	黃瓜	溫度	閣下
오이	黃瓜	溫度	閣下	奧林匹克競賽
온도	溫度	閣下	奧林匹克競賽	衣服
올라가다	爬上去	爬上來	上漲	記
올라오다	爬上來	上漲	記	哭
올리다	上漲	記	哭	身體
올림	閣下	奧林匹克競賽	衣服	衣架
올림픽	奧林匹克競賽	衣服	衣架	衣櫃
옳다	正確	孤單	這樣的	早
옷	衣服	衣架	衣櫃	襯衫
옷걸이	衣架	衣櫃	襯衫	國王
옷장	衣櫃	襯衫	國王	國外
와	哇	嗯	是的	沒有
와이셔츠	襯衫	國王	國外	外語
완전히	完全	為什麼	因為	首先
왕	國王	國外	外語	外國人
왜	為什麼	因為	首先	待會
왜냐하면	因為	首先	待會	已經
외국	國外	外語	外國人	外出
외국어	外語	外國人	外出	左手
외국인	外國人	外出	左手	左邊
외롭다	孤單	這樣的	早	習慣
외우다	記	哭	身體	笑
외출	外出	左手	左邊	費用
왼손	左手	左邊	費用	料理方法
왼쪽	左邊	費用	料理方法	廚師
요금	費用	料理方法	廚師	星期
요리	料理方法	廚師	星期	最近
요리사	廚師	星期	最近	烏龍麵
요일	星期	最近	烏龍麵	我們國家
요즘	最近	烏龍麵	我們國家	傘
우동	烏龍麵	我們國家	傘	牛奶
우리	我們	你們	這個	這個地方
우리나라	我們國家	傘	牛奶	郵票
우산	傘	牛奶	郵票	運動
우선	首先	待會	已經	早起
우유	牛奶	郵票	運動	運動服
우표	郵票	運動	運動服	操場
운동	運動	運動服	操場	運動鞋
운동복	運動服	操場	運動鞋	駕駛
운동장	操場	運動鞋	駕駛	司機
운동화	運動鞋	駕駛	司機	蔚山
운전	駕駛	司機	蔚山	哭
운전사	司機	蔚山	哭	笑
울다	哭	身體	笑	求
울산	蔚山	哭	笑	連身裙
울음	哭	笑	連身裙	薪水
움직이다	身體	笑	求	贏
웃다	笑	求	贏	成熟
웃음	笑	連身裙	薪水	上面
원	-元	套房	原理	申請書
원피스	連身裙	薪水	上面	套房
원하다	求	贏	成熟	認同
월급	薪水	上面	下面	位置
위	上面	下面	位置	危險
위쪽	上面	位置	危險	玻璃
위치	位置	危險	玻璃	有名
위험	危險	玻璃	有名	幼兒園
유리	玻璃	有名	幼兒園	留學
유명	有名	幼兒園	留學	留學生
유치원	幼兒園	留學	留學生	流行
유학	留學	留學生	流行	天橋
유학생	留學生	流行	天橋	擲骰遊戲
유행	流行	天橋	擲骰遊戲	飲料
육교	天橋	擲骰遊戲	飲料	地下道
윷놀이	擲骰遊戲	玩具	飲料	食物
음	嗯	是的	沒有	哎
음료	飲料	應用	食物	餐廳
음료수	飲料	食物	餐廳	音樂
음식	食物	餐廳	音樂	音樂家
음식점	餐廳	音樂	音樂家	意義
음악	音樂	音樂家	意義	醫生
음악가	音樂家	意義	醫生	椅子
응	是的	沒有	哎	天哪
의미	意義	醫生	椅子	牙
의사	醫生	椅子	牙	當天
의자	椅子	牙	當天	機會
이	牙	當天	機會	姓名
이거	這個	那個	這個地方	這位
이것	這個	這個地方	這位	這邊
이곳	這個地方	這位	這邊	某某人
이기다	贏	成熟	認同	起床
이날	當天	機會	姓名	額頭
이다	是	機會	姓名	額頭
이따가	待會	已經	早起	可能
이때	機會	姓名	額頭	姨媽
이런	這個	沒有	兩	很久
이렇다	這樣的	早	習慣	捨不得
이르다	早	說	連接	弄熟
이름	姓名	額頭	姨媽	這周
이마	額頭	姨媽	這周	被子
이모	姨媽	這周	被子	搬家
이미	已經	早起	可能	總是
이번	這周	被子	搬家	搬家行李
이분	這位	這邊	某某人	我
이불	被子	搬家	搬家行李	以上
이사	搬家	搬家行李	以上	異常
이삿짐	搬家行李	以上	異常	故事
이상	以上	異常	故事	利用
이상	異常	異常	故事	利用
이야기	故事	利用	鄰近	理由
이용	利用	鄰近	理由	以前
이웃	鄰近	理由	以前	兩天
이유	理由	以前	兩天	理解
이전	以前	兩天	理解	以後
이제	現在	昨天	一整天	滿腦子
이쪽	這邊	某某人	我	那個
이틀	兩天	理解	以後	人氣
이해	理解	以後	人氣	印度尼西亞
이후	以後	人氣	印度尼西亞	問候
