centigrade	攝氏的	計劃	忍受	廢除;廢止
boom	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦	胸
booth	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦	胸	植物學
boredom	無聊;厭倦	胸	植物學	大道
bosom	胸	植物學	大道	彈回
botany	植物學	大道	彈回	邊界
boulevard	大道	彈回	邊界	腸
bound	彈回	邊界	腸	拳擊手
boundary	邊界	腸	拳擊手	拳擊
bowel	腸	拳擊手	拳擊	(男姓的)童年
boxer	拳擊手	拳擊	(男姓的)童年	支撐;做好準備
boxing	拳擊	(男姓的)童年	支撐;做好準備	編成辮子;編成穗帶;編結
boyhood	(男姓的)童年	支撐;做好準備	編成辮子;編成穗帶;編結	寬度;幅度;寬宏
brace	支撐;做好準備	編成辮子;編成穗帶;編結	寬度;幅度;寬宏	向...行賄
braid	編成辮子;編成穗帶;編結	寬度;幅度;寬宏	向...行賄	公事包
breadth	寬度;幅度;寬宏	向...行賄	公事包	放寬，擴大
bribe	向...行賄	公事包	放寬，擴大	青銅
briefcase	公事包	放寬，擴大	青銅	女用胸針(或領針)
broaden	放寬，擴大	青銅	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪
bronze	青銅	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪	清湯
brooch	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪	清湯	兄弟關係
brood	孵蛋;籠罩;沈思;沮喪	清湯	兄弟關係	瀏覽
broth	清湯	兄弟關係	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)
brotherhood	兄弟關係	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿
browse	瀏覽	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿	體積;容積;大塊;大多數
bruise	使受瘀傷;碰傷(水果);挫傷(感情)	膨脹;凸起;裝滿	體積;容積;大塊;大多數	脅迫;欺侮
bulge 	膨脹;凸起;裝滿	體積;容積;大塊;大多數	脅迫;欺侮	事務處
bulk	體積;容積;大塊;大多數	脅迫;欺侮	事務處	屠宰(牲口)
bully	脅迫;欺侮	事務處	屠宰(牲口)	仙人掌
bureau	事務處	屠宰(牲口)	仙人掌	小牛
butcher	屠宰(牲口)	仙人掌	小牛	書法
cactus	仙人掌	小牛	書法	運河;河渠
calf 	小牛	書法	運河;河渠	開砲;砲轟
calligraphy	書法	運河;河渠	開砲;砲轟	碳;複寫紙
canal	運河;河渠	開砲;砲轟	碳;複寫紙	硬紙板;卡紙板
cannon	開砲;砲轟	碳;複寫紙	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的
carbon	碳;複寫紙	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的	照顧者;管理人
cardboard	硬紙板;卡紙板	無憂無慮的;輕鬆愉快的	照顧者;管理人	康乃韾
carefree	無憂無慮的;輕鬆愉快的	照顧者;管理人	康乃韾	狂歡節;嘉年華會
caretaker	照顧者;管理人	康乃韾	狂歡節;嘉年華會	鯉魚
carnation	康乃韾	狂歡節;嘉年華會	鯉魚	紙盒;紙板箱
carnival	狂歡節;嘉年華會	鯉魚	紙盒;紙板箱	種類;類別
carp	鯉魚	紙盒;紙板箱	種類;類別	大教堂
carton	紙盒;紙板箱	種類;類別	大教堂	警告;使小心
category	種類;類別	大教堂	警告;使小心	謹慎的
cathedral	大教堂	警告;使小心	謹慎的	名人;名流
caution	警告;使小心	謹慎的	名人;名流	芹菜
cautious	謹慎的	名人;名流	芹菜	手機,大哥大
celebrity	名人;名流	芹菜	手機,大哥大	地窖
celery	芹菜	手機,大哥大	地窖	大提琴
cell-phone/cellphone/cellular	手機,大哥大	地窖	大提琴	攝氏
cellar	地窖	大提琴	攝氏	儀式,典禮
cello	大提琴	攝氏	儀式,典禮	發證書給;用證書批准
Celsius/Centigrade/	攝氏	儀式,典禮	發證書給;用證書批准	主席(沒有性別歧視的字眼)
ceremony	儀式,典禮	發證書給;用證書批准	主席(沒有性別歧視的字眼)	女主席;女議長
certificate	發證書給;用證書批准	主席(沒有性別歧視的字眼)	女主席;女議長	反覆地唱(或說);吟誦
chairperson/chair/chairman/	主席(沒有性別歧視的字眼)	女主席;女議長	反覆地唱(或說);吟誦	喋喋不休;吱吱叫
chairwoman	女主席;女議長	反覆地唱(或說);吟誦	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到
chant	反覆地唱(或說);吟誦	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開
chatter	喋喋不休;吱吱叫	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開	支票簿
check-in	辦理投宿(或登機)手續;報到	檢查;調查;付款退租;下班離開	支票簿	檢查;體檢
check-out	檢查;調查;付款退租;下班離開	支票簿	檢查;體檢	(餐館等的)主廚;大師傅
checkbook	支票簿	檢查;體檢	(餐館等的)主廚;大師傅	化學家
checkup	檢查;體檢	(餐館等的)主廚;大師傅	化學家	栗子
chef	(餐館等的)主廚;大師傅	化學家	栗子	紅番椒
chemist	化學家	栗子	紅番椒	黑猩猩
chestnut	栗子	紅番椒	黑猩猩	(教堂的)唱詩班;合唱團
chili	紅番椒	黑猩猩	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音
chimpanzee	黑猩猩	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音	圓胖的
choir	(教堂的)唱詩班;合唱團	(樂器的)弦;心弦;弦桿;和音	圓胖的	環道;一圈;巡迴路線;電路
chord	(樂器的)弦;心弦;弦桿;和音	圓胖的	環道;一圈;巡迴路線;電路	引用;舉出;表揚
chubby	圓胖的	環道;一圈;巡迴路線;電路	引用;舉出;表揚	城市的;市民的
circuit	環道;一圈;巡迴路線;電路	引用;舉出;表揚	城市的;市民的	蛤蜊
cite	引用;舉出;表揚	城市的;市民的	蛤蜊	氏族;部落;家族
civic	城市的;市民的	蛤蜊	氏族;部落;家族	扣住;鉤住;緊抱;緊握
clam	蛤蜊	氏族;部落;家族	扣住;鉤住;緊抱;緊握	(文件的)條款;子句
clan	氏族;部落;家族	扣住;鉤住;緊抱;緊握	(文件的)條款;子句	黏著;依附;墨守
clasp	扣住;鉤住;緊抱;緊握	(文件的)條款;子句	黏著;依附;墨守	順時針方向的;右旋的
clause	(文件的)條款;子句	黏著;依附;墨守	順時針方向的;右旋的	苜蓿
cling	黏著;依附;墨守	順時針方向的;右旋的	苜蓿	使成簇(或群);叢生
clockwise	順時針方向的;右旋的	苜蓿	使成簇(或群);叢生	抓住
clover	苜蓿	使成簇(或群);叢生	抓住	海岸線
cluster	使成簇(或群);叢生	抓住	海岸線	緊緊包住;使(自己)孤立
clutch	抓住	海岸線	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈
coastline	海岸線	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈	同事,同僚
cocoon	緊緊包住;使(自己)孤立	捲;盤繞;捲成圈	同事,同僚	陸軍上校
coil	捲;盤繞;捲成圈	同事,同僚	陸軍上校	殖民地的;殖民的
colleague	同事,同僚	陸軍上校	殖民地的;殖民的	戰鬥;搏鬥;反對
colonel	陸軍上校	殖民地的;殖民的	戰鬥;搏鬥;反對	喜劇演員
colonial	殖民地的;殖民的	戰鬥;搏鬥;反對	喜劇演員	彗星
combat	戰鬥;搏鬥;反對	喜劇演員	彗星	評論家,名嘴
comedian	喜劇演員	彗星	評論家,名嘴	委任,委託
comet	彗星	評論家,名嘴	委任,委託	商品;日用品
commentator	評論家,名嘴	委任,委託	商品;日用品	平凡的
commission	委任,委託	商品;日用品	平凡的	共產主義
commodity	商品;日用品	平凡的	共產主義	共產主義的
commonplace	平凡的	共產主義	共產主義的	通勤
communism	共產主義	共產主義的	通勤	通勤者
communist	共產主義的	通勤	通勤者	簡短的
commute	通勤	通勤者	簡短的	圖謀
commuter	通勤者	簡短的	圖謀	憐憫;同情
compact	簡短的	圖謀	憐憫;同情	有同情心的;慈悲的
compass	圖謀	憐憫;同情	有同情心的;慈悲的	強迫;強求
compassion	憐憫;同情	有同情心的;慈悲的	強迫;強求	讚美;恭維
compassionate	有同情心的;慈悲的	強迫;強求	讚美;恭維	合成的
compel	強迫;強求	讚美;恭維	合成的	理解;領會;包含
compliment	讚美;恭維	合成的	理解;領會;包含	理解;理解力
compound	合成的	理解;領會;包含	理解;理解力	妥協;危及;洩露(祕密等)
comprehend	理解;領會;包含	理解;理解力	妥協;危及;洩露(祕密等)	計算
comprehension	理解;理解力	妥協;危及;洩露(祕密等)	計算	使電腦化;用電腦處理
compromise	妥協;危及;洩露(祕密等)	計算	使電腦化;用電腦處理	夥伴
compute	計算	使電腦化;用電腦處理	夥伴	隱蔽,隱藏
computerize	使電腦化;用電腦處理	夥伴	隱蔽,隱藏	構想出;設想;懷孕
comrade	夥伴	隱蔽,隱藏	構想出;設想;懷孕	責備;譴責;判刑
conceal	隱蔽,隱藏	構想出;設想;懷孕	責備;譴責;判刑	引導,帶領
conceive	構想出;設想;懷孕	責備;譴責;判刑	引導,帶領	承認;供認;告解
condemn	責備;譴責;判刑	引導,帶領	承認;供認;告解	面臨;遭遇
conduct	引導,帶領	承認;供認;告解	面臨;遭遇	同意;贊成
confession	承認;供認;告解	面臨;遭遇	同意;贊成	保存;保護;節省
confront	面臨;遭遇	同意;贊成	保存;保護;節省	體諒的
consent	同意;贊成	保存;保護;節省	體諒的	安慰;慰問
conserve	保存;保護;節省	體諒的	安慰;慰問	憲法的
considerate	體諒的	安慰;慰問	憲法的	接觸傳染的;(感情等)感染性的
console	安慰;慰問	憲法的	接觸傳染的;(感情等)感染性的	弄髒;污染
constitutional	憲法的	接觸傳染的;(感情等)感染性的	弄髒;污染	凝視;思忖;仔細考慮
contagious	接觸傳染的;(感情等)感染性的	弄髒;污染	凝視;思忖;仔細考慮	當代的
contaminate	弄髒;污染	凝視;思忖;仔細考慮	當代的	輕視
contemplate	凝視;思忖;仔細考慮	當代的	輕視	爭取;競爭;搏鬥;聲稱
contemporary	當代的	輕視	爭取;競爭;搏鬥;聲稱	洲的;大陸的
contempt	輕視	爭取;競爭;搏鬥;聲稱	洲的;大陸的	連續性;一貫性
contend	爭取;競爭;搏鬥;聲稱	洲的;大陸的	連續性;一貫性	轉變;變換;改變信仰
continental	洲的;大陸的	連續性;一貫性	轉變;變換;改變信仰	證明...有罪;判...有罪
continuity	連續性;一貫性	轉變;變換;改變信仰	證明...有罪;判...有罪	為(書籍等)取得版權
convert	轉變;變換;改變信仰	證明...有罪;判...有罪	為(書籍等)取得版權	珊瑚
convict	證明...有罪;判...有罪	為(書籍等)取得版權	珊瑚	股份(有限)公司
copyright	為(書籍等)取得版權	珊瑚	股份(有限)公司	一致;相對應;通信;(總稱)信件
coral	珊瑚	股份(有限)公司	一致;相對應;通信;(總稱)信件	迴廊,通道
corporation	股份(有限)公司	一致;相對應;通信;(總稱)信件	迴廊,通道	腐敗的;貪污的
correspondence	一致;相對應;通信;(總稱)信件	迴廊,通道	腐敗的;貪污的	忠告;提議
corridor	迴廊,通道	腐敗的;貪污的	忠告;提議	顧問;(學生的)輔導員;律師
corrupt	腐敗的;貪污的	忠告;提議	顧問;(學生的)輔導員;律師	逆時針方向的
counsel	忠告;提議	顧問;(學生的)輔導員;律師	逆時針方向的	回數票;減價優待券
counselor	顧問;(學生的)輔導員;律師	逆時針方向的	回數票;減價優待券	庭院
counterclockwise	逆時針方向的	回數票;減價優待券	庭院	膽小的;懦怯的
coupon	回數票;減價優待券	庭院	膽小的;懦怯的	舒適的
courtyard	庭院	膽小的;懦怯的	舒適的	薄脆餅乾
cowardly	膽小的;懦怯的	舒適的	薄脆餅乾	使成坑; 形成坑
cozy	舒適的	薄脆餅乾	使成坑; 形成坑	發出咯吱聲
cracker	薄脆餅乾	使成坑; 形成坑	發出咯吱聲	小溪
crater	使成坑; 形成坑	發出咯吱聲	小溪	作弊
creak	發出咯吱聲	小溪	作弊	鱷魚
creek	小溪	作弊	鱷魚	交叉;交叉點,橫穿;雜交;十字路口
crib	作弊	鱷魚	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰
crocodile 	鱷魚	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰	咬嚼
crossing	交叉;交叉點,橫穿;雜交;十字路口	蹲;彎腰	咬嚼	水晶的
crouch	蹲;彎腰	咬嚼	水晶的	烹飪(法);菜餚
crunch	咬嚼	水晶的	烹飪(法);菜餚	控制;遏止;勒住
crystal	水晶的	烹飪(法);菜餚	控制;遏止;勒住	通貨;貨幣
cuisine	烹飪(法);菜餚	控制;遏止;勒住	通貨;貨幣	學校的全部課程
curb	控制;遏止;勒住	通貨;貨幣	學校的全部課程	咖哩
currency	通貨;貨幣	學校的全部課程	咖哩	關稅;報關手續;海關出入境口
curriculum	學校的全部課程	咖哩	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔
curry	咖哩	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔	使眼花;使驚羨
customs	關稅;報關手續;海關出入境口	投擲(標槍等);投射;狂奔	使眼花;使驚羨	腐朽;衰退
dart	投擲(標槍等);投射;狂奔	使眼花;使驚羨	腐朽;衰退	欺騙,蒙蔽
dazzle	使眼花;使驚羨	腐朽;衰退	欺騙,蒙蔽	宣佈,宣告;宣言,聲明
decay	腐朽;衰退	欺騙,蒙蔽	宣佈,宣告;宣言,聲明	委派...為代表
deceive	欺騙,蒙蔽	宣佈,宣告;宣言,聲明	委派...為代表	授權;代表團
declaration	宣佈,宣告;宣言,聲明	委派...為代表	授權;代表團	民主主義者
delegate	委派...為代表	授權;代表團	民主主義者	否認;拒絕
delegation	授權;代表團	民主主義者	否認;拒絕	描寫的;描述性的
democrat	民主主義者	否認;拒絕	描寫的;描述性的	絕望,喪失信心
denial	否認;拒絕	描寫的;描述性的	絕望,喪失信心	鄙視
descriptive	描寫的;描述性的	絕望,喪失信心	鄙視	目的地,終點
despair	絕望,喪失信心	鄙視	目的地,終點	命運;天數
despise	鄙視	目的地,終點	命運;天數	破壞的;毀滅性的
destination	目的地,終點	命運;天數	破壞的;毀滅性的	奉獻
destiny	命運;天數	破壞的;毀滅性的	奉獻	狼吞虎嚥
destructive	破壞的;毀滅性的	奉獻	狼吞虎嚥	方言
devotion	奉獻	狼吞虎嚥	方言	不信;懷疑
devour	狼吞虎嚥	方言	不信;懷疑	拋棄,摒棄,丟棄
dialect	方言	不信;懷疑	拋棄,摒棄,丟棄	信徒;門徒
disbelief	不信;懷疑	拋棄,摒棄,丟棄	信徒;門徒	歧視;區分出
discard	拋棄,摒棄,丟棄	信徒;門徒	歧視;區分出	分配;執行;配(藥)
disciple	信徒;門徒	歧視;區分出	分配;執行;配(藥)	配置;處置
discriminate	歧視;區分出	分配;執行;配(藥)	配置;處置	區別;殊勳;榮譽
dispense	分配;執行;配(藥)	配置;處置	區別;殊勳;榮譽	有特色的;特殊的
dispose	配置;處置	區別;殊勳;榮譽	有特色的;特殊的	使悲痛;使苦惱
distinction	區別;殊勳;榮譽	有特色的;特殊的	使悲痛;使苦惱	用文件證明
distinctive	有特色的;特殊的	使悲痛;使苦惱	用文件證明	門口
distress	使悲痛;使苦惱	用文件證明	門口	門口
document	用文件證明	門口	門口	學生宿舍
doorstep	門口	門口	學生宿舍	生麵糰;現款
doorway	門口	學生宿舍	生麵糰;現款	向下的,下降的;日趨沒落的
dormitory	學生宿舍	生麵糰;現款	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的
dough	生麵糰;現款	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛
downward	向下的,下降的;日趨沒落的	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛	可怕的
downward	向下的,下降的;日趨沒落的	(用布等鬆軟地)覆蓋;垂掛	可怕的	衣櫃
drape	(用布等鬆軟地)覆蓋;垂掛	可怕的	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料
dreadful	可怕的	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道
dresser	衣櫃	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道	持續,持久
dressing	打扮;佈置,裝飾;(拌沙拉等用的)調料	車道	持續,持久	黃昏
driveway	車道	持續,持久	黃昏	使顯得矮小;阻礙生長
duration	持續,持久	黃昏	使顯得矮小;阻礙生長	居住;存在於;思索
dusk	黃昏	使顯得矮小;阻礙生長	居住;存在於;思索	住處;寓所
dwarf	使顯得矮小;阻礙生長	居住;存在於;思索	住處;寓所	月蝕
dwell	居住;存在於;思索	住處;寓所	月蝕	鰻魚
dwelling	住處;寓所	月蝕	鰻魚	自我;自負
eclipse	月蝕	鰻魚	自我;自負	精心製作的;煞費苦心的,辛勤的
eel	鰻魚	自我;自負	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職
ego	自我;自負	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職	擁抱;包含
elaborate	精心製作的;煞費苦心的,辛勤的	提高;振奮;升職	擁抱;包含	努力;力圖
elevate	提高;振奮;升職	擁抱;包含	努力;力圖	把...記入名冊,登記
embrace	擁抱;包含	努力;力圖	把...記入名冊,登記	保證;擔保
endeavor	努力;力圖	把...記入名冊,登記	保證;擔保	企業,公司
enroll	把...記入名冊,登記	保證;擔保	企業,公司	熱情的;熱烈的
ensure/insure	保證;擔保	企業,公司	熱情的;熱烈的	給...權力(或資格)
enterprise	企業,公司	熱情的;熱烈的	給...權力(或資格)	用符號表示某種關係;等同
enthusiastic	熱情的;熱烈的	給...權力(或資格)	用符號表示某種關係;等同	豎起的
entitle	給...權力(或資格)	用符號表示某種關係;等同	豎起的	噴出;爆發
equate	用符號表示某種關係;等同	豎起的	噴出;爆發	護送;為...護航;陪同
erect	豎起的	噴出;爆發	護送;為...護航;陪同	地產
erupt	噴出;爆發	護送;為...護航;陪同	地產	尊重;評價
escort	護送;為...護航;陪同	地產	尊重;評價	永久的;永恆的
estate	地產	尊重;評價	永久的;永恆的	倫理標準
esteem	尊重;評價	永久的;永恆的	倫理標準	常綠的;常青的
eternal	永久的;永恆的	倫理標準	常綠的;常青的	誇張
ethic	倫理標準	常綠的;常青的	誇張	超過;勝過
evergreen	常綠的;常青的	誇張	超過;勝過	勝過;突出
exaggeration	誇張	超過;勝過	勝過;突出	例外的;異常的;特殊的
exceed	超過;勝過	勝過;突出	例外的;異常的;特殊的	過量的;額外的
excel	勝過;突出	例外的;異常的;特殊的	過量的;額外的	呼喊;驚叫
exceptional	例外的;異常的;特殊的	過量的;額外的	呼喊;驚叫	除外
excess	過量的;額外的	呼喊;驚叫	除外	實施;執行;處死
exclaim	呼喊;驚叫	除外	實施;執行;處死	執行的;行政部門的
exclude	除外	實施;執行;處死	執行的;行政部門的	流放;放逐
execute	實施;執行;處死	執行的;行政部門的	流放;放逐	伸長;擴大;延期
executive	執行的;行政部門的	流放;放逐	伸長;擴大;延期	廣大的;廣闊的
exile	流放;放逐	伸長;擴大;延期	廣大的;廣闊的	外面
extension	伸長;擴大;延期	廣大的;廣闊的	外面	外面的
extensive	廣大的;廣闊的	外面	外面的	絕種的
exterior	外面	外面的	絕種的	異常的;特別的
external	外面的	絕種的	異常的;特別的	睫毛
extinct	絕種的	異常的;特別的	睫毛	臉皮
extraordinary	異常的;特別的	睫毛	臉皮	布料;織品
eyelash/lash	睫毛	臉皮	布料;織品	一時的流行(或風尚)
eyelid	臉皮	布料;織品	一時的流行(或風尚)	華氏溫標
fabric	布料;織品	一時的流行(或風尚)	華氏溫標	踉蹌;搖晃;結巴地說話
fad	一時的流行(或風尚)	華氏溫標	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒
Fahrenheit	華氏溫標	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒	使疲勞
falter	踉蹌;搖晃;結巴地說話	迷住,使神魂顛倒	使疲勞	聯邦(制)的
fascinate	迷住,使神魂顛倒	使疲勞	聯邦(制)的	虛弱的;軟弱的
fatigue	使疲勞	聯邦(制)的	虛弱的;軟弱的	女性的;女孩氣的;陰性的
federal	聯邦(制)的	虛弱的;軟弱的	女性的;女孩氣的;陰性的	肥料
feeble	虛弱的;軟弱的	女性的;女孩氣的;陰性的	肥料	未婚夫
feminine	女性的;女孩氣的;陰性的	肥料	未婚夫	纖維
