a/an	一個	能力;專門技能	關於	在～之上
cent	分(錢幣)	中間	肯定的	椅子
center	中間	肯定的	椅子	冒...的險;賭(錢); 碰巧
certain	肯定的	椅子	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃
chair	椅子	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃	追
chance	冒...的險;賭(錢); 碰巧	繪製...的圖表;詳細計劃	追	檢查
chart	繪製...的圖表;詳細計劃	追	檢查	小雞
chase	追	檢查	小雞	雞肉
check	檢查	小雞	雞肉	為首的;主要的
chick	小雞	雞肉	為首的;主要的	小孩
chicken	雞肉	為首的;主要的	小孩	耶誕節
chief	為首的;主要的	小孩	耶誕節	教堂
child	小孩	耶誕節	教堂	電影院;電影;電影業
Christmas/Xmas	耶誕節	教堂	電影院;電影;電影業	都市
church	教堂	電影院;電影;電影業	都市	把...分類;把...分等級
cinema	電影院;電影;電影業	都市	把...分類;把...分等級	乾淨的
city	都市	把...分類;把...分等級	乾淨的	清晰地,明瞭地
class	把...分類;把...分等級	乾淨的	清晰地,明瞭地	爬;攀登
clean	乾淨的	清晰地,明瞭地	爬;攀登	鐘
clear	清晰地,明瞭地	爬;攀登	鐘	關
climb	爬;攀登	鐘	關	雲
clock	鐘	關	雲	海岸
close 	關	雲	海岸	塗在...上
cloud	雲	海岸	塗在...上	可可亞
coast	海岸	塗在...上	可可亞	咖啡
coat	塗在...上	可可亞	咖啡	可樂
cocoa	可可亞	咖啡	可樂	寒冷的
coffee	咖啡	可樂	寒冷的	顏色
cola/Coke	可樂	寒冷的	顏色	來
cold	寒冷的	顏色	來	常見的
color	顏色	來	常見的	繼續
come	來	常見的	繼續	廚師
common	常見的	繼續	廚師	餅乾
continue	繼續	廚師	餅乾	涼快的;很棒的;酷
cook	廚師	餅乾	涼快的;很棒的;酷	玉米
cookie/cooky	餅乾	涼快的;很棒的;酷	玉米	正確的
cool	涼快的;很棒的;酷	玉米	正確的	花費
corn	玉米	正確的	花費	計算;數
correct	正確的	花費	計算;數	國家
cost	花費	計算;數	國家	(用獵犬)追獵;追逐
count	計算;數	國家	(用獵犬)追獵;追逐	封面
country	國家	(用獵犬)追獵;追逐	封面	母牛
course	(用獵犬)追獵;追逐	封面	母牛	牛仔
cover	封面	母牛	牛仔	烏鴉
cow	母牛	牛仔	烏鴉	哭叫
cowboy	牛仔	烏鴉	哭叫	幼鯨;牛棚
crow 	烏鴉	哭叫	幼鯨;牛棚	杯子
cry	哭叫	幼鯨;牛棚	杯子	切
cub	幼鯨;牛棚	杯子	切	可愛的
cup	杯子	切	可愛的	父親
cut	切	可愛的	父親	跳舞
cute	可愛的	父親	跳舞	舞蹈演員;舞蹈家
daddy/dad/papa/pa/pop	父親	跳舞	舞蹈演員;舞蹈家	危險
dance	跳舞	舞蹈演員;舞蹈家	危險	黑暗的
dancer	舞蹈演員;舞蹈家	危險	黑暗的	棗子
danger	危險	黑暗的	棗子	女兒
dark	黑暗的	棗子	女兒	白天
date	棗子	女兒	白天	死的
daughter	女兒	白天	死的	處理;對付;對待[(+with)]
day	白天	死的	處理;對付;對待[(+with)]	親愛的
dead	死的	處理;對付;對待[(+with)]	親愛的	死亡
deal	處理;對付;對待[(+with)]	親愛的	死亡	十二月
dear	親愛的	死亡	十二月	決定
death	死亡	十二月	決定	深的
December/Dec.	十二月	決定	深的	鹿
decide	決定	深的	鹿	書桌
deep	深的	鹿	書桌	死
deer	鹿	書桌	死	不同的
desk	書桌	死	不同的	困難的
die	死	不同的	困難的	挖掘
different	不同的	困難的	挖掘	晚餐
difficult	困難的	挖掘	晚餐	給～指路
dig	挖掘	晚餐	給～指路	骯髒的
dinner	晚餐	給～指路	骯髒的	發現
direct	給～指路	骯髒的	發現	盤子
dirty	骯髒的	發現	盤子	做
discover	發現	盤子	做	醫生
dish	盤子	做	醫生	狗
do	做	醫生	狗	洋娃娃
doctor/doc	醫生	狗	洋娃娃	美元
dog	狗	洋娃娃	美元	門
doll	洋娃娃	美元	門	鴿
dollar/buck	美元	門	鴿	往下
door	門	鴿	往下	樓下的
dove	鴿	往下	樓下的	一打
down	往下	樓下的	一打	畫
downstairs	樓下的	一打	畫	做夢
dozen	一打	畫	做夢	喝
draw	畫	做夢	喝	開車
dream	做夢	喝	開車	司機
drink	喝	開車	司機	乾的
drive	開車	司機	乾的	鴨
driver	司機	乾的	鴨	小鴨
dry 	乾的	鴨	小鴨	在～期間
duck	鴨	小鴨	在～期間	每個
duckling	小鴨	在～期間	每個	老鷹
during	在～期間	每個	老鷹	耳朵
each	每個	老鷹	耳朵	早的;提早的
eagle	老鷹	耳朵	早的;提早的	地球;土地
ear	耳朵	早的;提早的	地球;土地	減輕
early	早的;提早的	地球;土地	減輕	東方
earth	地球;土地	減輕	東方	容易的
ease	減輕	東方	容易的	吃
east	東方	容易的	吃	邊緣
easy	容易的	吃	邊緣	蛋
eat	吃	邊緣	蛋	八
edge	邊緣	蛋	八	十八
egg	蛋	八	十八	八十
eight	八	十八	八十	任何一個
eighteen	十八	八十	任何一個	大象
eighty	八十	任何一個	大象	十一
either 	任何一個	大象	十一	其他,另外;否則,要不然
elephant	大象	十一	其他,另外;否則,要不然	結束
eleven	十一	其他,另外;否則,要不然	結束	英文
else	其他,另外;否則,要不然	結束	英文	足夠的
end	結束	英文	足夠的	輸入;進入
English	英文	足夠的	輸入;進入	相等的; 平等的
enough	足夠的	輸入;進入	相等的; 平等的	甚至
enter	輸入;進入	相等的; 平等的	甚至	傍晚
equal	相等的; 平等的	甚至	傍晚	從來;曾經
even 	甚至	傍晚	從來;曾經	每個
evening	傍晚	從來;曾經	每個	檢查,調查
ever	從來;曾經	每個	檢查,調查	檢查
every	每個	檢查,調查	檢查	例子
examination/exam	檢查,調查	檢查	例子	除…之外
examine	檢查	例子	除…之外	眼睛
example	例子	除…之外	眼睛	臉
except/excepting	除…之外	眼睛	臉	事實
eye	眼睛	臉	事實	工廠
face	臉	事實	工廠	掉下
fact	事實	工廠	掉下	家庭
factory	工廠	掉下	家庭	電扇
fall	掉下	家庭	電扇	遠的
family	家庭	電扇	遠的	農場
fan 	電扇	遠的	農場	農夫
far	遠的	農場	農夫	快的
farm	農場	農夫	快的	胖的
farmer	農夫	快的	胖的	父親
fast	快的	胖的	父親	畏懼
fat	胖的	父親	畏懼	二月
father	父親	畏懼	二月	餵
fear	畏懼	二月	餵	感覺
February/Feb.	二月	餵	感覺	感覺
feed	餵	感覺	感覺	感覺,觸覺
feel	感覺	感覺	感覺,觸覺	少數的
feeling	感覺	感覺,觸覺	少數的	十五
feelings	感覺,觸覺	少數的	十五	五十
few	少數的	十五	五十	打架;作戰
fifteen	十五	五十	打架;作戰	充滿;填充
fifty	五十	打架;作戰	充滿;填充	最終的
fight	打架;作戰	充滿;填充	最終的	找到
fill	充滿;填充	最終的	找到	美好的
final	最終的	找到	美好的	手指
find	找到	美好的	手指	完成
fine 	美好的	手指	完成	火
finger	手指	完成	火	第一的
finish	完成	火	第一的	魚
fire 	火	第一的	魚	五
first	第一的	魚	五	在...鋪設地板;使大為震驚
fish	魚	五	在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮
five	五	在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮	飛
floor	在...鋪設地板;使大為震驚	開花;發育,成熟;繁榮	飛	以霧籠罩;使困惑;使模糊
flower	開花;發育,成熟;繁榮	飛	以霧籠罩;使困惑;使模糊	遵循;跟隨
fly 	飛	以霧籠罩;使困惑;使模糊	遵循;跟隨	食物
fog	以霧籠罩;使困惑;使模糊	遵循;跟隨	食物	腳
follow	遵循;跟隨	食物	腳	為～做的
food	食物	腳	為～做的	強迫
foot	腳	為～做的	強迫	外國的,陌生的,外來的
for	為～做的	強迫	外國的,陌生的,外來的	森林
force	強迫	外國的,陌生的,外來的	森林	忘記
foreign	外國的,陌生的,外來的	森林	忘記	叉子
forest	森林	忘記	叉子	四十
forget	忘記	叉子	四十	四
fork	叉子	四十	四	十四
forty	四十	四	十四	空閒的;自由的;免費的
four	四	十四	空閒的;自由的;免費的	新鮮的
fourteen	十四	空閒的;自由的;免費的	新鮮的	星期五
free	空閒的;自由的;免費的	新鮮的	星期五	朋友
fresh	新鮮的	星期五	朋友	青蛙
Friday/Fri.	星期五	朋友	青蛙	從
friend	朋友	青蛙	從	在～之前
frog	青蛙	從	在～之前	水果
from	從	在～之前	水果	飽的
front	在～之前	水果	飽的	樂趣
fruit	水果	飽的	樂趣	可笑的;滑稽的
full	飽的	樂趣	可笑的;滑稽的	比賽;遊戲
fun	樂趣	可笑的;滑稽的	比賽;遊戲	花園
funny	可笑的;滑稽的	比賽;遊戲	花園	瓦斯
game	比賽;遊戲	花園	瓦斯	普遍的
garden	花園	瓦斯	普遍的	得到;拿到
gas	瓦斯	普遍的	得到;拿到	鬼
general 	普遍的	得到;拿到	鬼	禮物
get	得到;拿到	鬼	禮物	女孩
ghost	鬼	禮物	女孩	給
gift	禮物	女孩	給	高興的
girl	女孩	給	高興的	玻璃杯;玻璃
give	給	高興的	玻璃杯;玻璃	眼鏡
glad	高興的	玻璃杯;玻璃	眼鏡	去;走
glass	玻璃杯;玻璃	眼鏡	去;走	上帝
glasses	眼鏡	去;走	上帝	黃金
go	去;走	上帝	黃金	好的
god/goddess	上帝	黃金	好的	再見
gold	黃金	好的	再見	再見
good	好的	再見	再見	鵝
good-bye/goodbye/good-by/	再見	再見	鵝	雄偉的;總的
goodbye/bye-bye/bye	再見	鵝	雄偉的;總的	孫子
goose	鵝	雄偉的;總的	孫子	孫女
grand	雄偉的;總的	孫子	孫女	祖父;外祖父
grandchild	孫子	孫女	祖父;外祖父	祖母;外祖母
granddaughter	孫女	祖父;外祖父	祖母;外祖母	孫子;外孫
grandfather/grandpa	祖父;外祖父	祖母;外祖母	孫子;外孫	草
grandmother/grandma	祖母;外祖母	孫子;外孫	草	灰色
grandson	孫子;外孫	草	灰色	很棒;大的
grass	草	灰色	很棒;大的	綠色
gray/grey	灰色	很棒;大的	綠色	使擱淺;使停飛;依靠,根據,基於
great	很棒;大的	綠色	使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)
green	綠色	使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)	種植
ground	使擱淺;使停飛;依靠,根據,基於	把...分組(或歸類)	種植	猜
group	把...分組(或歸類)	種植	猜	款待,招待
grow	種植	猜	款待,招待	引導
guess	猜	款待,招待	引導	用槍射擊
guest	款待,招待	引導	用槍射擊	頭髮
guide 	引導	用槍射擊	頭髮	理髮
gun	用槍射擊	頭髮	理髮	一半的,二分之一的;不完整的
hair	頭髮	理髮	一半的,二分之一的;不完整的	火腿
haircut	理髮	一半的,二分之一的;不完整的	火腿	手
half	一半的,二分之一的;不完整的	火腿	手	發生
ham	火腿	手	發生	快樂的
hand	手	發生	快樂的	難的
happen	發生	快樂的	難的	帽子
happy	快樂的	難的	帽子	憎恨
hard	難的	帽子	憎恨	有
hat	帽子	憎恨	有	他
hate	憎恨	有	他	頭
have	有	他	頭	健康
he	他	頭	健康	聽
head	頭	健康	聽	心臟
health	健康	聽	心臟	把...加熱;使暖;使激動;刺激
hear	聽	心臟	把...加熱;使暖;使激動;刺激	重的
heart	心臟	把...加熱;使暖;使激動;刺激	重的	哈囉
heat	把...加熱;使暖;使激動;刺激	重的	哈囉	幫忙
heavy	重的	哈囉	幫忙	她的
hello	哈囉	幫忙	她的	在這裡
help	幫忙	她的	在這裡	高的
her	她的	在這裡	高的	丘陵
here	在這裡	高的	丘陵	他
high	高的	丘陵	他	他的
hill	丘陵	他	他的	歷史
him	他	他的	歷史	打擊
his	他的	歷史	打擊	握
history	歷史	打擊	握	鑿洞於,穿孔於;進入洞中
hit	打擊	握	鑿洞於,穿孔於;進入洞中	假日
hold	握	鑿洞於,穿孔於;進入洞中	假日	家庭的;國內的
hole	鑿洞於,穿孔於;進入洞中	假日	家庭的;國內的	家庭作業
holiday	假日	家庭的;國內的	家庭作業	希望
home	家庭的;國內的	家庭作業	希望	馬
homework	家庭作業	希望	馬	熱的
hope	希望	馬	熱的	小時
horse	馬	熱的	小時	給...房子住
hot	熱的	小時	給...房子住	如何
hour	小時	給...房子住	如何	巨大的
house	給...房子住	如何	巨大的	人類的
how	如何	巨大的	人類的	一百
huge	巨大的	人類的	一百	飢餓的
human	人類的	一百	飢餓的	傷害;使疼痛
hundred	一百	飢餓的	傷害;使疼痛	丈夫
hungry	飢餓的	傷害;使疼痛	丈夫	我
hurt	傷害;使疼痛	丈夫	我	冰
husband	丈夫	我	冰	主意
I	我	冰	主意	如果
ice	冰	主意	如果	重要的
idea	主意	如果	重要的	在裡面的
if	如果	重要的	在裡面的	使緩慢地移動
important	重要的	在裡面的	使緩慢地移動	裡面的
in	在裡面的	使緩慢地移動	裡面的	使發生興趣
inch	使緩慢地移動	裡面的	使發生興趣	進入
inside	裡面的	使發生興趣	進入	熨斗
interest	使發生興趣	進入	熨斗	是
into	進入	熨斗	是	它
iron	熨斗	是	它	它的
is	是	它	它的	果醬
it	它	它的	果醬	一月
its	它的	果醬	一月	職業
jam 	果醬	一月	職業	加入
January/Jan.	一月	職業	加入	開玩笑
job	職業	加入	開玩笑	歡喜;樂趣
join	加入	開玩笑	歡喜;樂趣	果汁
joke	開玩笑	歡喜;樂趣	果汁	七月
joy	歡喜;樂趣	果汁	七月	跳
juice	果汁	七月	跳	六月
July/Jul.	七月	跳	六月	只是
jump	跳	六月	只是	保留;保持
June/Jun.	六月	只是	保留;保持	保管人;守衛
just 	只是	保留;保持	保管人;守衛	鑰匙
keep	保留;保持	保管人;守衛	鑰匙	踢
keeper	保管人;守衛	鑰匙	踢	小孩
key 	鑰匙	踢	小孩	殺
kick	踢	小孩	殺	種類
kid	小孩	殺	種類	國王
kill	殺	種類	國王	親吻
kind 	種類	國王	親吻	廚房
king	國王	親吻	廚房	風箏
kiss	親吻	廚房	風箏	小貓
kitchen	廚房	風箏	小貓	膝蓋
kite	風箏	小貓	膝蓋	刀子
kitten/kitty	小貓	膝蓋	刀子	知道
knee	膝蓋	刀子	知道	缺乏
knife	刀子	知道	缺乏	淑女
know	知道	缺乏	淑女	湖
lack	缺乏	淑女	湖	羔羊
lady	淑女	湖	羔羊	燈
lake	湖	羔羊	燈	土地
lamb	羔羊	燈	土地	大的
lamp	燈	土地	大的	最後的
land 	土地	大的	最後的	晚的;遲的
large	大的	最後的	晚的;遲的	笑
last 	最後的	晚的;遲的	笑	法律
late	晚的;遲的	笑	法律	置放;產卵
laugh	笑	法律	置放;產卵	懶惰的
law	法律	置放;產卵	懶惰的	引導
lay	置放;產卵	懶惰的	引導	領袖
lazy	懶惰的	引導	領袖	葉子
lead 	引導	領袖	葉子	學習
leader	領袖	葉子	學習	最小的;最少的;最不重要的
leaf	葉子	學習	最小的;最少的;最不重要的	離開;丟下
learn	學習	最小的;最少的;最不重要的	離開;丟下	左邊的
least	最小的;最少的;最不重要的	離開;丟下	左邊的	腿
leave	離開;丟下	左邊的	腿	較少的
left	左邊的	腿	較少的	教訓
leg	腿	較少的	教訓	讓
less	較少的	教訓	讓	信
lesson	教訓	讓	信	水平的,平的;筆直的
let	讓	信	水平的,平的;筆直的	說謊;躺
letter 	信	水平的,平的;筆直的	說謊;躺	人生;生命
level	水平的,平的;筆直的	說謊;躺	人生;生命	舉起
lie	說謊;躺	人生;生命	舉起	光
life	人生;生命	舉起	光	喜歡
lift	舉起	光	喜歡	有可能的
light 	光	喜歡	有可能的	百合花
like 	喜歡	有可能的	百合花	排隊
likely	有可能的	百合花	排隊	獅子
lily	百合花	排隊	獅子	嘴唇
line	排隊	獅子	嘴唇	列成表
lion	獅子	嘴唇	列成表	聽
lip	嘴唇	列成表	聽	很少的
list	列成表	聽	很少的	居住
listen	聽	很少的	居住	長
little	很少的	居住	長	看
live 	居住	長	看	很多,多數;一批;一塊地
long 	長	看	很多,多數;一批;一塊地	大聲的
look	看	很多,多數;一批;一塊地	大聲的	愛好,喜歡
lot 	很多,多數;一批;一塊地	大聲的	愛好,喜歡	低的
loud	大聲的	愛好,喜歡	低的	幸運的
love	愛好,喜歡	低的	幸運的	吃午餐
low	低的	幸運的	吃午餐	用機器做
lucky	幸運的	吃午餐	用機器做	發火;發瘋;發狂的
lunch/luncheon	吃午餐	用機器做	發火;發瘋;發狂的	寄信
machine	用機器做	發火;發瘋;發狂的	寄信	製造; 使得
mad	發火;發瘋;發狂的	寄信	製造; 使得	媽媽
mail	寄信	製造; 使得	媽媽	給...配置人員
make	製造; 使得	媽媽	給...配置人員	很多的
mam	媽媽	給...配置人員	很多的	地圖
man	給...配置人員	很多的	地圖	行軍;把(人)強行帶走
many	很多的	地圖	行軍;把(人)強行帶走	(在市場上)銷售
map	地圖	行軍;把(人)強行帶走	(在市場上)銷售	結婚
March/Mar.	行軍;把(人)強行帶走	(在市場上)銷售	結婚	精通
market	(在市場上)銷售	結婚	精通	相配
marry	結婚	精通	相配	事情
master 	精通	相配	事情	可能
match 	相配	事情	可能	可能
matter 	事情	可能	可能	可能;也許
May	可能	可能	可能;也許	我
may	可能	可能;也許	我	表示
maybe	可能;也許	我	表示	肉類
me	我	表示	肉類	遇見
mean 	表示	肉類	遇見	中間的
meat	肉類	遇見	中間的	英哩
meet	遇見	中間的	英哩	牛奶
middle	中間的	英哩	牛奶	頭腦，大腦
mile	英哩	牛奶	頭腦，大腦	分鐘
milk	牛奶	頭腦，大腦	分鐘	想念
mind	頭腦，大腦	分鐘	想念	想念
minute	分鐘	想念	想念	弄錯,誤解;弄錯,搞錯
miss	想念	想念	弄錯,誤解;弄錯,搞錯	片刻
Miss/miss	想念	弄錯,誤解;弄錯,搞錯	片刻	母親
mistake	弄錯,誤解;弄錯,搞錯	片刻	母親	星期一
moment	片刻	母親	星期一	錢
mommy/momma/mom/	母親	星期一	錢	猴子
Monday/Mon.	星期一	錢	猴子	月份
money	錢	猴子	月份	月亮
monkey	猴子	月份	月亮	更多的
month	月份	月亮	更多的	早晨
moon	月亮	更多的	早晨	最多的;大部分的
more	更多的	早晨	最多的;大部分的	母親
morning	早晨	最多的;大部分的	母親	山
most	最多的;大部分的	母親	山	老鼠
mother	母親	山	老鼠	嘴
mountain	山	老鼠	嘴	移動
mouse	老鼠	嘴	移動	電影
mouth	嘴	移動	電影	先生
move	移動	電影	先生	太太
movie/	電影	先生	太太	小姐
Mr./mister	先生	太太	小姐	很多的
Mrs.	太太	小姐	很多的	泥巴
Ms.	小姐	很多的	泥巴	馬克杯
much	很多的	泥巴	馬克杯	音樂
mud	泥巴	馬克杯	音樂	必須
mug	馬克杯	音樂	必須	我的
music	音樂	必須	我的	給...取名;列舉
must	必須	我的	給...取名;列舉	國家
my	我的	給...取名;列舉	國家	自然
name	給...取名;列舉	國家	自然	在～旁
nation	國家	自然	在～旁	脖子
nature	自然	在～旁	脖子	需要
near	在～旁	脖子	需要	永不
neck	脖子	需要	永不	新的
need	需要	永不	新的	新聞
never	永不	新的	新聞	報紙
new	新的	新聞	報紙	下一個
news	新聞	報紙	下一個	好的
newspaper	報紙	下一個	好的	夜晚
next	下一個	好的	夜晚	九
nice	好的	夜晚	九	十九
night	夜晚	九	十九	九十
nine	九	十九	九十	不
nineteen	十九	九十	不	噪音
ninety	九十	不	噪音	喧鬧的
no/nope	不	噪音	喧鬧的	中午
noise	噪音	喧鬧的	中午	亦不
noisy	喧鬧的	中午	亦不	北方
noon	中午	亦不	北方	鼻子
nor	亦不	北方	鼻子	不
north	北方	鼻子	不	注意;記下
nose	鼻子	不	注意;記下	沒什麼事
not	不	注意;記下	沒什麼事	注意到;通知
note	注意;記下	沒什麼事	注意到;通知	十一月
nothing	沒什麼事	注意到;通知	十一月	現在
notice	注意到;通知	十一月	現在	編號,總數達到,共計
November/Nov.	十一月	現在	編號,總數達到,共計	護士
now	現在	編號,總數達到,共計	護士	可以的;不錯的;很好的
number	編號,總數達到,共計	護士	可以的;不錯的;很好的	點
nurse	護士	可以的;不錯的;很好的	點	海洋
O.K./OK/okay	可以的;不錯的;很好的	點	海洋	十月
o’clock	點	海洋	十月	～的
ocean	海洋	十月	～的	離去的;偏離的;休假的;關著的
October/Oct.	十月	～的	離去的;偏離的;休假的;關著的	辦公室
of	～的	離去的;偏離的;休假的;關著的	辦公室	軍官;官員
off	離去的;偏離的;休假的;關著的	辦公室	軍官;官員	常常
office	辦公室	軍官;官員	常常	油
officer	軍官;官員	常常	油	年老的
often	常常	油	年老的	繼續;向前;開著;;在進行中
oil	油	年老的	繼續;向前;開著;;在進行中	一旦
old	年老的	繼續;向前;開著;;在進行中	一旦	一個
on	繼續;向前;開著;;在進行中	一旦	一個	只,僅僅,才;不料;反而
once	一旦	一個	只,僅僅,才;不料;反而	營業的
