唱える (となえる)	to recite	proof	unmarried woman 	to propose
スペース	space 	sports car	slacks	sale
スポーツカー	sports car	slacks	sale	section
スラックス	slacks	sale	section	ceremony
セール	sale	section	ceremony	jello
セクション	section	ceremony	jello	socks
セレモニー	ceremony	jello	socks	solo
ゼリー	jello	socks	solo	title
ソックス	socks	solo	title	typist
ソロ	solo	title	typist	timer
タイトル	title	typist	timer	timely 
タイピスト	typist	timer	timely 	tile
タイマー	timer	timely 	tile	dump 
タイムリー	timely 	tile	dump 	teamwork
タイル	tile	dump 	teamwork	chime
ダンプ	dump 	teamwork	chime	tissue paper
チームワーク	teamwork	chime	tissue paper	telex
チャイム	chime	tissue paper	telex	decoration
ティッシュペーパー	tissue paper	telex	decoration	rough sketch
テレックス	telex	decoration	rough sketch	demonstration
デコレーション	decoration	rough sketch	demonstration	tone
デッサン	rough sketch	demonstration	tone	electrical transistor
デモンストレーション	demonstration	tone	electrical transistor	driver 
トーン	tone	electrical transistor	driver 	game under lights 
トランジスタ	electrical transistor	driver 	game under lights 	table napkin
ドライバー	driver 	game under lights 	table napkin	nonsense
ナイター	game under lights 	table napkin	nonsense	new 
ナプキン	table napkin	nonsense	new 	photographic negative
ナンセンス	nonsense	new 	photographic negative	aircraft hangar 
ニュー	new 	photographic negative	aircraft hangar 	bar 
ネガ	photographic negative	aircraft hangar 	bar 	fight 
ハンガー	aircraft hangar 	bar 	fight 	file
バー	bar 	fight 	file	filter 
ファイト	fight 	file	filter 	ferry
ファイル	file	filter 	ferry	foam 
フィルター	filter 	ferry	foam 	boots
フェリー	ferry	foam 	boots	buzzer
フォーム	foam 	boots	buzzer	blue 
ブーツ	boots	buzzer	blue 	base 
ブザー	buzzer	blue 	base 	bestseller
ブルー	blue 	base 	bestseller	pair 
ベース	base 	bestseller	pair 	hose 
ベストセラー	bestseller	pair 	hose 	boycott
ペア	pair 	hose 	boycott	pose 
ホース	hose 	boycott	pose 	point 
ボイコット	boycott	pose 	point 	position
ポーズ	pose 	point 	position	pump
ポイント	point 	position	pump	massage
ポジション	position	pump	massage	computer monitor 
ポンプ	pump	massage	computer monitor 	young
マッサージ	massage	computer monitor 	young	unique
モニター	computer monitor 	young	unique	uniform
ヤング	young	unique	uniform	rice 
ユニーク	unique	uniform	rice 	label 
ユニフォーム	uniform	rice 	label 	lamp
ライス	rice 	label 	lamp	loose 
ラベル	label 	lamp	loose 	race 
ランプ	lamp	loose 	race 	lesson
ルーズ	loose 	race 	lesson	lady 
レース	race 	lesson	lady 	lever
レッスン	lesson	lady 	lever	range
レディー	lady 	lever	range	rental car
レバー	lever	range	rental car	viewing
レンジ	range	rental car	viewing	private property
レンタカー	rental car	viewing	private property	grade
観覧 (かんらん)	viewing	private property	grade	yearbook
私物 (しぶつ)	private property	grade	yearbook	perusing as a side business
等級 (とうきゅう)	grade	yearbook	perusing as a side business	retirement 
年鑑 (ねんかん)	yearbook	perusing as a side business	retirement 	retainer
兼業 (けんぎょう)	perusing as a side business	retirement 	retainer	to end
隠居 (いんきょ)	retirement 	retainer	to end	splendor
家来 (けらい)	retainer	to end	splendor	forwarding
果てる (はてる)	to end	splendor	forwarding	circulation 
華美 (かび)	splendor	forwarding	circulation 	sea route
回送 (かいそう)	forwarding	circulation 	sea route	outline
回覧 (かいらん)	circulation 	sea route	outline	to be distant
海路 (かいろ)	sea route	outline	to be distant	pardon
概略 (がいりゃく)	outline	to be distant	pardon	poverty
隔たる (へだたる)	to be distant	pardon	poverty	Go board
勘弁 (かんべん)	pardon	poverty	Go board	words
窮乏 (きゅうぼう)	poverty	Go board	words	dictation
碁盤 (ごばん)	Go board	words	dictation	high
語句 (ごく)	words	dictation	high	to serve
口述 (こうじゅつ)	dictation	high	to serve	to consult with
高尚 (こうしょう)	high	to serve	to consult with	type
仕える (つかえる)	to serve	to consult with	type	porcelain 
諮る (はかる)	to consult with	type	porcelain 	necklace
字体 (じたい)	type	porcelain 	necklace	general affairs
磁器 (じき)	porcelain 	necklace	general affairs	to call
首飾り (くびかざり)	necklace	general affairs	to call	small change
庶務 (しょむ)	general affairs	to call	small change	to exceed 
召す (めす)	to call	small change	to exceed 	presentation 
小銭 (こぜに)	small change	to exceed 	presentation 	to install
上回る (うわまわる)	to exceed 	presentation 	to install	to clear
進呈 (しんてい)	presentation 	to install	to clear	westering sun
据え付ける (すえつける)	to install	to clear	westering sun	heir
澄ます (すます)	to clear	westering sun	heir	infiltration
西日 (にしび)	westering sun	heir	infiltration	goodness
跡継ぎ (あとつぎ)	heir	infiltration	goodness	short wave
潜入 (せんにゅう)	infiltration	goodness	short wave	to feel shy
善良 (ぜんりょう)	goodness	short wave	to feel shy	tea ceremony
短波 (たんぱ)	short wave	to feel shy	tea ceremony	somersault
恥じらう (はじらう)	to feel shy	tea ceremony	somersault	lunch
茶の湯 (ちゃのゆ)	tea ceremony	somersault	lunch	to challenge to 
宙返り (ちゅうがえり)	somersault	lunch	to challenge to 	oversleeping
昼飯 (ひるめし)	lunch	to challenge to 	oversleeping	change of post
挑む (いどむ)	to challenge to 	oversleeping	change of post	to miss 
朝寝坊 (あさねぼう)	oversleeping	change of post	to miss 	borrowing
転任 (てんにん)	change of post	to miss 	borrowing	territory
逃す (のがす)	to miss 	borrowing	territory	Japanese text
拝借 (はいしゃく)	borrowing	territory	Japanese text	love and hate
領地 (りょうち)	territory	Japanese text	love and hate	to become blunt
和文 (わぶん)	Japanese text	love and hate	to become blunt	to escape 
愛憎 (あいぞう)	love and hate	to become blunt	to escape 	to arrange 
鈍る (にぶる)	to become blunt	to escape 	to arrange 	to destroy
免れる (まぬがれる)	to escape 	to arrange 	to destroy	the teaching profession 
生ける (いける)	to arrange 	to destroy	the teaching profession 	maternity leave
滅ぼす (ほろぼす)	to destroy	the teaching profession 	maternity leave	postpartum
教職 (きょうしょく)	the teaching profession 	maternity leave	postpartum	objection
産休 (さんきゅう)	maternity leave	postpartum	objection	ancestral
産後 (さんご)	postpartum	objection	ancestral	both extremities 
申し分 (もうしぶん)	objection	ancestral	both extremities 	windmill 
伝来 (でんらい)	ancestral	both extremities 	windmill 	common reed 
両極 (りょうきょく)	both extremities 	windmill 	common reed 	gathering 
風車 (かざぐるま)	windmill 	common reed 	gathering 	feeling awkward
あし (葦)	common reed 	gathering 	feeling awkward	lapse of memory
会 (え)	gathering 	feeling awkward	lapse of memory	however
きまり悪い (きまりわるい)	feeling awkward	lapse of memory	however	to inform
ど忘れ (どわすれ)	lapse of memory	however	to inform	to give an order
しかしながら (併し乍ら)	however	to inform	to give an order	to twist
報ずる (ほうずる)	to inform	to give an order	to twist	to lean against
あつらえる (誂える)	to give an order	to twist	to lean against	gap
ねじれる (捻じれる)	to twist	to lean against	gap	to advance on
寄りかかる (よりかかる)	to lean against	gap	to advance on	elegance
ずれ	gap	to advance on	elegance	signature
押し寄せる (おしよせる)	to advance on	elegance	signature	old friend
気品 (きひん)	elegance	signature	old friend	living flesh
記名 (きめい)	signature	old friend	living flesh	lengthy 
旧知 (きゅうち)	old friend	living flesh	lengthy 	keen
生身 (なまみ)	living flesh	lengthy 	keen	printing
大部 (たいぶ)	lengthy 	keen	printing	mental arithmetic
痛切 (つうせつ)	keen	printing	mental arithmetic	to be anxious or concerned about
刷り (すり)	printing	mental arithmetic	to be anxious or concerned about	projection
暗算 (あんざん)	mental arithmetic	to be anxious or concerned about	projection	detour
案じる (あんじる)	to be anxious or concerned about	projection	detour	trade in
映写 (えいしゃ)	projection	detour	trade in	secret intention
遠回り (とおまわり)	detour	trade in	secret intention	to change into
下取り (したどり)	trade in	secret intention	to change into	extracurricular
下心 (したごころ)	secret intention	to change into	extracurricular	deterioration
化する (かする)	to change into	extracurricular	deterioration	general statement
課外 (かがい)	extracurricular	deterioration	general statement	customary use
改悪 (かいあく)	deterioration	general statement	customary use	sweet flavour
概説 (がいせつ)	general statement	customary use	sweet flavour	eyeball
慣用 (かんよう)	customary use	sweet flavour	eyeball	many
甘口 (あまくち)	sweet flavour	eyeball	many	period
眼球 (がんきゅう)	eyeball	many	period	character
幾多 (いくた)	many	period	character	atmospheric current
期 (き)	period	character	atmospheric current	plant bulb
気風 (きふう)	character	atmospheric current	plant bulb	waiting on a table
気流 (きりゅう)	atmospheric current	plant bulb	waiting on a table	to amuse oneself
球根 (きゅうこん)	plant bulb	waiting on a table	to amuse oneself	joint
給仕 (きゅうじ)	waiting on a table	to amuse oneself	joint	doing 
興じる (きょうじる)	to amuse oneself	joint	doing 	to combine
継ぎ目 (つぎめ)	joint	doing 	to combine	multi-use
決行 (けっこう)	doing 	to combine	multi-use	show
結び付ける (むすびつける)	to combine	multi-use	show	original 
兼用 (けんよう)	multi-use	show	original 	to challenge
見世物 (みせもの)	show	original 	to challenge	to hum 
原典 (げんてん)	original 	to challenge	to hum 	state-sponsored
呼び止める (よびとめる)	to challenge	to hum 	state-sponsored	various kinds of small trees
口ずさむ (くちずさむ)	to hum 	state-sponsored	various kinds of small trees	hillside
国定 (こくてい)	state-sponsored	various kinds of small trees	hillside	production
雑木 (ざつぼく)	various kinds of small trees	hillside	production	remaining money
山腹 (さんぷく)	hillside	production	remaining money	to partition
産出 (さんしゅつ)	production	remaining money	to partition	hot topic
残金 (ざんきん)	remaining money	to partition	hot topic	rotation 
仕切る (しきる)	to partition	hot topic	rotation 	lack of harmony
持ち切り (もちきり)	hot topic	rotation 	lack of harmony	to investigate
自転 (じてん)	rotation 	lack of harmony	to investigate	to collect 
失調 (しっちょう)	lack of harmony	to investigate	to collect 	near
取り調べる (とりしらべる)	to investigate	to collect 	near	handicrafts
取り立てる (とりたてる)	to collect 	near	handicrafts	animal collar 
手近 (てぢか)	near	handicrafts	animal collar 	learning
手芸 (しゅげい)	handicrafts	animal collar 	learning	to happen to meet
首輪 (くびわ)	animal collar 	learning	to happen to meet	something heard for the first time
修学 (しゅうがく)	learning	to happen to meet	something heard for the first time	elimination
出くわす (でくわす)	to happen to meet	something heard for the first time	elimination	collation
初耳 (はつみみ)	something heard for the first time	elimination	collation	land near a castle 
消去 (しょうきょ)	elimination	collation	land near a castle 	right under
照合 (しょうごう)	collation	land near a castle 	right under	orderly
城下 (じょうか)	land near a castle 	right under	orderly	purity
真下 (ました)	right under	orderly	purity	static
整然 (せいぜん)	orderly	purity	static	incision
清純 (せいじゅん)	purity	static	incision	out of print
静的 (せいてき)	static	incision	out of print	religious mission
切開 (せっかい)	incision	out of print	religious mission	ill will
絶版 (ぜっぱん)	out of print	religious mission	ill will	for
宣教 (せんきょう)	religious mission	ill will	for	to stagnate
他意 (たい)	ill will	for	to stagnate	degeneration
対して (たいして)	for	to stagnate	degeneration	large build 
滞る (とどこおる)	to stagnate	degeneration	large build 	stethoscope
退化 (たいか)	degeneration	large build 	stethoscope	temple bell
大柄 (おおがら)	large build 	stethoscope	temple bell	revolution
聴診器 (ちょうしんき)	stethoscope	temple bell	revolution	changing schools
釣鐘 (つりがね)	temple bell	revolution	changing schools	command
転回 (てんかい)	revolution	changing schools	command	dynamic
転校 (てんこう)	changing schools	command	dynamic	the same age
統率 (とうそつ)	command	dynamic	the same age	send specially
動的 (どうてき)	dynamic	the same age	send specially	quantity of heat
同い年 (おないどし)	the same age	send specially	quantity of heat	seductive
特派 (とくは)	send specially	quantity of heat	seductive	warp
熱量 (ねつりょう)	quantity of heat	seductive	warp	earthenware pot
悩ましい (なやましい)	seductive	warp	earthenware pot	buoyancy
反り (そり)	warp	earthenware pot	buoyancy	feudalistic
甕 (かめ)	earthenware pot	buoyancy	feudalistic	prattle
浮力 (ふりょく)	buoyancy	feudalistic	prattle	tidying up
封建 (ほうけん)	feudalistic	prattle	tidying up	noted product
片言 (かたこと)	prattle	tidying up	noted product	supremacy
片付け (かたづけ)	tidying up	noted product	supremacy	side show
名産 (めいさん)	noted product	supremacy	side show	directions
優越 (ゆうえつ)	supremacy	side show	directions	way of standing 
余興 (よきょう)	side show	directions	way of standing 	difficult
用法 (ようほう)	directions	way of standing 	difficult	attendance
立方 (たちかた)	way of standing 	difficult	attendance	in very small pieces
難い (かたい)	difficult	attendance	in very small pieces	cold
来場 (らいじょう)	attendance	in very small pieces	cold	long
粉々 (こなごな)	in very small pieces	cold	long	coordinate
そっけない (素っ気ない)	cold	long	coordinate	intelligence
長々 (ながなが)	long	coordinate	intelligence	counter for nights of a stay
座標 (ざひょう)	coordinate	intelligence	counter for nights of a stay	plain
利根 (りこん)	intelligence	counter for nights of a stay	plain	gaudy
泊 (はく)	counter for nights of a stay	plain	gaudy	now
あからさま (明白)	plain	gaudy	now	awfully
あくどい (悪どい)	gaudy	now	awfully	ray 
いざ	now	awfully	ray 	frightening
いやに (嫌に)	awfully	ray 	frightening	Shinto shrine
えい (鱝)	ray 	frightening	Shinto shrine	attendant
おっかない	frightening	Shinto shrine	attendant	exactly
お宮 (おみや)	Shinto shrine	attendant	exactly	suddenly
お供 (おとも)	attendant	exactly	suddenly	being disheartened
きっかり	exactly	suddenly	being disheartened	tenacious
ぐっと	suddenly	being disheartened	tenacious	nimble
げっそり	being disheartened	tenacious	nimble	slim
しぶとい	tenacious	nimble	slim	dripping wet
すばしこい	nimble	slim	dripping wet	in a line
すんなり	slim	dripping wet	in a line	everywhere
ずぶ濡れ (ずぶぬれ)	dripping wet	in a line	everywhere	to pamper
ずらっと	in a line	everywhere	to pamper	not at all
そこら (其処ら)	everywhere	to pamper	not at all	screwdriver
ちやほや	to pamper	not at all	screwdriver	not only ... but also
てんで	not at all	screwdriver	not only ... but also	possibly
ネジ回し (ネジまわし)	screwdriver	not only ... but also	possibly	last on the list
ひいては (延いては)	not only ... but also	possibly	last on the list	plentiful
ひょっと	possibly	last on the list	plentiful	gradually
ビリ	last on the list	plentiful	gradually	to grumble
ふんだん	plentiful	gradually	to grumble	completely
ぼつぼつ	gradually	to grumble	completely	interchange
ぼやく	to grumble	completely	interchange	intercom
もろに (諸に)	completely	interchange	intercom	to be duplicated
インターチェンジ	interchange	intercom	to be duplicated	dry cleaning
インターフォン	intercom	to be duplicated	dry cleaning	drive-in 
ダブる	to be duplicated	dry cleaning	drive-in 	motel 
ドライクリーニング	dry cleaning	drive-in 	motel 	subfamily
ドライブイン	drive-in 	motel 	subfamily	to address
モーテル	motel 	subfamily	to address	inspector 
亜科 (あか)	subfamily	to address	inspector 	different opinion
宛てる (あてる)	to address	inspector 	different opinion	to shrivel 
尉 (じょう)	inspector 	different opinion	to shrivel 	to change
異見 (いけん)	different opinion	to shrivel 	to change	once
しなびる (萎びる)	to shrivel 	to change	once	parting
違える (ちがえる)	to change	once	parting	flash of lightning
ひところ (一頃)	once	parting	flash of lightning	stamp
一別 (いちべつ)	parting	flash of lightning	stamp	to scratch
稲光 (いなびかり)	flash of lightning	stamp	to scratch	at
印 (いん)	stamp	to scratch	at	filthy
引っ掻く (ひっかく)	to scratch	at	filthy	disgrace
おいて (於て)	at	filthy	disgrace	to be violated
汚らわしい (けがらわしい)	filthy	disgrace	to be violated	going off duty
汚れ (けがれ)	disgrace	to be violated	going off duty	lower official
汚れる (けがれる)	to be violated	going off duty	lower official	any
下番 (かばん)	going off duty	lower official	any	beautiful passage of literature
下吏 (かり)	lower official	any	beautiful passage of literature	transition from one epoch to another
何なり (なんなり)	any	beautiful passage of literature	transition from one epoch to another	nursing
佳句 (かく)	beautiful passage of literature	transition from one epoch to another	nursing	to become emotionally attached 
画期 (かっき)	transition from one epoch to another	nursing	to become emotionally attached 	lye 
介抱 (かいほう)	nursing	to become emotionally attached 	lye 	the other way
なつく (懐く)	to become emotionally attached 	lye 	the other way	to bite off
あく (灰汁)	lye 	the other way	to bite off	drying
そっぽ (外方)	the other way	to bite off	drying	things dried in the sun 
噛み切る (かみきる)	to bite off	drying	things dried in the sun 	deep emotion
干し (ほし)	drying	things dried in the sun 	deep emotion	presence
干し物 (ほしもの)	things dried in the sun 	deep emotion	presence	mansion
感無量 (かんむりょう)	deep emotion	presence	mansion	loom
貫禄 (かんろく)	presence	mansion	loom	to develop a rash or inflammation 
館 (やかた)	mansion	loom	to develop a rash or inflammation 	disposition
機 (はた)	loom	to develop a rash or inflammation 	disposition	ball 
かぶれる (気触れる)	to develop a rash or inflammation 	disposition	ball 	to rebuke
気立て (きだて)	disposition	ball 	to rebuke	to rot
鞠 (まり)	ball 	to rebuke	to rot	to do 
なじる (詰る)	to rebuke	to rot	to do 	to offer
朽ちる (くちる)	to rot	to do 	to offer	to be sorry
給う (たまう)	to do 	to offer	to be sorry	to freeze
供する (きょうする)	to offer	to be sorry	to freeze	to congeal
恐れ入る (おそれいる)	to be sorry	to freeze	to congeal	limit
凝らす (こごらす)	to freeze	to congeal	limit	a few
凝る (こごる)	to congeal	limit	a few	to be fit for
局限 (きょくげん)	limit	a few	to be fit for	to pledge
僅少 (きんしょう)	a few	to be fit for	to pledge	the aforementioned
勤まる (つとまる)	to be fit for	to pledge	the aforementioned	sphere
契る (ちぎる)	to pledge	the aforementioned	sphere	to accomplish
くだん (件)	the aforementioned	sphere	to accomplish	to carry through
圏 (けん)	sphere	to accomplish	to carry through	original
やり遂げる (やりとげる)	to accomplish	to carry through	original	oral message
遣り通す (やりとおす)	to carry through	original	oral message	the late 
原 (げん)	original	oral message	the late 	please look 
言伝 (ことづて)	oral message	the late 	please look 	structure
故 (こ)	the late 	please look 	structure	10^32
御覧なさい (ごらんなさい)	please look 	structure	10^32	reading
構え (かまえ)	structure	10^32	reading	joint together
溝 (こう)	10^32	reading	joint together	knack
講読 (こうどく)	reading	joint together	knack	curio
合わせ (あわせ)	joint together	knack	curio	to deduct
こつ (骨)	knack	curio	to deduct	tender
骨董品 (こっとうひん)	curio	to deduct	tender	edge
差し引く (さしひく)	to deduct	tender	edge	literary work
細やか (こまやか)	tender	edge	literary work	passing each other
際 (きわ)	edge	literary work	passing each other	calling on
作物 (さくぶつ)	literary work	passing each other	calling on	to be used to
すれ違い (すれちがい)	passing each other	calling on	to be used to	family name
参上 (さんじょう)	calling on	to be used to	family name	to be given
しつける (仕付ける)	to be used to	family name	to be given	self-esteem
氏 (うじ)	family name	to be given	self-esteem	intransitive verb
賜る (たまわる)	to be given	self-esteem	intransitive verb	to be damp
自尊心 (じそんしん)	self-esteem	intransitive verb	to be damp	shrine 
自動詞 (じどうし)	intransitive verb	to be damp	shrine 	refusal
湿気る (しける)	to be damp	shrine 	refusal	to mix
社 (やしろ)	shrine 	refusal	to mix	turning by hand
謝絶 (しゃぜつ)	refusal	to mix	turning by hand	arrangement
取り混ぜる (とりまぜる)	to mix	turning by hand	arrangement	kind
手回し (てまわし)	turning by hand	arrangement	kind	Zhou 
手はず (てはず)	arrangement	kind	Zhou 	ornamentation
種 (しゅ)	kind	Zhou 	ornamentation	to kick away
周 (しゅう)	Zhou 	ornamentation	to kick away	10 minutes
修飾 (しゅうしょく)	ornamentation	to kick away	10 minutes	-fold
蹴飛ばす (けとばす)	to kick away	10 minutes	-fold	to be out of
１０分 (じっぷん)	10 minutes	-fold	to be out of	help
重 (え)	-fold	to be out of	help	auxiliary verb
出切る (できる)	to be out of	help	auxiliary verb	treetop
助 (じょ)	help	auxiliary verb	treetop	dark brown
助動詞 (じょどうし)	auxiliary verb	treetop	dark brown	to reflect
梢 (こずえ)	treetop	dark brown	to reflect	distillation
こげ茶 (こげちゃ)	dark brown	to reflect	distillation	to be planted
照り返す (てりかえす)	to reflect	distillation	to be planted	new student
蒸留 (じょうりゅう)	distillation	to be planted	new student	perfectly round
植わる (うわる)	to be planted	new student	perfectly round	right in front
新入生 (しんにゅうせい)	new student	perfectly round	right in front	progress
真ん丸い (まんまるい)	perfectly round	right in front	progress	to 
真ん前 (まんまえ)	right in front	progress	to 	playing 
進度 (しんど)	progress	to 	playing 	to mount up
震わせる (ふるわせる)	to 	playing 	to mount up	to be bulky
吹奏 (すいそう)	playing 	to mount up	to be bulky	numeral
かさむ (嵩む)	to mount up	to be bulky	numeral	flattery
かさばる (嵩張る)	to be bulky	numeral	flattery	as much as possible
数詞 (すうし)	numeral	flattery	as much as possible	surely
世辞 (せじ)	flattery	as much as possible	surely	good and evil
なるたけ (成る丈)	as much as possible	surely	good and evil	pure
まさしく (正しく)	surely	good and evil	pure	too serious
清濁 (せいだく)	good and evil	pure	too serious	to prosper
生 (き)	pure	too serious	to prosper	dressing up in fine clothes
生真面目 (きまじめ)	too serious	to prosper	dressing up in fine clothes	to become red
盛る (さかる)	to prosper	dressing up in fine clothes	to become red	to join
盛装 (せいそう)	dressing up in fine clothes	to become red	to join	conjunction
赤らむ (あからむ)	to become red	to join	conjunction	hermit
接ぐ (つぐ)	to join	conjunction	hermit	wretched
接続詞 (せつぞくし)	conjunction	hermit	wretched	really
仙 (せん)	hermit	wretched	really	not so
浅ましい (あさましい)	wretched	really	not so	together
さも (然も)	really	not so	together	therefore
さほど (然程)	not so	together	therefore	set
相 (あい)	together	therefore	set	transitive verb
それゆえ (それ故)	therefore	set	transitive verb	poor piece of work
揃い (そろい)	set	transitive verb	poor piece of work	appearance
他動詞 (たどうし)	transitive verb	poor piece of work	appearance	to repel
駄作 (ださく)	poor piece of work	appearance	to repel	substitution 
体 (てい)	appearance	to repel	substitution 	slack
退ける (しりぞける)	to repel	substitution 	slack	at the latest
代 (しろ)	substitution 	slack	at the latest	about middle
たるみ (弛み)	slack	at the latest	about middle	anger 
遅くとも (おそくとも)	at the latest	about middle	anger 	precipitation
中ほど (なかほど)	about middle	anger 	precipitation	resignation
中っ腹 (ちゅうっぱら)	anger 	precipitation	resignation	heavenly
沈澱 (ちんでん)	precipitation	resignation	heavenly	unity
諦め (あきらめ)	resignation	heavenly	unity	dotted line
天津 (あまつ)	heavenly	unity	dotted line	rear
まとまり (纏まり)	unity	dotted line	rear	servant 
