량	數量	檸檬	鏡片	出租車
명예	榮譽	名片	籌款	監視器
명함	名片	籌款	監視器	模型
명확하다	明確	渴	醜陋的	壞
몇몇	一些	店舖	家具	包包
모	某	模擬兩可的	我	去
모금	籌款	監視器	模型	沙
모니터	監視器	模型	沙	典範
모델	模型	沙	典範	母子
모래	沙	典範	母子	招聘
모범	典範	母子	招聘	冒險
모여들다	聚集	趕到	認不出	蜂湧而至
모자	母子	脖子	項鍊	圍巾
모집	招聘	冒險	木：星期四	喉
모처럼	好不容易	悄悄地	相當	全部
모험	冒險	木：星期四	喉	目錄
목	木：星期四	項鍊	圍巾	聲音
목구멍	喉	目錄	牧師	生命
목록	目錄	牧師	生命	目的地
목마르다	渴	醜陋的	壞	不亞於
목사	牧師	生命	目的地	目標
목숨	生命	目的地	目標	份額
목적지	目的地	目標	份額	身體
목표	目標	份額	身體	重量
몫	份額	身體	重量	勞疾
몰다	趕到	認不出	蜂湧而至	蜂湧而來
몰라보다	認不出	蜂湧而至	蜂湧而來	被逼到
몰래	悄悄地	相當	全部	足足有
몰려들다	蜂湧而至	蜂湧而來	被逼到	倒塌
몰려오다	蜂湧而來	被逼到	倒塌	害怕的
몰리다	被逼到	倒塌	害怕的	住
몸매	身體	重量	勞疾	身體內
몸무게	重量	勞疾	身體內	手勢
몸살	勞疾	身體內	手勢	身軀
몸속	身體內	手勢	身軀	釘子
몸짓	手勢	身軀	釘子	描述
몸통	身軀	釘子	描述	漠不關心
몹시	相當	全部	足足有	安全地
못	釘子	非常	提前	亂
못나다	醜陋的	壞	不亞於	無闗
못되다	壞	不亞於	無闗	熱
못지않다	不亞於	無闗	熱	滑
몽땅	全部	足足有	安全地	默默
묘사	描述	漠不關心	武器	花紋
무-	無	有	勿	沒
무관심	漠不關心	武器	花紋	舞台
무관하다	無闗	熱	滑	不冷不熱
무기	武器	花紋	舞台	暑熱
무너지다	倒塌	害怕的	住	繫
무늬	花紋	舞台	暑熱	墳墓
무대	舞台	暑熱	墳墓	一群
무더위	暑熱	墳墓	一群	忽視
무덤	墳墓	一群	忽視	貿易
무덥다	熱	滑	不冷不熱	討厭
무려	足足有	安全地	默默	突然
무렵	時分	忽視	貿易	跳舞
무리	一群	忽視	貿易	跳舞
무사히	安全地	默默	突然	還沒有
무서워하다	害怕的	住	繫	感謝
무시	忽視	貿易	跳舞	無意義
무역	貿易	跳舞	無意義	彩虹
무용	跳舞	無意義	彩虹	不負責任
무의미	無意義	彩虹	不負責任	文具店
무조건	無條件	馬上	平常	日日夜夜
무지개	彩虹	不負責任	文具店	文明
무책임	不負責任	文具店	文明	花店
묵다	住	睡	繫	沾
묵묵히	默默	突然	還沒有	與
묶다	繫	謀生	沾	埋
묶이다	繫	沾	埋	買
문구점	文具店	文明	花店	文法
문득	突然	還沒有	與	立即
문명	文明	文具店	文法	探病
문방구	文具店	文法	探病	文書
문법	文法	探病	文書	諮詢
문병	探病	文書	諮詢	文字
문서	文書	諮詢	文字	文章
문의	諮詢	文字	文章	問題
문자	文字	文章	問題	文學
문장	文章	問題	文學	文化遺產
문제점	問題	文學	文化遺產	水邊
문학	文學	文化遺產	水邊	物價
문화재	文化遺產	水邊	物價	顏料
문화적	文化的	物質的	合法的	部分的
묻다	沾	問一下	滑	相信
묻다	埋	問一下	滑	相信
묻히다	沾	埋	咬	染色
묻히다	埋	埋	咬	染色
물가	水邊	物價	顏料	海浪
물가	物價	物價	顏料	海浪
물감	顏料	海浪	水氣	水聲
물결	海浪	水氣	水聲	水中
물기	水氣	水聲	水中	藥水
물다	咬	染色	退後	問
물들다	染色	喝	退後	被咬
물러나다	退後	戲弄	被咬	結成塊
물러서다	退後	被咬	結成塊	延到
물리다	被咬	結成塊	延到	瘋
물소리	水聲	水中	藥水	提問
물속	水中	藥水	提問	物質
물약	藥水	提問	物質	音樂劇
물음	提問	物質	音樂劇	美國人
물질	物質	音樂劇	美國人	小型的
물질적	物質的	合法的	部分的	否定的
뭉치다	結成塊	延到	瘋	造成
뭘	什麼	噓	不是	啊
뮤지컬	音樂劇	美國人	小型的	媒體
미국인	美國人	小型的	媒體	迷戀
미끄럽다	滑	不冷不熱	討厭	忙
미니	小型的	媒體	迷戀	以下
미디어	媒體	迷戀	以下	未成年
미련	迷戀	以下	未成年	微笑
미루다	延到	瘋	造成	堵
미만	以下	未成年	微笑	微小
미성년자	未成年	微笑	微小	美術
미소	微笑	微小	美術	美髮師
미소하다	微小	美術	美髮師	恨
미술	美術	美髮師	恨	美人
미용사	美髮師	恨	美人	美容院
미움	恨	美人	美容院	聯誼
미인	美人	美容院	聯誼	單身的
미장원	美容院	聯誼	單身的	民俗遊戲
미지근하다	不冷不熱	討厭	忙	歡迎
미처	還沒有	與	立即	務必
미치다	瘋	造成	堵	擠
미치다	造成	造成	堵	擠
미팅	聯誼	單身的	民俗遊戲	民族
미혼	單身的	民俗遊戲	民族	民主主義
민속놀이	民俗遊戲	民族	民主主義	信任
민족	民族	民主主義	信任	底部
민주주의	民主主義	信任	底部	劃線
믿음	信任	底部	劃線	百貨公司
밀리다	堵	擠	看	換成
밀리다	擠	擠	看	換成
밀리미터	毫米	公斤	公尺	公里
밉다	討厭	忙	歡迎	複雜
및	與	立即	務必	已經
밑바닥	底部	劃線	百貨公司	春天
밑줄	劃線	百貨公司	春天	粉紅色
