버튼	按鈕	閃電	翻譯	門牌
버티다	支撐	輪流	拉開	裂
번갈다	輪流	拉開	裂	發生
번개	閃電	翻譯	門牌	號碼牌
번거롭다	繁瑣	熱鬧	任性	別的
번역	翻譯	門牌	號碼牌	蜜蜂
번지	門牌	號碼牌	蜜蜂	懲罰
번호표	號碼牌	蜜蜂	懲罰	罰金
번화하다	熱鬧	任性	別的	負擔
벌	蜜蜂	懲罰	罰金	蟲子
벌	懲罰	懲罰	罰金	蟲子
벌금	罰金	蟲子	範圍	犯人
벌떡	猛地	勤奮地	當然	清楚地
벌레	蟲子	範圍	犯人	犯罪
벌리다	拉開	裂	發生	開展
벌어지다	裂	發生	開展	扒
벌어지다	發生	發生	開展	扒
벌이다	開展	扒	出去	給
범위	範圍	犯人	犯罪	法律
범인	犯人	犯罪	法律	法院
범죄	犯罪	法律	法院	規則
법	法律	部門	-點	小時
법률	法律	法院	規則	枕頭
법원	法院	規則	枕頭	陽台
법적	合法的	部分的	否定的	批判的
법칙	規則	枕頭	陽台	長椅
벗기다	扒	出去	給	生病
벗어나다	出去	給	生病	照顧
베개	枕頭	陽台	長椅	鈴
베란다	陽台	長椅	鈴	腰帶
베풀다	給	生病	照顧	拜會
벤치	長椅	鈴	腰帶	水稻
벨	鈴	腰帶	水稻	掛鐘
벨트	腰帶	水稻	掛鐘	壁紙
벼	水稻	掛鐘	壁紙	變更
벽시계	掛鐘	壁紙	變更	波動
벽지	壁紙	變更	波動	辨解
변경	變更	波動	辨解	便秘
변덕스럽다	任性	別的	負擔	必然
변동	波動	辨解	便秘	改變
변명	辨解	便秘	改變	另外
변비	便秘	改變	另外	無話可說
변화	改變	另外	無話可說	暱稱
별	別的	三	二十	新衣
별다르다	別的	負擔	必然	不滿意
별도	另外	無話可說	暱稱	別的事
별말씀	無話可說	暱稱	別的事	病房
별명	暱稱	別的事	病房	報告
별일	別的事	病房	報告	這個
병들다	生病	照顧	拜會	怕羞
병실	病房	平時	報告	保管
보고	報告	報導	保管	普及
보고서	報告	保管	普及	樣子
보관	保管	普及	樣子	獎金
보급	普及	樣子	獎金	報導
보기	樣子	獎金	報導	價值
보너스	獎金	報導	價值	十五日
보도	報導	價值	十五日	滿月
보람	價值	十五日	滿月	大麥
보름	十五日	滿月	大麥	麥茶
보름달	滿月	大麥	麥茶	寶藏
보리	大麥	麥茶	寶藏	報酬
보리차	麥茶	寶藏	報酬	寶石
보물	寶藏	報酬	寶石	維修
보살피다	照顧	拜會	怕羞	碰到
보상	報酬	寶石	維修	安全
보석	寶石	維修	安全	改進
보수	維修	安全	改進	保障
보안	安全	改進	保障	保護
보완	改進	保障	保護	補助
보장	保障	保護	補助	保存
보전	保護	補助	保存	補充
보조	補助	保存	補充	行人
보존	保存	補充	行人	保險
보충	補充	行人	保險	保護
보행자	行人	保險	保護	福氣
보험	保險	保護	福氣	走廊
보호	保護	福氣	走廊	複印
복	福氣	走廊	複印	複印機
복도	走廊	複印	複印機	復仇
복사	複印	複印機	復仇	桃子
복사기	複印機	復仇	桃子	服用
복수	復仇	桃子	服用	腹痛
복숭아	桃子	服用	腹痛	炒
복용	服用	腹痛	炒	直覺
복통	腹痛	炒	直覺	總部
볶음	炒	直覺	總部	本質
본능	直覺	總部	本質	臉頰
본래	本來	事實	正好	現在
본부	總部	本質	臉頰	值得看的東西
본인	本人名義	自己	橫向	各自
본질	本質	臉頰	值得看的東西	保齡球
볼	臉頰	值得看的東西	保齡球	事
볼거리	值得看的東西	保齡球	事	志願
볼링	保齡球	事	志願	袋子
볼일	事	志願	袋子	財富
봉사	志願	袋子	財富	附近
봉지	袋子	財富	附近	恥辱
뵈다	拜會	怕羞	碰到	被撞
부	部門	附近	恥辱	負擔
부	財富	附近	恥辱	負擔
부-	不	附近	恥辱	負擔
부근	附近	恥辱	負擔	部隊
부끄러움	恥辱	負擔	部隊	房地產
부끄러워하다	怕羞	碰到	被撞	嫉妒
부담	負擔	部隊	房地產	父母
부담스럽다	負擔	必然	不滿意	新的
부대	部隊	房地產	父母	部門
부동산	房地產	父母	部門	負傷
부딪치다	碰到	被撞	嫉妒	斷
부딪히다	被撞	嫉妒	斷	顯現
부러워하다	嫉妒	斷	顯現	碎
부러지다	斷	顯現	碎	休息
부리다	顯現	碎	休息	盡管
부모	父母	部門	負傷	補助
부문	部門	負傷	部下	部位
부분적	部分的	否定的	批判的	善於交際的
부상	負傷	部門	部位	婦人
부서	部門	部位	婦人	父子
부서지다	碎	休息	盡管	引起
부수다	休息	盡管	引起	泡
부위	部位	婦人	父子	副作用
부인	婦人	富翁	部長	不足
부자	父子	部長	不足	請託
부작용	副作用	有錢人的房子	非法行為	否定
부잣집	有錢人的房子	非法行為	否定	不准確
부정	非法行為	否定	不准確	部族
부정	否定	否定	不准確	部族
부정적	否定的	批判的	善於交際的	私人的
부정확	不准確	部族	疏忽	扇子
부족	部族	請託	北邊	麵
부주의	疏忽	扇子	佛	靴子
부지런히	勤奮地	當然	清楚地	才
부채	扇子	佛	靴子	父親
부처	佛	靴子	父親	零件
부츠	靴子	父親	零件	北
부친	父親	零件	北	北美
부품	零件	北	北美	北方
북	北	北美	北方	憤怒
북미	北美	北方	憤怒	分裂
북부	北方	憤怒	分裂	分量
분노	憤怒	分裂	分量	分類
분단	分裂	分量	分類	分離
분량	分量	分類	分離	分析
분류	分類	分離	分析	分寸
분리	分離	分析	分寸	噴泉
분명	當然	清楚地	才	雖然
분명히	清楚地	才	雖然	全部
분석	分析	分寸	噴泉	丟失
분수	分寸	噴泉	丟失	遺失物
분수	噴泉	噴泉	丟失	遺失物
분실	丟失	遺失物	領域	分布
분실물	遺失物	領域	分布	粉筆
분야	領域	分布	粉筆	不能
분포	分布	粉筆	不能	不可能
분필	粉筆	不能	不可能	佛教
불-	不	有	無	勿
불가	不能	不可能	佛教	不規律的
불가능	不可能	佛教	不規律的	不平衡
불가피하다	必然	不滿意	新的	涼爽
불교	佛教	不規律的	不平衡	火花
불구하다	盡管	引起	泡	吹來
불규칙	不規律的	不平衡	火花	不利
불균형	不平衡	火花	不利	不滿意
불꽃	火花	不利	不滿意	火災
불러일으키다	引起	泡	吹來	擠滿
불리	不利	不理	不滿意	非法的
불리다	泡	吹來	擠滿	腫
불만	不滿意	滿意	非法的	燈光
불만족	不滿意	非法的	燈光	法語
불만족스럽다	不滿意	新的	涼爽	感到失望
불법	非法的	燈光	法語	不完美
불빛	燈光	法語	不完美	損害
불어	法語	不完美	損害	不足
불어오다	吹來	擠滿	腫	倒
불완전	不完美	損害	不足	刻薄
불이익	損害	不足	刻薄	不適
불충분	不足	刻薄	不適	不滿
불친절	刻薄	不適	不滿	不平等
불쾌	不適	不滿	不平等	不必要
불평	不滿	不平等	不必要	不幸
불평등	不平等	不必要	不幸	不確定
불필요	不必要	不幸	不確定	自助餐
불행	不幸	不確定	自助餐	秘訣
불확실	不確定	自助餐	秘訣	悲劇
붐비다	擠滿	腫	倒	捉住
붓다	腫	倒	捉住	消
붓다	倒	倒	捉住	消
붙들다	捉住	放掉	戲弄	打成（平手）
붙잡다	捉住	捕捉	打成（平手）	來自
붙잡히다	捕捉	打成（平手）	來自	才有
뷔페	自助餐	秘訣	悲劇	批評
비-	非	有	無	補
비결	秘訣	悲劇	批評	塑膠袋
비교적	比較	各國	幾乎	一直
비극	悲劇	批評	塑膠袋	肥胖
비기다	打成（平手）	來自	才有	揉
비난	批評	塑膠袋	肥胖	悲鳴
비닐	塑膠袋	肥胖	悲鳴	密碼
비로소	才	雖然	全部	新買的
비록	雖然	全部	新買的	彼此
비롯되다	來自	才有	揉	清空
비롯하다	才有	揉	清空	拿...開玩笑
비만	肥胖	悲鳴	密碼	暴雨
비명	悲鳴	密碼	暴雨	秘密
비밀번호	密碼	暴雨	秘密	緊急
비바람	暴雨	秘密	緊急	緊急出口
비법	秘密	緊急	緊急出口	成本
비비다	揉	清空	拿...開玩笑	照射
비상	緊急	緊急出口	成本	比喻
비상구	緊急出口	成本	比喻	比率
비용	成本	比喻	比率	簽證
비우다	清空	拿...開玩笑	照射	映射
비웃다	拿...開玩笑	照射	映射	讓出
비유	比喻	比率	簽證	比重
비율	比率	簽證	比重	維他命
비자	簽證	比重	維他命	批評
비중	比重	維他命	批評	飛行
비추다	照射	映射	讓出	搖搖晃晃
비치다	映射	讓出	搖搖晃晃	比較
비키다	讓出	搖搖晃晃	比較	許（願）
비타민	維他命	批評	飛行	機場
비틀거리다	搖搖晃晃	比較	許（願）	梳
비판	批評	飛行	機場	空位
비판적	批判的	善於交際的	私人的	社會的
비하다	比較	許（願）	梳	模具
비행	飛行	機場	空位	梳子
비행장	機場	空位	梳子	下雨的路
빈자리	空位	梳子	下雨的路	雨水
빌다	許（願）	梳	模具	閃耀
빗	梳子	下雨的路	雨水	雨滴
빗길	下雨的路	雨水	雨滴	債務
빗다	梳	模具	閃耀	錯過
빗물	雨水	雨滴	債務	光
빗방울	雨滴	債務	光	顏色
빚	債務	光	顏色	紅色的
빚다	模具	閃耀	錯過	逃出去
빛	光	顏色	紅色的	臉頰
빛깔	顏色	紅色的	臉頰	骨
빛나다	閃耀	錯過	逃出去	逃出來
빠뜨리다	錯過	逃出去	逃出來	掉
빠져나가다	逃出去	逃出來	掉	掉進
빠져나오다	逃出來	掉	掉進	變紅
빠지다	掉	洗	拔	撿
빠짐없이	全部	新買的	彼此	偷偷溜出去
빠트리다	掉進	變紅	吸	摘下
빨강	紅色的	臉頰	骨	吻
빨개지다	變紅	吸	摘下	被搶
빨다	吸	快	拔	送回
빼놓다	摘下	放手	被搶	搶
빼앗기다	被搶	犯	搶	長出
빼앗다	被搶	搶	長出	被拔
뺏다	搶	長出	被拔	灑落
뺨	臉頰	骨	吻	根
뻗다	長出	被拔	灑落	甩開
뼈	骨	吻	根	四月
뽀뽀	吻	根	四月	三月
뽑히다	被拔	灑落	甩開	扭傷
뿌리	根	四月	三月	星期三
뿌리다	灑落	甩開	扭傷	交
뿌리치다	甩開	扭傷	交	買
삐다	扭傷	交	買	住
