가까이	靠近	有時	結局	這些
거두다	收	幫忙	經過	交錢
거들다	幫忙	經過	交錢	遞過去
거래	買賣	交易方	蜘蛛	龜
거래처	交易方	蜘蛛	龜	找回的零錢
거미	蜘蛛	龜	找回的零錢	乞丐
거북이	龜	找回的零錢	乞丐	假
거스름돈	找回的零錢	乞丐	假	泡沫
거지	乞丐	假	泡沫	對面
거짓	假	泡沫	對面	馬路
거치다	經過	交錢	遞過去	觸碰
거칠다	粗糙	擔心	黑色的	豪華
거품	泡沫	對面	馬路	建設
걱정스럽다	擔心	黑色的	豪華	香
건너	對面	馬路	建設	乾電池
건널목	馬路	建設	乾電池	乾燥
건네다	交錢	遞過去	觸碰	撈出
건네주다	遞過去	觸碰	撈出	挽起
건드리다	觸碰	撈出	挽起	收
건설	建設	乾電池	乾燥	建築
건전지	乾電池	乾燥	建築	抹布
건조	乾燥	建築	抹布	檢察官
건지다	撈出	挽起	收	掛在
건축	建築	抹布	檢察官	搜索
걷다	挽起	跑步	掛	走去
걷다	收	跑步	掛	走去
걸레	抹布	檢察官	搜索	審核
걸치다	掛在	害怕	遭遇	忍住
검다	黑色的	豪華	香	痛苦的
검사	檢察官	工事	黑色	外部
검색	搜索	審核	害怕	外表
검토	審核	害怕	外表	外套
겁	害怕	外表	外套	螃蟹
겁나다	害怕	遭遇	忍住	接連而至
겉모습	外表	外套	螃蟹	發布
겉옷	外套	螃蟹	發布	公告欄
게	螃蟹	發布	公告欄	冬季
게시	發布	公告欄	冬季	鼓勵
게시판	公告欄	冬季	鼓勵	見學
겨우	僅僅	絕對	馬上	緊接著
겨울철	冬季	鼓勵	見學	見解
격려	鼓勵	見學	見解	缺勤
겪다	遭遇	忍住	接連而至	謝謝
견디다	忍住	接連而至	謝謝	打呼
견학	見學	見解	缺勤	結論
견해	見解	缺勤	結論	決
결국	結局	這些	後天	全
결근	缺勤	結論	決	結算
결론	結論	決	結算	結合
결승	決	結算	結合	結婚禮堂
결제	結算	結合	結婚禮堂	謙虛
결코	絕對	馬上	緊接著	經常
결합	結合	結婚禮堂	謙虛	境界
결혼식장	結婚禮堂	謙虛	境界	警告
겸손	謙虛	境界	警告	景氣
겹치다	接連而至	謝謝	打呼	乘
경계	境界	警告	景氣	競技場
경고	警告	景氣	競技場	經歷
경기	景氣	警察	風景	經驗
경기장	競技場	經歷	景福宮	經費
경력	經歷	景福宮	經費	警衛室
경복궁	景福宮	經費	警衛室	經營
경비	經費	警衛室	經營	情況
경비실	警衛室	經營	情況	競爭
경영	經營	情況	競爭	競爭力
경우	情況	競爭	競爭力	經濟
경쟁	競爭	競爭力	經濟	經濟力
경쟁력	競爭力	經濟	經濟力	警官
경제	經濟	經濟力	警官	傾向
경제력	經濟力	警官	傾向	身邊
경제적	經濟的	經濟學	功績	科學的
경제학	經濟學	功績	科學的	具體的
경찰관	警官	傾向	身邊	溪谷
경향	傾向	身邊	溪谷	契機
곁	身邊	溪谷	契機	計算機
계곡	溪谷	契機	計算機	結帳櫃枱
계기	契機	計算機	結帳櫃枱	契約
계산기	計算機	結帳櫃枱	契約	契約金
계산대	結帳櫃枱	契約	契約金	契約書
계약	契約	契約金	契約書	開戶帳號
계약금	契約金	契約書	開戶帳號	階層
계약서	契約書	開戶帳號	階層	顧客
계좌	開戶帳號	階層	顧客	地瓜
계층	階層	顧客	地瓜	祖國
고객	顧客	地瓜	祖國	故宮
고구마	地瓜	祖國	故宮	高級
고국	祖國	故宮	高級	古代
고궁	故宮	高級	古代	孤獨
고급	高級	古代	孤獨	高等
고급스럽다	豪華	香	痛苦的	筆直
고대	古代	孤獨	高等	青花魚
고독	孤獨	高等	青花魚	鯨魚
고등	高等	青花魚	鯨魚	考慮
고등어	青花魚	鯨魚	考慮	橡膠
고래	鯨魚	考慮	橡膠	表白
고려	考慮	橡膠	表白	艱辛
고마워하다	謝謝	打呼	乘	折磨
고무	橡膠	表白	艱辛	高速
고백	表白	艱辛	高速	寂靜
고생	艱辛	高速	寂靜	傳統
고소하다	香	痛苦的	筆直	美
고속	高速	寂靜	傳統	家鄉
고요	寂靜	傳統	家鄉	古典
고유	傳統	家鄉	古典	固定
고장	家鄉	辣椒醬	故鄉	-地方
고전	古典	固定	固執	辣椒
고정	固定	固執	辣椒	辣椒粉
고집	固執	辣椒	辣椒粉	高樓大廈
고추	辣椒	辣椒粉	高樓大廈	苦痛
고춧가루	辣椒粉	高樓大廈	苦痛	曲
고층	高樓大廈	苦痛	曲	糧食
고통	苦痛	曲	糧食	困難
고통스럽다	痛苦的	筆直	美	恭敬的
곡	曲	糧食	困難	球
곡식	糧食	困難	球	巷子
곤란	困難	球	巷子	簡單
곧다	筆直	美	恭敬的	沒闗係
곧바로	馬上	緊接著	經常	很少
곧이어	緊接著	經常	馬上	均衡
곧잘	經常	馬上	均衡	果然
곧장	馬上	均衡	果然	無闗
골	球	馬上	巷子	高爾夫
골고루	均衡	果然	無闗	白白地
골다	打呼	乘	折磨	滾
골목	巷子	大馬路	高爾夫	熊
골목길	巷子	高爾夫	熊	各地
골프	高爾夫	熊	各地	零
곰	熊	各地	零	空間
곱다	美	恭敬的	沒闗係	闗係
곱하다	乘	折磨	滾	彎
곳곳	各地	零	空間	同情
공	零	公務員	學習	工廠
공간	空間	同情	公開	攻擊
공감	同情	公開	攻擊	公共
공개	公開	攻擊	公共	公共費用
공격	攻擊	公共	公共費用	公共場所
공공	公共	公共費用	公共場所	私下
공공요금	公共費用	公共場所	交通	供給
공공장소	公共場所	公共費用	供給	空氣
공과금	公共費用	供給	空氣	空碗
공급	供給	空氣	空碗	共同
공기	空氣	空碗	共同	共同體
공기	空碗	空碗	共同	共同體
공동	共同	共同體	工程	正式
공동체	共同體	工程	正式	工業
공사	工程	正式	工業	公演
공손하다	恭敬的	沒闗係	闗係	痛
공식	正式	工業	公演	表演場
공업	工業	公演	表演場	公主
공연	公演	表演場	公主	公共電話
공연장	表演場	公主	公共電話	公告
공적	功績	科學的	具體的	規律的
공주	公主	公共電話	公告	共通
공중전화	公共電話	公告	共通	典通點
공지	公告	共通	典通點	恐怖
공통	共通	典通點	恐怖	公害
공통점	典通點	恐怖	公害	科
공포	恐怖	公害	科	過勞
공해	公害	科	過勞	科目
과	科	過勞	科目	過度消費
과로	過勞	科目	過度消費	超速
과목	科目	過度消費	超速	過食
과소비	過度消費	超速	過食	課外
과속	超速	過食	課外	誇張
과식	過食	課外	誇張	課長
과연	果然	無闗	白白地	非常
과외	課外	誇張	課長	過程
과장	誇張	課長	過程	課題
과장	課長	課長	過程	課題
과정	過程	課題	科學	科學家
과제	課題	科學	科學家	觀眾
과학	科學	科學家	觀眾	相闗者
과학자	科學家	觀眾	相闗者	觀覽
과학적	科學的	具體的	規律的	根本的
관객	觀眾	相闗者	觀覽	表演者
관계없다	沒闗係	闗係	痛	了不起的
관계없이	無闗	白白地	非常	執意
관계있다	闗係	痛	了不起的	保存
관계자	相闗者	觀覽	觀眾	關聯
관람	觀覽	觀眾	關聯	管理
관람객	觀眾	關聯	管理	關心事
관련	關聯	管理	關心事	觀點
관리	管理	關心事	觀點	觀察
관심사	關心事	觀點	觀察	光景
관점	觀點	觀察	光景	折磨
관찰	觀察	光景	折磨	校園
광경	光景	折磨	校園	交替
괜히	白白地	非常	執意	還
괴로움	折磨	校園	交替	交流
괴롭다	痛	了不起的	保存	貴重的
괴롭히다	折磨	滾	彎	找
굉장하다	了不起的	保存	貴重的	高貴
굉장히	非常	執意	還	不怎麼
교내	校園	交替	交流	制服
교대	交替	交流	制服	教養
교류	交流	制服	教養	郊區
교복	制服	教養	郊區	教育費用
교시	-堂			
교양	教養	郊區	教育費用	教育家
교외	郊區	教育費用	教育家	校長
교육비	教育費用	教育家	校長	教材
교육자	教育家	校長	教材	更換
교장	校長	教材	更換	交通工具
교재	教材	更換	交通工具	教師
교체	更換	教材	交通工具	僑胞
교통수단	交通工具	運動	僑胞	教訓
교통편	交通工具	僑胞	教訓	區
교포	僑胞	教訓	區	可看的
교훈	教訓	區	可看的	購買
구	區	可看的	購買	洞
구경거리	可看的	購買	洞	區別
구르다	滾	彎	找	挽救
구매	購買	洞	區別	區分
구멍	洞	區別	區分	角落
구별	區別	區分	角落	構成
구부리다	彎	找	挽救	變硬
구분	區分	角落	構成	舊世代
구석	角落	構成	舊世代	限制
구성	構成	舊世代	限制	區域
구세대	舊世代	限制	區域	購買
구속	限制	區域	購買	救助
구수하다	保存	貴重的	高貴	苛刻
구역	區域	購買	救助	結構
구입	購買	救助	結構	救援隊
구조	救助	結構	救援隊	國家
구조	結構	結構	救援隊	國家
구조대	救援隊	國家	國家節日	國旗
구체적	具體的	規律的	根本的	積極的
구하다	找	挽救	變硬	餓
구하다	挽救	挽救	變硬	餓
국가	國家	國家節日	國旗	國內線
국경일	國家節日	國旗	國內線	國立
국기	國旗	國內線	國立	湯
국내선	國內線	國立	湯	國民
국립	國立	湯	國民	國產
국물	湯	國民	國產	國語
국민	國民	國產	國語	國外
국산	國產	國語	國外	國際結婚
국어	國語	國外	國際結婚	國際線
국외	國外	國際結婚	國際線	國際化
국제결혼	國際結婚	國際線	國際化	菊花
국제선	國際線	國際化	菊花	國會
국제화	國際化	菊花	國會	郡
국화	菊花	國會	郡	軍隊
국회	國會	郡	軍隊	軍事
군	郡	軍隊	軍事	洞穴
군대	軍隊	軍事	洞穴	跟
군데	-處			
군사	軍事	洞穴	跟	權力
굳어지다	變硬	餓	彎	建議
굳이	執意	還	不怎麼	勉強
굴	洞穴	跟	權力	權利
굶다	餓	彎	建議	這樣
굽	跟	權力	權利	權威
굽히다	彎	建議	這樣	停止
권력	權力	權利	權威	勸誘
권리	權利	權威	勸誘	回家
권위	權威	勸誘	回家	回國
권유	勸誘	回家	回國	鬼
권하다	建議	這樣	停止	粗
귀가	回家	回國	鬼	規模
귀국	回國	鬼	規模	規則
귀신	鬼	規模	規則	平衡
귀중하다	貴重的	高貴	苛刻	乾淨
귀하	閣下	家	本人名義	自己
귀하다	高貴	苛刻	乾淨	黑暗
규모	規模	規則	平衡	秋千
규정	規則	平衡	秋千	陰影
규칙적	規律的	根本的	積極的	基本的
균형	平衡	秋千	陰影	圖
그나마	還	不怎麼	勉強	還算
그네	秋千	陰影	圖	小組
그녀	她	你	我	我們
그늘	陰影	圖	小組	渴望
그다지	不怎麼	勉強	還算	那裡
그대	你	我	他	你們
그래도	即便如此	이 아이 的縮語	該怎麼辦	所以
그래프	圖	小組	渴望	陰影
그램	-公克			
그러게	是啊	哇	比較	各國
그러다	這樣	停止	粗	禁止
그럭저럭	勉強	還算	那裡	簡直
그런대로	還算	那裡	簡直	只是
그렇지	是啊	是的	什麼	噓
그룹	小組	渴望	陰影	圖畫書
그리	那裡	簡直	只是	就在此刻
그리움	渴望	陰影	圖畫書	之中
그림자	陰影	圖畫書	之中	克服
그림책	圖畫書	之中	克服	根據
그만큼	這些	後天	全	略
그만하다	停止	粗	禁止	劃
그야말로	簡直	只是	就在此刻	那麼
그저	只是	就在此刻	那麼	極
그제	前天	明天	大部份	暫時
그제야	就在此刻	那麼	極	順便一提
그중	之中	克服	根據	近郊
그토록	那麼	極	順便一提	急劇地
극복	克服	根據	近郊	近代
극히	極	順便一提	急劇地	急速地
근거	根據	近郊	近代	近來
근교	近郊	近代	近來	工人
근대	近代	近來	工人	工作
근데	順便一提	急劇地	急速地	匆忙地
근래	近來	工人	工作	根本
근로자	工人	工作	根本	擔心
근무	工作	根本	擔心	肌肉
근본	根本	擔心	肌肉	金：星期五
근본적	根本的	積極的	基本的	內向的
근심	擔心	肌肉	金：星期五	黃金
근육	肌肉	金：星期五	黃金	今年
굵다	粗	禁止	劃	爬行
금	金：星期五	黃金	今年	金額
금	黃金	黃金	今年	金額
금년	今年	金額	禁煙	金融
금액	金額	禁煙	金融	激增
금연	禁煙	金融	激增	機器
금융	金融	激增	機器	機關
금하다	禁止	劃	爬行	靠
급격히	急劇地	急速地	匆忙地	亮
급속히	急速地	匆忙地	亮	用力
급증	激增	機器	機關	器具
급히	匆忙地	亮	用力	仔細
긋다	劃	爬行	靠	傾斜
긍정적	積極的	基本的	內向的	合乎邏輯的
기계	機器	機關	器具	紀念
기관	機關	器具	紀念	紀念日
기구	器具	紀念	紀念日	紀念品
기념	紀念	紀念日	紀念品	機能
기념일	紀念日	紀念品	機能	技能
기념품	紀念品	機能	技能	期待
기능	機能	技能	期待	祈禱
기능	技能	技能	期待	祈禱
기다	爬行	靠	傾斜	側（身）
기대	期待	祈禱	基督教	柱子
기대다	靠	傾斜	側（身）	長
기도	祈禱	基督教	柱子	記錄
기독교	基督教	柱子	記錄	基盤
기둥	柱子	記錄	基盤	基本
기록	記錄	基盤	基本	捐贈
기반	基盤	基本	捐贈	技士
기본	基本	捐贈	技士	記者
기본적	基本的	內向的	合乎邏輯的	代表的
기부	捐贈	技士	記者	技術
기사	技士	記者	技術	技術者
기사	記者	記者	技術	技術者
기술	技術	技術者	記憶力	企業
기술자	技術者	記憶力	企業	企業家
기억력	記憶力	企業	企業家	捐䁬
기업	企業	企業家	捐䁬	力氣
기업가	企業家	捐䁬	力氣	起源
기여	捐䁬	力氣	起源	奇蹟
기운	力氣	起源	奇蹟	設施
기울다	傾斜	側（身）	長	剝
기울이다	側（身）	長	剝	剝來吃
기원	起源	奇蹟	設施	基準
기적	奇蹟	設施	基準	活動
기존	設施	基準	活動	基礎
기준	基準	活動	基礎	其他
기지개	活動	基礎	其他	已婚
기초	基礎	其他	已婚	企劃
기타	其他	機會	緊張	道路
기혼	已婚	企劃	氣候	緊急
기획	企劃	氣候	緊急	長袖
기후	氣候	緊急	長袖	路邊
긴급	緊急	長袖	路邊	街上
긴팔	長袖	路邊	街上	熱氣
길가	路邊	街上	熱氣	深度
길거리	街上	熱氣	深度	原因
길다	長	剝	剝來吃	舖
김	熱氣	海苔飯卷	泡菜	泡菜鍋
깊이	深度	驚喜	洗乾淨	一定
까다	剝	剝來吃	舖	放
까다롭다	苛刻	乾淨	黑暗	仔細
까닭	原因	芝麻	皮	尾巴
까먹다	剝來吃	切	舖	閃爍
깔끔하다	乾淨	黑暗	仔細	堅持不懈地
깔다	舖	打折	閃爍	打破
깔리다	舖	閃爍	打破	領會
깜깜하다	黑暗	仔細	堅持不懈地	一直
깜박하다	閃爍	打破	領會	打碎
깜빡	亮	用力	仔細	動彈
깨	芝麻	皮	尾巴	巔峰
깨다	打破	取出	做夢	關
깨닫다	領會	打碎	咬住	清醒
깨뜨리다	打碎	咬住	清醒	醒
깨물다	咬住	清醒	醒	碎了
깨어나다	清醒	醒	碎了	熄
깨우다	醒	碎了	熄	摘
깨지다	碎了	熄	摘	抱
꺼지다	熄	摘	抱	屈（指）
꺾다	摘	抱	屈（指）	剪
껍질	皮	尾巴	巔峰	插花
껴안다	抱	醒	屈（指）	插入
꼬리	尾巴	巔峰	插花	花紋
꼭	用力	滿滿地	暫時	傲慢
꼭대기	巔峰	插花	花紋	花瓣
꼼꼼하다	仔細	堅持不懈地	一直	沒極限
꼼꼼히	仔細	動彈	使勁	相當
꼼짝	動彈	使勁	相當	堅持不懈地
꼽다	屈（指）	閃爍	插入	插花
꼽히다	屈（指）	插入	插花	借貸
꽂다	插入	插花	借貸	收捨
꽂히다	插花	借貸	收捨	打扮
꽃꽂이	插花	花紋	花瓣	責備
꽃무늬	花紋	花瓣	責備	蜂蜜
꽃잎	花瓣	責備	蜂蜜	夢中
꽉	使勁	相當	堅持不懈地	不絕
꽤	相當	堅持不懈地	不絕	終究
꾸다	借貸	關	戒	斷
꾸리다	收捨	打扮	跪下	做夢
꾸미다	打扮	跪下	做夢	點
꾸준하다	堅持不懈地	一直	沒極限	糟
꾸준히	堅持不懈地	不絕	終究	不斷
꾸중	責備	蜂蜜	夢中	繩子
꿀	蜂蜜	夢中	繩子	餐
꿇다	跪下	做夢	點	斷掉
꿈꾸다	做夢	點	斷掉	醒來
꿈속	夢中	繩子	餐	明年
끄덕이다	點	連接	斷掉	拖
끈	繩子	餐	明年	黃色
끊기다	斷掉	開始	拖	結合
끊어지다	斷掉	連接	拖	拉過來
끊임없다	一直	沒極限	糟	苗條
끊임없이	不絕	終究	不斷	非常
끌다	拖	痊癒	拉過來	抱
끌리다	拖	拉過來	抱	積著
끌어당기다	拉過來	抱	積著	扣上
끌어안다	抱	積著	扣上	鑽進
끝내	終究	不斷	非常	高高地
끝없다	沒極限	糟	苗條	好的
끝없이	不斷	非常	高高地	經常
끼	餐	明年	黃色	綠色
끼다	積著	裝飾	栽培	關
끼다	扣上	裝飾	栽培	關
끼어들다	鑽進	扣上	夾在	起
끼우다	扣上	夾在	起	讓人
끼이다	夾在	起	讓人	出去
끼치다	起	讓人	出去	分成
끼치다	讓人	讓人	出去	分成
