사건	事件	思維方式	道歉	詐欺
서늘하다	涼爽	熱	傷心	笨拙
서럽다	傷心	開心	笨拙	孤獨
서명	簽名	西部	西洋	書籍
서부	西部	西洋	書籍	石油
서서히	慢慢地	恐怕	珍惜	老實說
서양인	西洋	書籍	石油	線
서운하다	傷心	高興	笨拙	時髦的
서적	書籍	石油	線	選舉
서투르다	笨拙	孤獨	時髦的	沒用
서툴다	笨拙	時髦的	沒用	疏忽
석유	石油	線	選舉	太陽眼鏡
섞이다	夾雜	激動	成立	數
선	線	選舉	太陽眼鏡	先約
선거	選舉	太陽眼鏡	先約	宣傳
선글라스	太陽眼鏡	先約	宣傳	選定
선약	先約	宣傳	選定	先進
선전	宣傳	選定	先進	先進國
선정	選定	先進	先進國	偏愛
선진	先進	先進國	偏愛	新年
선진국	先進國	偏愛	新年	說服
선호	偏愛	新年	說服	成立
설	新年	說服	成立	說明書
설득	說服	成立	說明書	問卷
설레다	激動	成立	數	吆喝
설립	成立	說明書	問卷	催
설마	恐怕	珍惜	老實說	頻繁地
설명서	說明書	署名	問卷	腹瀉
설문	問卷	聽說	腹瀉	設定
설문지	問卷	腹瀉	設定	安裝
설사	腹瀉	設定	安裝	攝氏
설정	設定	安裝	攝氏	結果
설치	安裝	攝氏	結果	教堂
섭씨	攝氏	結果	教堂	姓名
성공적	成功的	世界的	被動的	瞬間
성과	結果	教堂	姓名	性別
성당	教堂	姓名	性別	成熟
성립	成立	數	吆喝	傳聞
성명	姓名	性別	成熟	誠實
성별	性別	成熟	誠實	成人
성숙	成熟	誠實	成人	生長
성실	誠實	成人	生長	成績單
성인	成人	生長	成績單	脾氣
성장	生長	成績單	脾氣	全球化
성적표	成績單	脾氣	全球化	稅
성질	脾氣	全球化	稅	世紀
세계적	世界的	被動的	瞬間	身體的
세계화	全球化	稅	世紀	時代
세금	稅	世紀	時代	家口，住戶
세기	世紀	時代	家口，住戶	勢力
세다	數	吆喝	傳聞	受騙
세대	時代	家口，住戶	勢力	緃向
세대	家口，住戶	家口，住戶	勢力	緃向
세력	勢力	緃向	三角形	研討會
세련되다	時髦的	沒用	疏忽	受傷
세로	緃向	三角形	研討會	歲月
세모	三角形	研討會	歲月	銷售
세미나	研討會	歲月	銷售	洗滌劑
세월	歲月	銷售	洗滌劑	洗車
세일	銷售	洗滌劑	洗車	洗衣物
세제	洗滌劑	洗車	洗衣物	一套
세차	洗車	洗衣物	一套	襯衫
세탁물	洗衣物	一套	襯衫	感想
세트	一套	襯衫	感想	相親
센티	厘米	公尺	公斤	公克
셔츠	襯衫	感想	相親	小規模
소-	小	大	有	無
소감	感想	相親	小規模	小劇場
소개팅	相親	小規模	小劇場	鹽水
소규모	小規模	小劇場	鹽水	陣雨
소극장	小劇場	鹽水	陣雨	松樹
소극적	消極的	大約	任何	什麼
소금물	鹽水	陣雨	松樹	姑娘
소나기	陣雨	松樹	姑娘	少年
소나무	松樹	姑娘	少年	消毒
소녀	姑娘	少年	消毒	消毒藥
소년	少年	消毒	消毒藥	收入
소독	消毒	消毒藥	收入	願望
소독약	消毒藥	收入	願望	袖子
소득	收入	願望	袖子	謠言
소리치다	吆喝	傳聞	受騙	欺騙
소망	願望	袖子	謠言	消防隊員
소매	袖子	謠言	消防隊員	消防局
소문	謠言	消防隊員	消防局	消防車
소문나다	傳聞	受騙	欺騙	屬於
소방관	消防隊員	消防局	消防車	小便
소방서	消防局	消防車	小便	消費
소방차	消防車	小便	消費	消費者
소변	小便	消費	消費者	小說家
소비	消費	消費者	小說家	小說
소비자	消費者	小說家	小說	少數
소설가	小說家	小說	少數	醬
소설책	小說	少數	醬	香腸
소수	少數	醬	香腸	兒科
소스	醬	香腸	兒科	需要
소시지	香腸	兒科	需要	用處
소아과	兒科	需要	用處	希望
소요	需要	用處	希望	擁有
소용	用處	希望	擁有	噪音
소용없다	沒用	疏忽	受傷	簡單
소원	希望	擁有	噪音	素材
소유	擁有	噪音	素材	隨身物品
소음	噪音	素材	隨身物品	小型
소재	素材	隨身物品	小型	消化
소중히	珍惜	老實說	頻繁地	無數
소지품	隨身物品	小型	消化	睫毛
소형	小型	消化	睫毛	諺語
소홀하다	疏忽	受傷	簡單	誠實的
소화	消化	睫毛	諺語	內心話
속눈썹	睫毛	諺語	內心話	手提包
속다	受騙	欺騙	屬於	牽手
속담	諺語	內心話	手提包	援手
속마음	內心話	手提包	援手	指尖
속상하다	受傷	簡單	誠實的	很多的
속이다	欺騙	屬於	牽手	飛漲
속하다	屬於	牽手	飛漲	低
손가방	手提包	援手	指尖	手背
손길	援手	指尖	手背	手腕
손끝	指尖	手背	手腕	手錶
손등	手背	手腕	手錶	手腳
손목	手腕	手錶	手腳	拍手
손목시계	手錶	手腳	拍手	孫子
손발	手腳	拍手	孫子	扶手
손뼉	拍手	孫子	扶手	修整
손쉽다	簡單	誠實的	很多的	純真
손자	孫子	扶手	修整	指甲
손잡다	牽手	飛漲	低	隱藏
손잡이	扶手	修整	指甲	損害
손질	修整	指甲	損害	手藝
손톱	指甲	損害	手藝	歡送會
손해	損害	手藝	歡送會	小牛
솔직하다	誠實的	很多的	純真	說謊
솔직히	老實說	頻繁地	無數	迅速地
솜씨	手藝	歡送會	小牛	松茸
솟다	飛漲	低	隱藏	躲
송별회	歡送會	小牛	松茸	鐵銹
송아지	小牛	松茸	鐵銹	牛肉
송이	松茸	鐵銹	牛肉	表演
쇠	鐵銹	牛肉	表演	購物中心
쇠고기	牛肉	豬肉	魚肉	羊肉
쇼	表演	修	購物中心	水：星期三
쇼핑몰	購物中心	購買	水：星期三	很多年
쇼핑센터	購物中心	水：星期三	很多年	嘮叨
수	水：星期三	毛巾	辛苦	西瓜
수년	很多年	嘮叨	手段	水管
수다	嘮叨	手段	水管	首都
수단	手段	水管	首都	都市區
수도	水管	首都	都市區	水龍頭
수도	首都	首都	都市區	水龍頭
수도권	都市區	水龍頭	自來水	數量
수도꼭지	水龍頭	自來水	數量	托人修理
수돗물	自來水	數量	托人修理	付修理費
수동적	被動的	瞬間	身體的	有用
수량	數量	托人修理	付修理費	睡眠
수리	托人修理	付修理費	睡眠	安眠藥
수리비	付修理費	睡眠	安眠藥	壽命
수만	幾萬元	幾百隻	幾十個	幾千名
수많다	很多的	很少	純真	溫和的
수면	睡眠	安眠藥	壽命	調查
수면제	安眠藥	壽命	調查	首相
수명	壽命	調查	首相	修繕
수백	幾百隻	幾十個	幾千名	億
수사	調查	首相	修繕	手續
수상	首相	修繕	手續	謎語
수선	修繕	手續	謎語	手續費
수속	手續	謎語	手續費	需求
수수께끼	謎語	手續費	需求	接受
수수료	手續費	需求	接受	收入
수시로	頻繁地	無數	迅速地	實際上
수십	幾十個	幾千名	億	八
수없이	無數	迅速地	實際上	事實上
수요	需求	接受	收入	輸入
수용	接受	收入	輸入	輸入品
수입	收入	輸入	輸入品	更正
수입	輸入	輸入	輸入品	更正
수입품	輸入品	更正	等級	收藏
수정	更正	等級	收藏	輸出
수준	等級	收藏	輸出	支票
수집	收藏	輸出	支票	數學
수천	幾千名	億	八	八十
수출	輸出	支票	數學	履行
수표	支票	數學	履行	淑女
수학	數學	履行	淑女	住宿
수행	履行	淑女	住宿	房錢
숙녀	淑女	住宿	房錢	少年
숙박	住宿	房錢	租	片刻
숙박비	房錢	住宿	片刻	瞬間
숙소	住宿	片刻	瞬間	排行
숙이다	低	隱藏	躲	喪生
순간	片刻	瞬間	排行	酒瓶
순간적	瞬間	身體的	有用	心理
순수하다	純真	孤獨	溫和的	潮濕
순식간	瞬間	排行	酒瓶	酒會
순위	排行	酒瓶	酒會	酒杯
순진하다	純真	溫和的	潮濕	驚人的
순하다	溫和的	潮濕	驚人的	嚴重
술병	酒瓶	酒會	酒杯	呼吸
술자리	酒會	酒杯	呼吸	碗
술잔	酒杯	受傷	呼吸	樹林
숨	呼吸	生命	樹林	超市
숨기다	隱藏	躲	喪生	啞
숨다	躲	喪生	啞	擦過
숨소리	呼吸	樹林	超市	師父
숨지다	喪生	啞	擦過	折磨
숲	樹林	超市	師父	開關
쉬다	啞	喘息	悲傷	安排
쉿	噓	不是	啊	好
슈퍼	超市	師父	開關	短裙
스님	師父	開關	短裙	行程
스무째	第二十天	第九	第八	第六
스위치	開關	短裙	行程	風格
스치다	擦過	折磨	枯萎	嫁去
스커트	短裙	行程	風格	絲襪
스케줄	行程	風格	絲襪	工作室
스타일	風格	絲襪	工作室	拖鞋
스타킹	絲襪	工作室	拖鞋	濕度
스튜디오	工作室	拖鞋	濕度	工人
슬리퍼	拖鞋	視力	濕度	乘客
슬쩍	迅速地	實際上	事實上	狠狠地
습기	濕度	溫度	乘客	承諾
습도	濕度	乘客	承諾	勝利
습하다	潮濕	驚人的	嚴重	新鮮的
승객	乘客	承諾	勝利	空中小姐
승낙	承諾	勝利	空中小姐	車
승리	勝利	空中小姐	車	晉升
승무원	空中小姐	車	晉升	乘車
승용차	車	晉升	乘車	車票
승진	晉升	乘車	車票	成敗
승차	乘車	車票	成敗	詩
승차권	車票	成敗	詩	時間
승패	成敗	詩	時間	視角
시	詩	時程表	鐘	鄉下
시각	時間	視角	菠菜	時期
시각	視角	視角	菠菜	時期
시금치	菠菜	時期	城市公交車	時代
시기	時期	城市公交車	時代	公婆家
시내버스	城市公交車	時代	公婆家	嘗試
시달리다	折磨	枯萎	嫁去	冷了
시대	時代	公婆家	嘗試	光碟片
시댁	公婆家	嘗試	光碟片	視力
시도	嘗試	光碟片	視力	系列
시들다	枯萎	嫁去	冷了	興奮的
시디	光碟片	視力	系列	水泥
시력	視力	系列	水泥	公婆
시리즈	系列	水泥	公婆	視線
시멘트	水泥	公婆	視線	設施
시부모	公婆	視線	設施	系統
시선	視線	設施	系統	岳父
시설	設施	系統	岳父	視野
시스템	系統	岳父	視野	市外
시아버지	岳父	視野	市外	城際巴士
시야	視野	市外	城際巴士	詩人
시외	市外	城際巴士	詩人	時日
시외버스	城際巴士	詩人	時日	市長
시인	詩人	時日	市長	時期
시일	時日	市長	時期	時間
시장	市長	市政府	考試	家人
시절	時期	時間	市場	婆家
시점	時間	市場	婆家	詩集
시중	市場	婆家	詩集	視聽
시집	婆家	詩集	視聽	收視率
시집	詩集	詩集	視聽	收視率
시집가다	嫁去	冷了	興奮的	裝
시청	視聽	考試	家人	麵包
시청률	收視率	觀眾	比賽	執法
시청자	觀眾	比賽	執法	試卷
시합	比賽	執法	試卷	餐具
시행	執法	試卷	餐具	餐廳
시험지	試卷	餐具	餐廳	食物
식기	餐具	餐廳	食物	食料品
식당가	餐廳	食物	食料品	植物
식량	食物	食料品	植物	伙食費
식료품	食料品	植物	伙食費	食物量
식물	植物	伙食費	食物量	食慾
식비	伙食費	食物量	食慾	食用油
식사량	食物量	食慾	食用油	食物中毒
식욕	食慾	食用油	食物中毒	食品店
식용유	食用油	食物中毒	食品店	吃飯後
식중독	食物中毒	食品店	吃飯後	上帝
식품점	食品店	吃飯後	上帝	勁
식후	吃飯後	上帝	勁	神經
식히다	冷了	興奮的	裝	撒
신	上帝	勁	神經	遺失物申告
신	勁	勁	神經	遺失物申告
신-	新	舊	信	行
신경	神經	遺失物申告	信仰	相信
신고	遺失物申告	信仰	相信	酸味
신기하다	驚人的	嚴重	新鮮的	清冷
신나다	興奮的	裝	撒	包住
신념	信仰	相信	酸味	報社
신뢰	相信	酸味	報社	報紙
신맛	酸味	報社	報紙	牧師
신문사	報社	報紙	牧師	身份
신문지	報紙	牧師	身份	神秘
신부	牧師	神父	身份證	申請
신분	身份	神秘	紳士	新產品
신비	神秘	紳士	新產品	身世，境遇
신사	紳士	新產品	身世，境遇	新一代
신상품	新產品	身世，境遇	新一代	信仰
신세	身世，境遇	新一代	信仰	信用
신세대	新一代	信仰	信用	新人
신앙	信仰	信用	新人	大一新生
신용	信用	新人	大一新生	新產品
신입	新人	大一新生	新產品	審慎
신입생	大一新生	新產品	審慎	申請書
신제품	新產品	審慎	申請書	身體
신중	審慎	申請書	身體	新婚
신청서	申請書	身體	新婚	新婚夫婦
신체	身體	新婚	新婚夫婦	神話
신체적	身體的	有用	心理	歷史的
신혼	新婚	新婚夫婦	神話	線
신혼부부	新婚夫婦	神話	線	真實感
신화	神話	線	真實感	裡面
실	線	真實感	裡面	技能
실감	真實感	裡面	技能	實例
실내	裡面	技能	實例	失望
실력	技能	實例	失望	實習
실례	實例	犯錯	失敗	大麥
실리다	裝	撒	包住	疊
실망	失望	實習	實踐	失業
실습	實習	實踐	失業	室長
실시	實踐	失業	室長	失踪
실업	失業	室長	失踪	實施
실용적	有用	心理	歷史的	藝術的
실은	實際上	事實上	狠狠地	甚至
실장	室長	失踪	實施	實體
실제	真實發生	昨天	今天	剛
실제로	事實上	狠狠地	甚至	非常好
실종	失踪	實施	實體	實驗
실천	實施	實體	實驗	實現
실체	實體	實驗	實現	疲勞
실컷	狠狠地	甚至	非常好	不必要的
실험	實驗	實現	疲勞	心理
실현	實現	疲勞	心理	差事
싫증	疲勞	心理	差事	審查
심각하다	嚴重	新鮮的	清冷	害羞的
심리	心理	差事	審查	心臟
심리적	心理	歷史的	藝術的	肉體的
심부름	差事	審查	心臟	心
심사	審查	心臟	心	審判
심장	心臟	心	審判	便宜貨
심정	心	審判	便宜貨	爭吵
심지어	甚至	非常好	不必要的	不
심판	審判	便宜貨	爭吵	廉價
십상	正好	現在	昨天	一整天
싱싱하다	新鮮的	清冷	害羞的	無用
싸구려	便宜貨	爭吵	廉價	一對
싸다	撒	吵架	堆積	切
싸움	爭吵	廉價	一對	雙胞胎
싸이다	包住	疊	腐爛	開
싼값	廉價	一對	雙胞胎	筆試
쌍	一對	雙胞胎	筆試	苦味
쌍둥이	雙胞胎	筆試	苦味	種子
쌓이다	疊	腐爛	開	倒
썩	非常好	不必要的	不	也許
썩다	腐爛	開	倒	倒出
썰렁하다	清冷	害羞的	無用	寂寞
쏘다	開	倒	倒出	吹
쏟다	倒	倒出	吹	酸痛
쏟아지다	倒出	吹	酸痛	摸
쐬다	吹	酸痛	摸	倒下
쑤시다	酸痛	摸	倒下	寫
쑥스럽다	害羞的	無用	寂寞	勇敢的
쓰기	筆試	苦味	種子	摔角
쓰다듬다	摸	倒下	寫	用
쓰러지다	倒下	寫	用	掃
쓰이다	寫	用	掃	戴上
쓰이다	用	用	掃	戴上
쓴맛	苦味	種子	摔角	甜味
쓸다	掃	戴上	沖刷	洗
쓸데없다	無用	寂寞	勇敢的	不是
쓸데없이	不必要的	不	也許	不管再怎麼
쓸쓸하다	寂寞	勇敢的	不是	美
씌우다	戴上	沖刷	洗	坐
씨	種子	摔角	火	早晨
씨름	摔角	種子	早晨	夏天
씨앗	種子	早晨	夏天	零
씩씩하다	勇敢的	不是	美	哪裡也
씻기다	沖刷	洗	坐	來
씻기다	洗	洗	坐	來
