나뉘다	分開	搬運	訓斥	變糟
너그럽다	寛容	寬裕	驚人	炫耀
너머	那邊	寬度	正方形	網友
너무나	太	廣泛地	再次	更多的
넉넉하다	寬裕	驚人	炫耀	輕鬆
널다	晾	飛	擴大	交出
널리	廣泛地	再次	更多的	更
넓어지다	擴大	謀生	交出	越過
넓이	寬度	正方形	網友	勞動
넓히다	擴大	交出	越過	倒下
넘겨주다	交出	越過	倒下	擊倒
넘기다	越過	倒下	擊倒	超出
넘어가다	倒下	擊倒	超出	倒了
넘어뜨리다	擊倒	超出	倒了	溢出
넘어서다	超出	倒了	溢出	盯
넘어오다	倒了	溢出	盯	熔化
넘치다	溢出	盯	熔化	不足
네모	正方形	網友	勞動	工人
네티즌	網友	勞動	工人	黃色的
녀석	-傢伙			
년대	-年代			
년도	-年度			
노동	勞動	工人	黃色的	路線
노동자	工人	黃色的	路線	路線圖
노랑	黃色的	路線	路線圖	老人
노려보다	盯	戲弄	熔化	爬上
노선	路線	路線圖	老人	筆記本電腦
노선도	路線圖	老人	筆記本電腦	錄音
노약자	老人	筆記本電腦	錄音	錄音機
노트북	筆記本電腦	錄音	錄音機	記錄
녹다	熔化	結合	戲弄	玩
녹음	錄音	錄音機	記錄	邏輯
녹음기	錄音機	記錄	邏輯	爭論
녹이다	熔化	戲弄	玩	上升
녹화	記錄	邏輯	爭論	錄影
논리	邏輯	理論	爭論	遊樂園
논리적	合乎邏輯的	代表的	文化的	物質的
논의	爭論	家庭	論文	遊樂園
논쟁	爭論	論說	遊樂園	農民
놀랍다	驚人	炫耀	輕鬆	膩
놀리다	戲弄	玩	上升	增高
놀리다	玩	玩	上升	增高
놀이공원	遊樂園	操場	農民	民眾
놀이터	遊樂園	教訓	農民	農業
농민	農民	民眾	農業	農活
농부	農民	農業	農活	農產品
농사	農業	農活	農產品	漁業
농사일	農活	農產品	農業	鄉村
농산물	農產品	農業	鄉村	敬語
농업	農業	鄉村	敬語	腦
농촌	鄉村	敬語	腦	姐姐
높아지다	上升	增高	放在	放心
높이다	增高	放在	放心	放
높임말	敬語	腦	姐姐	眼角
놓아두다	放在	放心	拿起	移到
놓이다	放心	放	放在	閉眼
놓치다	放	放在	閉眼	醒來
놔두다	放在	閉眼	醒來	臥
뇌	腦	姐姐	眼角	目光
누님	姐姐	眼角	目光	瞳孔
눈가	眼角	目光	瞳孔	眼病
눈감다	閉眼	醒來	臥	增加
눈길	目光	瞳孔	眼病	眼角
눈동자	瞳孔	眼病	目光	雪人
눈뜨다	醒來	臥	增加	減少
눈병	眼病	目光	雪人	雪仗
눈부시다	炫耀	輕鬆	膩	不同的
눈빛	目光	雪人	雪仗	眉
눈사람	雪人	雪仗	眉	眼前
눈싸움	雪仗	眉	眼前	察眼觀色
눈썹	眉	眼前	察眼觀色	深秋
눈앞	眼前	察眼觀色	深秋	晚冬
눈치	察眼觀色	深秋	晚冬	晚春
눕히다	臥	戲弄	增加	一直
느긋하다	輕鬆	膩	不同的	甜的
느끼하다	膩	不同的	甜的	鬱悶
늘리다	增加	謀生	一直	排隊
늘어나다	增加	一直	排隊	拉長
늘어놓다	一直	排隊	拉長	遲到
늘어서다	排隊	拉長	遲到	延緩
늘이다	拉長	遲到	延緩	去一趟
늦가을	深秋	晚冬	晚春	晚夏
늦겨울	晚冬	晚春	晚夏	睡過頭了
늦봄	晚春	晚夏	睡過頭了	圖書館
늦어지다	遲到	延緩	去一趟	去
늦여름	晚夏	睡過頭了	圖書館	動物園
늦잠	睡過頭了	圖書館	動物園	腿
늦추다	延緩	去一趟	去	受傷
님	先生	去一趟	去	受傷
